GeneID	SYMBOL	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000105971	CAV2	-13.0132533153004	10.134008559506	-45.1159182336306	3.86423199661109e-12	4.03964281346677e-08	13.4884799507146
ENSG00000139211	AMIGO2	-11.5179796387161	5.75898981935802	-39.9958904787978	8.59770800451212e-12	4.03964281346677e-08	13.4365160857518
ENSG00000164741	DLC1	11.3829760659804	5.6914880329902	38.9816538413972	1.09231626944912e-11	4.03964281346677e-08	13.3613393111043
ENSG00000154277	UCHL1	-12.5197741903486	6.5098870951743	-37.6297489595263	1.51762767603302e-11	4.03964281346677e-08	13.2535306074274
ENSG00000188488	SERPINA5	11.8098493272322	5.90492466361613	37.2469137456393	1.66928446038966e-11	4.03964281346677e-08	13.221304931953
ENSG00000175899	A2M	15.4136919555762	7.70684597778809	38.3286147932445	1.72677028414188e-11	4.03964281346677e-08	13.0558552717408
ENSG00000065833	ME1	-11.5544582625717	5.77722913128583	-36.8888213974298	1.82643371537784e-11	4.03964281346677e-08	13.1904459273626
ENSG00000074657	ZNF532	-10.8215420478609	5.41077102393047	-36.7183182536524	1.90695456801351e-11	4.03964281346677e-08	13.1755033792019
ENSG00000060138	YBX3	11.9863305018781	5.99316525093907	36.6559897559954	1.93736306903971e-11	4.03964281346677e-08	13.1700002618703
ENSG00000115648	MLPH	-10.8210828559244	5.41054142796221	-36.4719806834815	2.03031034093068e-11	4.03964281346677e-08	13.1536249057152
ENSG00000178860	MSC	-12.3494732888658	6.17473664443288	-36.3697628532387	2.08406645155126e-11	4.03964281346677e-08	13.1444444047246
ENSG00000109472	CPE	12.3337973115103	6.41689865575513	35.8527371644314	2.38123966942078e-11	4.03964281346677e-08	13.0970701338892
ENSG00000203950	RTL8A	-10.9878973541987	5.49394867709934	-35.4208038074941	2.66564305261299e-11	4.03964281346677e-08	13.0562561776892
ENSG00000184743	ATL3	-10.9627087222485	5.48135436112425	-35.3817132310039	2.69318081897715e-11	4.03964281346677e-08	13.0525053941081
ENSG00000126752	SSX1	-11.0380380815427	5.51901904077138	-35.3126175402363	2.74262889564057e-11	4.03964281346677e-08	13.045852075336
ENSG00000090382	LYZ	12.1615713728562	6.08078568642809	34.797885502267	3.14423062208735e-11	4.03964281346677e-08	12.995326205045
ENSG00000086548	CEACAM6	-13.3939443933732	6.69697219668658	-35.7323193344582	3.1447708413185e-11	4.03964281346677e-08	12.8741923486073
ENSG00000145192	AHSG	11.1149694413305	8.79829905982349	35.7872901059632	3.23948902443206e-11	4.03964281346677e-08	12.8417290258437
ENSG00000102007	PLP2	-8.18243276278432	9.57518892521073	-34.4129004284895	3.48715144441351e-11	4.11961059585819e-08	12.9563977076024
ENSG00000197249	SERPINA1	16.2374787227234	8.61873936136171	34.9390204133912	4.03612172818049e-11	4.52973941553696e-08	12.7620693147872
ENSG00000116729	WLS	-10.1876229762459	5.09381148812297	-33.3827824859053	4.62641225994287e-11	4.9449737898418e-08	12.8471782120845
ENSG00000130558	OLFM1	-10.6178873212355	5.30894366061776	-33.0902765862278	5.02096325015613e-11	5.01013545291091e-08	12.8147568437341
ENSG00000163631	ALB	11.6136509957631	11.7179972955577	34.0336297652455	5.13379289926717e-11	5.01013545291091e-08	12.6719662967172
ENSG00000078898	BPIFB2	10.7543035440737	5.37715177203687	32.3857309601271	6.13314226063819e-11	5.24533844919394e-08	12.7339573234291
ENSG00000125730	C3	14.540158501926	7.520079250963	33.3160816074966	6.24024579420375e-11	5.24533844919394e-08	12.5965655944682
ENSG00000147257	GPC3	13.6713108089336	6.83565540446681	33.2164283046133	6.41380361378135e-11	5.24533844919394e-08	12.5858009719124
ENSG00000145247	OCIAD2	-10.3241730540529	5.16208652702643	-32.1816810075264	6.50425198303561e-11	5.24533844919394e-08	12.7098166554361
ENSG00000168918	INPP5D	9.88415734116819	4.94207867058409	32.1609967349316	6.54323605887152e-11	5.24533844919394e-08	12.7073505055013
ENSG00000123496	IL13RA2	-10.3801854746417	5.19009273732086	-31.918980313816	7.01908770457899e-11	5.43277388334413e-08	12.6782313264451
