GeneID	SYMBOL	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000105971	CAV2	-13.0132533153004	10.134008559506	-45.1159182336306	3.86423199661109e-12	4.03964281346677e-08	13.4884799507146
ENSG00000139211	AMIGO2	-11.5179796387161	5.75898981935802	-39.9958904787978	8.59770800451212e-12	4.03964281346677e-08	13.4365160857518
ENSG00000154277	UCHL1	-12.5197741903486	6.5098870951743	-37.6297489595263	1.51762767603302e-11	4.03964281346677e-08	13.2535306074274
ENSG00000065833	ME1	-11.5544582625717	5.77722913128583	-36.8888213974298	1.82643371537784e-11	4.03964281346677e-08	13.1904459273626
ENSG00000074657	ZNF532	-10.8215420478609	5.41077102393047	-36.7183182536524	1.90695456801351e-11	4.03964281346677e-08	13.1755033792019
ENSG00000115648	MLPH	-10.8210828559244	5.41054142796221	-36.4719806834815	2.03031034093068e-11	4.03964281346677e-08	13.1536249057152
ENSG00000178860	MSC	-12.3494732888658	6.17473664443288	-36.3697628532387	2.08406645155126e-11	4.03964281346677e-08	13.1444444047246
ENSG00000203950	RTL8A	-10.9878973541987	5.49394867709934	-35.4208038074941	2.66564305261299e-11	4.03964281346677e-08	13.0562561776892
ENSG00000184743	ATL3	-10.9627087222485	5.48135436112425	-35.3817132310039	2.69318081897715e-11	4.03964281346677e-08	13.0525053941081
ENSG00000126752	SSX1	-11.0380380815427	5.51901904077138	-35.3126175402363	2.74262889564057e-11	4.03964281346677e-08	13.045852075336
ENSG00000086548	CEACAM6	-13.3939443933732	6.69697219668658	-35.7323193344582	3.1447708413185e-11	4.03964281346677e-08	12.8741923486073
ENSG00000102007	PLP2	-8.18243276278432	9.57518892521073	-34.4129004284895	3.48715144441351e-11	4.11961059585819e-08	12.9563977076024
ENSG00000116729	WLS	-10.1876229762459	5.09381148812297	-33.3827824859053	4.62641225994287e-11	4.9449737898418e-08	12.8471782120845
ENSG00000130558	OLFM1	-10.6178873212355	5.30894366061776	-33.0902765862278	5.02096325015613e-11	5.01013545291091e-08	12.8147568437341
ENSG00000145247	OCIAD2	-10.3241730540529	5.16208652702643	-32.1816810075264	6.50425198303561e-11	5.24533844919394e-08	12.7098166554361
ENSG00000123496	IL13RA2	-10.3801854746417	5.19009273732086	-31.918980313816	7.01908770457899e-11	5.43277388334413e-08	12.6782313264451
ENSG00000138061	CYP1B1	-10.8032901790532	5.65164508952662	-30.7679295268029	9.87341326755509e-11	7.38728780678472e-08	12.5327987516376
ENSG00000010438	PRSS3	-9.53795212460397	4.76897606230199	-30.6514030661013	1.02275461597362e-10	7.40540326133672e-08	12.517407895449
ENSG00000147065	MSN	-12.3645656758578	8.11084421734544	-31.1131464085025	1.1671726647271e-10	8.18698676014512e-08	12.3404657739692
ENSG00000129680	MAP7D3	-10.0149692576011	5.00748462880056	-29.7270295965806	1.3590598348437e-10	9.06127621825252e-08	12.3906746514092
ENSG00000170955	CAVIN3	-9.41152831672994	4.70576415836497	-29.6954023838396	1.37255364617565e-10	9.06127621825252e-08	12.3861879181593
ENSG00000186480	INSIG1	-9.43297444153291	4.71648722076646	-28.9315023232862	1.74803183816424e-10	1.12103778969813e-07	12.2746322108164
ENSG00000123892	RAB38	-9.16340340723101	4.5817017036155	-28.419834994632	2.06263980525728e-10	1.28605591857791e-07	12.1963504440373
ENSG00000143674	MAP3K21	-9.24340678393105	4.62170339196553	-28.0711690704088	2.31275792413559e-10	1.40303146932831e-07	12.1412876538442
ENSG00000101160	CTSZ	-8.27284090239308	7.30186497563954	-27.7644439239399	2.56070691084313e-10	1.4891147387668e-07	12.0916543095707
ENSG00000069998	HDHD5	-9.24928260801634	4.62464130400817	-27.6668188540678	2.645682395556e-10	1.4891147387668e-07	12.0756169532832
ENSG00000141934	PLPP2	-10.8733540414475	5.93667702072373	-27.8844987405612	2.78636812920812e-10	1.4891147387668e-07	12.0007649067031
ENSG00000153233	PTPRR	-8.7775952132932	4.3887976066466	-27.2099452479196	3.0870605734445e-10	1.588039552078e-07	11.9989823940267
