GeneID	SYMBOL	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000164741	DLC1	11.3829760659804	5.6914880329902	38.9816538413972	1.09231626944912e-11	4.03964281346677e-08	13.3613393111043
ENSG00000188488	SERPINA5	11.8098493272322	5.90492466361613	37.2469137456393	1.66928446038966e-11	4.03964281346677e-08	13.221304931953
ENSG00000175899	A2M	15.4136919555762	7.70684597778809	38.3286147932445	1.72677028414188e-11	4.03964281346677e-08	13.0558552717408
ENSG00000060138	YBX3	11.9863305018781	5.99316525093907	36.6559897559954	1.93736306903971e-11	4.03964281346677e-08	13.1700002618703
ENSG00000109472	CPE	12.3337973115103	6.41689865575513	35.8527371644314	2.38123966942078e-11	4.03964281346677e-08	13.0970701338892
ENSG00000090382	LYZ	12.1615713728562	6.08078568642809	34.797885502267	3.14423062208735e-11	4.03964281346677e-08	12.995326205045
ENSG00000145192	AHSG	11.1149694413305	8.79829905982349	35.7872901059632	3.23948902443206e-11	4.03964281346677e-08	12.8417290258437
ENSG00000197249	SERPINA1	16.2374787227234	8.61873936136171	34.9390204133912	4.03612172818049e-11	4.52973941553696e-08	12.7620693147872
ENSG00000163631	ALB	11.6136509957631	11.7179972955577	34.0336297652455	5.13379289926717e-11	5.01013545291091e-08	12.6719662967172
ENSG00000078898	BPIFB2	10.7543035440737	5.37715177203687	32.3857309601271	6.13314226063819e-11	5.24533844919394e-08	12.7339573234291
ENSG00000125730	C3	14.540158501926	7.520079250963	33.3160816074966	6.24024579420375e-11	5.24533844919394e-08	12.5965655944682
ENSG00000147257	GPC3	13.6713108089336	6.83565540446681	33.2164283046133	6.41380361378135e-11	5.24533844919394e-08	12.5858009719124
ENSG00000168918	INPP5D	9.88415734116819	4.94207867058409	32.1609967349316	6.54323605887152e-11	5.24533844919394e-08	12.7073505055013
ENSG00000085491	SLC25A24	8.91727842750801	4.45863921375401	27.6006529919611	2.70504595170806e-10	1.4891147387668e-07	12.0646807156379
ENSG00000100867	DHRS2	11.7099097320065	9.32599749578034	28.3202723710461	2.75720195139862e-10	1.4891147387668e-07	11.9525474399071
ENSG00000091513	TF	11.6586248075767	8.90625491176101	27.4374716743979	3.68142280405705e-10	1.72152533874718e-07	11.8124202898189
ENSG00000197043	ANXA6	10.3659847981645	5.43299239908224	26.4289990851745	4.15195563470201e-10	1.86827018921361e-07	11.8378877517128
ENSG00000096088	PGC	10.5723624602524	5.53618123012618	26.5801346495449	4.16169961065136e-10	1.86827018921361e-07	11.8159285830909
ENSG00000131080	EDA2R	8.50394045187396	4.25197022593698	25.869787960644	4.92757770225574e-10	2.04822979823763e-07	11.7582264869898
ENSG00000156096	UGT2B4	8.45429628749149	4.22714814374575	25.8051543886167	5.04296239177776e-10	2.05475711749031e-07	11.7459772078413
ENSG00000134363	FST	9.52222758640039	5.5111137932002	25.6195901634955	5.39116813189949e-10	2.05475711749031e-07	11.7104663038543
ENSG00000167680	SEMA6B	8.20256216333536	5.9742443557501	25.4752206353084	5.68047480280565e-10	2.09022848235698e-07	11.6824823529976
ENSG00000119888	EPCAM	9.90847694710933	7.26144314617864	25.8379396771409	6.36645869196671e-10	2.26827828253785e-07	11.5333471049688
ENSG00000132164	SLC6A11	8.65971033308462	4.32985516654231	25.0197401459847	6.71178465036283e-10	2.31773412710837e-07	11.5920976331237
ENSG00000172000	ZNF556	9.28382126604726	4.89191063302363	24.7514271783135	7.41518251816276e-10	2.513612731078e-07	11.5373216436136
ENSG00000107443	CCNJ	9.16382726719808	5.33191363359904	24.7199214574783	7.50298730206833e-10	2.513612731078e-07	11.5308133862998
ENSG00000188338	SLC38A3	9.22765403276873	4.86382701638437	24.6724572422745	7.63744515367193e-10	2.52103079293118e-07	11.5209778718298
ENSG00000118137	APOA1	10.1432608735546	7.56307650794284	25.2802673582677	7.76652375530894e-10	2.52648394509659e-07	11.427653120669
ENSG00000006042	TMEM98	10.0083880138643	5.00419400693215	24.6332400210671	7.91530348087366e-10	2.53809859902415e-07	11.4939301042362
ENSG00000144908	ALDH1L1	8.39057182979602	4.19528591489801	24.4033937899823	8.45183343407859e-10	2.634859073074e-07	11.4645182911001
ENSG00000171208	NETO2	8.22227099670932	4.11113549835466	24.0576626516021	9.64249235522699e-10	2.92480247845169e-07	11.3901745017753
ENSG00000090661	CERS4	8.53913643945292	5.51956821972646	23.7435954841229	1.08863445862997e-09	3.01468624306284e-07	11.3208339423938
ENSG00000113319	RASGRF2	9.56761397024342	5.680047610302	23.9558945482419	1.12353988449632e-09	3.01468624306284e-07	11.2655379601674
ENSG00000198947	DMD	9.28088749525831	4.64044374762916	23.5168590593934	1.18944656441521e-09	3.01468624306284e-07	11.2696744103981
ENSG00000099251	NA	7.90565841215746	3.95282920607873	23.4758166178976	1.20877555856569e-09	3.01468624306284e-07	11.2603133129216
