"SYMBOL","ENTREZID","GENENAME","GSM1399027_LIliana_06-29-12-90609_Veh.CEL.gz","GSM1399028_LIliana_06-29-12-100609_CBD.CEL.gz","GSM1399029_LIliana_06-29-12-11CC4121_Veh.CEL.gz","GSM1399030_LIliana_06-29-12-12CC4121_CBD.CEL.gz","GSM1399031_Liliana_10-20-2011-84121T3_VEH.CEL.gz","GSM1399032_Liliana_10-20-2011-94121T3_CBD.CEL.gz"
"A1CF","29974","APOBEC1 complementation factor",5.61158152394904,5.72293294591637,5.69971856468717,5.83911646541993,5.31308136374038,5.55647231340842
"A2M","2","alpha-2-macroglobulin",8.7862214457899,9.98982522201319,12.4291982744258,11.664730089604,11.198398383561,10.8673389869135
"A2ML1","144568","alpha-2-macroglobulin like 1",5.92554367345598,5.95660309486271,6.21818015736881,6.2735300197613,5.89583386409966,5.80449495987793
"A3GALT2","127550","alpha 1,3-galactosyltransferase 2",6.4113035971749,6.49354841904697,6.51867441630068,6.40202915286114,6.08976288029,5.85392198933618
"A4GALT","53947","alpha 1,4-galactosyltransferase (P blood group)",7.31332355358681,7.34386762953702,7.42729346175906,7.30087448033116,6.8808334576781,6.63824342408819
"A4GNT","51146","alpha-1,4-N-acetylglucosaminyltransferase",5.16090787165701,5.12320509574654,5.30236956220454,5.63195207058583,4.93463617860869,4.79067012053143
"AAAS","8086","aladin WD repeat nucleoporin",10.7174195705444,10.4255874573758,10.0349246935444,10.0662122239539,10.0833075697597,9.91014729329399
"AACS","65985","acetoacetyl-CoA synthetase",8.62977125214737,8.60909466342213,8.84762213715215,8.46190487896844,8.15778890410465,8.18546298393132
"AADAC","13","arylacetamide deacetylase",3.27631595582044,3.28903524775003,3.29168566699033,3.27957928385503,3.31543173261038,3.09515536465813
"AADACL2","344752","arylacetamide deacetylase like 2",4.56599346093945,4.39717071056088,4.58164251511046,4.33774244571486,4.20823877165778,4.06232920721297
