GeneID	log2FC	FC	Control_Mean	Treat_Mean	PValue	AdjPValue	Significant	Direction
ACSL4	0.447117536689279	1.36331367222953	3.08829684868688	3.53541438537616	0.00329845735055423	0.049641036868522	TRUE	Up
ACTG1	0.38152492573453	1.30271809836076	8.93731358445517	9.3188385101897	0.000365781438689817	0.0108691215350521	TRUE	Up
AKR1A1	0.517727350025534	1.4316981439236	5.03408695906645	5.55181430909198	0.000770872907179082	0.0186241401158181	TRUE	Up
APOC1	0.577906948012452	1.49268210410276	5.93606750775905	6.5139744557715	0.000975214576993671	0.0216237578872063	TRUE	Up
ARF4	0.47648657685165	1.39135115271603	5.92403275439076	6.40051933124241	4.0285162065584e-06	0.000794115689521531	TRUE	Up
ARL1	0.501770485364534	1.41595016043422	4.59391680372742	5.09568728909196	0.00175165352635819	0.0324869867769554	TRUE	Up
ARMCX6	0.477572262612858	1.39239859421778	2.86596598581159	3.34353824842445	0.00137330032821595	0.0274055813498776	TRUE	Up
ASAH1	0.749094056205617	1.68073707620178	4.31327164729156	5.06236570349718	0.000499661944830756	0.0138106007909177	TRUE	Up
ATP6V1E1	0.441179552352709	1.35771394529327	4.75508185395372	5.19626140630643	0.00155684251012836	0.0299887539885343	TRUE	Up
ATR	0.543542871865158	1.45754747140855	0.0948847151033296	0.638427586968488	0.000697154645927775	0.0173040026295207	TRUE	Up
B3GNT2	0.495158691254413	1.40947578387144	1.10043859434192	1.59559728559633	5.75761258247921e-05	0.00303965388084537	TRUE	Up
CBX1	0.745718607145408	1.67680928092813	1.95126989217148	2.69698849931689	0.00181642365354216	0.0331338995653582	TRUE	Up
CCNG1	0.500712482981225	1.41491215210454	5.35925620063731	5.85996868361853	0.00293656275703896	0.0457114246329715	TRUE	Up
CCNT2	0.580880106696868	1.49576144987888	1.55890789709138	2.13978800378824	0.00166062066250202	0.0314415046877517	TRUE	Up
CD164	0.477840880580453	1.392657871537	5.46200698966379	5.93984787024424	0.000272374069822332	0.00891065071700729	TRUE	Up
CD83	0.738695143756565	1.66866591884838	1.33296873706653	2.07166388082309	0.00203815003705633	0.0358671271071395	TRUE	Up
CLU	0.459785821566207	1.37533762424126	5.61075409123668	6.07053991280288	0.00126323081659991	0.0258819652731702	TRUE	Up
COX7A2L	0.45230571613488	1.36822520869508	6.1454492580555	6.59775497419038	0.000630080337389378	0.0161618036156072	TRUE	Up
CRYAB	0.835476375844263	1.7844461631481	2.42877771420483	3.2642540900491	0.00215375995749211	0.0372447432510506	TRUE	Up
CTDSP1	0.608417050759229	1.52458549009458	1.80805781996918	2.41647487072841	0.000511816241754408	0.0139227550111244	TRUE	Up
DAXX	0.746581687731052	1.67781271857488	3.25936776034578	4.00594944807683	0.00180361803242107	0.0330211022522889	TRUE	Up
DDIT3	0.69968210189223	1.62414687222906	2.45922114168528	3.15890324357751	0.00163374167811102	0.0310504275508415	TRUE	Up
DOK5	0.711043089410284	1.63698725484623	0.20729707101048	0.918340160420764	0.00162141722425266	0.0308750020297577	TRUE	Up
DPCD	0.48847547743584	1.40296155669501	3.61997887653332	4.10845435396916	0.000906692837231862	0.0206893487973237	TRUE	Up
DYNC1H1	0.561378466831334	1.47567852580517	3.16977938347997	3.73115785031131	0.00304108800196942	0.046754970853083	TRUE	Up
ELOVL3	0.643095260735157	1.56167609883037	0.310128631092575	0.953223891827731	0.00122427185982042	0.0254495512860169	TRUE	Up
EMC3	0.380924100347502	1.302175680786	4.36667459340566	4.74759869375316	0.0001036319984701	0.00438152576582481	TRUE	Up
ENPP5	0.596491636182066	1.5120351061594	0.812615624385924	1.40910726056799	0.00299030375841477	0.0463311349401592	TRUE	Up
FTL	0.528237292535874	1.44216605748307	11.2614596755629	11.7896969680988	0.000246215912751936	0.00827185985669634	TRUE	Up
GNA13	0.504115436870598	1.41825351232751	3.0409056922746	3.5450211291452	0.000849823338996921	0.0198249883889754	TRUE	Up
GNAI1	0.519043251124882	1.43300461034077	1.63903372410183	2.15807697522671	0.000783984446598264	0.0187788436296283	TRUE	Up
GOLT1B	0.478874916717373	1.39365640187173	2.9983610121366	3.47723592885397	0.00284879663749691	0.0449056759067048	TRUE	Up
GPN1	0.575386501698265	1.49007660499545	2.97339792117927	3.54878442287754	0.000138550834783024	0.00539251656413742	TRUE	Up
GPNMB	1.18565358278191	2.27466420207761	2.55039677006952	3.73605035285142	0.000405548469467862	0.0118263058303982	TRUE	Up
GTF2E2	0.624650777052702	1.54183755855997	1.31965342722513	1.94430420427784	0.000128804643133913	0.00514085091676073	TRUE	Up
IDH1	0.394108821941938	1.31413074779688	4.8842746563655	5.27838347830744	0.000876257707981409	0.0202391190051817	TRUE	Up
IFI30	0.813612455026408	1.75760692000426	5.73437748357576	6.54798993860217	0.000682422956623588	0.0171085835708296	TRUE	Up
LAMTOR4	0.413905516705403	1.33228756961709	5.23432639851712	5.64823191522252	0.00191790254668813	0.0344187618900255	TRUE	Up
LCMT1	0.573951613681303	1.48859532856819	5.33574155382995	5.90969316751125	1.04124473553514e-05	0.00116826974542608	TRUE	Up
LYVE1	0.535255447766188	1.44919873116755	0.576161112610518	1.11141656037671	0.00168388821330989	0.0317615058457581	TRUE	Up
MAGED2	0.470704975381143	1.38578646959965	7.22552252926054	7.69622750464168	0.000556213034770847	0.0148790714770604	TRUE	Up
MAPK1	0.419788953914615	1.33773184903195	2.93416912039443	3.35395807430905	0.00239435449313563	0.0400265984343006	TRUE	Up
MED8	0.436900584582615	1.35369299350901	3.73757378408283	4.17447436866544	0.000753441930648606	0.018313059317647	TRUE	Up
