"Sample","GSM_ID","Exposure","Age_PCW","DevStage","Outlier","Condition","Age_Group","Donor"
"testis_10-12GW_Ctrl_DMSO_EH3840","GSM6997438","DMSO","8+4","8-10PCW","no","Control","10-12GW","EH3840"
"testis_10-12GW_Ctrl_DMSO_EH4138","GSM6997439","DMSO","8+6","8-10PCW","no","Control","10-12GW","EH4138"
"testis_10-12GW_Ctrl_DMSO_EH4112","GSM6997440","DMSO","9+0","8-10PCW","no","Control","10-12GW","EH4112"
"testis_10-12GW_Ctrl_DMSO_EH4111","GSM6997441","DMSO","9+1","8-10PCW","no","Control","10-12GW","EH4111"
"testis_10-12GW_Ctrl_DMSO_EH4142","GSM6997442","DMSO","9+2","8-10PCW","no","Control","10-12GW","EH4142"
"testis_10-12GW_Ctrl_DMSO_EH4155","GSM6997443","DMSO","9+2","8-10PCW","no","Control","10-12GW","EH4155"
"testis_10-12GW_Ctrl_DMSO_EH4174","GSM6997444","DMSO","9+2","8-10PCW","no","Control","10-12GW","EH4174"
"testis_10-12GW_Ctrl_DMSO_EH4026","GSM6997445","DMSO","9+3","8-10PCW","no","Control","10-12GW","EH4026"
"testis_10-12GW_Ctrl_DMSO_EH4072","GSM6997446","DMSO","9+6","8-10PCW","no","Control","10-12GW","EH4072"
"testis_10-12GW_Ctrl_DMSO_EH4105","GSM6997447","DMSO","9+6","8-10PCW","no","Control","10-12GW","EH4105"
"testis_12-14GW_Ctrl_DMSO_EH4114","GSM6997448","DMSO","10+1","10-12PCW","no","Control","12-14GW","EH4114"
"testis_12-14GW_Ctrl_DMSO_EH3265","GSM6997449","DMSO","11+0","10-12PCW","no","Control","12-14GW","EH3265"
"testis_12-14GW_Ctrl_DMSO_EH4109","GSM6997450","DMSO","11+2","10-12PCW","no","Control","12-14GW","EH4109"
"testis_12-14GW_Ctrl_DMSO_EH4168","GSM6997451","DMSO","11+2","10-12PCW","no","Control","12-14GW","EH4168"
