"Sample","Total_UMIs","Genes_Detected","Median_Expression","Mean_Expression","GSM_ID","Exposure","Age_PCW","DevStage","Outlier","Condition","Age_Group","Donor"
"testis_10-12GW_CBD-THC_EH3417",615850,9751,10,61.7207857286029,"GSM6997539","CBD-THC","8+6","8-10PCW","no","CBD-THC","10-12GW","EH3417"
"testis_10-12GW_CBD-THC_EH4072",132102,7619,2,13.2393265183403,"GSM6997545","CBD-THC","9+6","8-10PCW","no","CBD-THC","10-12GW","EH4072"
"testis_10-12GW_CBD-THC_EH4080",203049,7441,2,20.3496692723993,"GSM6997546","CBD-THC","9+6","8-10PCW","no","CBD-THC","10-12GW","EH4080"
"testis_10-12GW_CBD-THC_EH4105",147139,7123,1,14.746341952295,"GSM6997547","CBD-THC","9+6","8-10PCW","no","CBD-THC","10-12GW","EH4105"
"testis_10-12GW_CBD-THC_EH4111",168602,7423,2,16.8973742232912,"GSM6997542","CBD-THC","9+1","8-10PCW","no","CBD-THC","10-12GW","EH4111"
"testis_10-12GW_CBD-THC_EH4112",148522,7246,2,14.8849468831429,"GSM6997541","CBD-THC","9+0","8-10PCW","no","CBD-THC","10-12GW","EH4112"
"testis_10-12GW_CBD-THC_EH4142",757007,9531,7,75.8676087392263,"GSM6997543","CBD-THC","9+2","8-10PCW","no","CBD-THC","10-12GW","EH4142"
"testis_10-12GW_CBD-THC_EH4147",254686,8333,3,25.5247544598116,"GSM6997538","CBD-THC","8+1","8-10PCW","no","CBD-THC","10-12GW","EH4147"
"testis_10-12GW_CBD-THC_EH4155",431049,9007,4,43.199939867709,"GSM6997544","CBD-THC","9+2","8-10PCW","no","CBD-THC","10-12GW","EH4155"
"testis_10-12GW_CBD_EH3840",668452,9706,9,66.992583684105,"GSM6997498","CBD","8+4","8-10PCW","no","CBD","10-12GW","EH3840"
"testis_10-12GW_CBD_EH4026",485542,9602,7,48.661254760473,"GSM6997505","CBD","9+3","8-10PCW","no","CBD","10-12GW","EH4026"
"testis_10-12GW_CBD_EH4072",461337,9095,5,46.2354179194227,"GSM6997506","CBD","9+6","8-10PCW","no","CBD","10-12GW","EH4072"
"testis_10-12GW_CBD_EH4105",399341,8651,4,40.0221487271998,"GSM6997507","CBD","9+6","8-10PCW","no","CBD","10-12GW","EH4105"
"testis_10-12GW_CBD_EH4111",378945,8852,4,37.9780517137703,"GSM6997501","CBD","9+1","8-10PCW","no","CBD","10-12GW","EH4111"
"testis_10-12GW_CBD_EH4112",458714,8990,4,45.9725395870916,"GSM6997500","CBD","9+0","8-10PCW","no","CBD","10-12GW","EH4112"
"testis_10-12GW_CBD_EH4138",467377,8858,4,46.8407496492283,"GSM6997499","CBD","8+6","8-10PCW","no","CBD","10-12GW","EH4138"
"testis_10-12GW_CBD_EH4142",476584,9048,5,47.7634796552415,"GSM6997502","CBD","9+2","8-10PCW","no","CBD","10-12GW","EH4142"
