SYMBOL	ENTREZID	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
A1CF	29974	APOBEC1 complementation factor	0.16471342412271	5.62381719618688	2.02018288692171	0.0788614200208346	0.483358025901895	-4.36298062461896
A2M	2	alpha-2-macroglobulin	0.0360253982513475	10.8226187337179	0.0837843176186797	0.935639020749881	0.983588237930811	-6.09987814595124
A2ML1	144568	alpha-2-macroglobulin like 1	-0.00164320680750134	6.0123642949044	-0.0190792521472475	0.98525578966454	0.995549736650358	-6.10350947891158
A3GALT2	127550	alpha 1,3-galactosyltransferase 2	-0.0900804441737633	6.29487340916831	-0.87827061690597	0.405977914323083	0.793994507909321	-5.71007683366293
A4GNT	51146	alpha-1,4-N-acetylglucosaminyltransferase	0.0493045581311849	5.15729014988901	0.423105990433763	0.683615717199565	0.912589498998814	-6.00882309471683
AACS	65985	acetoacetyl-CoA synthetase	-0.12623992236076	8.48194080328767	-1.04366559414063	0.327833437809315	0.741742670117722	-5.55857613215869
AADAC	NA	NA	-0.0732211530526514	3.25786720861406	-0.961275441091527	0.365196463472878	0.765434371265671	-5.63657949511673
AADACL4	NA	NA	0.155270420839115	5.2571872534017	1.58081926372305	0.153450152595613	0.590614374783387	-4.94924709818388
AADAT	NA	NA	-0.0347477393531645	10.3191914061499	-0.342111431098197	0.741281475588813	0.932341266859091	-6.04141773144592
AAGAB	79719	alpha and gamma adaptin binding protein	0.288246131466145	8.55837371712653	2.75271912829737	0.02550436189034	0.355560659968697	-3.32028781977663
AAK1	22848	AP2 associated kinase 1	0.573726478542589	10.0932748057176	3.16914485217136	0.0137038383010524	0.31573272775515	-2.73387953718445
AAMDC	28971	adipogenesis associated Mth938 domain containing	0.261876652492521	7.3288944988456	2.70926281555988	0.02725640099928	0.359698036857551	-3.38253429002067
AAMP	14	angio associated migratory cell protein	0.0734229443895446	9.68583785685692	0.645670512501871	0.536977611609963	0.859208639566345	-5.88614297416959
AANAT	15	aralkylamine N-acetyltransferase	-0.0501182265686525	6.64653770574291	-0.538385022500484	0.605295529999045	0.886296922438462	-5.95118815027316
AAR2	25980	AAR2 splicing factor	0.154537964776292	10.1315426696037	1.62091026210136	0.144572853950029	0.5785025013545	-4.89821682940201
AARD	441376	alanine and arginine rich domain containing protein	0.018944162731151	6.43603476546424	0.177239234021329	0.863825988983016	0.969359024167916	-6.08689124261571
AARS1	16	alanyl-tRNA synthetase 1	0.61911048852236	11.2936516219773	4.59042899586884	0.00188700063608131	0.216412300917296	-0.887093235894292
AARS2	NA	NA	-0.0097641045889283	7.63651503270792	-0.108514930870088	0.916320454822609	0.981890399887913	-6.0973938705491
AASDH	132949	aminoadipate-semialdehyde dehydrogenase	-0.12691286867997	7.97481899021581	-1.1175636223074	0.296915907733875	0.72389080476482	-5.4845971660196
AASDHPPT	60496	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	-0.113229705455178	10.6589243269608	-1.04275709168421	0.328228678606075	0.741742670117722	-5.55946253539435
AASS	10157	aminoadipate-semialdehyde synthase	-0.187865902774218	10.5618825615685	-1.88410036436406	0.0971526694047653	0.517651237868162	-4.55005516395629
AATBC	NA	NA	-0.0417018036682731	6.95068415154922	-0.441757896980843	0.670627566283887	0.908242346667492	-6.00038305921691
AATF	26574	apoptosis antagonizing transcription factor	0.124243558597868	10.8311756188211	1.1841476655449	0.271103169391785	0.705412201116659	-5.41489032393631
AATK	9625	apoptosis associated tyrosine kinase	-0.0887021142975748	7.62725477203148	-0.959845487854771	0.36587223317739	0.765875301431692	-5.63788981849653
ABCA10	NA	NA	0.0317486026662996	4.90719024725709	0.332623577952344	0.748161358374342	0.934064771334168	-6.04479966597821
ABCA11P	79963	ATP binding cassette subfamily A member 11, pseudogene	-0.04381044452578	6.27432618772124	-0.276417661189186	0.789419179570823	0.948431808840917	-6.06291629009403
ABCA13	154664	ATP binding cassette subfamily A member 13	0.290175790152173	6.67542779131597	1.65098332607961	0.139358755457414	0.572648864904782	-4.86063198265351
ABCA2	20	ATP binding cassette subfamily A member 2	-0.203722603221669	9.02184807223165	-0.866003827078627	0.413947422664876	0.799195466899859	-5.71877311374347
ABCA3	21	ATP binding cassette subfamily A member 3	0.0323986622665071	9.49826284941828	0.211493956471051	0.837910626983171	0.963742752736165	-6.07978548458733
ABCA4	24	ATP binding cassette subfamily A member 4	0.186627220448785	5.81183884602389	2.23008577207446	0.0570470679414406	0.441316540781099	-4.06816189323359
ABCA5	23461	ATP binding cassette subfamily A member 5	0.241889941109635	6.65543336419138	0.653618139772028	0.53480956290292	0.858731418334785	-5.87806271611881
ABCA6	23460	ATP binding cassette subfamily A member 6	0.0751284937319063	5.18390548231586	0.555231445108505	0.594261646716882	0.884061779017218	-5.94168847369205
ABCA7	10347	ATP binding cassette subfamily A member 7	0.0163641382679872	7.06277131274688	0.13401732224811	0.896774382356132	0.978464870289701	-6.0940830447565
ABCA8	10351	ATP binding cassette subfamily A member 8	-0.536460183360893	7.82312192940651	-2.21646021826182	0.06109737648688	0.450366526149596	-4.10532990964496
ABCA9	NA	NA	0.00596139698145553	5.02711431992465	0.0755148280699766	0.941701568284307	0.985628154066788	-6.1006473336465
ABCB1	5243	ATP binding cassette subfamily B member 1	0.295848358161158	6.16212112918107	1.39876750961327	0.203263707692355	0.642060912710837	-5.17229916458349
ABCB10	23456	ATP binding cassette subfamily B member 10	-0.142833521662213	8.92769179357362	-1.21702586095895	0.259052696280338	0.697362821607875	-5.37945916788377
ABCB4	5244	ATP binding cassette subfamily B member 4	-0.0232087224687511	8.29563883641565	-0.171319585399318	0.868323378021605	0.970127147982225	-6.0879934325225
ABCB8	NA	NA	-0.136590888080945	8.06897624215908	-1.51100476136181	0.170100406383533	0.609498170844002	-5.03660237783021
ABCB9	NA	NA	-0.110009610585848	7.14411318902831	-1.23616542310098	0.252244850685101	0.690633765138336	-5.3585371565227
ABCC1	4363	ATP binding cassette subfamily C member 1	0.434274599842243	8.89289727800862	2.59871408939294	0.0322936738806033	0.379388534203654	-3.54109427055707
ABCC10	89845	ATP binding cassette subfamily C member 10	0.0437196397673985	8.27306948805108	0.411877065710012	0.691489897521974	0.914861645467288	-6.01373687908676
ABCC11	NA	NA	-0.0211068587257318	6.38271213060909	-0.193569772589158	0.851447018186529	0.965855609781936	-6.08365828786717
ABCC12	94160	ATP binding cassette subfamily C member 12	0.0432447647698001	5.71522792633586	0.478592037327332	0.645326069271674	0.899396627671156	-5.98270419400786
ABCC3	8714	ATP binding cassette subfamily C member 3	0.2758319046738	6.49159243780289	2.16151803188793	0.0634226238551196	0.454994786450185	-4.16512966089662
ABCC4	10257	ATP binding cassette subfamily C member 4	0.0256647664537903	9.17791069006432	0.164256426642357	0.873696231834309	0.971383374660298	-6.08925992615136
ABCC5	10057	ATP binding cassette subfamily C member 5	-0.324881330526893	8.72416493520602	-2.21462088526913	0.0584270689551826	0.443062158632592	-4.09007848056453
ABCC6P2	730013	ATP binding cassette subfamily C member 6 pseudogene 2	-0.00351807171111513	8.34066922899358	-0.023407777189507	0.981911384287581	0.994774466750977	-6.10341084615381
ABCC8	NA	NA	-0.0764316868521147	7.24802666895152	-0.818590400655363	0.437257526877651	0.810673761291768	-5.7595855923983
ABCC9	NA	NA	0.0624399487903587	4.9122291312665	0.851831749232494	0.419633253437808	0.802248859517933	-5.73236276709699
ABCD2	225	ATP binding cassette subfamily D member 2	-0.876654524387279	7.44427941604368	-4.56621113721555	0.00214894084108495	0.220743493832436	-0.988507648179788
ABCD3	5825	ATP binding cassette subfamily D member 3	-0.228378627764604	10.1991096350825	-1.73050944951795	0.122663701423403	0.553287567175598	-4.75579911718732
ABCF1	NA	NA	-0.00662820059766751	10.1671397409786	-0.0704429243192349	0.945609584712121	0.986173706937256	-6.10104410381342
ABCF2-H2BK1	114483834	ABCF2-H2BK1 readthrough	0.203829511884194	9.92772753042112	2.19315737321139	0.0603974440997513	0.448269076227631	-4.12045299836231
ABCF3	55324	ATP binding cassette subfamily F member 3	0.142126830517285	10.4509575572998	0.714466933581921	0.496657900197703	0.840396343143255	-5.83790006844308
ABCG1	9619	ATP binding cassette subfamily G member 1	-0.0519889378486713	7.65557991687595	-0.247168178068787	0.811512586512517	0.956394617127879	-6.0708603524944
ABCG2	9429	ATP binding cassette subfamily G member 2 (Junior blood group)	-0.0972197064528928	7.57511777140743	-0.416344992940449	0.689229772431264	0.914204076249789	-6.01104370645712
ABCG4	64137	ATP binding cassette subfamily G member 4	0.0411063783298797	7.38734207586806	0.443991286051398	0.66908014551747	0.907844396147102	-5.99934926825212
ABCG5	64240	ATP binding cassette subfamily G member 5	0.00421468629722346	5.76896452014362	0.0475837431328749	0.963241000207859	0.990666968015799	-6.1024904817039
ABHD1	84696	abhydrolase domain containing 1	-0.0186361415933744	7.02814004121302	-0.196286577343678	0.849391769308256	0.965842656186057	-6.0830930835142
ABHD10	55347	abhydrolase domain containing 10, depalmitoylase	-0.139621661576234	9.20718323308593	-0.67598423446677	0.519171417618103	0.850547132171755	-5.86518328779516
ABHD11	NA	NA	0.116421301902468	9.79047283321588	1.22804805633673	0.255113701258788	0.693175915489687	-5.36743672939863
ABHD12	NA	NA	0.0269535476316735	10.2279886937453	0.296595620570971	0.774501427049508	0.942205540404625	-6.05679858070038
ABHD12B	NA	NA	-0.235040630022353	5.56630646081765	-3.14604212862464	0.0140849353946685	0.31573272775515	-2.76209780594746
ABHD13	84945	abhydrolase domain containing 13	0.183613483172492	10.4014756795223	1.61506548558838	0.14583707112276	0.580494623985034	-4.90569394400844
ABHD14A-ACY1	100526760	ABHD14A-ACY1 readthrough	-0.648592798759456	10.0487578418838	-3.20405626812616	0.0136052538542002	0.31573272775515	-2.71196772203186
ABHD14B	84836	abhydrolase domain containing 14B	0.178471246555457	8.53644820351215	1.65919926690953	0.136537221438677	0.570238803945048	-4.84892907225174
ABHD15	NA	NA	-0.17188833112232	8.31669251668868	-1.7773084387495	0.114287311757704	0.543541567310061	-4.69380786698626
ABHD16A	NA	NA	-0.0462108355732306	9.19087220198682	-0.488462166297828	0.638627400059568	0.896502279571499	-5.97774065215635
ABHD16B	140701	abhydrolase domain containing 16B	0.0758412378731599	6.88365932623023	0.762504193369202	0.468137487908717	0.825889381178714	-5.80345206569412
ABHD17A	NA	NA	-0.0999160093166573	9.96677281799453	-0.989377208289347	0.352105815394518	0.759271231008093	-5.61052326812048
ABHD17B	51104	abhydrolase domain containing 17B, depalmitoylase	-0.263163332541526	8.66640644192844	-1.74645762444302	0.119746507999753	0.551307694371668	-4.73474787092639
ABHD17C	NA	NA	0.0318782461902203	9.71035836050066	0.306467049097225	0.767251592727992	0.93993315356262	-6.05364412856676
ABHD18	80167	abhydrolase domain containing 18	0.160286861329441	8.42349273479361	1.14734159408906	0.285135935577596	0.71525828289103	-5.45376888801131
ABHD2	11057	abhydrolase domain containing 2, acylglycerol lipase	-0.0888431256819025	10.669705212032	-0.694136248338298	0.507693565914138	0.845544084271416	-5.85330016081436
ABHD3	171586	abhydrolase domain containing 3, phospholipase	-0.0666032796650164	8.68192294045161	-0.5112841017165	0.623274382929112	0.892031427548788	-5.965900840461
ABHD4	63874	abhydrolase domain containing 4, N-acyl phospholipase B	0.314340967634898	10.3053538193161	2.31374430621616	0.0501260193175492	0.429507732940054	-3.94920695754857
ABHD5	51099	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	0.438966779860196	10.7549353364296	2.9685373330707	0.018378685283455	0.332680567400542	-3.01255374855122
ABHD6	57406	abhydrolase domain containing 6, acylglycerol lipase	0.164667741916973	9.24457735625938	1.2254594541435	0.256034275354988	0.693850763318623	-5.37026666848907
ABHD8	79575	abhydrolase domain containing 8	0.0660575420155551	7.973173114876	0.598628375893005	0.566355868865087	0.874154210017868	-5.91598286287642
ABI1	10006	abl interactor 1	0.211481630556268	10.3979820548339	1.20044873111623	0.265195020478622	0.701319708621195	-5.39732990509007
ABI2	10152	abl interactor 2	-0.105467422489621	11.7143788531945	-0.977039161009232	0.357808826723075	0.761302461715164	-5.62203449078731
ABI3	51225	ABI family member 3	-0.0553245677318877	6.83169826586856	-0.593082872133416	0.569879490131504	0.875959969596573	-5.91936593460661
ABI3BP	25890	ABI family member 3 binding protein	-0.0358172451228303	5.81423083037969	-0.239945561778749	0.81654364143901	0.957944780064016	-6.07294342795493
ABITRAM	54942	actin binding transcription modulator	0.267069415302288	9.86664466310256	2.24529950178087	0.0557211198341114	0.43861940561882	-4.04657719161454
ABL2	27	ABL proto-oncogene 2, non-receptor tyrosine kinase	0.237065003949677	9.11389781720681	1.69421080782677	0.129552845990761	0.562130318354844	-4.80341387994005
ABLIM1	3983	actin binding LIM protein 1	-0.138263031615559	8.6775715657224	-1.32426203315475	0.222818490068594	0.661964898864947	-5.25955333876955
ABLIM3	22885	actin binding LIM protein family member 3	0.495307693002186	7.69408723630433	1.94513077761562	0.0925902239938807	0.511420676869756	-4.47899498871558
ABO	28	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	0.0712940010019804	7.20483506282339	0.690781626607953	0.509687698550015	0.845922900653058	-5.85564097149074
ABR	29	ABR activator of RhoGEF and GTPase	0.134673695766991	10.4729288376372	0.853942925445469	0.418531050596371	0.80159546804936	-5.73060367833056
ABRA	137735	actin binding Rho activating protein	0.0824972017177536	6.32486044223719	0.797405498940619	0.448753386867679	0.816107206325646	-5.77646318047042
ABRACL	58527	ABRA C-terminal like	-0.196107952683481	8.75782438531578	-0.906724739444106	0.392866325682107	0.783704954199404	-5.68425458445801
ABRAXAS1	84142	abraxas 1, BRCA1 A complex subunit	0.117082990607784	8.56910980413798	0.6558306349227	0.530754883522485	0.857598185756006	-5.87943278066784
ABRAXAS2	23172	abraxas 2, BRISC complex subunit	0.184789836709202	9.45821611455197	1.25679881866598	0.245073936648916	0.683477988792558	-5.3357437741678
ABT1	29777	activator of basal transcription 1	0.135210581916591	8.55758466831423	0.921237381191141	0.384472263440244	0.779460714926307	-5.67268903157971
ABTB2	25841	ankyrin repeat and BTB domain containing 2	-0.0711643506838367	7.70656404072123	-0.618322333972127	0.553944482726849	0.869086838132442	-5.90373804218567
ABTB3	NA	NA	-0.105130656219559	4.49919149402384	-0.748909519501498	0.475836896151805	0.829642315834771	-5.81368576995443
ACAA1	30	acetyl-CoA acyltransferase 1	-0.527217833802894	6.18009974902391	-2.63148384040162	0.0326563594881846	0.38131972634995	-3.5243786299551
ACAA2	10449	acetyl-CoA acyltransferase 2	-0.0811397812636254	8.69263480794089	-0.708610737701433	0.49914590815488	0.841243369587731	-5.84308617445578
ACACA	31	acetyl-CoA carboxylase alpha	-0.177397580796424	9.66251483770771	-1.62066535080972	0.144625625338625	0.5785025013545	-4.89853039226216
ACAD10	80724	acyl-CoA dehydrogenase family member 10	-0.232536652213999	8.10670624116914	-2.29505291266833	0.0515957166972107	0.431566438948124	-3.97583691878349
ACAD11	84129	acyl-CoA dehydrogenase family member 11	0.430249980757296	8.20077416722339	2.100393270701	0.0710240677804058	0.468605288412747	-4.25740952194912
ACAD8	27034	acyl-CoA dehydrogenase family member 8	-0.234174717127366	9.8805845799641	-2.03597357721958	0.0769687577822549	0.480450546592159	-4.34103518426928
ACADL	33	acyl-CoA dehydrogenase long chain	-0.267900539354239	5.70543458728956	-2.4751015676976	0.0390666238441828	0.39866006906341	-3.71843645619904
ACADM	34	acyl-CoA dehydrogenase medium chain	-0.159472964716811	10.9284903341243	-1.22025349102202	0.257894033957442	0.696222927853243	-5.37594605478909
ACADS	35	acyl-CoA dehydrogenase short chain	0.0286569585542554	8.49984219689884	0.217650879580506	0.833273922228988	0.963491360645065	-6.0783770285104
ACADSB	36	acyl-CoA dehydrogenase short/branched chain	-0.239967810778901	8.00050585337976	-1.48110211525218	0.177716841750532	0.619477826640499	-5.073394393904
ACAN	176	aggrecan	-0.0254914226395599	6.59864912799503	-0.199222499727257	0.847172142090986	0.965699369028939	-6.08247352960983
ACAP2	23527	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	0.273609467016784	10.3480599785317	2.23366228931976	0.0567325618028933	0.441156906455633	-4.06308975641087
ACAP3	116983	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	-0.78787734448363	9.22315029388705	-6.67832856441228	0.000173275057817491	0.111090730187232	1.2003092799869
ACAT1	38	acetyl-CoA acetyltransferase 1	-0.208188398210461	9.36645212944381	-1.76300975658794	0.116787758878752	0.546258848777734	-4.71281771841372
ACAT2	39	acetyl-CoA acetyltransferase 2	-0.591002521588522	9.64926080931406	-2.15353700825626	0.0683880544028295	0.463782801087119	-4.19865245012781
ACBD3	64746	acyl-CoA binding domain containing 3	0.298528163832142	10.9678704061337	2.68666402951007	0.0282160720669383	0.363214383143102	-3.41492794496354
ACBD6	84320	acyl-CoA binding domain containing 6	0.0755362301486056	7.59224111937955	0.749900176849781	0.475273025930468	0.829526243200076	-5.81294536392215
ACBD7	414149	acyl-CoA binding domain containing 7	-0.956603680568874	6.91360079121692	-4.26881302895601	0.00346236512878998	0.246837784758744	-1.40759348014799
ACD	65057	ACD shelterin complex subunit and telomerase recruitment factor	0.225132148412251	8.32817829731436	1.88437239604132	0.0971123236483979	0.517651237868162	-4.5496852577627
ACE	NA	NA	-0.0104325568800448	6.62537626578912	-0.130541348656953	0.899434404820401	0.978464870289701	-6.09457511971403
ACE2	59272	angiotensin converting enzyme 2	0.0275829978868222	5.62381953548358	0.249158752498702	0.80965860296577	0.956177679463051	-6.0705457563467
ACER1	125981	alkaline ceramidase 1	-0.0199004108197273	6.88773021668959	-0.180406185376826	0.861422096421354	0.969081215417688	-6.08628633963486
ACER2	340485	alkaline ceramidase 2	-0.127144069299785	7.55724093435065	-1.17289895079815	0.275330571445787	0.707703874585499	-5.42686171572752
ACER3	55331	alkaline ceramidase 3	-0.0241204016215534	9.48220494270415	-0.187130414316567	0.856323177458633	0.967911661360447	-6.08496677650437
ACHE	43	acetylcholinesterase (Cartwright blood group)	0.420490111088517	7.76891631485282	2.45982189704956	0.0399986762158583	0.402161691686236	-3.74033863699484
ACIN1	22985	apoptotic chromatin condensation inducer 1	-0.0656127881106961	9.35321354557413	-0.575310263711538	0.581256349005842	0.878802113876963	-5.93001483019234
ACKR1	2532	atypical chemokine receptor 1 (Duffy blood group)	-0.239814967877823	7.29649317365294	-1.09304633842147	0.309230994240855	0.731930515306951	-5.50769709895899
ACKR2	1238	atypical chemokine receptor 2	0.178262737064509	5.91200702520406	1.83452360337784	0.104779037850554	0.529814796160261	-4.61716398061841
ACKR3	57007	atypical chemokine receptor 3	-0.247159966825461	5.7685164915414	-1.82955803271613	0.105573552486602	0.531304401511352	-4.62385097680466
