,RNA_S_C1,RNA_S_C2,RNA_S_C3,RNA_R_C1,RNA_R_C2,RNA_R_C3,RNA_S_T1,RNA_S_T2,RNA_S_T3,RNA_R_T1,RNA_R_T2,RNA_R_T3
100287102,15.5530150830749,13.4608292050253,13.7705565001751,12.9156819042474,14.2716710695052,13.4273925289102,18.0359583672193,13.7784271571489,15.388265790154,13.1474802470011,13.4541703971422,15.6810016036437
653635,194.870130158526,176.913755266047,184.313602386959,272.305626814549,212.977245191077,226.027774236656,261.521396324679,225.375701356221,234.671053299848,231.959115786376,214.305714183051,253.836213458982
102466751,5.48929944108525,11.5378536043074,8.47418861549235,7.53414777747765,9.88038766350358,6.71369626445512,6.31258542852674,10.8259070520455,8.65589950696161,10.3301630512151,9.61012171224444,6.8604382015941
100996442,30.1911469259689,28.8446340107686,25.422565846477,35.5181252366803,27.4455212875099,27.9737344352296,22.5449479590241,21.6518141040911,29.8147649684233,36.6251235452173,32.6744138216311,38.2224414088814
729737,119.849704463695,100.95621903769,127.112829232385,130.233125867828,118.564651962043,109.6570389861,107.313952284955,86.6072564163644,85.5972284577315,93.9105731928648,103.78931449224,103.886635624139
102725121,9.14883240180875,6.73041460251267,8.47418861549235,7.53414777747765,9.88038766350358,6.71369626445512,14.4287666937754,9.84173368367777,9.61766611884623,11.2692687831438,8.64910954101999,8.82056340204956
102723897,172.912932394185,174.029291864971,164.187404425164,227.100740149683,203.096857527574,215.957229839973,255.208810896153,203.72388725213,210.626888002733,194.39488650923,205.656604642031,247.955837857615
112268260,5.48929944108525,7.69190240287163,5.29636788468272,9.68676142818555,7.68474596050279,6.71369626445512,3.60719167344385,3.93669347347111,6.73236628319236,13.1474802470011,14.4151825683667,11.7607512027327
100132287,78.6799586555552,76.9190240287163,93.2160747704158,97.9439211072094,81.2387430110294,82.8022539282798,87.4743980810134,59.0504021020666,62.5148297725005,64.7982955030767,68.2318641569355,81.3451958189015
113219467,3872.70075568564,3828.64442102935,3878.00056516469,3750.92928635852,3760.03641638886,4506.00914282679,3463.80580442446,4089.24034556811,3678.75729045868,4150.84733512462,3653.76827499534,4061.37941534371
100133331,94.2329737386301,85.5724142319469,103.808810539781,103.325455233979,83.4343847140302,82.8022539282798,81.1618126524867,61.0187488388022,71.1707292794621,57.2854496476475,65.3488276432622,81.3451958189015
