gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	entrez	symbol	ensgene	description
2250	5627.100667060877	-3.6624156180504666	0.2231438330349133	1.4017726700062777e-61	3.0136315260686246e-59	2250	FGF5	ENSG00000138675	fibroblast growth factor 5
6916	983.0646617192762	-3.9767548285222536	0.27084039059668763	7.300239097555542e-50	9.872395921524908e-48	6916	TBXAS1	ENSG00000059377	thromboxane A synthase 1
6201	2078.1397844769695	-3.425542587721857	0.23621046678764182	1.1462457761643628e-48	1.4672820931679543e-46	6201	RPS7	ENSG00000171863	ribosomal protein S7
6949	1100.7019859801737	-3.5154528853787985	0.24832971712245	1.639307461301267e-46	1.8085228170105885e-44	6949	TCOF1	ENSG00000070814	treacle ribosome biogenesis factor 1
9794	516.3523742555232	-4.176050745101571	0.30377255355672456	4.872130870573313e-44	4.7225874317135193e-42	9794	MAML1	ENSG00000161021	mastermind like transcriptional coactivator 1
1254	2762.2679122315476	-3.5503528940283973	0.26017452325352647	1.974733974274574e-43	1.8499616767938732e-41	1254	CMTX3	NA	Charcot-Marie-Tooth neuropathy, X-linked 3 (dominant)
9775	723.5554573798967	-3.6258769601706877	0.2684660158720157	1.3788977698757444e-42	1.2431578872605569e-40	9775	EIF4A3	ENSG00000141543	eukaryotic translation initiation factor 4A3
9275	515.4977586765135	-3.973567980200063	0.2946948304479705	1.8120416766855948e-42	1.6249265709273123e-40	9275	BCL7B	ENSG00000106635	BAF chromatin remodeling complex subunit BCL7B
6982	832.3321835571978	-3.5227381518631558	0.2618305525132261	2.7979012349765925e-42	2.4436461359022126e-40	6982	TRGV8	ENSG00000211696	T cell receptor gamma variable 8
7521	1288.7131199141681	-3.492540970922522	0.2627964068312663	2.5450643520041985e-41	2.1339092059379202e-39	7521	NA	NA	NA
11	157069.2378794538	-4.165924963744276	0.3163128915439081	1.0169152573945972e-40	8.318366805487805e-39	11	NATP	NA	N-acetyltransferase pseudogene
7633	1331.1654237899465	-3.261122411288891	0.24747929262130183	1.2197373844676394e-40	9.881051304414418e-39	7633	ZNF79	ENSG00000196152	zinc finger protein 79
10815	438.99744012519466	-4.300120935839352	0.3270053794754047	1.5537518201092998e-40	1.2526377053563869e-38	10815	CPLX1	ENSG00000168993	complexin 1
9760	644.1219429161843	-3.5386266689322534	0.27122804734299366	6.381686243177718e-40	4.931543622665768e-38	9760	TOX	ENSG00000198846	thymocyte selection associated high mobility group box
7864	748.1064314101308	-3.512297630317244	0.27346915830297414	8.913884409837578e-39	6.458871949374906e-37	7864	SCLC1	NA	small cell cancer of the lung
5243	802.5988584996309	-3.3591470663851855	0.26311085084270447	2.516094701051981e-38	1.7653720519640446e-36	5243	ABCB1	ENSG00000085563	ATP binding cassette subfamily B member 1
1182	7719.40675968878	-3.878013846320654	0.31001459317004054	5.641182176459828e-37	3.7096856438060735e-35	1182	CLCN3	ENSG00000109572	chloride voltage-gated channel 3
7901	411.8525028063163	-4.018679812425796	0.32499863252728917	3.769716962276415e-36	2.341273471867156e-34	7901	NA	NA	NA
10684	375.4805311559878	-3.697346703080652	0.3076328722265931	2.8325223685401443e-34	1.588580856122063e-32	10684	NA	NA	NA
4852	1044.6054139766422	-2.9952528479118334	0.24991846986931143	4.883850210522187e-34	2.6676639798125915e-32	4852	NPY	ENSG00000122585	neuropeptide Y
9573	421.14969227215914	-3.5003675328572683	0.2964699008278911	3.617119935226765e-33	1.889578946847901e-31	9573	GDF3	ENSG00000184344	growth differentiation factor 3
8530	672.6819908353291	-3.2871820056433934	0.278998796305161	5.01556567708486e-33	2.595864840710988e-31	8530	CST7	ENSG00000077984	cystatin F
5797	1043.1098263217884	-2.873729012648693	0.24506973674281182	1.1330699525171785e-32	5.775212776219017e-31	5797	PTPRM	ENSG00000173482	protein tyrosine phosphatase receptor type M
2861	2313.361989330756	-2.7823902858317036	0.23748344688951953	1.3089049661257672e-32	6.651220417261512e-31	2861	GPR37	ENSG00000170775	G protein-coupled receptor 37
8798	499.6340976746149	-3.534818203618844	0.3036275048954737	2.4475819598701072e-32	1.2107227694708502e-30	8798	DYRK4	ENSG00000010219	dual specificity tyrosine phosphorylation regulated kinase 4
7455	1079.2642817675346	-2.8840452628513367	0.24804748724045333	3.6515950204608405e-32	1.7852360611693247e-30	7455	ZAN	ENSG00000146839	zonadhesin
3762	2365.0478893783124	-3.5096844288715174	0.3033714883424006	5.479235714569331e-32	2.6402673476325605e-30	3762	KCNJ5	ENSG00000120457	potassium inwardly rectifying channel subfamily J member 5
526	7080.664336053301	-3.1339844531629852	0.2729417297350966	1.8015493210630484e-31	8.462235452354694e-30	526	ATP6V1B2	ENSG00000147416	ATPase H+ transporting V1 subunit B2
2532	4909.501020819001	-2.7218729164135973	0.2370261929564292	2.053131321783494e-31	9.590239313366967e-30	2532	ACKR1	ENSG00000213088	atypical chemokine receptor 1 (Duffy blood group)
9130	798.8232785896548	-3.0130029152609183	0.26421983872537563	4.579253507918895e-31	2.086671252018803e-29	9130	FAM50A	ENSG00000071859	family with sequence similarity 50 member A
7949	285.50328306629575	-3.8469108210145926	0.3395750272820944	9.657442997559614e-31	4.2956408919383864e-29	7949	NA	NA	NA
10324	416.3665984395503	-3.5169173895165025	0.31201512410475313	1.7742076612878054e-30	7.85004967602512e-29	10324	KLHL41	ENSG00000239474	kelch like family member 41
8916	415.31230572238604	-3.6404241458131024	0.3239669224867626	2.513635688018148e-30	1.1034334254548776e-28	8916	HERC3	ENSG00000138641	HECT and RLD domain containing E3 ubiquitin protein ligase 3
7806	957.4049533530966	-2.821564626932924	0.25070582489655896	2.7166503412473053e-30	1.1894388922291401e-28	7806	NA	NA	NA
5329	1350.5942615484962	-2.8206054783310845	0.25138809511695503	3.9945116585698784e-30	1.7443741146499556e-28	5329	PLAUR	ENSG00000011422	plasminogen activator, urokinase receptor
7898	1235.4460631161085	-2.8882727461378894	0.25797395171415216	5.051884682194209e-30	2.188545541027878e-28	7898	NA	NA	NA
335	16964.473931581702	-2.441148691842791	0.2191300842183995	1.296230809304662e-29	5.475187516682589e-28	335	APOA1	ENSG00000118137	apolipoprotein A1
10568	329.9997729615727	-3.9150949166248226	0.3529815900490665	1.3055019794686194e-29	5.500493139122935e-28	10568	SLC34A2	ENSG00000157765	solute carrier family 34 member 2
6696	1096.8689123378886	-3.0816073662984516	0.27962651464042065	3.327566187321169e-29	1.367646014587958e-27	6696	SPP1	ENSG00000118785	secreted phosphoprotein 1
10877	405.9046489828185	-3.187568181097003	0.2906451771884888	6.043783061283001e-29	2.4539515291683933e-27	10877	CFHR4	ENSG00000134365	complement factor H related 4
9051	413.12472208467324	-3.24785261241291	0.2973129650758511	9.571864774325081e-29	3.839966516762136e-27	9051	PSTPIP1	ENSG00000140368	proline-serine-threonine phosphatase interacting protein 1
9574	794.0481614874858	-2.78878411022017	0.2550824971865366	1.0055635198411538e-28	4.024414001006278e-27	9574	NA	NA	NA
9783	315.0117283523538	-3.5149348435605234	0.32237209124220106	1.1461365548287992e-28	4.576086639981937e-27	9783	RIMS3	ENSG00000117016	regulating synaptic membrane exocytosis 3
3322	2263.3193221122824	-2.5436158911670645	0.2342947638430668	2.6744315900437667e-28	1.0429661240335796e-26	3322	HSP90AA3P	NA	heat shock protein 90 alpha family class A member 3, pseudogene
9459	324.21983482246213	-4.17215987052276	0.38678391839498594	3.6206138370768407e-28	1.3989417841922016e-26	9459	ARHGEF6	ENSG00000129675	Rac/Cdc42 guanine nucleotide exchange factor 6
806	3231.650523767546	-2.62105297209982	0.24250448198904584	4.271146178109006e-28	1.63896682518787e-26	806	CALM2P2	NA	calmodulin 2 pseudogene 2
6433	552.8025912546452	-2.8964343820153466	0.26987361031975765	8.646949603278663e-28	3.295470406758634e-26	6433	SFSWAP	ENSG00000061936	splicing factor SWAP
7327	696.461554133042	-3.7758745681522434	0.3538987083384117	1.2370378783062662e-27	4.672046887684184e-26	7327	UBE2G2	ENSG00000184787	ubiquitin conjugating enzyme E2 G2
1481	4288.788285779138	-2.4286417014860144	0.22813261903263848	2.7717616651783928e-27	1.0215312387555269e-25	1481	CSTP2	ENSG00000277975	cystatin pseudogene 2
10282	569.9753917685689	-3.032969544843217	0.28760922043408205	6.066204805315755e-27	2.187616954415912e-25	10282	BET1	ENSG00000105829	Bet1 golgi vesicular membrane trafficking protein
10258	247.16441802068618	-3.6197102412006306	0.34468197319216815	8.97658077974176e-27	3.1824161330970312e-25	10258	NA	NA	NA
1106	4627.980228711513	-2.5359595030808997	0.2411672227452535	1.0439257417254608e-26	3.6931626082266355e-25	1106	CHD2	ENSG00000173575	chromodomain helicase DNA binding protein 2
10849	402.42722907163227	-3.4336565097747918	0.3287174292713363	1.544988055060148e-26	5.420063743787368e-25	10849	POLR1G	ENSG00000117877	RNA polymerase I subunit G
3753	1235.6697274069747	-2.5938918559859627	0.24788798795213995	1.7806261246378558e-26	6.156560718361279e-25	3753	KCNE1	ENSG00000180509	potassium voltage-gated channel subfamily E regulatory subunit 1
5017	915.024413240118	-3.0627991709927054	0.2936518998902973	1.9818166250544126e-26	6.824041680808511e-25	5017	OVOL1	ENSG00000172818	ovo like transcriptional repressor 1
7240	676.3419639313048	-2.7438207225932993	0.2628965306587848	2.1621183859275593e-26	7.429623609348206e-25	7240	TRV-CAC1-2	NA	tRNA-Val (anticodon CAC) 1-2
11432	210.9743595960939	-4.216283917393322	0.40529300847978983	2.5000189559474708e-26	8.520897941520963e-25	11432	NA	NA	NA
1875	1930.947207691768	-2.926852345270794	0.28134813068442455	2.792022543488108e-26	9.496840980071415e-25	1875	E2F5	ENSG00000133740	E2F transcription factor 5
9528	283.9686642538308	-3.5048934366668845	0.3376013632814547	3.052955039011132e-26	1.0321573195398724e-24	9528	TMEM59	ENSG00000116209	transmembrane protein 59
5753	1110.6091255933102	-2.5825286217868517	0.24907915351610585	4.7906602481382147e-26	1.600290472132066e-24	5753	PTK6	ENSG00000101213	protein tyrosine kinase 6
5746	1370.6024481253198	-2.5317496859591464	0.2441614817352032	4.8796332996246915e-26	1.6203281346813158e-24	5746	PTH2R	ENSG00000144407	parathyroid hormone 2 receptor
9562	595.8740375941337	-2.7738418212342797	0.26811154191183584	5.555712684502467e-26	1.8375492308958947e-24	9562	MINPP1	ENSG00000107789	multiple inositol-polyphosphate phosphatase 1
9675	268.5514722580097	-3.5943483780350474	0.34862072967557983	6.467463470067142e-26	2.1307052049028666e-24	9675	TTI1	ENSG00000101407	TELO2 interacting protein 1
9466	512.667579427959	-3.2502966651501266	0.3152795314056564	6.647369433187109e-26	2.185681137747346e-24	9466	IL27RA	ENSG00000104998	interleukin 27 receptor subunit alpha
