gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	entrez	symbol	ensgene	description
557	14827.711834927104	7.15771144303883	0.22969132210437487	2.4677214756686168e-214	4.1381221425487034e-210	557	NA	NA	NA
1165	9278.788085329954	8.479361799182932	0.2814958949145001	3.090044174859053e-200	2.590847538410573e-196	1165	NA	NA	NA
1186	10901.172406381978	7.014937757597873	0.23461434300640585	1.5016158003476343e-197	8.393531785343161e-194	1186	CLCN7	ENSG00000103249	chloride voltage-gated channel 7
192	13972.32303237148	6.885308320109672	0.240592853991005	3.0289462315703426e-181	1.269809983930077e-177	192	AIC	NA	Aicardi syndrome
554	6169.635876007715	7.432259751667735	0.26962224096580445	2.938724227412531e-168	9.855893313896147e-165	554	AVPR2	ENSG00000126895	arginine vasopressin receptor 2
1970	5576.488594501716	6.583886497710279	0.24569645012199764	2.832233252623418e-159	7.915619902207016e-156	1970	NA	NA	NA
3245	3333.999559015619	8.326732756353364	0.3180428840170985	8.740606730681973e-152	2.0938747752400857e-148	3245	NA	NA	NA
1589	3243.8929395220975	7.018100997063365	0.269887677200509	4.620995982369608e-150	9.686185203544495e-147	1589	CYP21A2	ENSG00000231852	cytochrome P450 family 21 subfamily A member 2
2763	4207.078779499862	6.867041767103149	0.2665185281081927	1.518971265055278e-147	2.830181015967995e-144	2763	NA	NA	NA
3646	2891.8587508063347	7.879624370233513	0.3070255436390351	4.471090213641713e-146	7.497571179255788e-143	3646	EIF3E	ENSG00000104408	eukaryotic translation initiation factor 3 subunit E
639	9316.703442247821	6.379354795331178	0.2536358510991909	8.939276399277551e-141	1.3627520539953204e-137	639	PRDM1	ENSG00000057657	PR/SET domain 1
1021	3350.3178435283708	6.245244810841337	0.2583187205815318	6.8138823558645894e-130	9.52183276879111e-127	1021	CDK6	ENSG00000105810	cyclin dependent kinase 6
289	14724.981233943852	5.478268801958742	0.23309487445836302	3.236044708121479e-123	4.174248746960699e-120	289	ANOP1	NA	anophthalmos 1 (with mental retardation, without limb anomalies or dental or urogenital abnormalities)
32	28791.24062644308	5.271738739453556	0.22781892536151382	2.004790242946914e-119	2.4013091131412e-116	32	ACACB	ENSG00000076555	acetyl-CoA carboxylase beta
2049	5886.493009191064	11.010712680287428	0.47716749232831673	4.273527391378703e-117	4.777518721735298e-114	2049	EPHB3	ENSG00000182580	EPH receptor B3
616	1574.8440825914145	7.889621311755838	0.3676342245973872	1.408601045788309e-102	1.4763019335515097e-99	616	BCRP4	ENSG00000215456	BCR pseudogene 4
188	1473.877313137621	5.961223197641925	0.2788383515421193	2.023103038263911e-102	1.9956126381557367e-99	188	NA	NA	NA
99	52427.44798710745	7.1456763916806665	0.33559432960125996	4.416866919058277e-102	4.114802298093792e-99	99	NA	NA	NA
2502	2252.436660796353	5.45540539736778	0.259980145757626	7.506655082165037e-99	6.6252157406750265e-96	2502	FTH1P10	ENSG00000223361	ferritin heavy chain 1 pseudogene 10
15	152072.68040967907	6.060498787811034	0.2883100418714457	1.1337771744084003e-98	9.506154718827233e-96	15	AANAT	ENSG00000129673	aralkylamine N-acetyltransferase
4693	1744.746396869461	6.799796552826386	0.32585165391488224	1.3569172364025084e-97	1.0835307208206506e-94	4693	NDP	ENSG00000124479	norrin cystine knot growth factor NDP
548	17957.56669335636	5.656417345551414	0.27324000748353244	2.092517474431815e-96	1.5949738876703232e-93	548	NA	NA	NA
2554	2614.712182915957	6.074895401006805	0.29857398033757004	4.477075952403032e-93	3.264177680254193e-90	2554	GABRA1	ENSG00000022355	gamma-aminobutyric acid type A receptor subunit alpha1
290	3371.6882231272693	4.626641661203935	0.23140952776780968	5.107504243806297e-90	3.568655777682825e-87	290	ANPEP	ENSG00000166825	alanyl aminopeptidase, membrane
210	12143.770501135394	4.764841620772873	0.23872641746929443	9.468994249835402e-90	6.351422583019594e-87	210	ALAD	ENSG00000148218	aminolevulinate dehydratase
494	13118.730881738236	5.887700071428186	0.2967221236548559	9.552384923191322e-89	6.1609208760382795e-86	494	NA	NA	NA
6950	1144.0053803297694	6.838631811020153	0.34410460626376926	1.283133219468448e-88	7.96920776195052e-86	6950	TCP1	ENSG00000120438	t-complex 1
1689	3839.356047526963	5.681004519642349	0.2875779181984242	5.717400709089971e-88	3.42411044609749e-85	1689	NA	NA	NA
581	5763.096728039919	5.053470594456632	0.25644764851941043	7.496036143581997e-88	4.3345182790250527e-85	581	BAX	ENSG00000087088	BCL2 associated X, apoptosis regulator
905	4081.180865523172	4.5110870845517	0.2287673726931903	1.2032366851798288e-87	6.725691991260183e-85	905	CCNT2	ENSG00000082258	cyclin T2
4344	1124.8450593091509	7.679767742884448	0.387939331865613	1.2451222461297362e-87	6.735308046886949e-85	4344	NA	NA	NA
956	4587.030950184499	4.740333908967535	0.24196960360593023	1.5596243951886852e-86	8.172919213412207e-84	956	ENTPD3	ENSG00000168032	ectonucleoside triphosphate diphosphohydrolase 3
3650	1145.000968540118	5.619361213280227	0.29094639469798184	4.112792925425091e-84	2.0899219565591922e-81	3650	NA	NA	NA
1634	2551.2598983028633	5.284444984974501	0.27558001051052095	5.045923977125095e-83	2.4886793874238446e-80	1634	DCN	ENSG00000011465	decorin
572	9010.55574294901	4.323418871356808	0.2256831883578117	7.25457394278139e-83	3.475770012757175e-80	572	BAD	ENSG00000002330	BCL2 associated agonist of cell death
1376	3788.8867334183856	4.450160395897294	0.2332796818010109	3.2739311848956465e-82	1.5250153344309748e-79	1376	CPT2	ENSG00000157184	carnitine palmitoyltransferase 2
1838	1062.354833318833	6.005217745554681	0.31566335205529966	1.172267143699494e-81	5.312904792620761e-79	1838	DTNB	ENSG00000138101	dystrobrevin beta
105	53650.855241693884	5.060123228280558	0.26911767662613695	3.9125902046852e-80	1.7265848721675296e-77	105	ADARB2	ENSG00000185736	adenosine deaminase RNA specific B2 (inactive)
1896	5687.341063964208	4.9536400101512195	0.26597736268546257	1.539120742638863e-78	6.617824547002845e-76	1896	EDA	ENSG00000158813	ectodysplasin A
