gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	entrez	symbol	ensgene	description
1	215990.42018287076	0.7588001773265408	0.22317734128502914	4.86817054024945e-4	0.001441793567457489	1	A1BG	ENSG00000121410	alpha-1-B glycoprotein
2	386567.2755208001	-1.9178965271493629	0.22978696580258107	1.5436644234983705e-17	2.570576833926929e-16	2	A2M	ENSG00000175899	alpha-2-macroglobulin
3	421003.62289695424	1.0692023123500454	0.23615763255843886	3.2102078080533437e-6	1.4077399250325972e-5	3	A2MP1	ENSG00000291190	alpha-2-macroglobulin pseudogene 1
4	144747.1074136776	2.633857962945542	0.30051443248752535	2.9684279903027287e-19	5.747987178912986e-18	4	NA	NA	NA
5	97704.36301060364	-0.3297013553283787	0.23588021544847773	0.158305602911295	0.23417666330447298	5	NA	NA	NA
6	14093.85327047789	1.0132935727200163	0.2775491598008982	1.2358802343598373e-4	4.145724274850993e-4	6	NA	NA	NA
7	64259.175855536516	2.0826005916380628	0.21884273111592661	4.941268748814368e-22	1.1922321676096136e-20	7	NA	NA	NA
8	85803.90064511131	-1.017613152831241	0.22083879066980205	2.2020929241003237e-6	9.897318746780576e-6	8	NA	NA	NA
9	116249.64800434004	-1.231319677388706	0.2603091954992528	9.620990931219385e-7	4.570379516306455e-6	9	NAT1	ENSG00000171428	N-acetyltransferase 1
10	196330.84610377278	-0.9013209628865055	0.21495091515601622	1.7081815935646438e-5	6.655319968049608e-5	10	NAT2	ENSG00000156006	N-acetyltransferase 2
11	157069.2378794538	-4.165924963744276	0.3163128915439081	1.0169152573945972e-40	8.318366805487805e-39	11	NATP	NA	N-acetyltransferase pseudogene
12	87345.34102689779	-1.1253823403861458	0.23249725754066577	8.609319720009302e-7	4.124848068138171e-6	12	SERPINA3	ENSG00000196136	serpin family A member 3
13	43036.9323479666	-0.7638771783928249	0.23350217271506757	6.883067717723627e-4	0.0019774226924534435	13	AADAC	ENSG00000114771	arylacetamide deacetylase
14	59926.886086895516	2.2432102548303936	0.24133265851000313	2.711132365290106e-21	6.244914647465631e-20	14	AAMP	ENSG00000127837	angio associated migratory cell protein
15	152072.68040967907	6.060498787811034	0.2883100418714457	1.1337771744084003e-98	9.506154718827233e-96	15	AANAT	ENSG00000129673	aralkylamine N-acetyltransferase
16	84425.18423108784	0.6391269996324906	0.21332079829213718	0.002290793681171977	0.005888154389879351	16	AARS1	ENSG00000090861	alanyl-tRNA synthetase 1
17	37011.976670415286	2.438155397064827	0.2441541147613195	2.8373751957357777e-24	8.246090928473702e-23	17	AAVS1	NA	adeno-associated virus integration site 1
18	13325.456277122554	-0.5553725621533387	0.22078393601847188	0.0097432274381357	0.021362994365860033	18	ABAT	ENSG00000183044	4-aminobutyrate aminotransferase
19	51135.01741946257	1.4315650555456938	0.2507629336001912	4.163745450747713e-9	2.7252867862446684e-8	19	ABCA1	ENSG00000165029	ATP binding cassette subfamily A member 1
20	41634.36141078346	0.19093016513659558	0.21972474813977638	0.3799228946963672	0.47959402447782157	20	ABCA2	ENSG00000107331	ATP binding cassette subfamily A member 2
21	10551.866082106078	1.9512715081277352	0.21993470904553813	1.4736609032975634e-19	2.9489044973027258e-18	21	ABCA3	ENSG00000167972	ATP binding cassette subfamily A member 3
22	108684.20052102947	-0.1913136647290296	0.22550927621849992	0.3757290309025768	0.4753017591434302	22	ABCB7	ENSG00000131269	ATP binding cassette subfamily B member 7
23	28086.787914370125	1.3542398522089114	0.2819763247035292	6.508890874305892e-7	3.1793647268055785e-6	23	ABCF1	ENSG00000204574	ATP binding cassette subfamily F member 1
24	41148.54645209323	0.12734149632075142	0.23059138301144175	0.5661660009180737	0.6560022403897273	24	ABCA4	ENSG00000198691	ATP binding cassette subfamily A member 4
25	17635.49607058181	0.9896847913616471	0.263958985108869	8.746862114373251e-5	3.009976006483174e-4	25	ABL1	ENSG00000097007	ABL proto-oncogene 1, non-receptor tyrosine kinase
26	37968.527610416364	0.8613680234544843	0.27036217728597384	7.539463926290804e-4	0.0021498680907495885	26	AOC1	ENSG00000002726	amine oxidase copper containing 1
27	48251.08076646078	0.5840749914377908	0.21412959867323492	0.005214691910441927	0.01232142717291823	27	ABL2	ENSG00000143322	ABL proto-oncogene 2, non-receptor tyrosine kinase
28	23059.917765830665	1.124811922332802	0.26349620815725305	9.517746007669539e-6	3.8823420774169425e-5	28	ABO	ENSG00000175164	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase
29	24867.570267470426	1.1317846955131656	0.25744149169272285	5.543672074793451e-6	2.3463361186827705e-5	29	ABR	ENSG00000159842	ABR activator of RhoGEF and GTPase
30	10694.250241420026	4.049518047982216	0.2410722348620947	2.0781259154702998e-64	5.201207981570366e-62	30	ACAA1	ENSG00000060971	acetyl-CoA acyltransferase 1
31	52305.90851219476	0.46569762518665164	0.222959382368913	0.03338597421033635	0.06221931557380865	31	ACACA	ENSG00000278540	acetyl-CoA carboxylase alpha
32	28791.24062644308	5.271738739453556	0.22781892536151382	2.004790242946914e-119	2.4013091131412e-116	32	ACACB	ENSG00000076555	acetyl-CoA carboxylase beta
33	58744.333473223625	1.3594992895887221	0.2283428286827243	1.0408652267858847e-9	7.3677792266663145e-9	33	ACADL	ENSG00000115361	acyl-CoA dehydrogenase long chain
34	32379.0528696778	1.6188887664497553	0.2680285864879423	3.534567632475664e-10	2.6249408604510367e-9	34	ACADM	ENSG00000117054	acyl-CoA dehydrogenase medium chain
35	35260.16023914403	1.0376530132978916	0.2834626959446091	1.4393443664188795e-4	4.7596856005675787e-4	35	ACADS	ENSG00000122971	acyl-CoA dehydrogenase short chain
36	25934.91615181027	-0.4120177048241043	0.21517541143223756	0.04923375905319656	0.08701574807719176	36	ACADSB	ENSG00000196177	acyl-CoA dehydrogenase short/branched chain
37	36413.00129477326	0.2815827054343508	0.21243248408895749	0.17647759318771938	0.2557560072737764	37	ACADVL	ENSG00000072778	acyl-CoA dehydrogenase very long chain
38	32172.150276333312	-0.6220450085766263	0.21420189338572088	0.0028398910802717127	0.007141891650431366	38	ACAT1	ENSG00000075239	acetyl-CoA acetyltransferase 1
39	15614.74270408857	0.008746595787938826	0.21614935149142556	0.9715063400527091	0.9813239046552109	39	ACAT2	ENSG00000120437	acetyl-CoA acetyltransferase 2
40	27560.05861309561	-0.899534881477015	0.24561719863989015	1.4524767170122718e-4	4.800272382258334e-4	40	ASIC2	ENSG00000108684	acid sensing ion channel subunit 2
41	47979.766676075145	0.4259555414489052	0.21370354035078903	0.045098256165817786	0.08075308677465012	41	ASIC1	ENSG00000110881	acid sensing ion channel subunit 1
42	22056.81616162859	2.991590285526519	0.23009620203581696	1.4425174088243741e-39	1.0896204697556725e-37	42	NA	NA	NA
43	1968.1242158274206	0.1686851790210586	0.2672143803331179	0.515055748387637	0.6099682731273268	43	ACHE	ENSG00000087085	acetylcholinesterase (Cartwright blood group)
44	36233.51244516346	-0.6838211310821581	0.25315197615097373	0.005069436029692266	0.012020740338064384	44	NA	NA	NA
45	32338.10251160138	-0.5652087308801736	0.2424621486098668	0.015014052428486073	0.03110968060957407	45	NA	NA	NA
46	21082.427951287733	1.2402775052167303	0.27322139201211226	2.844964663072985e-6	1.257438387851104e-5	46	ACLS	NA	acrocallosal syndrome
47	12.01031392792062	0.4503946767060606	0.7423882623892368	0.398191972902882	0.4981558634443769	47	ACLY	ENSG00000131473	ATP citrate lyase
48	20214.95264663925	0.12820234274595815	0.22445990238939922	0.5605136692028205	0.650782643416333	48	ACO1	ENSG00000122729	aconitase 1
49	39422.48127162173	-1.8915175331757395	0.28231992239998893	5.086572975752786e-12	4.821749136822977e-11	49	ACR	ENSG00000100312	acrosin
50	10397.738691644136	1.4073346075028303	0.22787661003758664	2.467661974569741e-10	1.869870024923632e-9	50	ACO2	ENSG00000100412	aconitase 2
51	14980.983087034889	3.2448730562883568	0.308118096910489	6.851753228036751e-27	2.4596246537269806e-25	51	ACOX1	ENSG00000161533	acyl-CoA oxidase 1
