gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	entrez	symbol	ensgene	description
791	6225.683599165205	-2.8021131970401685	0.07100593407696985	0	0	791	NA	NA	NA
3245	1208.3510444194087	-3.377221495370534	0.11761794186096594	2.5557677046759274e-182	7.055594778154528e-180	3245	NA	NA	NA
5298	2749.4517699680205	-2.511574054614067	0.08805408086676679	5.2832878159582975e-180	1.368777951088273e-177	5298	PI4KB	ENSG00000143393	phosphatidylinositol 4-kinase beta
2504	2471.227724251141	-2.2083189256629336	0.08564180346910649	1.162957656129989e-147	2.176022992136557e-145	2504	FTH1P12	NA	ferritin heavy chain 1 pseudogene 12
869	1258.1495397643748	-2.694027956918773	0.10710746273577529	1.1868860012366566e-140	2.0395061490638058e-138	869	CBLN1	ENSG00000102924	cerebellin 1 precursor
557	1287.926416215229	-2.5029991383083576	0.10558131174870093	2.6385087149683717e-125	3.897586557900647e-123	557	NA	NA	NA
4165	1288.7002751287212	-2.423127825250528	0.10568600373305359	2.1040165820247044e-117	2.8573902613948405e-115	4165	NA	NA	NA
1298	1728.7440096471387	-2.033561385131607	0.0895593389276146	3.926597528770553e-115	4.9717219837967e-113	1298	COL9A2	ENSG00000049089	collagen type IX alpha 2 chain
7469	970.783885473371	-2.6863870610624203	0.12155227654511087	2.8414958128896495e-109	3.393673013408631e-107	7469	NELFA	ENSG00000185049	negative elongation factor complex member A
3942	1412.5530962160292	-2.05381770500561	0.10111043720989699	1.0137126232476774e-92	9.483844764161604e-91	3942	NA	NA	NA
1781	1104.4410632479724	-2.102316897883205	0.10660393058648646	1.384721712288983e-87	1.1958314684587937e-85	1781	DYNC1I2	ENSG00000077380	dynein cytoplasmic 1 intermediate chain 2
2208	943.5675171404457	-2.247185076639002	0.11652099421850723	6.489697134886896e-84	5.331048768365626e-82	2208	FCER2	ENSG00000104921	Fc epsilon receptor II
4657	971.4675708465371	-2.1373513975805616	0.117517735959596	5.976313592019452e-75	4.158724003702792e-73	4657	MYP1	NA	myopia 1 (X-linked)
8948	494.2862698173739	-3.195239429653831	0.17757805115805894	2.16367875108777e-73	1.47515587725984e-71	8948	NA	NA	NA
8133	373.7346876465756	-3.3748138446844274	0.19639561041096057	3.455871678531175e-67	2.0784599666594638e-65	8133	NA	NA	NA
9453	823.832429726627	-2.0125133905214354	0.1184517620952455	1.0033656222494525e-65	5.786533246123555e-64	9453	GGPS1	ENSG00000152904	geranylgeranyl diphosphate synthase 1
9435	754.2470878933386	-2.1006274270588112	0.12509755629962502	2.7906115283507438e-64	1.5509537339084662e-62	9435	CHST2	ENSG00000175040	carbohydrate sulfotransferase 2
6896	611.0880691582869	-2.273175965513351	0.14086658280970102	1.2943504029921293e-59	6.46791121257788e-58	6896	TARBP2P1	NA	TARBP2 pseudogene 1
8938	717.3480051189647	-2.0072084107661157	0.12940777912456078	3.0666246129288388e-55	1.3995110699653562e-53	8938	BAIAP3	ENSG00000007516	BAI1 associated protein 3
8622	430.27203292906023	-2.542168637125262	0.16540310110037063	2.4254466038584165e-54	1.0720346669022501e-52	8622	PDE8B	ENSG00000113231	phosphodiesterase 8B
11571	319.647937667192	-2.858987570456688	0.1970195529745422	9.229922165117139e-49	3.508620525069359e-47	11571	NA	NA	NA
11231	358.326575348158	-2.597729029099749	0.18121832523673234	1.1988803457777241e-47	4.437174730307006e-46	11231	SEC63	ENSG00000025796	SEC63 homolog, protein translocation regulator
11257	289.0193833953097	-3.086322707019454	0.21833091306391098	2.200880459544688e-46	7.953396338783809e-45	11257	TP53TG1	ENSG00000182165	TP53 target 1
10277	318.8416903527327	-2.7300654882722086	0.19392969899008075	4.654836739646149e-46	1.6678180999072587e-44	10277	UBE4B	ENSG00000130939	ubiquitination factor E4B
4136	432.8907813504301	-2.342357200635618	0.17146467178951885	1.6607048254544503e-43	5.483582207971166e-42	4136	NA	NA	NA
8129	503.8949216265509	-2.0145797536161067	0.14944998761218214	2.080952462985758e-42	6.587075089601535e-41	8129	HBHR	NA	alpha-thalassemia/mental retardation syndrome, type 1
10863	389.38848184070434	-2.330284148186431	0.1733355235345933	3.091512874927225e-42	9.712887465256432e-41	10863	ADAM28	ENSG00000042980	ADAM metallopeptidase domain 28
12364	200.88903205538847	-3.6806025043998933	0.27865239166130634	9.019574993353793e-41	2.7269235707015775e-39	12364	NA	NA	NA
12137	234.8556949144548	-2.9791092716261813	0.23474664184246355	6.035535707989176e-38	1.6634766173901425e-36	12137	NA	NA	NA
9789	346.70456612812245	-2.3153688435487476	0.18443607633525194	3.5877204967431335e-37	9.666754106424698e-36	9789	SPCS2	ENSG00000118363	signal peptidase complex subunit 2
10842	252.3900125152577	-2.6621237894540837	0.2160837404910736	6.371545259052212e-36	1.6738973816293175e-34	10842	PPP1R17	ENSG00000106341	protein phosphatase 1 regulatory subunit 17
11742	202.51419267626883	-3.2657759264211657	0.2734002692338082	5.899300999688802e-34	1.4397714323878176e-32	11742	NA	NA	NA
11230	224.05166150870497	-2.8969324501341283	0.24357781634144174	1.0923449485968912e-33	2.6429725480419035e-32	11230	PRAF2	ENSG00000243279	PRA1 domain family member 2
11529	324.48290254388087	-2.190188028340566	0.18516920433033504	2.7397619542193847e-33	6.553635129127051e-32	11529	NA	NA	NA
6463	434.41770782565743	-2.012367984111171	0.17229478087873448	1.5965136864629456e-32	3.703208055101378e-31	6463	SHFM2	NA	split hand/foot malformation (ectrodactyly) type 2
9635	250.69604792398252	-2.4851687204894657	0.21343106036744788	2.317036778501874e-32	5.315926341957978e-31	9635	CLCA2	ENSG00000137975	chloride channel accessory 2
11	349.34789230950093	-2.1343182871630337	0.18383101000346236	3.4677989652940493e-32	7.912972164708914e-31	11	NATP	NA	N-acetyltransferase pseudogene
813	224.2370978797589	-2.4058666350448106	0.22166464509049894	1.791960893813076e-28	3.512994348290128e-27	813	CALU	ENSG00000128595	calumenin
6982	248.722273956398	-2.3103782603320115	0.2147147672903775	4.858177658207015e-28	9.296785427750697e-27	6982	TRGV8	ENSG00000211696	T cell receptor gamma variable 8
11138	182.05965064873976	-2.658957164014803	0.2546371636784553	1.442197398964148e-26	2.5919534897071775e-25	11138	TBC1D8	ENSG00000204634	TBC1 domain family member 8
6949	198.6566452047616	-2.4833786122471047	0.23800902161364115	1.585192224423236e-26	2.842879346036986e-25	6949	TCOF1	ENSG00000070814	treacle ribosome biogenesis factor 1
11577	216.8584564515087	-2.280790707078593	0.22219543952772317	9.711365445844446e-26	1.656934084174473e-24	11577	NA	NA	NA
7729	145.96577222676257	-2.658161252302404	0.2816657223449682	3.51604535034093e-22	5.091161109178096e-21	7729	NA	NA	NA
8916	94.1537793660012	-4.2725561983784335	0.4530217312549318	7.097595609583211e-22	1.0120534298508152e-20	8916	HERC3	ENSG00000138641	HECT and RLD domain containing E3 ubiquitin protein ligase 3
13005	107.11733091237559	-3.5188757814873126	0.37897783291742587	1.6408113938354438e-21	2.3006880826135614e-20	13005	NA	NA	NA
12515	193.31977659176792	-2.209924215107753	0.23827654924998817	1.7056499275153066e-21	2.385643254099482e-20	12515	NA	NA	NA
7455	114.92593250911759	-2.7643087847031094	0.3272168657763845	2.715404322193366e-18	3.1667180599540366e-17	7455	ZAN	ENSG00000146839	zonadhesin
13131	106.593001520731	-2.5703269550385577	0.3248792503099157	2.3100138493998785e-16	2.402756839029892e-15	13131	NA	NA	NA
9474	155.18131601152007	-2.070564557028048	0.26250297379183934	3.004301481909923e-16	3.1038304880590863e-15	9474	ATG5	ENSG00000057663	autophagy related 5
11920	138.44527643240409	-2.119043583183123	0.27311772292407144	8.468809835289557e-16	8.463783835387308e-15	11920	NA	NA	NA
12687	171.92522055719442	-2.003659039371684	0.258499754151655	9.0548930583399e-16	9.038790699611377e-15	12687	NA	NA	NA
2722	87.25557064121722	-2.8496696982091994	0.38078202534682126	6.613523100368909e-15	6.21494023494489e-14	2722	GLC1B	NA	glaucoma 1, open angle, B (adult-onset)
12054	142.43131314222322	-2.037262023858533	0.27341097004300813	9.245907279911015e-15	8.645257001316019e-14	12054	NA	NA	NA
11716	134.32393367703494	-2.0803621753515293	0.28416247533954786	2.4250961516557112e-14	2.2158773301075516e-13	11716	NA	NA	NA
14318	75.39601800861193	-2.940748774352789	0.4078051890224375	5.190911063982443e-14	4.632482369764936e-13	14318	NA	NA	NA
9776	134.67540185703257	-2.0425493159036416	0.28384690305782306	6.092470161457735e-14	5.414100132926029e-13	9776	ATG13	ENSG00000175224	autophagy related 13
12978	118.3833663131753	-2.2312011849047786	0.3108363227699553	6.433442944924204e-14	5.705064728410932e-13	12978	NA	NA	NA
2250	92.99222352153389	-2.4208801248660436	0.3465058041004986	2.5188650562809973e-13	2.1358352239562935e-12	2250	FGF5	ENSG00000138675	fibroblast growth factor 5
13769	93.64025147804239	-2.53696735190513	0.36443461150323725	2.9872206473363973e-13	2.5190183125260357e-12	13769	NA	NA	NA
6358	103.5657848542181	-2.1988116707996306	0.3192647428186913	5.380972083976809e-13	4.435417028593708e-12	6358	CCL14	ENSG00000276409	C-C motif chemokine ligand 14
