gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	entrez	symbol	ensgene	description
3	146391.69126744973	3.040706848010927	0.06297261464570764	0	0	3	A2MP1	ENSG00000291190	alpha-2-macroglobulin pseudogene 1
7	42562.91163219116	2.6529622261927894	0.05086407511226877	0	0	7	NA	NA	NA
15	25380.457093363773	8.610025624001242	0.16780099752809619	0	0	15	AANAT	ENSG00000129673	aralkylamine N-acetyltransferase
135	3464.3592566358543	3.0500220127076703	0.07748548860273906	0	0	135	ADORA2A	ENSG00000128271	adenosine A2a receptor
145	24165.363752297162	2.5406313389964246	0.05342780380208237	0	0	145	PARP1P2	NA	poly(ADP-ribose) polymerase 1 pseudogene 2
172	5567.654205345077	2.66187459812218	0.06949858544445746	0	0	172	AFG3L1P	ENSG00000223959	AFG3 like matrix AAA peptidase subunit 1, pseudogene
192	14562.59184322229	3.718963185776461	0.07392875321707386	0	0	192	AIC	NA	Aicardi syndrome
236	4254.007111551272	4.859008062005449	0.09123637035192189	0	0	236	AKR1B1P2	NA	aldo-keto reductase family 1 member B1 pseudogene 2
256	29871.394092523282	2.088821739933952	0.05117499189588739	0	0	256	NA	NA	NA
419	2968.3790682030162	3.8381451313403483	0.08589749334859616	0	0	419	ART3	ENSG00000156219	ADP-ribosyltransferase 3 (inactive)
439	4493.771820109569	2.83579014097806	0.07143066374311141	0	0	439	GET3	ENSG00000198356	guided entry of tail-anchored proteins factor 3, ATPase
554	7627.738255047947	6.443923421903365	0.09429662238087165	0	0	554	AVPR2	ENSG00000126895	arginine vasopressin receptor 2
572	3335.7135176185407	3.1263056002770315	0.0817142433201764	0	0	572	BAD	ENSG00000002330	BCL2 associated agonist of cell death
718	4873.891941784293	3.7636203709337823	0.07239433937112118	0	0	718	C3	ENSG00000125730	complement C3
767	6269.373900182707	4.506253239435288	0.0740091486577075	0	0	767	CA8	ENSG00000178538	carbonic anhydrase 8
791	6225.683599165205	-2.8021131970401685	0.07100593407696985	0	0	791	NA	NA	NA
1179	2111.583957711211	3.643680588704879	0.09324553610776942	0	0	1179	CLCA1	ENSG00000016490	chloride channel accessory 1
1329	4731.76226988573	4.386858312959635	0.07831781919373529	0	0	1329	COX5B	ENSG00000135940	cytochrome c oxidase subunit 5B
1692	2241.177721451047	3.6964937100563535	0.09197895085293224	0	0	1692	NA	NA	NA
2211	5400.362187958368	2.6045589711296153	0.064976900206007	0	0	2211	NA	NA	NA
2253	2930.7881456009627	3.6705352246710374	0.08588685562564007	0	0	2253	FGF8	ENSG00000107831	fibroblast growth factor 8
3017	2714.0271371554504	4.4629328324836	0.0984450281272435	0	0	3017	H2BC5	ENSG00000158373	H2B clustered histone 5
6664	1920.102594301753	4.386749122155878	0.11405340187689487	0	0	6664	SOX11	ENSG00000176887	SRY-box transcription factor 11
1449	4011.3434851940133	2.6267348237564474	0.0705886082158824	3.816762352943153e-304	2.6780949176484457e-301	1449	NA	NA	NA
364	5814.005192627112	2.4970389894642637	0.06711521380868878	4.8107298810659324e-304	3.2405076478860123e-301	364	AQP7	ENSG00000165269	aquaporin 7
422	4460.343850374903	2.5556436114024255	0.06884635797242833	1.0788724592508788e-302	6.987773928378769e-300	422	NA	NA	NA
3282	2134.982678607937	3.3462169709963296	0.0902037342579117	2.7128497077579183e-302	1.692014410320124e-299	3282	NA	NA	NA
503	4325.260889171429	2.5808918726366747	0.06960528613887143	5.203845037670554e-302	3.129741086941862e-299	503	NA	NA	NA
248	5700.109295681879	2.364706205077652	0.06462313491980873	3.4929065376179804e-294	2.028294692878855e-291	248	ALPI	ENSG00000163295	alkaline phosphatase, intestinal
290	6742.902976996668	2.191277564178215	0.0613582676985805	2.436158615324449e-280	1.3674970360687906e-277	290	ANPEP	ENSG00000166825	alanyl aminopeptidase, membrane
1288	3200.5870492581594	2.6622777009156975	0.07536016496633499	1.9436492447938238e-274	1.0558404284621933e-271	1288	COL4A6	ENSG00000197565	collagen type IV alpha 6 chain
1312	2137.1018144041677	3.0392006479324642	0.0873946763221395	4.708124314300774e-266	2.4776504204007822e-263	1312	COMT	ENSG00000093010	catechol-O-methyltransferase
7390	1457.9933506207594	4.076817157634343	0.1172469118507438	7.523288727654625e-266	3.839157035566784e-263	7390	UROS	ENSG00000188690	uroporphyrinogen III synthase
639	2630.583630015989	2.8587871074070677	0.08280780979558527	3.178211856806311e-262	1.5741496373123025e-259	639	PRDM1	ENSG00000057657	PR/SET domain 1
3650	1549.805319109302	4.5711225684775565	0.13264490255598677	3.1188023121037256e-261	1.5005894553093355e-258	3650	NA	NA	NA
126	22687.32923624227	2.157150946656959	0.06286477089298673	6.817888763728069e-259	3.1892568550327964e-256	126	ADH1C	ENSG00000248144	alcohol dehydrogenase 1C (class I), gamma polypeptide
