gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	entrez	symbol	ensgene	description
1	118832.19667630423	0.4544899967502842	0.04998113911297052	6.428748680273683e-20	8.286003109462897e-19	1	A1BG	ENSG00000121410	alpha-1-B glycoprotein
2	198905.39687174797	-0.7737675449962607	0.1515244147581551	1.2638200269176197e-7	6.372074626734347e-7	2	A2M	ENSG00000175899	alpha-2-macroglobulin
3	146391.69126744973	3.040706848010927	0.06297261464570764	0	0	3	A2MP1	ENSG00000291190	alpha-2-macroglobulin pseudogene 1
4	277644.61286585475	0.5597599907960343	0.05072770840149888	2.5843750999807397e-28	5.013925885216089e-27	4	NA	NA	NA
5	120411.08509020455	-0.4648896721562996	0.15139665479134434	0.0015381967658237147	0.004449198477580102	5	NA	NA	NA
6	18707.970615984043	0.5176488407820408	0.05509719319461912	3.438404661690377e-21	4.7228984096954284e-20	6	NA	NA	NA
7	42562.91163219116	2.6529622261927894	0.05086407511226877	0	0	7	NA	NA	NA
8	102863.15942576133	-0.8797767446940186	0.15806476455356522	8.269727988273929e-9	4.6795100578808115e-8	8	NA	NA	NA
9	53369.57824629626	-1.3016693201792304	0.05911064321648926	4.182910832506657e-108	4.96057876193043e-106	9	NAT1	ENSG00000171428	N-acetyltransferase 1
10	59.45100579552296	-0.2727844606391608	0.33173054029339827	0.3213579113988749	0.4468759065199879	10	NAT2	ENSG00000156006	N-acetyltransferase 2
11	349.34789230950093	-2.1343182871630337	0.18383101000346236	3.4677989652940493e-32	7.912972164708914e-31	11	NATP	NA	N-acetyltransferase pseudogene
12	88423.84147939405	-0.9330460658460525	0.052719009354544176	1.3046907943806254e-70	8.41800497217231e-69	12	SERPINA3	ENSG00000196136	serpin family A member 3
13	88848.16168808969	-0.5489556712146956	0.052004251797859544	2.909844331273603e-26	5.141844547602043e-25	13	AADAC	ENSG00000114771	arylacetamide deacetylase
14	39860.71306595041	0.6612438017383278	0.05191243235683437	1.9205240801443585e-37	5.207991225383413e-36	14	AAMP	ENSG00000127837	angio associated migratory cell protein
15	25380.457093363773	8.610025624001242	0.16780099752809619	0	0	15	AANAT	ENSG00000129673	aralkylamine N-acetyltransferase
16	38055.46555447281	0.42767776839880844	0.05280477013171225	4.131361406622491e-16	4.2267391304691836e-15	16	AARS1	ENSG00000090861	alanyl-tRNA synthetase 1
17	96455.25733013373	2.438448916784544	0.14203072515977322	3.845481973465921e-67	2.3045521862336695e-65	17	AAVS1	NA	adeno-associated virus integration site 1
18	6366.292547798528	-0.9950889582918684	0.062150108382375814	2.9514794524086468e-58	1.4365004040046709e-56	18	ABAT	ENSG00000183044	4-aminobutyrate aminotransferase
19	44890.568143268836	-0.009909022006251354	0.050920548752029574	0.841383691786969	0.8958587107797521	19	ABCA1	ENSG00000165029	ATP binding cassette subfamily A member 1
20	19049.622508888948	0.5415333469112261	0.05560160724584006	1.3291303375328186e-22	1.9599435099870984e-21	20	ABCA2	ENSG00000107331	ATP binding cassette subfamily A member 2
21	50168.21936342592	-1.1164416461766586	0.052760334483920604	4.42995459651067e-100	4.548807036904859e-98	21	ABCA3	ENSG00000167972	ATP binding cassette subfamily A member 3
23	44229.15909009197	0.602722489794167	0.05489688864081589	1.2964694596508115e-28	2.5685347882964313e-27	23	ABCF1	ENSG00000204574	ATP binding cassette subfamily F member 1
24	54257.75510336561	-0.6256478437141281	0.06675855306153365	3.763315147806642e-21	5.152376186102752e-20	24	ABCA4	ENSG00000198691	ATP binding cassette subfamily A member 4
25	56223.898179064636	-0.3583481516797857	0.050501176945779026	1.0937972120043832e-12	8.817398300695937e-12	25	ABL1	ENSG00000097007	ABL proto-oncogene 1, non-receptor tyrosine kinase
26	31382.81467282433	0.5182343513493799	0.057816895548615174	3.80921429306779e-19	4.702871605224456e-18	26	AOC1	ENSG00000002726	amine oxidase copper containing 1
27	45388.6822175752	0.3133676486171909	0.05319332877114473	3.427997799569264e-9	2.0156244044953356e-8	27	ABL2	ENSG00000143322	ABL proto-oncogene 2, non-receptor tyrosine kinase
28	32990.785342259886	-0.42172387662724387	0.052205945729005464	4.886812436782648e-16	4.969439700206509e-15	28	ABO	ENSG00000175164	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase
29	68463.46759080619	-0.4620946926533478	0.05186408515401986	3.712550268874597e-19	4.586892628602217e-18	29	ABR	ENSG00000159842	ABR activator of RhoGEF and GTPase
