entrez_final	symbol	ensgene	log2FoldChange	padj	description
7455	ZAN	ENSG00000146839	-2.918391423178259	6.225460099291483e-56	zonadhesin
6896	TARBP2P1	NA	-2.332557953869623	1.9550285660064757e-48	TARBP2 pseudogene 1
6433	SFSWAP	ENSG00000061936	-2.9215243035803398	2.3226645731360555e-48	splicing factor SWAP
2208	FCER2	ENSG00000104921	-2.072167469840179	1.846580887603162e-38	Fc epsilon receptor II
8916	HERC3	ENSG00000138641	-3.9443133101955468	2.6133038385104195e-38	HECT and RLD domain containing E3 ubiquitin protein ligase 3
2268	FGR	ENSG00000000938	-1.2353763844850751	2.6840812447634096e-36	FGR proto-oncogene, Src family tyrosine kinase
8129	HBHR	NA	-1.9693698080166813	2.8701631309418747e-35	alpha-thalassemia/mental retardation syndrome, type 1
3030	HADHA	ENSG00000084754	-1.525107642131407	1.4203955884790753e-34	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha
11138	TBC1D8	ENSG00000204634	-2.830895069279623	1.6680124654977198e-34	TBC1 domain family member 8
1298	COL9A2	ENSG00000049089	-1.915878936626615	1.977893272602316e-34	collagen type IX alpha 2 chain
2299	FOXI1	ENSG00000168269	-1.6312624206413044	2.4337003733646884e-34	forkhead box I1
5572	NA	NA	-1.8367160100073765	6.63212062286355e-32	NA
10848	PPP1R13L	ENSG00000104881	-2.5878408278075917	1.5981123030160851e-31	protein phosphatase 1 regulatory subunit 13 like
6573	SLC19A1	ENSG00000173638	-1.8362374395933898	4.471296749722032e-31	solute carrier family 19 member 1
6949	TCOF1	ENSG00000070814	-3.0710751559494547	2.8846729880197863e-30	treacle ribosome biogenesis factor 1
4298	MLLT1	ENSG00000130382	-1.741746216185325	4.007999102644241e-30	MLLT1 super elongation complex subunit
3942	NA	NA	-2.3708156960390108	1.2373456012442332e-28	NA
1545	CYP1B1	ENSG00000138061	-1.1312609258519717	2.5981531343983553e-28	cytochrome P450 family 1 subfamily B member 1
454	ASS1P9	ENSG00000217791	-2.098031670840347	3.0913142670478723e-28	argininosuccinate synthetase 1 pseudogene 9
2650	GCNT1	ENSG00000187210	-1.2884606093686768	6.182491097695405e-27	glucosaminyl (N-acetyl) transferase 1
601	BAK1P2	NA	-1.3895169887369736	2.3040676945255565e-26	BCL2 antagonist/killer 1 pseudogene 2
6358	CCL14	ENSG00000276409	-2.548953717062921	7.673242242517938e-26	C-C motif chemokine ligand 14
2250	FGF5	ENSG00000138675	-3.1716811342701186	1.8839276737916585e-25	fibroblast growth factor 5
2407	FRA6G	NA	-1.6465091811213675	7.48534308508211e-25	fragile site, aphidicolin type, common, fra(6)(q15)
2869	GRK5	ENSG00000198873	-1.4912094490477434	3.686456353719566e-23	G protein-coupled receptor kinase 5
9574	NA	NA	-2.854653431260888	5.2876418703506306e-23	NA
9776	ATG13	ENSG00000175224	-2.548663459832632	6.408665883430771e-23	autophagy related 13
11720	NA	NA	-2.181392993352488	8.177903240159482e-23	NA
10684	NA	NA	-3.672439633484933	1.9588378725382879e-22	NA
6982	TRGV8	ENSG00000211696	-2.9552048661616763	4.505544806526619e-22	T cell receptor gamma variable 8
806	CALM2P2	NA	-2.2489537448039156	1.5740181326222914e-21	calmodulin 2 pseudogene 2
9789	SPCS2	ENSG00000118363	-2.6828596080724596	4.832719000255603e-21	signal peptidase complex subunit 2
5622	NA	NA	-1.2310446469918979	7.822270628619598e-21	NA
9806	SPOCK2	ENSG00000107742	-1.6192516508935118	1.170246005859827e-20	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2
1780	DYNC1I1	ENSG00000158560	-1.0010293857590884	1.8938560331326127e-20	dynein cytoplasmic 1 intermediate chain 1
359	AQP2	ENSG00000167580	-1.5640794392605757	2.784020972761743e-20	aquaporin 2
1490	CCN2	ENSG00000118523	-1.0413034431364623	3.144126198801466e-20	cellular communication network factor 2
1508	CTSB	ENSG00000164733	-2.1687333761994343	4.0200395583496774e-20	cathepsin B
11257	TP53TG1	ENSG00000182165	-3.5783004315185787	4.351410378070952e-20	TP53 target 1
10720	UGT2B11	ENSG00000213759	-2.0323353886702664	4.680856064389744e-20	UDP glucuronosyltransferase family 2 member B11
4333	NA	NA	-1.7423189536671635	1.32822533739142e-19	NA
2608	NA	NA	-1.1946293451949985	1.443732156044851e-19	NA
7736	NA	NA	-1.688548441786948	1.488735218431022e-19	NA
7898	NA	NA	-2.6041095376104515	1.5721003267831268e-19	NA
5410	NA	NA	-1.4086220530433233	1.8041759288510954e-19	NA
177	AGER	ENSG00000204305	-1.0813682300281744	2.0147765171776053e-19	advanced glycosylation end-product specific receptor
9204	ZMYM6	ENSG00000163867	-1.8195408698238762	2.0357586796785346e-19	zinc finger MYM-type containing 6
4360	MRC1	ENSG00000260314	-1.847052798245694	3.1834392876705984e-19	mannose receptor C-type 1
1383	NA	NA	-1.101800779221549	1.5096606405016186e-18	NA
8990	NA	NA	-1.2873354199785656	1.6796035626310476e-18	NA
7331	NA	NA	-1.21739877110919	3.515749945391459e-18	NA
730	C7	ENSG00000112936	-1.1914679748700487	3.679462490981162e-18	complement C7
11147	ANKRD13C-DT	ENSG00000197568	-2.242515153178099	4.553395838582278e-18	ANKRD13C divergent transcript
632	BGLAP	ENSG00000242252	-1.120956301395735	5.6981967132738355e-18	bone gamma-carboxyglutamate protein
6056	RNR5	NA	-1.2416046852138407	6.858249270402328e-18	RNA, ribosomal 45S cluster 5
8523	NA	NA	-1.858640642054971	8.202871843825667e-18	NA
5666	NA	NA	-2.082479050242559	9.01446091944208e-18	NA
9775	EIF4A3	ENSG00000141543	-3.3646288531254855	9.514933385313952e-18	eukaryotic translation initiation factor 4A3
5797	PTPRM	ENSG00000173482	-2.3553816568971855	1.0054352930762613e-17	protein tyrosine phosphatase receptor type M
9296	ATP6V1F	ENSG00000128524	-1.4849970541805737	1.0408752357550441e-17	ATPase H+ transporting V1 subunit F
3838	KPNA2	ENSG00000182481	-1.0449796752079352	1.9317062762790535e-17	karyopherin subunit alpha 2
813	CALU	ENSG00000128595	-2.658400973204416	1.9823869100150914e-17	calumenin
4366	NA	NA	-1.6470411350007372	2.1162901335253218e-17	NA
4538	ND4	ENSG00000198886	-1.6849813717087332	3.231034430886324e-17	NADH dehydrogenase subunit 4
5300	PIN1	ENSG00000127445	-1.432249895520064	3.491992021152948e-17	peptidylprolyl cis/trans isomerase, NIMA-interacting 1
9906	SLC35E2A	NA	-1.6770008550821989	3.526122132196883e-17	solute carrier family 35 member E2A (pseudogene)
6963	NA	NA	-1.433316332835518	9.010609348976252e-17	NA
8999	CDKL2	ENSG00000138769	-1.2819192012454577	1.3322682752239594e-16	cyclin dependent kinase like 2
225	ABCD2	ENSG00000173208	-1.0121559544999723	1.6317263065504396e-16	ATP binding cassette subfamily D member 2
1403	NA	NA	-1.9994345665776474	1.7035381675677743e-16	NA
7633	ZNF79	ENSG00000196152	-3.0654182304527415	1.8730472647896386e-16	zinc finger protein 79
9117	SEC22C	ENSG00000093183	-1.5179981007158871	9.874537670526427e-16	SEC22 homolog C, vesicle trafficking protein
7758	NA	NA	-1.5339621752249575	1.001177524408553e-15	NA
2826	CCR10	ENSG00000184451	-1.1931139183655228	1.0840976572094454e-15	C-C motif chemokine receptor 10
6895	TARBP2	ENSG00000139546	-1.761306469487198	1.255449660347694e-15	TARBP2 subunit of RISC loading complex
