gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol	entrez	ensgene	description	entrez_final
7455	624.9856297630987	-2.918391423178259	0.18202842650788453	7.997353809274295e-59	6.225460099291483e-56	ZAN	7455	ENSG00000146839	zonadhesin	7455
6896	423.6456207640584	-2.332557953869623	0.15653241553160857	3.315140161256549e-51	1.9550285660064757e-48	TARBP2P1	6896	NA	TARBP2 pseudogene 1	6896
6433	327.02488416290515	-2.9215243035803398	0.19616212760197602	4.057889907333944e-51	2.3226645731360555e-48	SFSWAP	6433	ENSG00000061936	splicing factor SWAP	6433
2208	1103.6148538293264	-2.072167469840179	0.1565295635891567	4.649425183318171e-41	1.846580887603162e-38	FCER2	2208	ENSG00000104921	Fc epsilon receptor II	2208
8916	264.7827630145659	-3.9443133101955468	0.30020248313549985	6.714207488079798e-41	2.6133038385104195e-38	HERC3	8916	ENSG00000138641	HECT and RLD domain containing E3 ubiquitin protein ligase 3	8916
2268	2362.82786832782	-1.2353763844850751	0.09559412707713726	7.585656875905017e-39	2.6840812447634096e-36	FGR	2268	ENSG00000000938	FGR proto-oncogene, Src family tyrosine kinase	2268
8129	342.08664175703655	-1.9693698080166813	0.1551173398097517	8.554003473337893e-38	2.8701631309418747e-35	HBHR	8129	NA	alpha-thalassemia/mental retardation syndrome, type 1	8129
3030	1682.5041691693857	-1.525107642131407	0.12115061238976849	4.452193150260706e-37	1.4203955884790753e-34	HADHA	3030	ENSG00000084754	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha	3030
11138	127.07885372848448	-2.830895069279623	0.22607307520269795	5.399762875821198e-37	1.6680124654977198e-34	TBC1D8	11138	ENSG00000204634	TBC1 domain family member 8	11138
1298	2310.5211429931637	-1.915878936626615	0.15299314071547163	6.504556263632301e-37	1.977893272602316e-34	COL9A2	1298	ENSG00000049089	collagen type IX alpha 2 chain	1298
2299	558.354243494477	-1.6312624206413044	0.13021275603455984	8.503757535008417e-37	2.4337003733646884e-34	FOXI1	2299	ENSG00000168269	forkhead box I1	2299
5572	874.1782244211446	-1.8367160100073765	0.1527427476176553	2.62408554524687e-34	6.63212062286355e-32	NA	5572	NA	NA	5572
10848	161.23505054986774	-2.5878408278075917	0.21636542584232796	6.405259731527395e-34	1.5981123030160851e-31	PPP1R13L	10848	ENSG00000104881	protein phosphatase 1 regulatory subunit 13 like	10848
6573	856.8341636986984	-1.8362374395933898	0.1545863482790414	1.9069812970912525e-33	4.471296749722032e-31	SLC19A1	6573	ENSG00000173638	solute carrier family 19 member 1	6573
6949	676.320582224163	-3.0710751559494547	0.26559849010041864	1.3192328037293098e-32	2.8846729880197863e-30	TCOF1	6949	ENSG00000070814	treacle ribosome biogenesis factor 1	6949
4298	810.7327532965293	-1.741746216185325	0.1488287922499763	1.853552845372703e-32	4.007999102644241e-30	MLLT1	4298	ENSG00000130382	MLLT1 super elongation complex subunit	4298
3942	1117.08644832328	-2.3708156960390108	0.2098548421434604	6.358078214090915e-31	1.2373456012442332e-28	NA	3942	NA	NA	3942
1545	1707.1120017877306	-1.1312609258519717	0.09938098648087253	1.3484068987936586e-30	2.5981531343983553e-28	CYP1B1	1545	ENSG00000138061	cytochrome P450 family 1 subfamily B member 1	1545
454	2561.9696132649287	-2.098031670840347	0.18641709686507027	1.6202356263238425e-30	3.0913142670478723e-28	ASS1P9	454	ENSG00000217791	argininosuccinate synthetase 1 pseudogene 9	454
2650	1231.448070922451	-1.2884606093686768	0.11585748092603056	3.462779557313597e-29	6.182491097695405e-27	GCNT1	2650	ENSG00000187210	glucosaminyl (N-acetyl) transferase 1	2650
601	4684.172228115801	-1.3895169887369736	0.12662466365681224	1.3496928070289986e-28	2.3040676945255565e-26	BAK1P2	601	NA	BCL2 antagonist/killer 1 pseudogene 2	601
