gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	entrez	symbol	ensgene	description
767	3663.456880520711	4.432440683847192	0.14839083765412933	3.1111894526135546e-197	6.054685793731238e-193	767	CA8	ENSG00000178538	carbonic anhydrase 8
1312	1942.9903986581805	2.94828559441907	0.10330102382138684	2.5321074081624756e-180	2.4638671135124968e-176	1312	COMT	ENSG00000093010	catechol-O-methyltransferase
1692	1689.4658570849379	3.678945407012377	0.13791915059158164	6.576928020261277e-158	4.26645320674349e-154	1692	NA	NA	NA
554	6671.468754689027	6.8652954866444125	0.2712263001524809	1.9921305839890718e-146	9.692213323752832e-143	554	AVPR2	ENSG00000126895	arginine vasopressin receptor 2
1329	3662.9499639516466	4.043235925602119	0.17618655453936233	1.172630486184663e-118	4.564112378327946e-115	1329	COX5B	ENSG00000135940	cytochrome c oxidase subunit 5B
3999	958.1431837523477	2.3719642576724804	0.10643742136382289	5.410983845691466e-111	1.755052610350027e-107	3999	NA	NA	NA
2938	1849.262102524851	2.921323821429395	0.13317266951563184	5.451140671405755e-108	1.515494980088963e-104	2938	GSTA1	ENSG00000243955	glutathione S-transferase alpha 1
6912	777.0065754434099	2.988152077309672	0.1417494381481238	5.523238950269861e-100	1.3435969151400221e-96	6912	NA	NA	NA
422	5798.102599631869	2.6114898639209656	0.13409767117306579	9.990700112668545e-86	2.1603223876960285e-82	422	NA	NA	NA
1660	4181.973566720751	3.7176286732484125	0.1923019938226264	5.1139970969535815e-84	9.952349750381364e-81	1660	DHX9	ENSG00000135829	DExH-box helicase 9
2049	3638.666045105967	11.448029105656905	0.591787975727086	6.54337588442871e-83	1.1576421644260648e-79	2049	EPHB3	ENSG00000182580	EPH receptor B3
6003	649.193053854771	3.6306097955982732	0.1906309463974999	9.861819896374402e-83	1.5993406416945185e-79	6003	RGS13	ENSG00000127074	regulator of G protein signaling 13
2421	1659.0341358258295	1.778578104418584	0.09821887732172001	4.657519275393022e-74	6.972306355263353e-71	2421	FRA8C	NA	fragile site, aphidicolin type, common, fra(8)(q24.1)
419	5189.783898025281	3.5095051190345417	0.19538907267339253	5.846703063466479e-74	8.127334879865796e-71	419	ART3	ENSG00000156219	ADP-ribosyltransferase 3 (inactive)
9254	257.7609260518368	3.6391372295550695	0.20261034462565689	3.374135377654358e-73	4.377603238968765e-70	9254	CACNA2D2	ENSG00000007402	calcium voltage-gated channel auxiliary subunit alpha2delta 2
3650	1301.1155045765163	5.012350972100389	0.2857884449552987	4.076153613332905e-72	4.957876591816979e-69	3650	NA	NA	NA
1310	1370.0182844444296	2.657453383388406	0.1492594174539053	8.486079175029814e-72	9.714563930897365e-69	1310	COL19A1	ENSG00000082293	collagen type XIX alpha 1 chain
10340	309.51113351474953	6.3226948585392115	0.36423848571984385	5.045488542538962e-68	5.455014029241708e-65	10340	H2BC16P	ENSG00000217646	H2B clustered histone 16, pseudogene
9004	386.0474043189694	2.6867619931948092	0.1569779047954382	9.537432511687867e-67	9.768840742629346e-64	9004	NA	NA	NA
1331	2572.8707638504093	2.146006132758163	0.125806720486893	2.39139765702098e-66	2.3269494901642645e-63	1331	COX5BP2	ENSG00000213111	cytochrome c oxidase subunit 5B pseudogene 2
8681	262.5113426785588	2.6893556044764035	0.158313635894396	9.47832164557103e-66	8.78369607354561e-63	8681	JMJD7-PLA2G4B	ENSG00000168970	JMJD7-PLA2G4B readthrough
1539	2136.5151174971547	1.7169104138655857	0.10092306163408932	1.4663668854050981e-65	1.2971348162213008e-62	1539	CYLC2	ENSG00000155833	cylicin 2
9305	282.82408285918007	2.837864107748146	0.17045328821330463	2.985749801151915e-63	2.5263337774007575e-60	9305	NA	NA	NA
3976	1201.9091650006005	2.3212175375606585	0.14068098064677523	3.8546956798648186e-62	3.125676359410385e-59	3976	LIF	ENSG00000128342	LIF interleukin 6 family cytokine
7455	624.9856297630987	-2.918391423178259	0.18202842650788453	7.997353809274295e-59	6.225460099291483e-56	7455	ZAN	ENSG00000146839	zonadhesin
196	17365.645454230566	1.8902534550094408	0.11807118554534089	1.0983142922879802e-58	8.220882477775532e-56	196	AHR	ENSG00000106546	aryl hydrocarbon receptor
1571	2476.4242171839905	3.2589818236373156	0.21198664508590054	2.772076378012137e-55	1.9980510515738593e-52	1571	CYP2E1	ENSG00000130649	cytochrome P450 family 2 subfamily E member 1
1138	3328.235140120225	2.2951374810196485	0.14924157124109608	1.4745868275572452e-54	1.0248905089675554e-51	1138	CHRNA5	ENSG00000169684	cholinergic receptor nicotinic alpha 5 subunit
883	3612.0335838651426	1.4362749163868904	0.09311025033551788	2.3985332118663123e-54	1.6095812012458725e-51	883	KYAT1	ENSG00000171097	kynurenine aminotransferase 1
1328	1370.6013304831579	4.543225501490498	0.30552317169959425	5.661267982381773e-53	3.672464540171056e-50	1328	NA	NA	NA
7390	818.1274476524369	4.513712091031177	0.30629645658235694	2.9299687813012275e-52	1.8393587888033284e-49	7390	UROS	ENSG00000188690	uroporphyrinogen III synthase
1617	2211.5499234438043	1.9540297715663593	0.129754170631114	3.389798197095973e-52	2.0615269598026477e-49	1617	DAZ1	ENSG00000188120	deleted in azoospermia 1
6896	423.6456207640584	-2.332557953869623	0.15653241553160857	3.315140161256549e-51	1.9550285660064757e-48	6896	TARBP2P1	NA	TARBP2 pseudogene 1
6433	327.02488416290515	-2.9215243035803398	0.19616212760197602	4.057889907333944e-51	2.3226645731360555e-48	6433	SFSWAP	ENSG00000061936	splicing factor SWAP
236	4972.749810205804	4.252660317971162	0.2916639972123694	6.096517598096571e-51	3.389837970758782e-48	236	AKR1B1P2	NA	aldo-keto reductase family 1 member B1 pseudogene 2
136	6088.307110385274	1.2934897177987081	0.08792469373339958	1.7452174168689495e-49	9.434354486024064e-47	136	ADORA2B	ENSG00000170425	adenosine A2b receptor
2986	2803.5962554936523	12.0243004253303	0.9408864143653849	3.179437129730307e-49	1.6722979995049059e-46	2986	GUCY2F	ENSG00000101890	guanylate cyclase 2F, retinal
5432	851.047619636393	2.8955477894104744	0.20120501672700694	3.556695069819795e-48	1.8214958619411324e-45	5432	POLR2C	ENSG00000102978	RNA polymerase II subunit C
17	63721.7724677523	2.404922566335863	0.1665230598774254	1.9761323512123123e-47	9.860900432549439e-45	17	AAVS1	NA	adeno-associated virus integration site 1
15	89345.74332241502	7.208542158632403	0.5649207721631366	3.557650104996706e-46	1.7308857173335225e-43	15	AANAT	ENSG00000129673	aralkylamine N-acetyltransferase
610	3744.8621883717205	1.5341300957330197	0.10907979738179123	1.164614964501828e-45	5.5279443473585545e-43	610	HCN2	ENSG00000099822	hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2
3143	1468.6697944858854	1.7775639237448935	0.12765791814880706	5.949296732388209e-45	2.7566491359287365e-42	3143	NA	NA	NA
