gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MT1X	33.18245717354453	1.8677538234229605	0.16539531665136673	11.292664515767148	1.426456650800233e-29	6.500362957696661e-26
FTL	3064.782603274883	0.6365290011694844	0.05822217039763339	10.932759751521699	8.036641993190433e-28	1.8311488781484402e-24
MSMO1	100.3992637338872	-1.3666442044878124	0.13065657137490605	-10.459819893531131	1.3210653859509323e-25	2.006698321259466e-22
HMGCS1	117.36530147196275	-2.0515113540774577	0.20823197509051392	-9.852047713545003	6.716146587407835e-23	7.651369999704376e-20
SCD	44.27776230063157	-1.4073663161694718	0.17421847572218538	-8.078169151322994	6.574636903094774e-16	5.992124073480577e-13
IDI1	45.59675684238829	-1.0154446509843582	0.13032877408898946	-7.791407984018978	6.626656369700106e-15	5.032945512787231e-12
EBP	89.59696373028675	-1.0716041758710741	0.14215494170892	-7.538282967786779	4.761996857536966e-14	3.1000599542565645e-11
MT1F	13.155949087067368	1.9107567280499376	0.26008630860764465	7.346625580866025	2.0327324065058005e-13	1.1578951970558666e-10
CYP51A1	160.0230760918018	-1.606716386652025	0.2232492039839034	-7.19696356349773	6.156820662932719e-13	2.80566317609844e-10
FDPS	57.91978057661264	-0.9171811369651415	0.12738963380605828	-7.199809824098286	6.029659844092435e-13	2.80566317609844e-10
MT1E	10.60116600790863	2.4206235730891312	0.3446727893976371	7.022961044646148	2.1721479004663435e-12	8.998616347659206e-10
MTHFD2	34.3179764215358	0.878737872496847	0.1329137439521663	6.611339402290044	3.808581527099765e-11	1.4463088349161357e-8
HMGCR	14.275915814836818	-1.0441271285331477	0.15988165611223223	-6.530624925477386	6.549583132868768e-11	2.2958807951140753e-8
NPC2	240.98957622693052	0.3472155113079554	0.05424571536451416	6.400791453754021	1.5457358254482675e-10	5.031370111834111e-8
GPNMB	10.369117137976755	1.330936490119018	0.20885965475884996	6.372396294802467	1.8609725569241077e-10	5.653634627935439e-8
MT1G	5.583634050613553	2.340052052394041	0.3748533069252421	6.242580788704962	4.3040933832288296e-10	1.225859596710861e-7
ASAH1	24.332738925069346	0.712488348079332	0.11511054608523831	6.1896009732395925	6.031670564456927e-10	1.6168425154253068e-7
IFI30	63.7527593423787	0.7379163212727268	0.11964571993313955	6.167511229696218	6.937318753495578e-10	1.7562978644266303e-7
ACAT2	11.496918069583483	-1.103962741998962	0.1828344378099381	-6.038045978769953	1.5599162256178441e-9	3.741335915863429e-7
CTNNB1	504.37902581633386	-1.763730031632824	0.29636819694669114	-5.951144724040929	2.662734970056611e-9	6.067041629273988e-7
EIF5A	84.51164486601775	-1.583473438279258	0.27330499972275396	-5.793796088200234	6.881300133828355e-9	1.4932421290407529e-6
DDIT3	9.094946118037315	1.167608802113557	0.2039985704594003	5.723612667893347	1.04282353821262e-8	2.160066756197686e-6
EXOSC6	32.682362641616734	-1.444754283043427	0.2539444319906817	-5.68925363599404	1.2759582991614265e-8	2.4871828950000356e-6
TRA2A	51.85190405586346	-1.8087167324998397	0.31816897510767544	-5.684767761808736	1.3099054088216118e-8	2.4871828950000356e-6
CALR	486.67375642622807	-1.5510166065649929	0.27378117429520055	-5.665168945811562	1.4687974541402245e-8	2.6773239994068012e-6
COX7A2L	103.78893643515337	0.37269368005414527	0.06590525094335672	5.654992200461577	1.5585334984480905e-8	2.7316296740107494e-6
NADK2	26.73630996665172	-1.4967666060709017	0.26748170625838946	-5.595771864207466	2.196423679451286e-8	3.707075076762782e-6
ACTB	673.4630415027193	-1.034261627909083	0.18631307838126088	-5.551202507601891	2.8371119751345106e-8	4.458179058857919e-6
CCND2	215.1420828769206	-1.1896639761061536	0.21414189542868614	-5.555493817426947	2.76828013798621e-8	4.458179058857919e-6
FDFT1	29.06844400250708	-0.8027721077021361	0.14530347774283275	-5.5247962414425675	3.298682113774951e-8	5.01069813082415e-6
ARPC4	69.69474494352146	-1.0244359121330104	0.19228530122697937	-5.327687064981298	9.947131117463541e-8	1.4622282742671405e-5
WTAP	87.29688397822892	-1.4839611768113306	0.2806398170150797	-5.287778450666509	1.238108050684586e-7	1.7631432459280183e-5
TOMM22	87.4189636265649	-1.2877811853811048	0.24437201387353838	-5.269757223703721	1.3660431634548749e-7	1.88638142298905e-5
FKBP1A	63.087331070480936	-0.8871402040222499	0.1692062318884252	-5.24295230808775	1.5802739629826656e-7	2.1180318968564727e-5
HNRNPH1	301.43534286771126	-1.4724184015550075	0.28248956509942763	-5.212293066601457	1.8652057645632376e-7	2.4284979054613352e-5
NUCKS1	145.73190954779952	-1.19908245580111	0.23137456194186468	-5.182429934118653	2.190136509795747e-7	2.772347798649783e-5
PAQR7	70.7670572591895	-1.3536770496815913	0.26160075998765336	-5.174591426055032	2.2841024593084014e-7	2.8131499748833474e-5
SAT2	23.139222018449402	0.6117924355567854	0.1197334253173841	5.109621093149828	3.2280554156185447e-7	3.871118033940449e-5
EIF1	166.63434617544462	0.36893943615221547	0.07250514129960989	5.088458963588015	3.609848722607298e-7	4.1547035007166024e-5
PLIN2	44.49755034661283	0.6314923165456184	0.12426460851686108	5.081835641561074	3.7380479159398883e-7	4.1547035007166024e-5
YWHAE	256.1608511916638	-0.8628477003715529	0.16975690586387718	-5.082842998230916	3.7182703431482267e-7	4.1547035007166024e-5
AP1G1	33.88306761135454	-1.3224035342082991	0.26086802582651863	-5.069243461395757	3.994000705901662e-7	4.24562238273122e-5
DHCR7	6.096125985613443	-1.0803387479048656	0.2131407424039989	-5.068663718253974	4.006183069068301e-7	4.24562238273122e-5
TMED4	84.32446945251144	-1.2243935524439347	0.24208796222281748	-5.057639137451222	4.244787066122519e-7	4.396248786436436e-5
SHMT2	24.753047451583733	0.6469171345657959	0.12887917293728046	5.019563051359901	5.178914512549887e-7	5.244514096375519e-5
