gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MARCKS	117.78882256962652	-2.393726638549995	0.23514783449721394	-10.1796669472555	2.4439640102967804e-24	2.291460656054261e-20
WTAP	87.29688397822892	-3.02781747765546	0.2995132190993554	-10.109128027003921	5.0330223364364755e-24	2.3594808713214196e-20
CYP51A1	160.0230760918018	-2.3498823442432757	0.234635088710133	-10.015050848367817	1.308945830385645e-23	4.090892035231936e-20
CTNNB1	504.37902581633386	-3.0753040980080604	0.31038191318822356	-9.908129202564446	3.8376454642189237e-23	8.995440968129157e-20
CCND2	215.1420828769206	-2.2254361123417854	0.22562809248648266	-9.863293563389545	6.004674295907366e-23	1.1259965239685492e-19
HMGCS1	117.36530147196275	-2.134838842295253	0.21711301662872928	-9.832845931784462	8.128851560021652e-23	1.270268537112717e-19
TMED4	84.32446945251144	-2.4985582163184574	0.2583940301792082	-9.669566338609263	4.0609520561581023e-22	5.439355211219766e-19
ARPC4	69.69474494352146	-1.9658502661848936	0.20496687820824852	-9.591063118927776	8.718200680075188e-22	8.883446066623344e-19
NADK2	26.73630996665172	-2.847409356978795	0.296907754024112	-9.590215541314409	8.790118866376312e-22	8.883446066623344e-19
RIN2	29.79667587948432	-2.8395831807657643	0.2963308693581765	-9.582475112754949	9.4746651734464e-22	8.883446066623344e-19
NUCKS1	145.73190954779952	-2.3171138962495847	0.24429638110116017	-9.48484740463714	2.427379697676246e-21	1.8965926704510403e-18
WSB2	42.51882199389895	-2.6584214991330763	0.2800192715876243	-9.493709072452882	2.2295668856118352e-21	1.8965926704510403e-18
B4GALT1	122.0550101853036	-2.4660815100470916	0.2610751333129759	-9.445869006186669	3.524673105170197e-21	2.360523931005412e-18
SET	303.9098455442272	-2.2551622764133983	0.23859714538718232	-9.451757156414612	3.3318967571318428e-21	2.360523931005412e-18
ACTB	673.4630415027193	-1.835916136896717	0.19487980578778613	-9.420761322473469	4.4782899965644036e-21	2.7992298005191903e-18
HNRNPA0	63.18669459554235	-2.386553048522548	0.2539076140363585	-9.399296896156898	5.492888957068634e-21	3.2188329288422194e-18
STARD7	87.6124064329893	-1.838724461795837	0.19591364867222863	-9.385382153093868	6.26886928341896e-21	3.4574657883138922e-18
CLDN11	409.73031935340975	-2.259847832461054	0.24164976742283484	-9.351748427329579	8.621062358791331e-21	4.49061559311264e-18
NKX3-1	64.31603331020038	-2.2370879542603848	0.24037382035932453	-9.306703828712536	1.3186094658273821e-20	6.506990711367123e-18
TSC22D2	15.27881851882144	-2.6692492484041868	0.28722407533558597	-9.2932643104012	1.4962747669942213e-20	7.01453610766891e-18
MIR202HG	303.85138037710414	-2.771116447030906	0.3006937723186577	-9.21574273275683	3.091306566826317e-20	1.3801947795506452e-17
CNOT9	65.67871103474518	-2.2768282055159585	0.24923259993010227	-9.135354709434075	6.519270497572475e-20	2.7783945538745237e-17
CALR	486.67375642622807	-2.607473006133626	0.2864208038051679	-9.103643909564992	8.735082237797897e-20	3.560875263547525e-17
TRA2A	51.85190405586346	-3.0808031994806995	0.3408396987958244	-9.038862580752998	1.5831042605934307e-19	6.184660644718337e-17
CTTN	26.943599832245916	-2.4394088173641237	0.2701549330921343	-9.02966601217747	1.7219653729301048e-19	6.458058934637066e-17
PAQR7	70.7670572591895	-2.5045001784630094	0.27849150745224144	-8.99309354664076	2.4036750796333423e-19	8.66802213332393e-17
HNRNPH1	301.43534286771126	-2.6590609193528274	0.29626930679704455	-8.975148145111039	2.8297073126272385e-19	9.826420653034439e-17
AMFR	51.28800036303286	-3.058636911735943	0.34229535515346204	-8.935665838540688	4.047334530601731e-19	1.355278877104351e-16
PPP1CB	294.74560645707595	-2.160099732253393	0.2418970750345716	-8.929829895399413	4.26664335377678e-19	1.3794499339658996e-16
EIF5A	84.51164486601775	-2.5662911227599823	0.2883248324529639	-8.900694057209366	5.54985412750384e-19	1.7345144099825336e-16
FKBP9	43.43302314746542	-2.456140092394297	0.2761575450936204	-8.89398148278599	5.895752498297776e-19	1.7831798523883853e-16
PPP3CA	115.7457736236554	-2.560551137019617	0.28892057621818834	-8.862474146133255	7.825796422257292e-19	2.223474765305587e-16
TOMM22	87.4189636265649	-2.2920019414634716	0.2585855355520568	-8.863612330713913	7.746277389617593e-19	2.223474765305587e-16
ATP1B1	62.381282717223016	-2.1869307757726757	0.24806517675086073	-8.815952341303735	1.1867196039730667e-18	3.1955306249625244e-16
EXOSC6	32.682362641616734	-2.4228666255487052	0.2749440624835981	-8.812216578393077	1.2269528850112082e-18	3.1955306249625244e-16
PRPS2	78.46384496155592	-2.111510856303895	0.2395732419187404	-8.813633940889305	1.2115320630718798e-18	3.1955306249625244e-16
PDCD4	39.40654686603922	-2.5060943239460607	0.28611955198772854	-8.758906221318092	1.9715405333348615e-18	4.995990281229098e-16
LYSMD1	27.253812333896636	-2.727273695843996	0.3119013225809762	-8.744027352227524	2.249449616453094e-18	5.407907590734412e-16
TOR1AIP2	93.50236063740878	-2.0635128282192587	0.23598449465099167	-8.744272928910362	2.244562933973787e-18	5.407907590734412e-16
INSR	83.68178350851866	-2.626017449904165	0.30131405877447337	-8.715217141161272	2.9020189713396102e-18	6.802332468820046e-16
FKBP1A	63.087331070480936	-1.5732096301708876	0.18086777417876984	-8.698120145028854	3.3742718458721164e-18	7.716383616316333e-16
ADAM10	35.047673269722374	-1.9231677868641535	0.22181300544144664	-8.67022104063156	4.312823229048444e-18	9.62786442751386e-16
CNN3	149.33803652395204	-2.553064497756475	0.2947419165036845	-8.662033985670172	4.634201380597011e-18	1.0104714452204087e-15
BCL10	30.751777465800092	-2.5755538549732635	0.30246835890096047	-8.515118289832746	1.6642033910501752e-17	3.546266135110555e-15
FRMD8	22.234652379600323	-2.3558798330636908	0.2774561107308862	-8.490999988638693	2.0486659146130536e-17	4.2685092478693314e-15
RASSF3	15.413657617922693	-3.1463506657426654	0.3770214104729566	-8.345283791166418	7.104307890663905e-17	1.4480432778883648e-14
ANKRD40	21.61343636896876	-2.56765514765389	0.3083880465693287	-8.326052764424043	8.358256106440603e-17	1.6673831756167466e-14
TP53	51.95014301695585	-2.4947707444835374	0.3007862253020437	-8.294165538924986	1.0935008729115863e-16	2.1359717050872987e-14
UGCG	16.321730512757362	-2.1118330711997837	0.2550346830544912	-8.280572061442191	1.2258496161066285e-16	2.3456257144113774e-14
SCD	44.27776230063157	-1.5208074820532218	0.1839605141628725	-8.267032134443534	1.3733495388976591e-16	2.5753050553408907e-14
CDC42	159.48555309704537	-1.4178295144832593	0.17196378633977108	-8.244930776773375	1.65255859244103e-16	3.038115561319039e-14
EZR	46.96067537942438	-1.850196934784352	0.22449213219532832	-8.241700574051809	1.6978002132841158e-16	3.0612643845676674e-14
CHP1	77.88513314946876	-1.7866513880132744	0.21797693501997392	-8.196515782046196	2.4745480730137748e-16	4.377615609920217e-14
HERPUD2	12.031158610313518	-2.257894972434986	0.2756055663716957	-8.192486828767	2.5588323776720083e-16	4.4428911801949534e-14
CARMIL1	23.501726724590373	-2.7742373938859757	0.33944491691216416	-8.172864743777696	3.0115154293840056e-16	5.1338124847098974e-14
CRIM1	19.614618228849597	-2.4560205720289416	0.30075170672302165	-8.166273098795156	3.1806278842859458e-16	5.3252798291187545e-14
RNF2	40.45590268355815	-2.6936917892713343	0.33043111104081746	-8.152052573943584	3.5779867490292057e-16	5.885474343666287e-14
ZDHHC2	27.615916525139703	-2.473022564199101	0.3034586838678634	-8.149453931184722	3.6557126499926775e-16	5.909648587298507e-14
SLC12A2	30.63542453307591	-2.156244964596626	0.2654534037890714	-8.122875554875058	4.55266068674574e-16	7.234872304903061e-14
AP1G1	33.88306761135454	-2.27821711773909	0.2809321492961014	-8.109492357664834	5.083167709596025e-16	7.943296740862056e-14
SLC16A1	28.547660516274288	-2.2252313374956922	0.27477329821669694	-8.098426418933865	5.567462126919107e-16	8.557463098687467e-14
CTBP1	51.621015237493076	-2.7810561773688383	0.3441383292904774	-8.081216013056853	6.412410808242209e-16	9.697219957754668e-14
FRRS1	17.326616835093326	-2.350675869013996	0.2925602525628168	-8.034843586653224	9.369835591455237e-16	1.3944695000870525e-13
TNRC6B	28.16631238007361	-2.1348037908190616	0.26609985792129576	-8.022566443648653	1.0355835027715154e-15	1.51712983156027e-13
SRPRB	50.015857588226	-1.825747103780281	0.22887984569151085	-7.976880175990078	1.500783926422719e-15	2.1648230914060635e-13
CCDC117	29.944367272832476	-2.2785433306592635	0.2860672673906766	-7.9650613348485635	1.6514184547849818e-15	2.346015065464241e-13
ALDH16A1	15.653686616799384	-2.518349106827739	0.3173781048564083	-7.934854573434163	2.1074211403585965e-15	2.9491314346271943e-13
ETV5	20.026301931304086	-2.072651714818775	0.2614837269855048	-7.926503644082108	2.254020314765908e-15	3.1078962457713463e-13
LETM1	17.341898591536253	-2.4603928316389854	0.3108507297967065	-7.915029934940347	2.4719360948087012e-15	3.3589670760762874e-13
PIM2	23.97616710288755	-2.4869172932194097	0.3148732176772699	-7.8981544113681394	2.8306335239798283e-15	3.7914314172621245e-13
RASGEF1B	29.942275555358556	-2.6891060449889865	0.3409944006796521	-7.886070972512164	3.118492965322494e-15	4.118167611670944e-13
SLC35F6	47.34102355036401	-1.9617334921602292	0.24924845511987787	-7.870594388305111	3.5296025079843613e-15	4.596326821508524e-13
SKIL	38.250269460801796	-1.8029387540811412	0.22967483318360807	-7.8499621795298085	4.161627507428615e-15	5.345125960226122e-13
HSPA4	41.870654250681575	-2.0767994706698083	0.26487951901076245	-7.84054380053984	4.485994177789191e-15	5.683875866344791e-13
PCMTD1	19.89831184466507	-2.1869058846392413	0.27909344861601487	-7.835747830999974	4.660604006501064e-15	5.826117301119866e-13
SERPINB9	39.85331082727387	-2.2573466673469165	0.2881441118848276	-7.834089173577101	4.722535355003304e-15	5.826117301119866e-13
EBP	89.59696373028675	-1.1615617135369327	0.14882704354752296	-7.804775838109198	5.960739738621256e-15	7.25816828432635e-13
UBP1	35.03702930810461	-3.1999109860881307	0.4116651638981435	-7.77309149938145	7.659337206094356e-15	9.206916108248806e-13
PSMB4	122.15611844772612	-0.8720181679082896	0.11236305759961784	-7.760719461867469	8.444893316089572e-15	1.0022698700209596e-12
TFAP2C	12.964674702879245	-3.079804987471413	0.3970559410849571	-7.756602203346541	8.723501219914755e-15	1.0223943429740092e-12
LSM12	15.684505453266038	-1.9458336969194583	0.2509591757071891	-7.753586580112906	8.933283338024972e-15	1.0340551182385448e-12
CAPZA1	121.18094536476526	-1.5824823353845932	0.2051957663822792	-7.712061331891382	1.2380160673230427e-14	1.4155656886854693e-12
ABCA1	29.547927376467747	-1.8990531675781328	0.24660592372415446	-7.7007605449995324	1.3525874670970054e-14	1.5097452489882765e-12
SFXN1	28.832869981352896	-2.112599634730987	0.27431991294216573	-7.701225959401577	1.3476693544075368e-14	1.5097452489882765e-12
UBE2B	36.036176864886826	-1.371599205271149	0.17835834313033694	-7.690132018488424	1.4698328228685107e-14	1.6213120643782538e-12
HK2	63.56431046659408	-2.1715930415829434	0.28289191088426496	-7.676405574111211	1.6361455670845145e-14	1.7791326640461539e-12
SLC38A2	64.68973230873263	-1.349653213401277	0.17584466795257364	-7.675258107714058	1.6508590206059662e-14	1.7791326640461539e-12
THRAP3	68.6840494674246	-1.7848886261164032	0.23295494533413513	-7.661947779456999	1.8313410797556713e-14	1.9512106777033152e-12
TSPYL1	113.30215668953387	-1.82271357725123	0.2389732748286326	-7.627269528604382	2.3977794457857503e-14	2.5260202341221566e-12
C1orf174	17.255024450369778	-2.220663631535484	0.29135141985970364	-7.621942026590482	2.498872694599929e-14	2.6032700427298814e-12
ARGLU1	14.509259870937452	-1.9405559286806453	0.2547692428616366	-7.6169160251991155	2.5980823534378113e-14	2.676881334706914e-12
ARF6	40.33449938214482	-1.8408317698585355	0.24176889869001336	-7.614013960574714	2.6571207985592507e-14	2.7079526747056016e-12
PDE6B	11.704281857564435	-2.4122370670333777	0.3172431065870026	-7.6037493548243	2.876721589650698e-14	2.9002302822112845e-12
CRISPLD2	15.968285933618564	-2.093975021518644	0.27559659225379773	-7.597971384168264	3.008088239386825e-14	3.0004080140947737e-12
CDS2	26.536404691269112	-1.6702343433309204	0.22013725691196492	-7.587240645952374	3.267898351013517e-14	3.2252436778002877e-12
CSNK1A1	70.84825416659224	-1.5106575879763962	0.19934253831719567	-7.578199819913118	3.503824737635522e-14	3.4220688270906932e-12
IFNGR2	28.53570109414475	-2.297202646210773	0.3034459486661044	-7.570384960843524	3.721198376357096e-14	3.5242379774468822e-12
SPC24	16.205897649015824	-2.3891228745903073	0.315553778079917	-7.571206686630888	3.697731772456998e-14	3.5242379774468822e-12
STAT2	17.334427541163862	-2.315738871604973	0.3058638156457799	-7.571143604272643	3.69952809094223e-14	3.5242379774468822e-12
PTPRS	29.241231374968745	-2.9313073308587194	0.3877249101668947	-7.560275994639987	4.022150000367842e-14	3.7711678403448885e-12
EIF2S3	177.49084675503178	-1.685422328430545	0.22298633756528835	-7.558410738671686	4.0802386515779525e-14	3.7877542175440475e-12
EIF4EBP2	42.131095078166254	-1.7885027042032853	0.2372808033771852	-7.537494305260986	4.790875493276995e-14	4.403847904408344e-12
SKA2	41.63517435286723	-1.5271195278110918	0.2039684444083804	-7.487038165342538	7.044522267826692e-14	6.35090776760991e-12
SRSF6	46.716887114820146	-1.7123219638682552	0.22868171587196637	-7.4877956785445186	7.003994763172985e-14	6.35090776760991e-12
DIPK2A	18.74485535650226	-1.3582228751058756	0.18144272247285123	-7.485683948051996	7.117549094470137e-14	6.355632410452572e-12
SLIT2	14.687785579940197	-2.427006547754554	0.32482575137852115	-7.471718413502107	7.915425019340912e-14	7.001417451069848e-12
GDI2	192.86939357138277	-0.8242701753487314	0.11061034464729369	-7.452017060222575	9.192383514247949e-14	8.054933442017641e-12
BIRC5	17.842908961050124	-2.0656167675766888	0.2773627898289181	-7.447346375664865	9.523634476903052e-14	8.267925634763242e-12
WDR43	21.693145115535255	-2.41634494915688	0.32467168501757504	-7.442425874082857	9.885293058090182e-14	8.503165845197574e-12
DMRT1	22.390670481689398	-2.2245036249447585	0.299167016124924	-7.435658027273522	1.0404869564220551e-13	8.868732457648354e-12
YWHAE	256.1608511916638	-1.3202111145455935	0.17775525408660278	-7.427128505030763	1.1098053049466601e-13	9.3743554407026e-12
ZNF765	11.58581602507006	-2.1719450436110725	0.2928676099871206	-7.416132646783945	1.2058972762355761e-13	1.0095082912486394e-11
GPC3	90.18802336968223	-1.979463804771518	0.2671508852756466	-7.409534887855995	1.2674313158365102e-13	1.0516315059542583e-11
CDKAL1	28.66188347753045	-1.8875139822096916	0.25527200955802376	-7.394128269204762	1.4233896055326436e-13	1.1604957340412231e-11
FLCN	19.120663700204542	-2.505890694143543	0.3388635355807452	-7.394984797785755	1.4142445281697823e-13	1.1604957340412231e-11
H4C15	21.3051138017261	-2.2878640494194764	0.3096900513949884	-7.387592979218641	1.4951058025030527e-13	1.2084579314024675e-11
AFMID	50.93092184632929	-2.23602146879569	0.3028440020444836	-7.38341011775181	1.5428583732866286e-13	1.2363965904218316e-11
WNT5A	23.457453842025615	-1.8751968661329763	0.254374770956042	-7.371787929617538	1.6835468281519564e-13	1.3264651311556928e-11
ZNF28	9.208009751181097	-2.2233839672296463	0.3015792301307961	-7.372470465772314	1.6749470908306898e-13	1.3264651311556928e-11
GOLIM4	20.586090515202873	-2.752968801206326	0.37427044058374215	-7.355560318663091	1.901278759870988e-13	1.4855324710458655e-11
NFIB	40.14505868448391	-1.5058661278847598	0.2049222949313408	-7.348473861222861	2.0048266047159526e-13	1.5534920864311384e-11
