gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CCND2	215.1420828769206	-1.287479608885599	0.22047338436993205	-5.839614666255309	5.232169512900365e-9	1.1169650744579205e-5
EIF5A	84.51164486601775	-1.6222155333693313	0.28119862199384255	-5.768931305093142	7.977581287346803e-9	1.1169650744579205e-5
MAZ	5.990409134966916	-2.019495645261925	0.3498429778789272	-5.772577335997942	7.806809375969396e-9	1.1169650744579205e-5
NUCKS1	145.73190954779952	-1.3728048883640194	0.23835219027945762	-5.759564813541109	8.433107394925788e-9	1.1169650744579205e-5
FRMD8	22.234652379600323	-1.4827080483595574	0.2597239699608468	-5.708784016288811	1.1378617522296434e-8	1.2056783126625301e-5
WTAP	87.29688397822892	-1.6121720906068029	0.2887899454172678	-5.582507688338671	2.370751262210832e-8	2.0933733645321645e-5
EGR1	16.593002455625395	-2.2776096929532184	0.41464699062603616	-5.492888515878221	3.954124197001758e-8	2.327661110635035e-5
HNRNPA0	63.18669459554235	-1.3372194856059978	0.24309369017159047	-5.500839962823001	3.779861826504251e-8	2.327661110635035e-5
USP22	37.76532251059811	-0.7765225268715594	0.14059946314873492	-5.522940909455005	3.333718784708852e-8	2.327661110635035e-5
CTNNB1	504.37902581633386	-1.6342842210169164	0.30529152188046077	-5.353192289620257	8.641593066348449e-8	4.578316006551408e-5
ARPC4	69.69474494352146	-1.054664359788368	0.19783885648107127	-5.330926282872423	9.77130800135344e-8	4.706217253742775e-5
MARCKS	117.78882256962652	-1.1975185903979855	0.22758289359738942	-5.26190071436776	1.425737555344079e-7	6.294631306844109e-5
MIR202HG	303.85138037710414	-1.5086523108786678	0.2946212375684207	-5.120650240050361	3.0448392145793907e-7	1.2408890891416624e-4
FKBP9	43.43302314746542	-1.3219861802392587	0.26235173097119213	-5.038984020976104	4.68009552007432e-7	1.662471767966858e-4
TSC22D2	15.27881851882144	-1.2802324759937844	0.2541207001582598	-5.037891345319325	4.706884960268568e-7	1.662471767966858e-4
CALR	486.67375642622807	-1.4045644127692454	0.28209866098905084	-4.978982912732652	6.391928503767312e-7	1.8862259065349397e-4
CAPZA1	121.18094536476526	-0.9980499194016403	0.2008637975983231	-4.968789455019109	6.737217350414334e-7	1.8862259065349397e-4
CNOT9	65.67871103474518	-1.195705377659015	0.24020740394252477	-4.977804006179241	6.430972624842162e-7	1.8862259065349397e-4
ITM2C	35.12958628250834	-1.1563728733507166	0.23276399499004366	-4.968005783713155	6.764494568547348e-7	1.8862259065349397e-4
CTBP1	51.621015237493076	-1.6261875004539563	0.33076845711831687	-4.916392314495285	8.815365254454399e-7	2.2123636106783073e-4
JUND	6.275390442386816	-1.5111883850712189	0.30788419131431133	-4.908301327912235	9.186862860498822e-7	2.2123636106783073e-4
UBE2B	36.036176864886826	-0.8334398307378529	0.16953140898211677	-4.916138170159191	8.826811015798689e-7	2.2123636106783073e-4
EZR	46.96067537942438	-1.050537362722675	0.21490046094532972	-4.888483524425431	1.0161570012143585e-6	2.2818800169386127e-4
NADK2	26.73630996665172	-1.3346937580001437	0.27321654396111283	-4.885113246253901	1.0336942319087714e-6	2.2818800169386127e-4
BCL10	30.751777465800092	-1.3748393571056374	0.2844338888007585	-4.833598988159569	1.3408655710704125e-6	2.3679685985103483e-4
CPSF2	13.442780531605896	-0.8865524205624129	0.18271843388491066	-4.8520141165440815	1.2221392164126885e-6	2.3679685985103483e-4
PAQR7	70.7670572591895	-1.2987201888884643	0.2685753304896901	-4.835590024297926	1.3275127716564131e-06	2.3679685985103483e-4
PRPS2	78.46384496155592	-1.1257888564743677	0.2321077235682528	-4.850286061865245	1.2328354291365747e-6	2.3679685985103483e-4
SLC38A2	64.68973230873263	-0.8255670240693024	0.16977769046297245	-4.862635495971444	1.1583303491815546e-6	2.3679685985103483e-4
TRA2A	51.85190405586346	-1.5778835731218386	0.3255527841757928	-4.846782610434715	1.254797934939888e-6	2.3679685985103483e-4
ADAM10	35.047673269722374	-1.007834531595967	0.20943901032990947	-4.8120669115482375	1.4937732138923593e-6	2.5284380610791175e-4
TMED4	84.32446945251144	-1.1953404352577102	0.24863321615028544	-4.807645791522847	1.527180406842804e-6	2.5284380610791175e-4
HNRNPH1	301.43534286771126	-1.3899671838172467	0.2909208446014638	-4.777819154627372	1.7720664561187822e-6	2.8449721468234263e-4
ACTB	673.4630415027193	-0.9079943275690028	0.19196892099169216	-4.7299027513328475	2.246274117764477e-6	3.405784441405635e-4
CYP51A1	160.0230760918018	-1.0814014297876848	0.22864685183168273	-4.729570606918975	2.2499519714835262e-6	3.405784441405635e-4
ARHGAP1	14.345879845324315	-1.1079883679387779	0.23500894400712483	-4.714664680613971	2.4210912506051384e-6	3.506085654855243e-4
ATP1B1	62.381282717223016	-1.1267959724811696	0.2391146885665014	-4.712366183927637	2.448568690631257e-6	3.506085654855243e-4
B3GNT7	10.900204738876988	-1.403626037119456	0.2992328503134195	-4.690748477813462	2.722074304457752e-6	3.6978332474403e-4
TAPBP	13.748624041407044	-0.8992932413628357	0.19154177812064166	-4.69502397955406	2.665754507771217e-6	3.6978332474403e-4
CTTN	26.943599832245916	-1.1709618506428374	0.25000361179762237	-4.683779735113306	2.8163264940005275e-6	3.7024706403978333e-4
