gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FTL	3064.782603274883	0.6150433951572911	0.060098499805002606	10.233922596285753	1.3974188537723491e-24	9.4758972474303e-21
EIF5A	84.51164486601775	-2.1927172466981175	0.2841259031543993	-7.717414084229252	1.1871349570568793e-14	4.024981071901349e-11
CCND2	215.1420828769206	-1.6041583452260755	0.22207628649433248	-7.223456275089572	5.068260050087792e-13	7.379268186929212e-10
GPC3	90.18802336968223	-1.9174414545823937	0.264751695259366	-7.242414265578008	4.407670710655788e-13	7.379268186929212e-10
SPC24	16.205897649015824	-2.2143785271177525	0.30696419320166257	-7.213800749923294	5.441135663566739e-13	7.379268186929212e-10
WFDC1	7.562315202150114	-2.4047220892611354	0.3363327700034504	-7.149829881984041	8.688550857717086e-13	9.819510561029928e-10
CTNNB1	504.37902581633386	-2.176958700815758	0.30616488039831696	-7.1104128533081905	1.1569633791548604e-12	1.1207669534355868e-9
HMGCS1	117.36530147196275	-1.4896827278322593	0.21319104187978596	-6.9875484199390545	2.797310485257838e-12	2.3710703000666747e-9
SCD	44.27776230063157	-1.2250767272419125	0.1801877568303663	-6.798889940093063	1.0542831779302613e-11	7.943438032827891e-9
NUCKS1	145.73190954779952	-1.6261979381276275	0.23998806563395902	-6.776161697173643	1.234105544659319e-11	8.368469698334842e-9
ACTB	673.4630415027193	-1.2992739367432466	0.1924855848520438	-6.74998046083268	1.4786506704243505e-11	8.798961035207034e-9
ARPC4	69.69474494352146	-1.3481783672864927	0.20022125839853608	-6.733442682709409	1.6569495158715012e-11	8.798961035207034e-9
CYP51A1	160.0230760918018	-1.550888487127028	0.23041530669451735	-6.7308396710952145	1.686867622145575e-11	8.798961035207034e-9
FRMD8	22.234652379600323	-1.7737444405850376	0.2662481748545	-6.66199661858474	2.7013224493671063e-11	1.3084048235113104e-8
PLIN2	44.49755034661283	0.8488255193755128	0.12803503687634293	6.6296346694172	3.365186964471844e-11	1.5212888537389048e-8
FKBP1A	63.087331070480936	-1.1532041029037075	0.17667838015811946	-6.527137626412694	6.703844435514821e-11	2.674045242189765e-8
WTAP	87.29688397822892	-1.9023972443942592	0.2911564660139345	-6.533934383937782	6.40640214033121e-11	2.674045242189765e-8
ANXA2	152.75325549212863	0.7787002956627261	0.12149939836968988	6.40908766719446	1.4639300238796328e-10	5.514949717737661e-8
GPNMB	10.369117137976755	1.385620222321572	0.21788733956256529	6.359342516657319	2.0261914373686898e-10	7.231370598314255e-8
CDC42	159.48555309704537	-1.0643481489192865	0.16958357963409706	-6.276245325259575	3.468467691420811e-10	1.1759839707762259e-7
MTHFD2	34.3179764215358	0.866409008486496	0.13827549256723493	6.265817553065047	3.7087436789203724e-10	1.1975709946075736e-7
CALM1	130.6549271448764	-0.5254071412263998	0.08428742748866239	-6.233517345123304	4.560768306564523e-10	1.3902835845843688e-7
MIR202HG	303.85138037710414	-1.8432316256965724	0.29594516480104793	-6.228287686118146	4.715605728571078e-10	1.3902835845843688e-7
USP22	37.76532251059811	-0.8968924257650341	0.14416579474858773	-6.2212567643325825	4.931882841929054e-10	1.3934623979633718e-7
CALR	486.67375642622807	-1.7530592410277468	0.28266600271302006	-6.201875090042436	5.579435501765706e-10	1.5133660854989303e-7
ASAH1	24.332738925069346	0.7522976565247987	0.12160706146512676	6.186299113399225	6.159308744829184e-10	1.6028650208484025e-7
TRA2A	51.85190405586346	-2.0375223163835803	0.3296592901249861	-6.180691330164182	6.382149471008239e-10	1.6028650208484025e-7
CTTN	26.943599832245916	-1.5793292617136137	0.2563915392045746	-6.159833770698136	7.282134329538334e-10	1.7635768888785515e-7
BIRC5	17.842908961050124	-1.6497954234259404	0.2685591647996065	-6.1431358138791685	8.090804655401973e-10	1.8918533230441646e-7
TOMM22	87.4189636265649	-1.5446825598182508	0.2529193586581501	-6.10741134254602	1.0126002621556874e-9	2.288814125892572e-7
