ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0016126	sterol biosynthetic process	20/1033	44/8616	3.2590043818888014e-8	9.090894104121028e-5	8.080794759218693e-5	HMGCS1/MSMO1/EBP/CYP51A1/IDI1/FDPS/HMGCR/SQLE/FDFT1/DHCR7/ERG28/ACAA2/DHCR24/ACLY/MVD/LIPA/ABCG1/TM7SF2/NSDHL/INSIG1	20
GO:0008203	cholesterol metabolic process	27/1033	76/8616	8.039545448370459e-8	9.090894104121028e-5	8.080794759218693e-5	HMGCS1/MSMO1/EBP/CYP51A1/IDI1/NPC2/FDPS/ABCA1/HMGCR/SQLE/FDFT1/DHCR7/APOL2/FDX1/ACAA2/DHCR24/ACLY/MVD/LIPA/SOAT1/ABCG1/STAR/SNX17/TM7SF2/LDLR/NSDHL/INSIG1	27
GO:0045667	regulation of osteoblast differentiation	26/1033	72/8616	9.554901989727314e-8	9.090894104121028e-5	8.080794759218693e-5	CTNNB1/PPP3CA/CRIM1/TOB1/SOX11/ATF4/REST/PTCH1/RIOX1/JUND/TWIST1/SOX9/DDX5/IGF1/IFITM1/SMOC1/WNT4/ACVR2A/RASSF2/NOCT/IL6ST/SEMA4D/DDR2/TNFAIP6/CITED1/ATRAID	26
GO:0006695	cholesterol biosynthetic process	18/1033	39/8616	1.1957784241114097e-7	9.090894104121028e-5	8.080794759218693e-5	HMGCS1/MSMO1/EBP/CYP51A1/IDI1/FDPS/HMGCR/FDFT1/DHCR7/ACAA2/DHCR24/ACLY/MVD/LIPA/ABCG1/TM7SF2/NSDHL/INSIG1	18
GO:1902653	secondary alcohol biosynthetic process	18/1033	39/8616	1.1957784241114097e-7	9.090894104121028e-5	8.080794759218693e-5	HMGCS1/MSMO1/EBP/CYP51A1/IDI1/FDPS/HMGCR/FDFT1/DHCR7/ACAA2/DHCR24/ACLY/MVD/LIPA/ABCG1/TM7SF2/NSDHL/INSIG1	18
GO:1902652	secondary alcohol metabolic process	28/1033	82/8616	1.2243628423058624e-7	9.090894104121028e-5	8.080794759218693e-5	HMGCS1/MSMO1/EBP/CYP51A1/IDI1/NPC2/FDPS/ABCA1/HMGCR/SQLE/FDFT1/DHCR7/APOL2/FDX1/ACAA2/DHCR24/ACLY/MVD/LIPA/SOAT1/ABCG1/STAR/SNX17/TM7SF2/IDH1/LDLR/NSDHL/INSIG1	28
GO:0016125	sterol metabolic process	28/1033	83/8616	1.639829639498512e-7	1.0436344348522674e-4	9.276750532020154e-5	HMGCS1/MSMO1/EBP/CYP51A1/IDI1/NPC2/FDPS/ABCA1/HMGCR/SQLE/FDFT1/DHCR7/APOL2/FDX1/ERG28/ACAA2/DHCR24/ACLY/MVD/LIPA/SOAT1/ABCG1/STAR/SNX17/TM7SF2/LDLR/NSDHL/INSIG1	28
GO:1901617	organic hydroxy compound biosynthetic process	35/1033	121/8616	3.671110864682674e-7	2.0028978381542254e-4	1.7803536339148671e-4	HMGCS1/MSMO1/EBP/CYP51A1/IDI1/FDPS/WNT5A/ASAH1/HMGCR/REST/PSAT1/SQLE/FDFT1/PER2/DHCR7/ERG28/ACAA2/PNPO/DHCR24/ACLY/H6PD/MVD/SLC7A11/LIPA/HSD17B3/ABCG1/PCK2/WNT4/SNCA/STAR/TM7SF2/NSDHL/DHDDS/INSIG1/CITED1	35
GO:0006694	steroid biosynthetic process	31/1033	101/8616	4.046258258897425e-7	2.0028978381542254e-4	1.7803536339148671e-4	HMGCS1/MSMO1/EBP/CYP51A1/IDI1/FDPS/ASAH1/HMGCR/REST/SQLE/FDFT1/DHCR7/FDX1/ERG28/ACAA2/EGR1/DHCR24/CYP17A1/ACLY/H6PD/MVD/LIPA/HSD17B3/ABCG1/IGF1R/WNT4/STAR/TM7SF2/ATP1A1/NSDHL/INSIG1	31
GO:0046165	alcohol biosynthetic process	25/1033	75/8616	9.699837795872542e-7	4.3212777380612175e-4	3.841135767165527e-4	HMGCS1/MSMO1/EBP/CYP51A1/IDI1/FDPS/ASAH1/HMGCR/REST/FDFT1/DHCR7/ACAA2/DHCR24/ACLY/H6PD/MVD/LIPA/ABCG1/PCK2/WNT4/SNCA/TM7SF2/NSDHL/DHDDS/INSIG1	25
