ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0016126	sterol biosynthetic process	17/356	44/8616	5.063851380163974e-13	1.8852718688350475e-9	1.6630754006433263e-9	MSMO1/HMGCS1/IDI1/EBP/CYP51A1/FDPS/HMGCR/FDFT1/DHCR7/ACLY/SQLE/NSDHL/SC5D/ERG28/ACAA2/DHCR24/TM7SF2	17
GO:0006695	cholesterol biosynthetic process	15/356	39/8616	1.3286073121647903e-11	1.648801674396505e-8	1.4544753733172444e-8	MSMO1/HMGCS1/IDI1/EBP/CYP51A1/FDPS/HMGCR/FDFT1/DHCR7/ACLY/NSDHL/SC5D/ACAA2/DHCR24/TM7SF2	15
GO:1902653	secondary alcohol biosynthetic process	15/356	39/8616	1.3286073121647903e-11	1.648801674396505e-8	1.4544753733172444e-8	MSMO1/HMGCS1/IDI1/EBP/CYP51A1/FDPS/HMGCR/FDFT1/DHCR7/ACLY/NSDHL/SC5D/ACAA2/DHCR24/TM7SF2	15
GO:0046165	alcohol biosynthetic process	19/356	75/8616	1.090290618448516e-10	1.0147879931209562e-7	8.95185981462992e-8	MSMO1/HMGCS1/IDI1/EBP/CYP51A1/FDPS/HMGCR/ASAH1/FDFT1/DHCR7/ACLY/NSDHL/SC5D/ACAA2/DHCR24/H6PD/TM7SF2/PTS/REST	19
GO:1901617	organic hydroxy compound biosynthetic process	23/356	121/8616	5.975687372307608e-10	3.7485249824410304e-7	3.306727156994505e-7	MSMO1/HMGCS1/IDI1/EBP/CYP51A1/FDPS/HMGCR/ASAH1/FDFT1/DHCR7/ACLY/SQLE/NSDHL/SC5D/ERG28/PSAT1/WNT5A/ACAA2/DHCR24/H6PD/TM7SF2/PTS/REST	23
GO:0006694	steroid biosynthetic process	21/356	101/8616	6.0411361522015e-10	3.7485249824410304e-7	3.306727156994505e-7	MSMO1/HMGCS1/IDI1/EBP/CYP51A1/FDPS/HMGCR/ASAH1/FDFT1/DHCR7/ACLY/SQLE/NSDHL/SC5D/ERG28/ACAA2/DHCR24/H6PD/TM7SF2/IGFBP7/REST	21
GO:0016125	sterol metabolic process	19/356	83/8616	7.171616787581684e-10	3.814275614309516e-7	3.364728477782685e-7	MSMO1/HMGCS1/IDI1/EBP/CYP51A1/FDPS/HMGCR/NPC2/FDFT1/DHCR7/ACLY/SQLE/NSDHL/SC5D/ERG28/ACAA2/DHCR24/TM7SF2/ABCA1	19
GO:0008203	cholesterol metabolic process	18/356	76/8616	1.1235194309420258e-9	5.228578551746453e-7	4.612342927025159e-7	MSMO1/HMGCS1/IDI1/EBP/CYP51A1/FDPS/HMGCR/NPC2/FDFT1/DHCR7/ACLY/SQLE/NSDHL/SC5D/ACAA2/DHCR24/TM7SF2/ABCA1	18
GO:1902652	secondary alcohol metabolic process	18/356	82/8616	4.179319346270345e-9	1.7288451029071661e-6	1.5250849544284768e-6	MSMO1/HMGCS1/IDI1/EBP/CYP51A1/FDPS/HMGCR/NPC2/FDFT1/DHCR7/ACLY/SQLE/NSDHL/SC5D/ACAA2/DHCR24/TM7SF2/ABCA1	18
GO:0008202	steroid metabolic process	23/356	155/8616	8.194540809769671e-8	3.0508275434772487e-5	2.6912597185769866e-5	MSMO1/HMGCS1/IDI1/EBP/CYP51A1/FDPS/HMGCR/NPC2/ASAH1/FDFT1/DHCR7/ACLY/SQLE/NSDHL/SC5D/ERG28/ACAA2/DHCR24/H6PD/TM7SF2/ABCA1/IGFBP7/REST	23
GO:0061687	detoxification of inorganic compound	7/356	14/8616	5.178560787421444e-7	1.7527074374154577e-4	1.5461348953832446e-4	MT1X/MT1F/MT1E/MT1G/MT2A/TXN/SLC30A1	7
GO:0055082	intracellular chemical homeostasis	34/356	336/8616	1.047387252068934e-6	3.0152399832125644e-4	2.6598664765605564e-4	MT1X/FTL/MT1F/MT1E/MT1G/DDIT3/CALR/FKBP1A/NUCKS1/YWHAE/PPP3CA/CALM1/LETM1/ATP1B1/MT2A/PRND/SLC39A10/WNT5A/SLC12A2/ATF4/KCNJ2/SLC30A1/STC1/CHP1/TMCO1/SLC4A7/FRRS1/FOXK2/HK2/RAP1GDS1/ADNP/SMDT1/CAV1/MPC2	34
GO:0030003	intracellular monoatomic cation homeostasis	28/356	247/8616	1.0528638136385534e-6	3.0152399832125644e-4	2.6598664765605564e-4	MT1X/FTL/MT1F/MT1E/MT1G/DDIT3/CALR/FKBP1A/YWHAE/CALM1/LETM1/ATP1B1/MT2A/PRND/SLC39A10/WNT5A/SLC12A2/ATF4/KCNJ2/SLC30A1/STC1/CHP1/TMCO1/SLC4A7/FRRS1/RAP1GDS1/SMDT1/CAV1	28
GO:0006873	intracellular monoatomic ion homeostasis	28/356	250/8616	1.3437060937852168e-6	3.5732984194016877e-4	3.1521526410600577e-4	MT1X/FTL/MT1F/MT1E/MT1G/DDIT3/CALR/FKBP1A/YWHAE/CALM1/LETM1/ATP1B1/MT2A/PRND/SLC39A10/WNT5A/SLC12A2/ATF4/KCNJ2/SLC30A1/STC1/CHP1/TMCO1/SLC4A7/FRRS1/RAP1GDS1/SMDT1/CAV1	28
GO:0019725	cellular homeostasis	37/356	397/8616	2.5342726180815206e-6	6.290064638078334e-4	5.548723205904803e-4	MT1X/FTL/MT1F/MT1E/MT1G/DDIT3/CALR/FKBP1A/NUCKS1/YWHAE/PPP3CA/CALM1/LETM1/ATP1B1/MT2A/PRND/SLC39A10/WNT5A/TXN/SLC12A2/ATF4/KCNJ2/SLC30A1/GSR/STC1/CHP1/TMCO1/SLC4A7/FRRS1/FOXK2/HK2/RAP1GDS1/ADNP/SMDT1/TXNRD1/CAV1/MPC2	37
GO:0006066	alcohol metabolic process	23/356	191/8616	3.567819450056682e-6	8.301869882850643e-4	7.32341887116898e-4	MSMO1/HMGCS1/IDI1/EBP/CYP51A1/FDPS/HMGCR/NPC2/ASAH1/FDFT1/DHCR7/ACLY/SQLE/NSDHL/SC5D/ALDH1B1/ACAA2/DHCR24/H6PD/TM7SF2/PTS/ABCA1/REST	23
