ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0009206	purine ribonucleoside triphosphate biosynthetic process	27/1057	82/8616	7.539385588103601e-7	0.001639331609014326	0.0015513159217411619	FLCN/ATP5ME/NDUFV3/ATP5PO/ATP5MF/NDUFS5/NDUFB9/NDUFA6/NDUFA1/ATP5MG/NDUFA7/ENO1/ATP5PD/TMSB4X/NDUFB4/NDUFB3/ATP5F1A/NME1/NDUFA2/ATP5MC1/NDUFA9/IMPDH2/ATP5MC2/NDUFB5/ATP5PB/NDUFA3/COX11	27
GO:0009145	purine nucleoside triphosphate biosynthetic process	27/1057	83/8616	9.889780554354549e-7	0.001639331609014326	0.0015513159217411619	FLCN/ATP5ME/NDUFV3/ATP5PO/ATP5MF/NDUFS5/NDUFB9/NDUFA6/NDUFA1/ATP5MG/NDUFA7/ENO1/ATP5PD/TMSB4X/NDUFB4/NDUFB3/ATP5F1A/NME1/NDUFA2/ATP5MC1/NDUFA9/IMPDH2/ATP5MC2/NDUFB5/ATP5PB/NDUFA3/COX11	27
GO:0006754	ATP biosynthetic process	25/1057	74/8616	1.1238562219019601e-6	0.001639331609014326	0.0015513159217411619	FLCN/ATP5ME/NDUFV3/ATP5PO/ATP5MF/NDUFS5/NDUFB9/NDUFA6/NDUFA1/ATP5MG/NDUFA7/ENO1/ATP5PD/TMSB4X/NDUFB4/NDUFB3/ATP5F1A/NDUFA2/ATP5MC1/NDUFA9/ATP5MC2/NDUFB5/ATP5PB/NDUFA3/COX11	25
GO:0046034	ATP metabolic process	29/1057	98/8616	3.5029581008065895e-6	0.0030960648674819014	0.002929837195389637	ATP1B1/FLCN/ENPP1/ATP5ME/NDUFV3/AK4/ATP5PO/ATP5MF/NDUFS5/NDUFB9/NDUFA6/NDUFA1/ATP5MG/NDUFA7/ENO1/ATP5PD/TMSB4X/NDUFB4/NDUFB3/ATP5F1A/NDUFA2/ATP5MC1/NDUFA9/ATP5MC2/HSPA8/NDUFB5/ATP5PB/NDUFA3/COX11	29
GO:0009201	ribonucleoside triphosphate biosynthetic process	27/1057	88/8616	3.537551265404366e-6	0.0030960648674819014	0.002929837195389637	FLCN/ATP5ME/NDUFV3/ATP5PO/ATP5MF/NDUFS5/NDUFB9/NDUFA6/NDUFA1/ATP5MG/NDUFA7/ENO1/ATP5PD/TMSB4X/NDUFB4/NDUFB3/ATP5F1A/NME1/NDUFA2/ATP5MC1/NDUFA9/IMPDH2/ATP5MC2/NDUFB5/ATP5PB/NDUFA3/COX11	27
GO:0009205	purine ribonucleoside triphosphate metabolic process	32/1057	115/8616	4.802255678791062e-6	0.0031396837914326693	0.0029711142200269706	ATP1B1/FLCN/ENPP1/ATP5ME/NDUFV3/MFN1/AK4/ATP5PO/ATP5MF/NDUFS5/NDUFB9/NDUFA6/NDUFA1/ATP5MG/NDUFA7/ENO1/ATP5PD/TMSB4X/NDUFB4/NDUFB3/ATP5F1A/NME1/NDUFA2/ATP5MC1/NDUFA9/IMPDH2/ATP5MC2/HSPA8/NDUFB5/ATP5PB/NDUFA3/COX11	32
GO:0009142	nucleoside triphosphate biosynthetic process	28/1057	95/8616	5.604758358643072e-6	0.0031396837914326693	0.0029711142200269706	FLCN/ATP5ME/NDUFV3/AK4/ATP5PO/ATP5MF/NDUFS5/NDUFB9/NDUFA6/NDUFA1/ATP5MG/NDUFA7/ENO1/ATP5PD/TMSB4X/NDUFB4/NDUFB3/ATP5F1A/NME1/NDUFA2/ATP5MC1/NDUFA9/IMPDH2/ATP5MC2/NDUFB5/ATP5PB/NDUFA3/COX11	28
GO:0015986	proton motive force-driven ATP synthesis	21/1057	61/8616	5.73982411596466e-6	0.0031396837914326693	0.0029711142200269706	ATP5ME/NDUFV3/ATP5PO/ATP5MF/NDUFS5/NDUFB9/NDUFA6/NDUFA1/ATP5MG/NDUFA7/ATP5PD/NDUFB4/NDUFB3/ATP5F1A/NDUFA2/ATP5MC1/NDUFA9/ATP5MC2/NDUFB5/ATP5PB/NDUFA3	21
GO:1902600	proton transmembrane transport	25/1057	83/8616	1.1596065297233206e-5	0.005594937851672695	0.0052945457299337015	ATP1B1/CHP1/SLC16A1/LETM1/ATP5ME/TMCO3/ATP5PO/ATP5MF/SLC15A4/SLC25A5/GHITM/COX6B1/ATP5MG/ATP5PD/ATP6V1G1/COX7A2L/TMSB4X/ATP6V1F/ATP5F1A/ATP5MC1/COX15/ATP5MC2/UQCR10/ATP5PB/SLC25A12	25
GO:0031954	positive regulation of protein autophosphorylation	10/1057	18/8616	1.2785506973657896e-5	0.005594937851672695	0.0052945457299337015	PDGFA/DDX3X/RAP2B/RAP2C/RAP2A/PDGFC/CALM2/MRE11/RASSF2/CALM1	10
