sample	library_size	library_size_million	detected_genes	pct_zeros	exposure	dev_stage	age_pcw	testis_id	qc_flag
testis_10-12GW_Ctrl_DMSO_EH3840	705834	0.705834	13392	52.69014731338538	DMSO	8-10PCW	8+4	EH3840	LOW_LIB
testis_10-12GW_Ctrl_DMSO_EH4026	456570	0.45657	11737	58.536757692443565	DMSO	8-10PCW	9+3	EH4026	LOW_LIB
testis_10-12GW_Ctrl_DMSO_EH4072	426615	0.426615	10194	63.98770622107606	DMSO	8-10PCW	9+6	EH4072	LOW_LIB
testis_10-12GW_Ctrl_DMSO_EH4105	483769	0.483769	11316	60.02402232663299	DMSO	8-10PCW	9+6	EH4105	LOW_LIB
testis_10-12GW_Ctrl_DMSO_EH4111	519110	0.51911	11236	60.30663793407991	DMSO	8-10PCW	9+1	EH4111	LOW_LIB
testis_10-12GW_Ctrl_DMSO_EH4112	521060	0.52106	10759	61.99173349348217	DMSO	8-10PCW	9+0	EH4112	LOW_LIB
testis_10-12GW_Ctrl_DMSO_EH4138	591219	0.591219	11513	59.32808139329495	DMSO	8-10PCW	8+6	EH4138	LOW_LIB
testis_10-12GW_Ctrl_DMSO_EH4142	484858	0.484858	10410	63.22464408096937	DMSO	8-10PCW	9+2	EH4142	LOW_LIB
testis_10-12GW_Ctrl_DMSO_EH4155	256351	0.256351	9342	66.99756244038578	DMSO	8-10PCW	9+2	EH4155	LOW_LIB
testis_10-12GW_Ctrl_DMSO_EH4174	569172	0.569172	11104	60.77295368636732	DMSO	8-10PCW	9+2	EH4174	LOW_LIB
testis_10-12GW_Ctrl_EtOH_EH3413	799712	0.799712	14421	49.05500406259936	EtOH	8-10PCW	9+4	EH3413	LOW_LIB
testis_10-12GW_Ctrl_EtOH_EH4072	430755	0.430755	10719	62.13304129720564	EtOH	8-10PCW	9+6	EH4072	LOW_LIB
testis_10-12GW_Ctrl_EtOH_EH4080	392437	0.392437	10406	63.23877486134172	EtOH	8-10PCW	9+6	EH4080	LOW_LIB
testis_10-12GW_Ctrl_EtOH_EH4105	343910	0.34391	9866	65.14643021160845	EtOH	8-10PCW	9+6	EH4105	LOW_LIB
testis_10-12GW_Ctrl_EtOH_EH4111	317610	0.31761	10067	64.43635849789804	EtOH	8-10PCW	9+1	EH4111	LOW_LIB
testis_10-12GW_Ctrl_EtOH_EH4138	322731	0.322731	9842	65.23121489384252	EtOH	8-10PCW	8+6	EH4138	LOW_LIB
testis_10-12GW_Ctrl_EtOH_EH4142	176743	0.176743	8331	70.56911717949623	EtOH	8-10PCW	9+2	EH4142	LOW_LIB
testis_10-12GW_Ctrl_EtOH_EH4147	474682	0.474682	11298	60.08761083830855	EtOH	8-10PCW	8+1	EH4147	LOW_LIB
testis_10-12GW_Ctrl_EtOH_EH4155	675264	0.675264	11825	58.22588052425195	EtOH	8-10PCW	9+2	EH4155	LOW_LIB
testis_10-12GW_Ctrl_EtOH_EH4174	326122	0.326122	9664	65.86003462041191	EtOH	8-10PCW	9+2	EH4174	LOW_LIB
testis_10-12GW_Ctrl_DMSO-EtOH_EH3417	239593	0.239593	10765	61.97053732292366	DMSO-EtOH	8-10PCW	8+6	EH3417	LOW_LIB
testis_10-12GW_Ctrl_DMSO-EtOH_EH4072	196014	0.196014	8999	68.20927685731444	DMSO-EtOH	8-10PCW	9+6	EH4072	LOW_LIB
testis_10-12GW_Ctrl_DMSO-EtOH_EH4080	546455	0.546455	10945	61.33465220616808	DMSO-EtOH	8-10PCW	9+6	EH4080	LOW_LIB
testis_10-12GW_Ctrl_DMSO-EtOH_EH4105	259847	0.259847	9171	67.60165330130357	DMSO-EtOH	8-10PCW	9+6	EH4105	LOW_LIB
testis_10-12GW_Ctrl_DMSO-EtOH_EH4111	237902	0.237902	9035	68.08209983396334	DMSO-EtOH	8-10PCW	9+1	EH4111	LOW_LIB
testis_10-12GW_Ctrl_DMSO-EtOH_EH4112	167353	0.167353	8253	70.84466739675699	DMSO-EtOH	8-10PCW	9+0	EH4112	LOW_LIB
testis_10-12GW_Ctrl_DMSO-EtOH_EH4138	164265	0.164265	8585	69.67181262585227	DMSO-EtOH	8-10PCW	8+6	EH4138	LOW_LIB
testis_10-12GW_Ctrl_DMSO-EtOH_EH4142	903092	0.903092	12772	54.88041827109902	DMSO-EtOH	8-10PCW	9+2	EH4142	OK
testis_10-12GW_Ctrl_DMSO-EtOH_EH4147	260153	0.260153	9634	65.96601547320451	DMSO-EtOH	8-10PCW	8+1	EH4147	LOW_LIB
testis_10-12GW_Ctrl_DMSO-EtOH_EH4155	215181	0.215181	8842	68.76390998692902	DMSO-EtOH	8-10PCW	9+2	EH4155	LOW_LIB
testis_10-12GW_CBD_EH3840	673745	0.673745	12849	54.60840074893136	CBD	8-10PCW	8+4	EH3840	LOW_LIB
testis_10-12GW_CBD_EH4026	490071	0.490071	12431	56.085067297841526	CBD	8-10PCW	9+3	EH4026	LOW_LIB
testis_10-12GW_CBD_EH4072	463771	0.463771	10900	61.493623485356984	CBD	8-10PCW	9+6	EH4072	LOW_LIB
testis_10-12GW_CBD_EH4105	401299	0.401299	10183	64.0265658671	CBD	8-10PCW	9+6	EH4105	LOW_LIB
testis_10-12GW_CBD_EH4111	381199	0.381199	10414	63.21051330059703	CBD	8-10PCW	9+1	EH4111	LOW_LIB
testis_10-12GW_CBD_EH4112	460928	0.460928	10677	62.28141449111527	CBD	8-10PCW	9+0	EH4112	LOW_LIB
testis_10-12GW_CBD_EH4138	469492	0.469492	10499	62.91023421768467	CBD	8-10PCW	8+6	EH4138	LOW_LIB
testis_10-12GW_CBD_EH4142	479046	0.479046	10819	61.77977178789698	CBD	8-10PCW	9+2	EH4142	LOW_LIB
testis_10-12GW_CBD_EH4155	286028	0.286028	9844	65.22414950365634	CBD	8-10PCW	9+2	EH4155	LOW_LIB
testis_10-12GW_CBD_EH4174	418569	0.418569	10319	63.54611933444024	CBD	8-10PCW	9+2	EH4174	LOW_LIB
testis_10-12GW_THC_EH3413	453628	0.453628	12341	56.40300985621931	THC	8-10PCW	9+4	EH3413	LOW_LIB
