logFC	AveExpr	t	P.Value	adj.P.Val	B	ENSEMBL_ID	contrast	direction	SYMBOL	ENTREZID	GENENAME
-1.7374368018739303	0.43435920046848253	-15.975642797153315	6.2401279343753476e-9	6.133265743499169e-6	11.04418706604627	ENSG00000252774	CBD_vs_Eto	Down	LOC124900364	124900364	small nucleolar RNA SNORA48
-1.5050836165811101	3.86074249052628	-13.77334616473687	2.946869980571346e-8	1.2872910365129162e-5	9.595390014530032	ENSG00000164938	CBD_vs_Eto	Down	TP53INP1	94241	tumor protein p53 inducible nuclear protein 1
-1.5341172249169859	1.8303112349437083	-13.075470263681439	5.051941157975488e-8	1.765485036673834e-5	9.079959126352716	ENSG00000198753	CBD_vs_Eto	Down	PLXNB3	5365	plexin B3
-1.2828028332286854	3.8802674859463133	-12.488274856616624	8.113449606262168e-8	2.3628168242236824e-5	8.622339762840934	ENSG00000065357	CBD_vs_Eto	Down	DGKA	1606	diacylglycerol kinase alpha
-1.581967182602802	6.8685844552386	-12.35388626038871	9.067584567994578e-8	2.5239444973080796e-5	8.514354760291972	ENSG00000135919	CBD_vs_Eto	Down	SERPINE2	5270	serpin family E member 2
-1.7707791549954035	2.4765475165662516	-12.19943632599441	1.031710693568764e-7	2.7973590288038587e-5	8.388700755504994	ENSG00000114268	CBD_vs_Eto	Down	PFKFB4	5210	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4
-1.0601556958969482	0.31665086383517294	-11.357891128865877	2.139677421973079e-7	4.673412102492866e-5	7.673568086138742	ENSG00000249156	CBD_vs_Eto	Down	TAF11L12	112488739	TATA-box binding protein associated factor 11 like 12
-1.5707723500915973	5.831650057508791	-10.882934058749953	3.2972404797466713e-7	6.647744074935404e-5	7.245784900330483	ENSG00000135679	CBD_vs_Eto	Down	MDM2	4193	MDM2 proto-oncogene
-1.1536355489448669	4.6088047421252565	-10.619947303619623	4.2183428496326327e-7	7.713681355037533e-5	7.000906893967889	ENSG00000196562	CBD_vs_Eto	Down	SULF2	55959	sulfatase 2
-1.7753371054173503	2.947084426412339	-10.548618138757622	4.5138169734208926e-7	8.066396105001928e-5	6.933470693695799	ENSG00000145040	CBD_vs_Eto	Down	UCN2	90226	urocortin 2
-1.4852044371770203	5.636780898899974	-10.095881606398644	7.000328379644048e-7	1.0792859225321795e-4	6.494961737375842	ENSG00000256664	CBD_vs_Eto	Down	NA	NA	NA
-1.9667547895859554	1.0326608710028498	-9.856127653223979	8.89015942719563e-7	1.2945059921488748e-4	6.255163131007242	ENSG00000283740	CBD_vs_Eto	Down	TAF11L11	112488746	TATA-box binding protein associated factor 11 like 11
-1.2374868960352243	2.674016703216926	-9.676342768818635	1.0668369442004218e-6	1.4979533736156993e-4	6.0717704036987605	ENSG00000184678	CBD_vs_Eto	Down	H2BC21	8349	H2B clustered histone 21
-1.5858760889980665	2.745690231095494	-9.58389831523453	1.172953385490261e-6	1.61805832808946e-4	5.976251690462577	ENSG00000256940	CBD_vs_Eto	Down	PPP1R14B-AS1	105369340	PPP1R14B antisense RNA 1
-1.1876894520017864	3.0860874085874275	-9.15055030791031	1.8479084396174736e-6	2.2703287594862803e-4	5.5171133373535195	ENSG00000248583	CBD_vs_Eto	Down	NA	NA	NA
-1.087652475852357	6.208624876005882	-9.049140745526573	2.06035227877663e-6	2.4361729275219007e-4	5.406886130426514	ENSG00000197903	CBD_vs_Eto	Down	H2BC12	85236	H2B clustered histone 12
-1.12078150052445	3.813818267576459	-8.902247571283185	2.4162449546916745e-6	2.732594004761087e-4	5.245293808169347	ENSG00000153029	CBD_vs_Eto	Down	MR1	3140	major histocompatibility complex, class I-related
-1.2631496782768359	7.934385432088855	-8.78304222179286	2.753931457829572e-6	2.8721848577009646e-4	5.112457903579948	ENSG00000233276	CBD_vs_Eto	Down	GPX1	2876	glutathione peroxidase 1
-1.3026377829457665	2.4968275379272526	-8.781752474545	2.7578526867152846e-6	2.8721848577009646e-4	5.111012245916152	ENSG00000260912	CBD_vs_Eto	Down	NA	NA	NA
-1.2632799792724465	1.1258114309526663	-8.744337288315148	2.874271629156972e-6	2.921228443691746e-4	5.068995025394749	ENSG00000162643	CBD_vs_Eto	Down	DNAI3	126820	dynein axonemal intermediate chain 3
-1.2960266298213081	1.1641012591436442	-8.742774876370115	2.879247162483916e-6	2.921228443691746e-4	5.067237105311445	ENSG00000168824	CBD_vs_Eto	Down	NSG1	27065	neuronal vesicle trafficking associated 1
-1.1526244874368379	3.9605970351242092	-8.253730878023342	5.007191575127585e-6	4.474039472185023e-4	4.503571004410967	ENSG00000279208	CBD_vs_Eto	Down	NA	NA	NA
-1.6195084743985602	7.084281200180438	-8.200203480358478	5.327751315709163e-6	4.6806825246280606e-4	4.440213406764013	ENSG00000115129	CBD_vs_Eto	Down	TP53I3	9540	tumor protein p53 inducible protein 3
-1.561158085461221	5.839136732508202	-7.994412239011761	6.782429852791649e-6	5.526450355699558e-4	4.193478895810003	ENSG00000187837	CBD_vs_Eto	Down	H1-2	3006	H1.2 linker histone, cluster member
-1.0630114415704432	3.100788554125627	-7.965981281113321	7.014960537229628e-6	5.660281598180355e-4	4.158993769698473	ENSG00000080546	CBD_vs_Eto	Down	SESN1	27244	sestrin 1
