logFC	AveExpr	t	P.Value	adj.P.Val	B	ENSEMBL	contrast	direction
-4.094112202408499	4.587529551673607	-22.852401025473103	1.3805126638843732e-10	7.578868395030229e-7	14.57585705935578	ENSG00000131747	Eto_vs_Mock	Down
-3.328736749321743	2.4531056986157465	-21.603839927420964	2.522186033658707e-10	7.578868395030229e-7	14.059141253913566	ENSG00000169679	Eto_vs_Mock	Down
-2.9640947557830266	2.2383790072136014	-21.586885135451592	2.543491537692191e-10	7.578868395030229e-7	14.051845236351696	ENSG00000145386	Eto_vs_Mock	Down
-4.509899886860342	3.0211101830195877	-21.559447931969	2.5783858309026425e-10	7.578868395030229e-7	14.040021979674908	ENSG00000089685	Eto_vs_Mock	Down
-3.691587946899854	2.3859438960932895	-21.379417621716577	2.820696374342826e-10	7.578868395030229e-7	13.96193623641977	ENSG00000117650	Eto_vs_Mock	Down
-3.723257535094821	3.2445251877376435	-21.329915854349352	2.8915941987906254e-10	7.578868395030229e-7	13.940310163254232	ENSG00000157456	Eto_vs_Mock	Down
-3.3512350563930693	2.688711838039827	-20.6461567277854	4.097806161444722e-10	8.962654532936702e-7	13.634557979205127	ENSG00000115163	Eto_vs_Mock	Down
-3.7771029008286856	3.0057316708258517	-20.441034996362536	4.559407113283328e-10	8.962654532936702e-7	13.540206978091454	ENSG00000166851	Eto_vs_Mock	Down
-3.084820844596476	2.0122176173488997	-19.683865264409437	6.822596163760018e-10	1.1921349696810004e-6	13.180911274019813	ENSG00000237649	Eto_vs_Mock	Down
-3.2152419088288977	1.9291604090592611	-19.359412863953846	8.145579868295716e-10	1.234506498469008e-6	13.021439282539795	ENSG00000143228	Eto_vs_Mock	Down
-3.2581193160877078	3.264634740284242	-19.25369009681146	8.635108408469468e-10	1.234506498469008e-6	12.968735460174216	ENSG00000198901	Eto_vs_Mock	Down
-3.012715262562433	2.5066015111241318	-18.870184566001633	1.0698623998258286e-9	1.336327531973422e-6	12.774425639553368	ENSG00000100162	Eto_vs_Mock	Down
-4.238859313260203	3.403924134663572	-18.674424953671384	1.1954234607170333e-9	1.336327531973422e-6	12.673309646219376	ENSG00000178999	Eto_vs_Mock	Down
-3.5223270644388007	2.211896659593864	-18.625648608525353	1.229148050525022e-9	1.336327531973422e-6	12.647908070808175	ENSG00000126787	Eto_vs_Mock	Down
-3.7640967416459383	2.183479108114601	-18.540871401132453	1.2902552546935624e-9	1.336327531973422e-6	12.603559524630082	ENSG00000142945	Eto_vs_Mock	Down
-2.41925277351569	3.0382578793199744	-18.449793433615607	1.3596108680894539e-9	1.336327531973422e-6	12.555632069096987	ENSG00000138180	Eto_vs_Mock	Down
-2.3261167367252362	1.374241164016085	-18.333658011491774	1.4539971527546668e-9	1.3450328955423463e-6	12.494089873222602	ENSG00000118193	Eto_vs_Mock	Down
-3.13973859188325	2.0392476537178834	-18.125939922662315	1.6411007527709714e-9	1.3486378181639266e-6	12.382801775666163	ENSG00000090889	Eto_vs_Mock	Down
