logFC	AveExpr	t	P.Value	adj.P.Val	B	ENSEMBL	contrast	direction
1.7374368018739303	0.43435920046848253	15.975642797153311	6.2401279343753476e-9	2.80377862559962e-6	11.131475002354872	ENSG00000252774	Eto_vs_Mock	Up
1.6033352224169573	3.86074249052628	14.672467890274218	1.5241167528500087e-8	4.699658834376321e-6	10.273399307212362	ENSG00000164938	Eto_vs_Mock	Up
1.3449590022985185	3.8802674859463133	13.093374333536808	4.980976662200656e-8	1.1190119855681072e-5	9.113218742050517	ENSG00000065357	Eto_vs_Mock	Up
1.513532266178185	1.8303112349437083	12.900022122237836	5.8084739312130595e-8	1.2343792032737375e-5	8.96099771901056	ENSG00000198753	Eto_vs_Mock	Up
1.521070688447569	6.8685844552386	11.878333814849098	1.3556010734390003e-7	2.1977507712269816e-5	8.115607975153281	ENSG00000135919	Eto_vs_Mock	Up
1.0043436454609393	0.31665086383517294	10.759953302389698	3.697508022883471e-7	4.405076603626172e-5	7.103117314088135	ENSG00000249156	Eto_vs_Mock	Up
1.5472894266152948	4.08166172339968	10.585845546353289	4.356904384085963e-7	4.964278764883901e-5	6.9364846574589185	ENSG00000033100	Eto_vs_Mock	Up
1.4846653346441663	6.730121278956975	10.374596116309604	5.333087662166461e-7	5.8228161983377014e-5	6.730832775885941	ENSG00000086061	Eto_vs_Mock	Up
1.5048935164336368	2.4765475165662516	10.367669271090797	5.368869062437789e-7	5.8228161983377014e-5	6.724023922453454	ENSG00000114268	Eto_vs_Mock	Up
1.3444436987159203	3.0860874085874275	10.358262995868161	5.41787508296369e-7	5.8357194215539034e-5	6.714771144393045	ENSG00000248583	Eto_vs_Mock	Up
1.1030985553401065	4.6088047421252565	10.154722207655137	6.606253088489514e-7	6.617193380228413e-5	6.512635301424711	ENSG00000196562	Eto_vs_Mock	Up
1.0681345976235668	2.1060208949805275	9.81524144364962	9.264345576652989e-7	8.38411368976191e-5	6.167149051424819	ENSG00000132357	Eto_vs_Mock	Up
1.138239538820885	1.759614321941346	9.734699409416143	1.0052273912339675e-6	8.881014581205266e-5	6.0836082989431715	ENSG00000185404	Eto_vs_Mock	Up
1.911817053935535	1.0326608710028498	9.580814564669806	1.1766844884975096e-6	9.842840567080764e-5	5.9222735262698185	ENSG00000283740	Eto_vs_Mock	Up
1.3719619355972228	1.1641012591436442	9.255021514125298	1.6535689780526614e-6	1.2809261732494638e-4	5.573071103428457	ENSG00000168824	Eto_vs_Mock	Up
1.2437399577391728	2.6008670827287017	9.249395034500463	1.6634522411414157e-6	1.2809261732494638e-4	5.566947283150326	ENSG00000196208	Eto_vs_Mock	Up
1.1735634790230067	2.674016703216926	9.176503218237452	1.7974284693795982e-6	1.3419002959590582e-4	5.487321705650243	ENSG00000184678	Eto_vs_Mock	Up
1.306851532747869	7.934385432088855	9.086913757835484	1.978286951885839e-6	1.4228629496023507e-4	5.388711345051395	ENSG00000233276	Eto_vs_Mock	Up
1.1171572845651727	1.6901049144977667	8.725404335132362	2.9351947253863196e-6	1.8871003996652117e-4	4.982268401872077	ENSG00000143217	Eto_vs_Mock	Up
1.652432792379137	2.7460375296910184	8.65869881915872	3.161201731504822e-6	1.9540427759028343e-4	4.905743707275943	ENSG00000084710	Eto_vs_Mock	Up
1.2497908830240365	3.154029894759264	8.58604386025664	3.428925021864586e-6	2.027303947931514e-4	4.821840498317534	ENSG00000136114	Eto_vs_Mock	Up
1.1985579440757843	3.9605970351242092	8.582651869662426	3.442007847499137e-6	2.027303947931514e-4	4.817909187283026	ENSG00000279208	Eto_vs_Mock	Up
1.030908112950585	5.247711576490168	8.524917698412228	3.6731495153312472e-6	2.131511043472295e-4	4.750800269027844	ENSG00000172890	Eto_vs_Mock	Up
1.13589340602119	0.7920913665149901	8.501632610863425	3.7710654259472594e-6	2.1675040222452215e-4	4.723629524651645	ENSG00000183607	Eto_vs_Mock	Up
1.1389417389298235	1.883187826543909	8.354004728138937	4.461268955758083e-6	2.4878693474557307e-4	4.549953002281586	ENSG00000178809	Eto_vs_Mock	Up
1.2015807481674852	5.831650057508791	8.325028160705541	4.612111567981132e-6	2.519492993563764e-4	4.515574489410141	ENSG00000135679	Eto_vs_Mock	Up
1.025014267194332	1.3621581799444162	8.119104908902976	5.8563276548459435e-6	2.9279099375416914e-4	4.26848577129027	ENSG00000183798	Eto_vs_Mock	Up
1.1609578084923688	1.1258114309526663	8.036070246919552	6.456589260441878e-6	3.0956195948082007e-4	4.167456680370317	ENSG00000162643	Eto_vs_Mock	Up
1.1611673451864712	5.24205774547419	7.993368840873563	6.790815203686516e-6	3.206977774569794e-4	4.1151850070314895	ENSG00000085871	Eto_vs_Mock	Up
1.18332733409898	2.4968275379272526	7.977419264563968	6.920395170530677e-6	3.2486607299034455e-4	4.095605350051835	ENSG00000260912	Eto_vs_Mock	Up
1.003339150891391	4.590400327023476	7.881467831271507	7.758362388345353e-6	3.4859430548319715e-4	3.9771752139303826	ENSG00000119812	Eto_vs_Mock	Up
