logFC	AveExpr	t	P.Value	adj.P.Val	B	ENSEMBL_ID	contrast	direction	SYMBOL	ENTREZID	GENENAME
-4.031164720364019	4.587529551673607	-22.501042530125083	1.6303451045254336e-10	9.132947434148783e-7	14.417509406409394	ENSG00000131747	Merge_vs_Mock	Down	TOP2A	7153	DNA topoisomerase II alpha
-3.0686366420686078	2.2383790072136014	-22.348241933066557	1.7540185142004854e-10	9.132947434148783e-7	14.355351578701697	ENSG00000145386	Merge_vs_Mock	Down	CCNA2	890	cyclin A2
-3.7670031264910424	2.3859438960932895	-21.816176177299898	2.2712086167118493e-10	9.132947434148783e-7	14.134248659243688	ENSG00000117650	Merge_vs_Mock	Down	NEK2	4751	NIMA related kinase 2
-4.4957524545719245	3.0211101830195877	-21.491816534943567	2.6666460885415907e-10	9.132947434148783e-7	13.995803085586445	ENSG00000089685	Merge_vs_Mock	Down	BIRC5	332	baculoviral IAP repeat containing 5
-3.285240601611746	2.4531056986157465	-21.321545506638756	2.903773189033697e-10	9.132947434148783e-7	13.921986112241974	ENSG00000169679	Merge_vs_Mock	Down	BUB1	699	BUB1 mitotic checkpoint serine/threonine kinase
-3.703058566769972	3.0057316708258517	-20.04031972237716	5.633284970460561e-10	1.0717355818638936e-6	13.34003992841524	ENSG00000166851	Merge_vs_Mock	Down	PLK1	5347	polo like kinase 1
-3.4277849480707845	3.2445251877376435	-19.637203126560806	6.997537641816627e-10	1.0717355818638936e-6	13.146729453155196	ENSG00000157456	Merge_vs_Mock	Down	CCNB2	9133	cyclin B2
-3.223395724821102	1.9291604090592611	-19.40850810925291	7.928601064462041e-10	1.0717355818638936e-6	13.034763095555068	ENSG00000143228	Merge_vs_Mock	Down	NUF2	83540	NUF2 component of NDC80 kinetochore complex
-3.935546999231313	2.725880132876136	-19.379509459147556	8.055990100879654e-10	1.0717355818638936e-6	13.020444484743678	ENSG00000068489	Merge_vs_Mock	Down	PRR11	55771	proline rich 11
-3.02073839560824	2.0122176173488997	-19.274962979562865	8.534091460691543e-10	1.0717355818638936e-6	12.968593797285276	ENSG00000237649	Merge_vs_Mock	Down	KIFC1	3833	kinesin family member C1
-3.9004561605547057	2.183479108114601	-19.212539167358646	8.834234118037008e-10	1.0717355818638936e-6	12.937462246451549	ENSG00000142945	Merge_vs_Mock	Down	KIF2C	11004	kinesin family member 2C
-3.104851307425407	2.688711838039827	-19.128245447088577	9.257915768964924e-10	1.0717355818638936e-6	12.895218306090705	ENSG00000115163	Merge_vs_Mock	Down	CENPA	1058	centromere protein A
-2.421011976830879	1.374241164016085	-19.081589897947545	9.501891612289095e-10	1.0717355818638936e-6	12.871734638123772	ENSG00000118193	Merge_vs_Mock	Down	KIF14	9928	kinesin family member 14
-3.6071567826806095	2.211896659593864	-19.074218118007824	9.541077289898584e-10	1.0717355818638936e-6	12.868017428334497	ENSG00000126787	Merge_vs_Mock	Down	DLGAP5	9787	DLG associated protein 5
-3.276424101139566	2.0392476537178834	-18.915035338275377	1.04316423301685e-9	1.0936533818948657e-6	12.787301609449717	ENSG00000090889	Merge_vs_Mock	Down	KIF4A	24137	kinesin family member 4A
-2.436261178492927	3.0382578793199744	-18.579503549855044	1.2620086684575118e-9	1.2403967700101768e-6	12.614316179861742	ENSG00000138180	Merge_vs_Mock	Down	CEP55	55165	centrosomal protein 55
-2.7533937879731916	1.6529265388138636	-18.382077984967523	1.4138049507382305e-9	1.3078527444299655e-6	12.510686924484702	ENSG00000158402	Merge_vs_Mock	Down	CDC25C	995	cell division cycle 25C
-4.042156506820396	3.137024922393382	-18.149305101544748	1.6188011174176046e-9	1.3497479023512028e-6	12.386705083006795	ENSG00000168078	Merge_vs_Mock	Down	PBK	55872	PDZ binding kinase
-4.116811516005639	3.403924134663572	-18.136739632655555	1.6307522666077103e-9	1.3497479023512028e-6	12.379956188015253	ENSG00000178999	Merge_vs_Mock	Down	AURKB	9212	aurora kinase B
-3.8322217002750634	3.557952998335671	-18.020080662344533	1.7464081457250206e-9	1.3732007249835837e-6	12.317021096038449	ENSG00000170312	Merge_vs_Mock	Down	CDK1	983	cyclin dependent kinase 1
-3.3088184257849758	2.161694926916503	-17.639545073362125	2.1902208334536785e-9	1.6097218760060937e-6	12.108187191514261	ENSG00000265415	Merge_vs_Mock	Down	NA	NA	NA
