ENSEMBL_ID	SYMBOL	ENTREZID	GENENAME
ENSG00000000003	TSPAN6	7105	tetraspanin 6
ENSG00000000419	DPM1	8813	dolichyl-phosphate mannosyltransferase subunit 1, catalytic
ENSG00000000457	SCYL3	57147	SCY1 like pseudokinase 3
ENSG00000000460	FIRRM	55732	FIGNL1 interacting regulator of recombination and mitosis
ENSG00000000971	CFH	3075	complement factor H
ENSG00000001036	FUCA2	2519	alpha-L-fucosidase 2
ENSG00000001084	GCLC	2729	glutamate-cysteine ligase catalytic subunit
ENSG00000001167	NFYA	4800	nuclear transcription factor Y subunit alpha
ENSG00000001460	STPG1	90529	sperm tail PG-rich repeat containing 1
ENSG00000001461	NIPAL3	57185	NIPA like domain containing 3
ENSG00000001497	LAS1L	81887	LAS1 like ribosome biogenesis factor
ENSG00000001617	SEMA3F	6405	semaphorin 3F
ENSG00000001629	ANKIB1	54467	ankyrin repeat and IBR domain containing 1
ENSG00000001630	CYP51A1	1595	cytochrome P450 family 51 subfamily A member 1
ENSG00000001631	KRIT1	889	KRIT1 ankyrin repeat containing
ENSG00000002016	RAD52	5893	RAD52 homolog, DNA repair protein
ENSG00000002330	BAD	572	BCL2 associated agonist of cell death
ENSG00000002549	LAP3	51056	leucine aminopeptidase 3
ENSG00000002586	CD99	4267	CD99 molecule (Xg blood group)
ENSG00000002746	HECW1	23072	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1
ENSG00000002822	MAD1L1	8379	mitotic arrest deficient 1 like 1
ENSG00000002834	LASP1	3927	LIM and SH3 protein 1
ENSG00000002919	SNX11	29916	sorting nexin 11
ENSG00000003056	M6PR	4074	mannose-6-phosphate receptor, cation dependent
ENSG00000003137	CYP26B1	56603	cytochrome P450 family 26 subfamily B member 1
ENSG00000003147	ICA1	3382	islet cell autoantigen 1
ENSG00000003249	DBNDD1	79007	dysbindin domain containing 1
ENSG00000003393	ALS2	57679	alsin Rho guanine nucleotide exchange factor ALS2
ENSG00000003400	CASP10	843	caspase 10
ENSG00000003402	CFLAR	8837	CASP8 and FADD like apoptosis regulator
ENSG00000003436	TFPI	7035	tissue factor pathway inhibitor
ENSG00000003509	NDUFAF7	55471	NADH:ubiquinone oxidoreductase complex assembly factor 7
ENSG00000003756	RBM5	10181	RNA binding motif protein 5
ENSG00000003987	MTMR7	9108	myotubularin related protein 7
ENSG00000003989	SLC7A2	6542	solute carrier family 7 member 2
ENSG00000004059	ARF5	381	ADP ribosylation factor 5
ENSG00000004139	SARM1	23098	sterile alpha and TIR motif containing 1
ENSG00000004142	POLDIP2	26073	DNA polymerase delta interacting protein 2
ENSG00000004399	PLXND1	23129	plexin D1
ENSG00000004455	AK2	204	adenylate kinase 2
ENSG00000004468	CD38	952	CD38 molecule
ENSG00000004478	FKBP4	2288	FKBP prolyl isomerase 4
ENSG00000004487	KDM1A	23028	lysine demethylase 1A
ENSG00000004534	RBM6	10180	RNA binding motif protein 6
ENSG00000004660	CAMKK1	84254	calcium/calmodulin dependent protein kinase kinase 1
ENSG00000004700	RECQL	5965	RecQ like helicase
ENSG00000004766	VPS50	55610	VPS50 subunit of EARP/GARPII complex
ENSG00000004777	ARHGAP33	115703	Rho GTPase activating protein 33
ENSG00000004779	NDUFAB1	4706	NADH:ubiquinone oxidoreductase subunit AB1
ENSG00000004799	PDK4	5166	pyruvate dehydrogenase kinase 4
ENSG00000004864	SLC25A13	10165	solute carrier family 25 member 13
ENSG00000004866	ST7	7982	suppression of tumorigenicity 7
ENSG00000004897	CDC27	996	cell division cycle 27
ENSG00000004961	HCCS	3052	holocytochrome c synthase
ENSG00000004975	DVL2	1856	dishevelled segment polarity protein 2
ENSG00000005007	UPF1	5976	UPF1 RNA helicase and ATPase
ENSG00000005020	SKAP2	8935	src kinase associated phosphoprotein 2
ENSG00000005022	SLC25A5	292	solute carrier family 25 member 5
ENSG00000005059	MCUB	55013	mitochondrial calcium uniporter dominant negative subunit beta
ENSG00000005075	POLR2J	5439	RNA polymerase II subunit J
ENSG00000005100	DHX33	56919	DEAH-box helicase 33
ENSG00000005108	THSD7A	221981	thrombospondin type 1 domain containing 7A
ENSG00000005156	LIG3	3980	DNA ligase 3
ENSG00000005175	RPAP3	79657	RNA polymerase II associated protein 3
ENSG00000005187	ACSM3	6296	acyl-CoA synthetase medium chain family member 3
ENSG00000005189	REXO5	81691	RNA exonuclease 5
ENSG00000005194	CIAPIN1	57019	cytokine induced apoptosis inhibitor 1
ENSG00000005206	SPPL2B	56928	signal peptide peptidase like 2B
ENSG00000005238	ATOSB	80256	atos homolog B
ENSG00000005243	COPZ2	51226	COPI coat complex subunit zeta 2
ENSG00000005249	PRKAR2B	5577	protein kinase cAMP-dependent type II regulatory subunit beta
ENSG00000005302	MSL3	10943	MSL complex subunit 3
ENSG00000005339	CREBBP	1387	CREB binding protein
ENSG00000005436	GCFC2	6936	GC-rich sequence DNA-binding factor 2
ENSG00000005448	WDR54	84058	WD repeat domain 54
ENSG00000005469	CROT	54677	carnitine O-octanoyltransferase
ENSG00000005483	KMT2E	55904	lysine methyltransferase 2E (inactive)
ENSG00000005486	RHBDD2	57414	rhomboid domain containing 2
ENSG00000005700	IBTK	25998	inhibitor of Bruton tyrosine kinase
ENSG00000005801	ZNF195	7748	zinc finger protein 195
ENSG00000005810	MYCBP2	23077	MYC binding protein 2
ENSG00000005812	FBXL3	26224	F-box and leucine rich repeat protein 3
ENSG00000005882	PDK2	5164	pyruvate dehydrogenase kinase 2
ENSG00000005884	ITGA3	3675	integrin subunit alpha 3
ENSG00000005889	ZFX	7543	zinc finger protein X-linked
ENSG00000005893	LAMP2	3920	lysosomal associated membrane protein 2
ENSG00000005961	ITGA2B	3674	integrin subunit alpha 2b
ENSG00000005981	ASB4	51666	ankyrin repeat and SOCS box containing 4
ENSG00000006007	GDE1	51573	glycerophosphodiester phosphodiesterase 1
ENSG00000006015	REX1BD	55049	required for excision 1-B domain containing
ENSG00000006016	CRLF1	9244	cytokine receptor like factor 1
ENSG00000006025	OSBPL7	114881	oxysterol binding protein like 7
ENSG00000006042	TMEM98	26022	transmembrane protein 98
ENSG00000006062	MAP3K14	9020	mitogen-activated protein kinase kinase kinase 14
ENSG00000006071	ABCC8	6833	ATP binding cassette subfamily C member 8
ENSG00000006118	TMEM132A	54972	transmembrane protein 132A
ENSG00000006125	AP2B1	163	adaptor related protein complex 2 subunit beta 1
ENSG00000006194	ZNF263	10127	zinc finger protein 263
ENSG00000006282	SPATA20	64847	spermatogenesis associated 20
ENSG00000006283	CACNA1G	8913	calcium voltage-gated channel subunit alpha1 G
ENSG00000006327	TNFRSF12A	51330	TNF receptor superfamily member 12A
ENSG00000006432	MAP3K9	4293	mitogen-activated protein kinase kinase kinase 9
ENSG00000006451	RALA	5898	RAS like proto-oncogene A
ENSG00000006453	BAIAP2L1	55971	BAR/IMD domain containing adaptor protein 2 like 1
ENSG00000006459	KDM7A	80853	lysine demethylase 7A
ENSG00000006468	ETV1	2115	ETS variant transcription factor 1
ENSG00000006530	AGK	55750	acylglycerol kinase
ENSG00000006534	ALDH3B1	221	aldehyde dehydrogenase 3 family member B1
ENSG00000006576	PHTF2	57157	putative homeodomain transcription factor 2
ENSG00000006606	CCL26	10344	C-C motif chemokine ligand 26
ENSG00000006607	FARP2	9855	FERM, ARH/RhoGEF and pleckstrin domain protein 2
ENSG00000006611	USH1C	10083	USH1 protein network component harmonin
ENSG00000006625	GGCT	79017	gamma-glutamylcyclotransferase
ENSG00000006634	DBF4	10926	DBF4 zinc finger
ENSG00000006652	IFRD1	3475	interferon related developmental regulator 1
ENSG00000006695	COX10	1352	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10
ENSG00000006704	GTF2IRD1	9569	GTF2I repeat domain containing 1
ENSG00000006712	PAF1	54623	PAF1 homolog, Paf1/RNA polymerase II complex component
ENSG00000006715	VPS41	27072	VPS41 subunit of HOPS complex
ENSG00000006740	ARHGAP44	9912	Rho GTPase activating protein 44
ENSG00000006744	ELAC2	60528	elaC ribonuclease Z 2
ENSG00000006756	ARSD	414	arylsulfatase D
ENSG00000006757	PNPLA4	8228	patatin like phospholipase domain containing 4
ENSG00000006831	ADIPOR2	79602	adiponectin receptor 2
ENSG00000006837	CDKL3	51265	cyclin dependent kinase like 3
ENSG00000007047	MARK4	57787	microtubule affinity regulating kinase 4
ENSG00000007080	CCDC124	115098	coiled-coil domain containing 124
ENSG00000007168	PAFAH1B1	5048	platelet activating factor acetylhydrolase 1b regulatory subunit 1
ENSG00000007202	BLTP2	9703	bridge-like lipid transfer protein family member 2
ENSG00000007255	TRAPPC6A	79090	trafficking protein particle complex subunit 6A
ENSG00000007312	CD79B	974	CD79b molecule
ENSG00000007341	ST7L	54879	suppression of tumorigenicity 7 like
ENSG00000007376	RPUSD1	113000	RNA pseudouridine synthase domain containing 1
ENSG00000007384	RHBDF1	64285	rhomboid 5 homolog 1
ENSG00000007392	LUC7L	55692	LUC7 like
ENSG00000007516	BAIAP3	8938	BAI1 associated protein 3
ENSG00000007520	TSR3	115939	TSR3 ribosome maturation factor
ENSG00000007541	PIGQ	9091	phosphatidylinositol glycan anchor biosynthesis class Q
ENSG00000007545	CRAMP1	57585	cramped chromatin regulator homolog 1
ENSG00000007866	TEAD3	7005	TEA domain transcription factor 3
ENSG00000007923	DNAJC11	55735	DnaJ heat shock protein family (Hsp40) member C11
ENSG00000007944	MYLIP	29116	myosin regulatory light chain interacting protein
ENSG00000007968	E2F2	1870	E2F transcription factor 2
ENSG00000008018	PSMB1	5689	proteasome 20S subunit beta 1
ENSG00000008083	JARID2	3720	jumonji and AT-rich interaction domain containing 2
ENSG00000008086	CDKL5	6792	cyclin dependent kinase like 5
ENSG00000008128	CDK11A	728642	cyclin dependent kinase 11A
ENSG00000008130	NADK	65220	NAD kinase
ENSG00000008256	CYTH3	9265	cytohesin 3
ENSG00000008282	SYPL1	6856	synaptophysin like 1
ENSG00000008283	CYB561	1534	cytochrome b561
ENSG00000008294	SPAG9	9043	sperm associated antigen 9
ENSG00000008300	CELSR3	1951	cadherin EGF LAG seven-pass G-type receptor 3
ENSG00000008323	PLEKHG6	55200	pleckstrin homology and RhoGEF domain containing G6
ENSG00000008324	SS18L2	51188	SS18 like 2
ENSG00000008382	MPND	84954	MPN domain containing
ENSG00000008394	MGST1	4257	microsomal glutathione S-transferase 1
ENSG00000008405	CRY1	1407	cryptochrome circadian regulator 1
ENSG00000008441	NFIX	4784	nuclear factor I X
ENSG00000008513	ST3GAL1	6482	ST3 beta-galactoside alpha-2,3-sialyltransferase 1
ENSG00000008517	IL32	9235	interleukin 32
ENSG00000008710	PKD1	5310	polycystin 1, transient receptor potential channel interacting
ENSG00000008735	MAPK8IP2	23542	mitogen-activated protein kinase 8 interacting protein 2
ENSG00000008838	MED24	9862	mediator complex subunit 24
ENSG00000008853	RHOBTB2	23221	Rho related BTB domain containing 2
ENSG00000008869	HEATR5B	54497	HEAT repeat containing 5B
ENSG00000008952	SEC62	7095	SEC62 homolog, preprotein translocation factor
ENSG00000008988	RPS20	6224	ribosomal protein S20
ENSG00000009307	CSDE1	7812	cold shock domain containing E1
