Gene,logFC
PDE9A,2.296738292857142
DEFB4A,4.567695928571428
MAS1,5.868344928571427
NIPBL,-2.386868860714285
HIPK1,1.776339107142857
FAM76A,1.727485489285714
ZBTB16,-1.493823950714285
MS4A8B,5.823007142857141
TAOK3,-1.742018317857143
C1orf93,1.992102128571428
FAM81B,3.153674142857142
HIST1H4A,3.766879371428571
G2E3,-1.994365764285714
IGKV1D-8,2.311843535714285
CABS1,3.830300728571427
RBM26-AS1,2.300272249999999
RBM41,-1.901667707142857
C1QTNF2,2.720972839285714
LOC100505930,2.085251821428571
IBTK,-1.6352296025
SSTR2,2.000615410714285
ACTL6B,4.360894428571427
IWS1,-1.611540442857142
PCDHA8,2.444858449999999
ABTB1,-1.772034642857143
PTMA,1.0142087
GOLGA6C,-1.895969371428571
HECTD3,-1.623191063928571
HNRNPL,1.335149678571428
PRRG1,-2.141962821428571
ADCK1,3.753871694999998
TAGLN2,1.324556326071429
DEFB114,4.530547857142856
TGIF2LY,3.654516857142857
LOC729313,1.692520607142858
WDR5B,-1.787363357142856
DENND2D,-4.119551971428571
IRX3,1.273148864285714
NIT1,-1.456352357142857
BTAF1,-2.065009578571428
CAPN6,2.865035857142857
FAM183A,4.068352935714286
GKN1,6.79877264285714
FAM21A,-1.303793139285714
EEA1,-1.912767303214285
ITM2A,4.385482964285713
C9orf116,1.589355142857142
BCAR3,-1.71737825
DDC,1.739788928571428
CAHM,-1.712755285714285
ENDOD1,-2.164190017857142
RASL11A,3.323817357142857
CARS,-1.664708028571428
NUTF2,1.134730447321428
SRRM3,4.434899285714285
AMBRA1,-2.321829007142856
RASSF4,-2.015669042857142
BCL2L14,2.347240082857142
CCKBR,2.048236535714285
CXCR4,3.333679285714285
PTPRE,-2.049358349999999
PDCL2,4.278033642857142
TMEM168,-1.590714178571428
UBN2,-1.521343535714285
MSX2,3.584522823571428
NEDD4L,-1.717602360714285
DNAI2,2.142736785714285
GKN2,3.742837499999999
FAM46C,1.764210712499999
TFPT,1.326773192857143
PHF5A,1.27034895
GOLGA4,-1.780124703571428
TPST2,-2.114124849285714
ZMYM5,-1.688851575
TM9SF4,-1.098607571428571
LPL,4.305532642857142
INTS2,-1.520412117142857
SPATA7,-1.764169671428571
UBAP1L,1.835766092857142
ZNF236,-1.284275546428571
RNF146,-1.92078025
POP7,1.783988142857142
TRIP11,-1.3580055
CBLL1,2.685818285714285
PPIA,1.525276846428571
MUC4,2.166312963571428
E2F2,1.99183285
EFHD1,1.499745142857142
C9orf11,2.788720642857142
SEC23IP,-1.318591703571428
ZNF580,1.393495614285714
C9orf82,-1.483641771428571
COX19,1.765806692857143
CLINT1,1.242497542857142
SCGB3A2,-1.447016635714286
LDB1,-1.256410278571428
PPIL2,-1.135660842857142
ID2,3.143682803571428
GOLGA2P5,-1.401849071428571
JMJD1C,-1.225717232142857
SNX33,-1.708088624999999
SNX14,-1.908613971428571
ZNF84,-2.003274705714285
PAN2,-1.853328921428571
ZMYM2,-2.334582085714285
C20orf72,1.474072928571428
MSMO1,-2.48734583
LSM11,2.314057664285714
YIPF2,-1.728481678571428
C18orf25,-1.689372428571428
BST2,2.030258139999999
USO1,-1.398282914285714
CYP4V2,2.016563957142857
USP6,-1.63050602142857
IDH3B,1.100933728571428
