Ensembl_ID,Entrez_ID,Gene_Symbol,logFC
ENSG00000160191,5152.0,PDE9A,2.296738292857142
ENSG00000171711,1673.0,DEFB4A,4.567695928571428
ENSG00000130368,4142.0,MAS1,5.868344928571427
ENSG00000164190,25836.0,NIPBL,-2.386868860714285
ENSG00000163349,204851.0,HIPK1,1.776339107142857
ENSG00000009780,199870.0,FAM76A,1.727485489285714
ENSG00000109906,7704.0,ZBTB16,-1.493823950714285
,,MS4A8B,5.823007142857141
ENSG00000135090,51347.0,TAOK3,-1.742018317857143
,,C1orf93,1.992102128571428
ENSG00000153347,153643.0,FAM81B,3.153674142857142
,,HIST1H4A,3.766879371428571
ENSG00000092140,55632.0,G2E3,-1.994365764285714
ENSG00000239819,28904.0,IGKV1D-8,2.311843535714285
ENSG00000145309,85438.0,CABS1,3.830300728571427
ENSG00000227354,100505538.0,RBM26-AS1,2.300272249999999
ENSG00000089682,55285.0,RBM41,-1.901667707142857
ENSG00000145861,114898.0,C1QTNF2,2.720972839285714
,,LOC100505930,2.085251821428571
ENSG00000005700,25998.0,IBTK,-1.6352296025
ENSG00000180616,6752.0,SSTR2,2.000615410714285
ENSG00000077080,51412.0,ACTL6B,4.360894428571427
ENSG00000163166,55677.0,IWS1,-1.611540442857142
ENSG00000204962,56140.0,PCDHA8,2.444858449999999
ENSG00000114626,80325.0,ABTB1,-1.772034642857143
ENSG00000187514,5757.0,PTMA,1.0142087
ENSG00000167195,653641.0,GOLGA6C,-1.895969371428571
ENSG00000126107,79654.0,HECTD3,-1.623191063928571
ENSG00000282947,3191.0,HNRNPL,1.335149678571428
ENSG00000130962,5638.0,PRRG1,-2.141962821428571
ENSG00000063761,57143.0,ADCK1,3.753871694999998
ENSG00000158710,8407.0,TAGLN2,1.324556326071429
ENSG00000177684,245928.0,DEFB114,4.530547857142856
ENSG00000176679,90655.0,TGIF2LY,3.654516857142857
,,LOC729313,1.692520607142858
ENSG00000196981,54554.0,WDR5B,-1.787363357142856
ENSG00000162777,79961.0,DENND2D,-4.119551971428571
ENSG00000177508,79191.0,IRX3,1.273148864285714
ENSG00000158793,4817.0,NIT1,-1.456352357142857
ENSG00000095564,9044.0,BTAF1,-2.065009578571428
ENSG00000077274,827.0,CAPN6,2.865035857142857
,,FAM183A,4.068352935714286
ENSG00000169605,56287.0,GKN1,6.79877264285714
,,FAM21A,-1.303793139285714
ENSG00000102189,8411.0,EEA1,-1.912767303214285
ENSG00000078596,9452.0,ITM2A,4.385482964285713
,,C9orf116,1.589355142857142
ENSG00000137936,8412.0,BCAR3,-1.71737825
ENSG00000132437,1644.0,DDC,1.739788928571428
ENSG00000270419,,CAHM,-1.712755285714285
ENSG00000149218,23052.0,ENDOD1,-2.164190017857142
ENSG00000122035,387496.0,RASL11A,3.323817357142857
,,CARS,-1.664708028571428
ENSG00000102898,10204.0,NUTF2,1.134730447321428
ENSG00000177679,222183.0,SRRM3,4.434899285714285
ENSG00000110497,55626.0,AMBRA1,-2.321829007142856
ENSG00000107551,83937.0,RASSF4,-2.015669042857142
ENSG00000121380,79370.0,BCL2L14,2.347240082857142
ENSG00000110148,887.0,CCKBR,2.048236535714285
ENSG00000121966,7852.0,CXCR4,3.333679285714285
ENSG00000132334,5791.0,PTPRE,-2.049358349999999
ENSG00000163440,132954.0,PDCL2,4.278033642857142
ENSG00000146802,64418.0,TMEM168,-1.590714178571428
ENSG00000157741,254048.0,UBN2,-1.521343535714285
ENSG00000120149,4488.0,MSX2,3.584522823571428
ENSG00000049759,23327.0,NEDD4L,-1.717602360714285
ENSG00000171595,64446.0,DNAI2,2.142736785714285
ENSG00000183607,200504.0,GKN2,3.742837499999999
,,FAM46C,1.764210712499999
ENSG00000105619,29844.0,TFPT,1.326773192857143
ENSG00000100410,84844.0,PHF5A,1.27034895
ENSG00000144674,2803.0,GOLGA4,-1.780124703571428
ENSG00000128294,8459.0,TPST2,-2.114124849285714
ENSG00000132950,9205.0,ZMYM5,-1.688851575
ENSG00000101337,9777.0,TM9SF4,-1.098607571428571
ENSG00000175445,4023.0,LPL,4.305532642857142
ENSG00000108506,57508.0,INTS2,-1.520412117142857
ENSG00000042317,55812.0,SPATA7,-1.764169671428571
ENSG00000246922,390595.0,UBAP1L,1.835766092857142
ENSG00000130856,7776.0,ZNF236,-1.284275546428571
ENSG00000118518,81847.0,RNF146,-1.92078025
ENSG00000172336,10248.0,POP7,1.783988142857142
ENSG00000100815,9321.0,TRIP11,-1.3580055
ENSG00000105879,79872.0,CBLL1,2.685818285714285
ENSG00000196262,5478.0,PPIA,1.525276846428571
ENSG00000278303,4585.0,MUC4,2.166312963571428
ENSG00000282899,1870.0,E2F2,1.99183285
ENSG00000115468,80303.0,EFHD1,1.499745142857142
,,C9orf11,2.788720642857142
ENSG00000107651,11196.0,SEC23IP,-1.318591703571428
ENSG00000213015,51157.0,ZNF580,1.393495614285714
,,C9orf82,-1.483641771428571
ENSG00000240230,90639.0,COX19,1.765806692857143
ENSG00000113282,9685.0,CLINT1,1.242497542857142
ENSG00000164265,117156.0,SCGB3A2,-1.447016635714286
ENSG00000198728,8861.0,LDB1,-1.256410278571428
ENSG00000100023,23759.0,PPIL2,-1.135660842857142
ENSG00000115738,3398.0,ID2,3.143682803571428
ENSG00000290576,55592.0,GOLGA2P5,-1.401849071428571
ENSG00000171988,221037.0,JMJD1C,-1.225717232142857
ENSG00000173548,257364.0,SNX33,-1.708088624999999
ENSG00000135317,57231.0,SNX14,-1.908613971428571
ENSG00000198040,7637.0,ZNF84,-2.003274705714285
ENSG00000135473,9924.0,PAN2,-1.853328921428571
ENSG00000121741,7750.0,ZMYM2,-2.334582085714285
,,C20orf72,1.474072928571428
ENSG00000052802,6307.0,MSMO1,-2.48734583
ENSG00000155858,134353.0,LSM11,2.314057664285714
ENSG00000130733,78992.0,YIPF2,-1.728481678571428
,,C18orf25,-1.689372428571428
ENSG00000130303,684.0,BST2,2.030258139999999
ENSG00000138768,8615.0,USO1,-1.398282914285714
ENSG00000145476,285440.0,CYP4V2,2.016563957142857
ENSG00000129204,9098.0,USP6,-1.63050602142857
ENSG00000101365,3420.0,IDH3B,1.100933728571428
ENSG00000254788,100529251.0,CKLF-CMTM1,1.773161321428571
ENSG00000107581,8661.0,EIF3A,-1.166769035714285
ENSG00000146373,154214.0,RNF217,-1.876268171428571
ENSG00000186564,2306.0,FOXD2,1.47087865
ENSG00000177576,497661.0,C18orf32,-2.402135164285714
ENSG00000105402,8775.0,NAPA,1.332047044999999
ENSG00000244537,85291.0,KRTAP4-2,-1.213116642857142
ENSG00000115942,4999.0,ORC2,-1.135994092857142
ENSG00000206418,201475.0,RAB12,2.039818660714285
ENSG00000291978,653505.0,PPIAL4A,1.540587058571428
ENSG00000007171,4843.0,NOS2,1.057200678571428
ENSG00000087152,56970.0,ATXN7L3,1.092643192857143
ENSG00000237651,339804.0,C2orf74,-1.648891210714285
ENSG00000165219,26130.0,GAPVD1,-1.378945716071428
ENSG00000277594,11056.0,DDX52,1.092471557142857
ENSG00000100603,22938.0,SNW1,-1.038553964285714
,,CXorf23,-1.629426357142856
ENSG00000111615,11103.0,KRR1,1.041513142857143
ENSG00000139437,84260.0,TCHP,-1.353249039285714
ENSG00000277897,2953.0,GSTT2,-2.541996769642856
ENSG00000183281,5343.0,PLGLB1,2.030348107142856
ENSG00000177710,83650.0,SLC35G5,1.730294785714285
,,LOC100506507,2.410445194285714
ENSG00000215612,3166.0,HMX1,3.21026142142857
,,C10orf12,-1.568928835714285
,,FAM102B,1.888650035714285
ENSG00000186815,53373.0,TPCN1,-2.019334610714286
,,FAM183B,3.445375549999999
,,FAM57B,1.956188928571428
,,SLMO1,1.672084250000001
ENSG00000106400,10467.0,ZNHIT1,1.419736607142857
ENSG00000123965,,PMS2P5,1.556963714285714
ENSG00000102078,9016.0,SLC25A14,1.384408550714285
ENSG00000109381,1998.0,ELF2,1.400906571428571
ENSG00000119541,9525.0,VPS4B,-1.797093814285714
ENSG00000131495,4695.0,NDUFA2,1.304609678571428
ENSG00000145882,78991.0,PCYOX1L,2.287308207142856
ENSG00000070610,57704.0,GBA2,-1.529487871428571
ENSG00000291178,5379.0,PMS2P1,1.455476914285714
ENSG00000214253,51024.0,FIS1,1.587824928571428
ENSG00000180879,6748.0,SSR4,1.235805654285714
ENSG00000181938,64785.0,GINS3,1.371796246428571
ENSG00000198707,80184.0,CEP290,-1.078960057142857
ENSG00000182606,22906.0,TRAK1,-1.506212285714285
ENSG00000101940,64743.0,WDR13,-1.343174314285714
ENSG00000120896,10174.0,SORBS3,1.641826192857142
ENSG00000166750,162394.0,SLFN5,2.86215367142857
,,KIAA1429,-1.566415289285714
ENSG00000166575,65084.0,TMEM135,-1.517369785714285
ENSG00000008294,9043.0,SPAG9,-1.184943989285714
ENSG00000172458,53342.0,IL17D,3.018620964285714
