Ensembl_ID,Entrez_ID,Gene_Symbol,log2FoldChange
ENSG00000137959,10964,IFI44L,-4.379814360783501
ENSG00000163395,91156,IGFN1,7.656683783558845
ENSG00000119917,3437,IFIT3,-4.389247029084828
ENSG00000185745,3434,IFIT1,-6.354169051892947
ENSG00000011347,9066,SYT7,3.551582263075268
ENSG00000196611,4312,MMP1,6.840044231736242
ENSG00000111335,4939,OAS2,-4.78485230337077
ENSG00000125144,4495,MT1G,7.39771911695725
ENSG00000115602,9173,IL1RL1,5.296438655992901
ENSG00000157601,4599,MX1,-3.570847985608142
ENSG00000137628,55601,DDX60,-3.6376947887938735
ENSG00000011426,54443,ANLN,-5.350809136810377
ENSG00000131747,7153,TOP2A,-5.297182407047847
ENSG00000166670,4319,MMP10,4.564414356566834
ENSG00000091986,151887,CCDC80,-3.37060164777307
ENSG00000137965,10561,IFI44,-3.9355614110087136
ENSG00000167723,162514,TRPV3,4.485529670345676
ENSG00000059728,4084,MXD1,3.2170972839923
ENSG00000117724,1063,CENPF,-4.669666701434321
ENSG00000183486,4600,MX2,-6.32184122673824
ENSG00000104332,6422,SFRP1,-3.660058553384144
ENSG00000134057,891,CCNB1,-3.520303445672824
ENSG00000117632,3925,STMN1,-2.885401124809187
ENSG00000116701,4688,NCF2,3.986404901806079
ENSG00000113721,5159,PDGFRB,-5.618483764311264
ENSG00000159399,3099,HK2,2.630098565326413
ENSG00000115415,6772,STAT1,-2.3519412788150893
ENSG00000163216,6703,SPRR2D,5.328207004653577
ENSG00000148773,4288,MKI67,-5.3928745291851135
ENSG00000161011,8878,SQSTM1,3.804163504078757
ENSG00000154096,7070,THY1,-6.670025358716068
ENSG00000173706,57493,HEG1,-2.6154212125808254
ENSG00000123496,3598,IL13RA2,6.545040352264263
ENSG00000107201,23586,RIGI,-2.486789465265287
ENSG00000085831,22996,TTC39A,4.412997623173604
ENSG00000117399,991,CDC20,-3.887474157641946
ENSG00000198417,4494,MT1F,6.215660811287022
ENSG00000187498,1282,COL4A1,-5.122375888944424
ENSG00000064270,9914,ATP2C2,3.6365455622315537
ENSG00000104419,10397,NDRG1,2.77914180847538
ENSG00000163359,1293,COL6A3,-4.461320035428502
ENSG00000138642,55008,HERC6,-3.003325583482651
ENSG00000171124,2525,FUT3,3.703943169345918
ENSG00000175197,1649,DDIT3,4.627477147782453
ENSG00000152463,55301,OLAH,6.535902960587686
ENSG00000105523,54854,FAM83E,5.454444647743067
ENSG00000105088,93145,OLFM2,-4.903939008014751
ENSG00000187193,4501,MT1X,3.9558262786658327
ENSG00000057657,639,PRDM1,2.6643731661316226
ENSG00000044574,3309,HSPA5,3.799656400089188
ENSG00000088325,22974,TPX2,-3.096804789684548
ENSG00000183696,7378,UPP1,2.772693850045359
ENSG00000132530,54739,XAF1,-3.670948577244373
ENSG00000258791,645687,LINC00520,3.3827980491071026
ENSG00000197279,7718,ZNF165,4.852209049470951
ENSG00000126368,9572,NR1D1,3.025509477401604
ENSG00000130635,1289,COL5A1,-3.7368297299804585
ENSG00000144810,1295,COL8A1,-4.577841551076032
ENSG00000177409,219285,SAMD9L,-3.1680585407854367
ENSG00000109182,80157,CWH43,2.879531291641736
ENSG00000198901,9055,PRC1,-2.955320611287372
ENSG00000138496,83666,PARP9,-2.1483125600727724
ENSG00000066279,259266,ASPM,-4.783478662077609
ENSG00000163082,130367,SGPP2,3.0738546360851364
ENSG00000087074,23645,PPP1R15A,2.869412045678661
ENSG00000181652,285973,ATG9B,4.656973848304074
ENSG00000124731,54210,TREM1,7.078552706221897
ENSG00000130513,9518,GDF15,3.474096966403225
ENSG00000132274,10346,TRIM22,-2.4671521601805044
ENSG00000276886,26585,GREM1,-3.620387635197449
ENSG00000204262,1290,COL5A2,-3.72766312556276
ENSG00000185885,8519,IFITM1,-2.913400849526868
ENSG00000167996,2495,FTH1,2.3881383904220472
ENSG00000169679,699,BUB1,-4.493440440932944
ENSG00000213694,1903,S1PR3,-3.5170780885354795
ENSG00000176046,26471,NUPR1,2.62243428092197
ENSG00000187608,9636,ISG15,-3.1078089450727977
ENSG00000145604,6502,SKP2,-3.031484626810534
ENSG00000167861,283987,HID1,7.811660616597998
ENSG00000163909,26508,HEYL,-5.933690842841667
ENSG00000023445,330,BIRC3,3.6528158493866254
,221584,ZSCAN12P1,5.0207257489525325
ENSG00000137807,9493,KIF23,-3.105165737190353
ENSG00000134986,9315,NREP,-3.473916584525534
ENSG00000111799,1303,COL12A1,-2.732290319357223
ENSG00000171848,6241,RRM2,-5.59679873520572
ENSG00000197822,100506658,OCLN,4.579544189940506
ENSG00000011465,1634,DCN,-3.8484561907050345
ENSG00000182481,3838,KPNA2,-1.985011491495848
ENSG00000142173,1292,COL6A2,-3.557942996115224
ENSG00000205358,4496,MT1H,10.10480120596159
ENSG00000059804,6515,SLC2A3,2.579236419270585
ENSG00000139211,347902,AMIGO2,-2.67293744293024
ENSG00000162298,84447,SYVN1,2.3153712625258973
ENSG00000292234,80781,COL18A1,-4.42366370769856
ENSG00000080573,50509,COL5A3,-7.534252701925545
ENSG00000113140,6678,SPARC,-3.3242468156373506
ENSG00000288292,1366,CLDN7,2.954753454636849
ENSG00000112379,57221,ARFGEF3,4.431214537120965
ENSG00000198826,9824,ARHGAP11A,-3.628461049242789
ENSG00000167106,399665,EEIG1,3.2006680634876603
ENSG00000002549,51056,LAP3,-2.2185231771805385
,100506621,,-4.06673930325237
ENSG00000137812,57082,KNL1,-4.403769235844883
ENSG00000107968,1326,MAP3K8,3.294223887131519
ENSG00000138778,1062,CENPE,-3.263669137433991
ENSG00000073150,56666,PANX2,3.745564857613249
ENSG00000133106,94240,EPSTI1,-4.063023005748706
ENSG00000182667,50863,NTM,-2.516900691326095
ENSG00000164692,1278,COL1A2,-4.271108330892745
ENSG00000135842,116496,NIBAN1,3.3562182979461697
ENSG00000170312,983,CDK1,-5.150902379195812
ENSG00000147896,56832,IFNK,-4.4346146093475936
ENSG00000067066,6672,SP100,-1.8809527482006885
ENSG00000159674,10417,SPON2,-4.541350447018197
ENSG00000116679,10625,IVNS1ABP,-2.31116910236675
ENSG00000135750,3775,KCNK1,2.521675941695774
ENSG00000112742,7272,TTK,-4.629712420338735
ENSG00000156675,80223,RAB11FIP1,2.413498572528828
ENSG00000100292,3162,HMOX1,4.1168133719956215
ENSG00000158270,81035,COLEC12,-4.946081192784524
ENSG00000198380,2673,GFPT1,2.95890378815611
ENSG00000115232,3676,ITGA4,-4.167374546057883
ENSG00000179178,128218,TMEM125,5.363800759949744
ENSG00000160712,3570,IL6R,2.560496577144414
ENSG00000100170,6523,SLC5A1,4.811320540447568
ENSG00000156970,701,BUB1B,-4.710627502100824
ENSG00000021355,1992,SERPINB1,2.9145824331029293
ENSG00000013297,5010,CLDN11,-4.200078124799746
ENSG00000162772,467,ATF3,4.501622007715537
ENSG00000122966,11113,CIT,-4.346060075782481
ENSG00000133119,5983,RFC3,-3.278712888223107
ENSG00000128965,79094,CHAC1,2.704315264481213
ENSG00000163435,1999,ELF3,4.16018914010768
ENSG00000155660,9601,PDIA4,2.9041148199831346
ENSG00000087086,2512,FTL,2.439549941024822
ENSG00000113070,1839,HBEGF,2.877661584017648
ENSG00000112118,4172,MCM3,-2.1832715734986325
ENSG00000103034,65009,NDRG4,2.97095940980868
ENSG00000154227,204219,CERS3,2.366607785278985
ENSG00000189143,1364,CLDN4,3.852552797238303
ENSG00000145050,7873,MANF,2.3532217907085604
ENSG00000197506,64078,SLC28A3,3.748597244306072
ENSG00000145824,9547,CXCL14,-5.8172351749186495
ENSG00000197930,30001,ERO1A,1.8588740516409588
ENSG00000141738,2886,GRB7,2.990007745544774
ENSG00000101361,10528,NOP56,-1.8921256354331577
ENSG00000106537,27075,TSPAN13,2.9740880691593263
ENSG00000141582,8535,CBX4,2.7727782761932467
ENSG00000049192,11174,ADAMTS6,-3.039361675847815
ENSG00000130303,684,BST2,-3.166480553199788
ENSG00000115414,2335,FN1,-2.6670537480366128
ENSG00000291754,128239,IQGAP3,-3.329950712114912
,4500,MT1L,3.306294630651367
ENSG00000182492,633,BGN,-2.761575578299312
ENSG00000000971,3075,CFH,-2.9088782277705225
ENSG00000137809,22801,ITGA11,-3.2894125148084394
ENSG00000147872,123,PLIN2,3.1875610444885587
ENSG00000154856,147495,APCDD1,-4.390933629614359
