Ensembl_ID,Entrez_ID,Gene_Symbol,log2FoldChange
ENSG00000177757,400728,FAM87B,1.35846178697028
,79854,LINC00115,1.07479515636528
ENSG00000186827,7293,TNFRSF4,1.28071668278773
,107984868,,2.86251398353069
ENSG00000235098,441869,ANKRD65,4.91928216374954
ENSG00000169885,163688,CALML6,1.22247496720004
,107984913,LOC107984913,1.17605476621062
,110841581,CAMTA1-DT,1.90340402089383
,105376689,LOC105376689,3.7668210829975
ENSG00000009724,10747,MASP2,1.12620290338205
ENSG00000116663,26270,FBXO6,1.19227390268403
,101927441,EFHD2-AS1,1.46987161884926
ENSG00000162461,284723,SLC25A34,1.95077144528929
ENSG00000179743,729614,SPEN-AS1,1.21528541288274
,101927479,EPHA2-AS1,1.85756705306352
,11209,MST1P2,1.40218564554022
ENSG00000186715,11223,MST1L,1.17629501491028
,105376830,LOC105376830,-2.62013311201803
,100996511,LINC01355,-2.17210266759036
,105376859,LOC105376859,1.54809134855891
,101928728,LOC101928728,1.36135391499825
ENSG00000175793,2810,SFN,1.10891673233584
ENSG00000181773,2827,GPR3,1.22480667246945
ENSG00000126705,27245,AHDC1,-1.11600393214787
ENSG00000252947,677774,SCARNA1,2.06865583630016
ENSG00000221539,692212,SNORD99,1.09081383524074
ENSG00000273544,677825,SNORA44,1.49669449991167
ENSG00000280498,692073,SNORA16A,1.08711539912262
ENSG00000162510,4146,MATN1,1.24948934073504
ENSG00000186056,100129196,MATN1-AS1,1.53829946346402
,107985471,PEF1-AS1,1.68952404950986
ENSG00000305127,105378629,LOC105378629,1.17183109272956
ENSG00000171812,1296,COL8A2,1.36846822023267
ENSG00000163874,80149,ZC3H12A,1.217883518181
ENSG00000183317,284656,EPHA10,1.9074811014592
ENSG00000185668,5453,POU3F1,2.61596356558112
ENSG00000183682,353500,BMP8A,1.10214125775033
ENSG00000291129,728448,PPIEL,1.23339250508738
,105378669,LOC105378669,1.62146392321882
,112268225,LOC112268225,1.36040715382147
ENSG00000198520,339541,ARMH1,1.6342414603933
ENSG00000199377,26828,RNU5F-1,-1.58483306729226
ENSG00000202031,94162,SNORD38A,1.37210022827015
ENSG00000142959,266675,BEST4,3.26438792320563
ENSG00000173846,1263,PLK3,2.23081304381105
ENSG00000188396,343521,DYNLT4,3.16275873525021
ENSG00000222009,149478,BTBD19,2.85026015990686
,728963,RPS15AP10,-1.70251850439399
,105378694,LOC105378694,-1.17672771132161
ENSG00000117472,10103,TSPAN1,1.33959536417932
,105378698,LOC105378698,-1.62625770382781
ENSG00000225767,105378715,FAF1-AS1,-3.24599210177203
,112268262,,1.54213276657499
ENSG00000227070,105378720,EPS15-AS1,1.34116815023338
,105378723,LOC105378723,1.22499641981815
,105378728,LOC105378728,-2.16758504090596
,105378726,LOC105378726,-1.22537025046809
,105378731,LOC105378731,2.02560148929313
ENSG00000198711,619518,SSBP3-AS1,-2.33211074347716
,100507634,LOC100507634,1.47640837253613
ENSG00000177606,3725,JUN,3.88234233478579
ENSG00000132855,27329,ANGPTL3,-2.76353283010057
ENSG00000158966,57685,CACHD1,-1.08284158629036
ENSG00000081985,3595,IL12RB2,1.32914391333653
,105378779,,1.74358283411101
ENSG00000116717,1647,GADD45A,1.24702716708478
,105378792,LRRC7-AS1,-1.72541961623003
ENSG00000162616,11080,DNAJB4,1.09013612884223
,646626,BCL10-AS1,1.62030389493487
,107985054,,-1.13662979493793
ENSG00000117525,2152,F3,1.45500273246648
,105378862,,1.83041448067229
ENSG00000060718,1301,COL11A1,-1.03980980948677
ENSG00000162631,22854,NTNG1,-1.23042539141994
ENSG00000143107,163479,FNDC7,2.21894387271575
ENSG00000179902,127003,CFAP276,1.4851834078457
ENSG00000116299,57535,ELAPOR1,2.40955758821669
ENSG00000156097,83873,GPR61,1.8941914673969
ENSG00000085465,5016,OVGP1,1.60653355448958
ENSG00000143110,128346,C1orf162,1.2365064069188
ENSG00000171385,3752,KCND3,2.83023530747793
ENSG00000155367,333926,PPM1J,1.45270374567327
ENSG00000183508,54855,TENT5C,1.68748165260431
ENSG00000277610,101954264,RNVU1-4,-1.54438909327655
,106479023,H3P4,-1.13863443635204
ENSG00000291123,337875,H2BP1,-1.31942376699153
,107985193,LOC107985193,-2.03427437357332
,338391,H2BP2,-1.43520559781901
ENSG00000273213,440686,H3-7,-1.2948546081906
,107985595,LOC107985595,-2.45763629285289
ENSG00000143127,8515,ITGA10,1.63479476120825
ENSG00000265972,10628,TXNIP,1.60904291080287
ENSG00000201558,101954276,RNVU1-6,-1.7367808308239
ENSG00000286019,100996763,NOTCH2NLB,-1.05602623625397
ENSG00000203814,440689,H2BC18,-1.39012628181905
ENSG00000183598,653604,H3C13,-1.34798710852693
ENSG00000270882,8370,H4C14,-1.54866350608466
ENSG00000203811,126961,H3C14,-1.1961090552538
ENSG00000288825,8337,H2AC18,-1.28908067176533
ENSG00000288859,723790,H2AC19,-1.29086395938031
ENSG00000203852,333932,H3C15,-1.19598725648007
,112268238,,2.2289885988544
ENSG00000270276,554313,H4C15,-1.54939842375137
ENSG00000184678,8349,H2BC21,-1.42488295494774
ENSG00000184260,8338,H2AC20,-1.32065618218801
ENSG00000237781,100289061,ADAMTSL4-AS2,1.39814943579005
ENSG00000143382,54507,ADAMTSL4,1.35679830566258
,574406,ADAMTSL4-AS1,2.10463142581701
,107985203,LOC107985203,1.83870065155057
ENSG00000143387,1513,CTSK,1.14275630357193
ENSG00000163141,149428,BNIPL,1.85178259469927
ENSG00000163157,29765,TMOD4,1.13011729877886
ENSG00000232671,100507670,ZNF687-AS1,1.0980372671801
ENSG00000189334,57402,S100A14,3.34248963684111
ENSG00000143552,91181,NUP210L,2.7050061867704
ENSG00000286391,107985206,LOC107985206,3.05184595646886
ENSG00000264349,100423020,MIR4258,2.15119784510489
ENSG00000116539,55870,ASH1L,-1.03890154560783
,106633810,SCARNA26A,1.30651933341164
,106633816,SCARNA26B,1.00289218782741
ENSG00000281394,677771,SCARNA4,1.18046745351059
ENSG00000189030,391104,VHLL,3.06286777941958
ENSG00000125462,10485,MIR9-1HG,1.88566888154504
ENSG00000187862,164118,TTC24,4.62573490806893
ENSG00000171786,4807,NHLH1,1.56034741938337
ENSG00000158859,9507,ADAMTS4,1.42722990658749
ENSG00000158869,2207,FCER1G,1.86610693641236
ENSG00000173110,3310,HSPA6,1.39358646138784
ENSG00000225217,3311,HSPA7,1.76622226633261
,102724329,ATF6-DT,3.07533519375899
,107985224,LOC107985224,4.00528560523875
ENSG00000143199,55811,ADCY10,1.64100656349959
,105371605,,1.48382722006791
ENSG00000034971,4653,MYOC,-1.31279852292166
,100628315,DNM3OS,-1.00845169087272
ENSG00000224977,105371620,RC3H1-DT,3.32504693147026
,105371629,LOC105371629,-1.77702489622061
ENSG00000307581,107985229,LINC02818,4.89371508691382
,101928933,LOC101928933,1.82709025498233
ENSG00000121454,89884,LHX4,-1.95066777464047
,100527964,LHX4-AS1,-1.32308485497032
,105371637,LOC105371637,-1.37483428471098
ENSG00000162783,51278,IER5,1.88510644401514
ENSG00000143333,6004,RGS16,1.34583651488261
ENSG00000261504,284648,LINC01686,1.0523874658336
ENSG00000116701,4688,NCF2,-1.06667131608008
ENSG00000173627,403314,APOBEC4,1.14816224990418
ENSG00000143341,83872,HMCN1,-1.73014149530875
ENSG00000253148,431704,RGS21,-1.59022576274491
ENSG00000162687,343450,KCNT2,-1.0442573439183
ENSG00000000971,3075,CFH,-1.02455501630129
ENSG00000116785,10878,CFHR3,-1.15861524145101
ENSG00000244414,3078,CFHR1,-1.02780634777861
ENSG00000213047,163486,DENND1B,-1.14552280072643
ENSG00000143858,127833,SYT2,-1.3777989697234
ENSG00000293264,148709,ACTG1P25,1.51607389141698
ENSG00000159388,7832,BTG2,2.04165015720759
ENSG00000182795,79098,C1orf116,4.65210985138832
,148696,LOC148696,-2.10158793720365
ENSG00000009790,80342,TRAF3IP3,1.11396523895072
ENSG00000162772,467,ATF3,2.91585438124094
ENSG00000162771,149647,GARIN4,5.93819229793973
ENSG00000196482,2104,ESRRG,-1.00964786492399
ENSG00000231814,100885798,LINC00210,-1.84987086421861
ENSG00000197520,400823,FAM177B,3.12183577612061
ENSG00000143786,149111,CNIH3,1.22416682557384
ENSG00000198835,57165,GJC2,1.89842077202904
ENSG00000181218,92815,H2AC25,-1.08598056937903
ENSG00000196890,128312,H2BC26,-1.18086540466984
,112268256,,-1.36293085215365
,105379283,LOC105379283,1.66495780473678
ENSG00000207181,677802,SNORA14B,1.29840614109278
,112268258,,1.52983592035435
,107985725,LOC107985725,-2.36984330795168
,105373269,,-1.30997675408144
,107985599,,-1.79601182763531
,400812,FLJ39095,1.352562854403
,102724562,LOC102724562,1.62570053925003
ENSG00000189292,285016,ALKAL2,2.21396647081887
,107985840,LOC107985840,-1.62728103200769
ENSG00000115738,3398,ID2,1.20785803874716
,101929643,LOC101929643,1.06232169702888
ENSG00000206633,100302743,SNORA80B,1.55842785776792
,105373449,LOC105373449,-1.00634603490496
ENSG00000143878,388,RHOB,1.77666396641136
,101929272,DTNB-AS1,-1.98462750228213
ENSG00000173567,165082,ADGRF3,1.15217284658066
