Ensembl_ID,Entrez_ID,Gene_Symbol,log2FoldChange
ENSG00000237491,105378580,LINC01409,1.07720042744854
,107984868,,3.39095027547323
,105378605,LOC105378605,-2.19533003014596
,105378604,LOC105378604,-1.30983018825316
ENSG00000130762,27237,ARHGEF16,-1.19185362313813
,101927479,EPHA2-AS1,1.1693330186001
,105376830,LOC105376830,-2.62169073914035
ENSG00000131914,79727,LIN28A,1.23288036242886
ENSG00000158246,115572,TENT5B,1.1850853720615
ENSG00000181773,2827,GPR3,1.04905475795927
ENSG00000126705,27245,AHDC1,-1.06460391128641
ENSG00000293382,653160,GPR199P,1.5819223552573
ENSG00000187815,339559,ZFP69,1.84581380802758
,112268225,LOC112268225,1.24363898742678
ENSG00000233602,100874278,ERI3-IT1,-1.64200384945566
ENSG00000199377,26828,RNU5F-1,-1.59078086395505
ENSG00000142959,266675,BEST4,1.27908447602454
ENSG00000173846,1263,PLK3,1.52808424457228
ENSG00000188396,343521,DYNLT4,2.17654562816924
ENSG00000222009,149478,BTBD19,2.57221821935083
ENSG00000225767,105378715,FAF1-AS1,-2.60635676202744
,105378728,LOC105378728,-1.7345594323657
ENSG00000198711,619518,SSBP3-AS1,-2.22146091360056
ENSG00000177606,3725,JUN,1.2089044660632
ENSG00000081985,3595,IL12RB2,1.23267347481454
ENSG00000171385,3752,KCND3,1.91207427721744
,106479023,H3P4,-1.63414217133986
ENSG00000291123,337875,H2BP1,-1.6710012191317
,107985193,LOC107985193,-1.34115779956446
,338391,H2BP2,-1.68268064068366
ENSG00000273213,440686,H3-7,-1.73047458639368
,105373467,,-1.28192293332145
ENSG00000207205,101954267,RNVU1-15,-2.29906772471087
,107985595,LOC107985595,-1.90343303360666
ENSG00000207501,101954266,RNVU1-14,-2.00467801561978
ENSG00000201558,101954276,RNVU1-6,-2.43974419072036
,112268274,LOC112268274,-2.01289656862013
,100996756,LOC100996756,-1.6409896275927
ENSG00000286172,101447996,RNVU1-8,-2.22088111011691
ENSG00000283676,100847044,MIR5087,-3.19676879906692
ENSG00000203814,440689,H2BC18,-1.63011309275784
ENSG00000183598,653604,H3C13,-1.63208008168218
ENSG00000270882,8370,H4C14,-1.52671926871262
ENSG00000203811,126961,H3C14,-1.39681937661133
ENSG00000288825,8337,H2AC18,-1.59313812769284
ENSG00000288859,723790,H2AC19,-1.59489222810255
ENSG00000203852,333932,H3C15,-1.39814429018823
ENSG00000270276,554313,H4C15,-1.52770028722841
ENSG00000184678,8349,H2BC21,-1.82547802386893
ENSG00000184260,8338,H2AC20,-1.82611580453118
ENSG00000143387,1513,CTSK,1.30981966535459
ENSG00000163141,149428,BNIPL,1.19578252709617
ENSG00000160781,79957,PAQR6,1.01697323257886
ENSG00000189030,391104,VHLL,2.39638421330992
ENSG00000125462,10485,MIR9-1HG,1.37278682211502
ENSG00000187862,164118,TTC24,4.74919630844348
ENSG00000158869,2207,FCER1G,2.20872296704896
ENSG00000143199,55811,ADCY10,2.27638206086479
ENSG00000117477,57821,CCDC181,1.56001280819041
ENSG00000121454,89884,LHX4,-1.2648655131226
,100527964,LHX4-AS1,-1.33723460896844
,107985230,,-1.49699974678473
ENSG00000159388,7832,BTG2,1.48704566032885
,105371692,LRRN2-AS1,1.4031984000353
ENSG00000184144,6900,CNTN2,1.67061858418032
ENSG00000162772,467,ATF3,1.08529942055176
ENSG00000181218,92815,H2AC25,-1.57402981584253
ENSG00000196890,128312,H2BC26,-1.39797518681352
,107985367,,1.40687519215067
ENSG00000155816,56776,FMN2,-1.08159650891863
ENSG00000173728,200159,SPMIP3,3.12578978466999
,112268258,,3.93765952038266
,105373265,LOC105373265,-1.10410808921372
,105373270,,-2.68732259346379
,105373269,,-1.81677983827266
,101929643,LOC101929643,2.01587136832632
,105374454,RASGRP3-AS1,1.5594831061326
ENSG00000239605,285051,STPG4,3.54249945365634
ENSG00000184261,56660,KCNK12,1.07448076738048
ENSG00000214513,344022,NOTO,1.85151278072879
ENSG00000135625,1961,EGR4,1.24551504435599
ENSG00000144045,165545,DQX1,1.60027115111999
,101928214,LOC101928214,-1.53301831302866
ENSG00000287670,105374852,LOC105374852,-1.7663578061419
,107985939,LOC107985939,1.77572157925523
ENSG00000074047,2736,GLI2,-1.0885546468771
ENSG00000115850,3938,LCT,1.74294912172845
,107985780,,-2.02435249279886
,105373774,,1.26559123888271
,107985784,LOC107985784,1.73128931962104
,105373813,CAVIN2-AS1,-2.57627232255027
ENSG00000187944,401027,C2orf66,3.17486462178398
ENSG00000178568,2066,ERBB4,-1.34218797565995
ENSG00000115414,2335,FN1,1.13851842298436
ENSG00000163449,92691,TMEM169,1.1842304050866
ENSG00000179921,151306,GPBAR1,1.54381377003384
ENSG00000135902,1144,CHRND,2.57845903353748
ENSG00000196811,1146,CHRNG,1.29942191355906
ENSG00000235529,100506749,AGAP1-IT1,1.36975146519683
,105373942,LOC105373942,-1.73295312923943
ENSG00000163359,1293,COL6A3,-1.36328329297078
,107986013,,-1.35600327246341
,107986075,LOC107986075,3.20729995437823
ENSG00000213689,11277,TREX1,1.22999597865338
