Ensembl_ID,Entrez_ID,Gene_Symbol,log2FoldChange
,284600,LOC284600,1.21483847685731
ENSG00000187583,84069,PLEKHN1,1.48503875305512
,107984868,,-2.8313933285831
ENSG00000179403,64856,VWA1,1.11910278784436
ENSG00000178821,339456,TMEM52,2.15088115426263
ENSG00000142609,85452,CFAP74,-4.6378493803918
,107984872,LOC107984872,-2.98260027430607
ENSG00000187730,2563,GABRD,1.10914857474986
ENSG00000116151,79906,MORN1,-1.25866719358721
ENSG00000292993,100129534,LOC100129534,-3.17390939570038
ENSG00000273936,8764,TNFRSF14,-1.38878645237655
,440556,PRDM16-DT,7.02399698180592
ENSG00000142611,63976,PRDM16,10.0446839618882
,105378606,LOC105378606,6.10829474527184
,105378605,LOC105378605,6.02354898160607
,105378604,LOC105378604,5.4542165947375
ENSG00000078900,7161,TP73,1.95922110176424
,105378610,TP73-AS3,2.55552194147979
ENSG00000116254,26038,CHD5,3.78306522350627
,107985733,,1.60706215952088
,102724450,RNF207-AS1,1.3149764008746
ENSG00000225077,148645,ICMT-DT,-1.02240273709172
ENSG00000187017,83715,ESPN,-4.98602943077451
,105376689,LOC105376689,4.82141256527428
ENSG00000116285,54206,ERRFI1,-2.06868210224348
ENSG00000162426,50651,SLC45A1,1.83143415286877
ENSG00000180758,80045,GPR157,1.02387480767244
ENSG00000049239,9563,H6PD,-1.47907141225728
ENSG00000179840,644997,PIK3CD-AS1,1.94605864242399
ENSG00000130940,54897,CASZ1,-3.19821716370901
ENSG00000116661,26232,FBXO2,-1.16243775732737
ENSG00000120949,943,TNFRSF8,2.84913070247305
ENSG00000162496,9249,DHRS3,-5.63880206474849
ENSG00000116726,390999,PRAMEF12,-6.80703865329909
,649324,PRAMEF34P,-5.4321732990371
ENSG00000290772,645354,PRAMEF36P,-5.4321732990371
ENSG00000189337,23254,KAZN,4.02229313784902
ENSG00000171729,55092,TMEM51,1.97235185864458
ENSG00000204464,727684,TMEM51-AS2,2.61146222030276
ENSG00000162458,54751,FBLIM1,-2.59445350131189
ENSG00000185519,348487,FAM131C,1.90557566728841
ENSG00000291381,128272,ARHGEF19,1.16553189059051
ENSG00000233421,100132147,LINC01783,-1.48028746111289
,100189045,TRG-CCC5-1,-1.63296914885322
ENSG00000228549,112267871,LINC03126,-1.43252600537546
ENSG00000117122,4237,MFAP2,-9.02881493840053
,105376806,LOC105376806,-7.43275746881989
ENSG00000117115,11240,PADI2,-2.20337572215266
ENSG00000117148,81569,ACTL8,-3.05047104135627
ENSG00000162482,22977,AKR7A3,-1.16225892504641
,100532736,MICOS10-NBL1,1.31747985776116
ENSG00000158747,4681,NBL1,1.4713880354387
ENSG00000158748,3362,HTR6,2.08972189714833
ENSG00000162542,255104,TMCO4,6.24680634276349
ENSG00000162545,55450,CAMK2N1,4.02183953909945
ENSG00000183114,163933,FAM43B,-4.17971343383194
ENSG00000162551,249,ALPL,4.1226073908335
ENSG00000076864,5909,RAP1GAP,-1.12811193675617
ENSG00000070886,2046,EPHA8,2.14374535698796
ENSG00000133216,2048,EPHB2,3.9033581560901
ENSG00000001460,90529,STPG1,-1.28169370384644
ENSG00000169504,25932,CLIC4,-1.17836347743675
ENSG00000020633,864,RUNX3,9.63825755169726
,107984932,,7.25309911322484
,105376878,RUNX3-AS1,5.4220881845008
ENSG00000117643,57134,MAN1C1,2.02544174485618
ENSG00000197245,79927,FAM110D,-3.14601430650348
ENSG00000142675,10256,CNKSR1,-1.58645547974561
ENSG00000131914,79727,LIN28A,-8.7229493842134
ENSG00000253368,388610,TRNP1,1.60783628968287
ENSG00000158246,115572,TENT5B,-2.08198730771557
ENSG00000142733,9064,MAP3K6,1.19777679103032
ENSG00000126709,2537,IFI6,1.17445223711992
ENSG00000130775,9473,THEMIS2,1.08788400137767
ENSG00000285069,83667,SESN2,-1.81003282802747
ENSG00000197989,85028,SNHG12,1.14001057303765
ENSG00000221539,692212,SNORD99,1.0973451719612
ENSG00000273544,677825,SNORA44,1.17278885230275
ENSG00000084628,79570,NKAIN1,3.06464046116292
ENSG00000121769,2170,FABP3,-2.07491051406018
ENSG00000168528,347735,SERINC2,1.69342646848699
ENSG00000291132,339483,MTMR9LP,-1.24407854815546
ENSG00000305127,105378629,LOC105378629,1.12075560948959
ENSG00000273274,728116,ZBTB8B,-3.1562779557813
ENSG00000160097,252995,FNDC5,-1.67051658032343
ENSG00000121900,113452,TMEM54,1.15397717364167
ENSG00000142920,113451,AZIN2,-1.55067346675621
ENSG00000243749,100506144,TMEM35B,-1.08553795041137
ENSG00000116819,339488,TFAP2E,2.60347128830383
ENSG00000239636,105378645,TFAP2E-AS1,1.72198743893921
ENSG00000214193,79729,SH3D21,-1.24404923430497
ENSG00000142694,55194,EVA1B,-2.00957072562151
ENSG00000196182,83931,STK40,-1.17449033130128
ENSG00000116885,127700,OSCP1,-1.48010790453769
ENSG00000183317,284656,EPHA10,4.59563388032592
ENSG00000185090,149175,MANEAL,1.06714074620451
,105378651,LOC105378651,-1.13390778047124
ENSG00000116983,51440,HPCAL4,1.13726668479595
ENSG00000116985,656,BMP8B,-1.1191288628162
ENSG00000116990,4610,MYCL,1.02551000519944
ENSG00000168389,84879,MFSD2A,2.38648516589687
ENSG00000049089,1298,COL9A2,-5.33258057533042
ENSG00000187815,339559,ZFP69,-5.1419076025008
ENSG00000164002,64789,EXO5,-7.75848115208853
ENSG00000117013,9132,KCNQ4,2.65015576275453
ENSG00000179862,163732,CITED4,-1.9412139422706
ENSG00000204060,100132074,FOXO6,1.34149695104073
ENSG00000127124,59269,HIVEP3,1.51242311260244
ENSG00000280670,126661,CCDC163,1.74305998578723
ENSG00000171357,541468,LURAP1,1.4258463852121
ENSG00000197587,127343,DMBX1,4.21565238339545
,105378701,CYP4A22-AS1,1.12770431457237
ENSG00000237424,84793,FOXD2-AS1,1.3988269937074
ENSG00000186564,2306,FOXD2,3.97649147764443
ENSG00000269113,388630,TRABD2B,3.66215636605043
ENSG00000203995,440590,ZYG11A,2.77028198482535
ENSG00000121310,55268,ECHDC2,2.92758938203334
,105378728,LOC105378728,1.30179625376705
ENSG00000162407,8613,PLPP3,4.44619261548386
ENSG00000177606,3725,JUN,2.63936540639278
ENSG00000240563,54596,L1TD1,-7.65957440649206
ENSG00000132854,163782,KANK4,-10.8568774136934
ENSG00000088035,29929,ALG6,-1.38845144566853
ENSG00000185483,4919,ROR1,5.23507471248588
ENSG00000158966,57685,CACHD1,4.77278844147944
ENSG00000162434,3716,JAK1,3.59873867275543
ENSG00000162433,205,AK4,1.83394961905032
ENSG00000116675,9829,DNAJC6,7.31054444022489
,102724416,DNAJC6-AS1,6.70220188319548
,112268227,LOC112268227,5.48185299949055
ENSG00000116717,1647,GADD45A,-1.91209226365663
ENSG00000232284,100289178,GNG12-AS1,2.44274614626037
ENSG00000162595,9077,DIRAS3,-2.05424544303463
ENSG00000116729,79971,WLS,3.67939886188523
ENSG00000033122,57554,LRRC7,4.68899889706224
ENSG00000293134,5301,PIN1P1,5.8333804791026
,105378792,LRRC7-AS1,4.00446049721412
ENSG00000116761,1491,CTH,2.35997976488262
ENSG00000050628,5733,PTGER3,6.93268087018559
ENSG00000172260,257194,NEGR1,-6.01645335256994
ENSG00000162624,431707,LHX8,-10.299783970061
ENSG00000137968,204962,SLC44A5,-1.43679298138477
ENSG00000162614,91624,NEXN,-1.09223541942269
ENSG00000117114,23266,ADGRL2,-2.83511942721292
ENSG00000137941,79739,TTLL7,3.00852214289695
ENSG00000142875,5567,PRKACB,-1.32714531234904
ENSG00000171517,23566,LPAR3,2.05018732092908
ENSG00000153898,255231,MCOLN2,2.72916408231083
ENSG00000055732,55283,MCOLN3,3.36101824256832
ENSG00000162643,126820,DNAI3,-2.11709433539425
ENSG00000162642,148423,C1orf52,-1.09073160932589
ENSG00000153904,23576,DDAH1,-6.60319566388295
,107985054,,-7.7333687291181
ENSG00000142871,3491,CCN1,-7.00309616647039
ENSG00000117174,54680,ZNHIT6,-1.02872026697178
ENSG00000183291,9403,SELENOF,-1.03209933958687
ENSG00000153936,9653,HS2ST1,-1.38436313176379
ENSG00000143013,8543,LMO4,-4.51950458072722
ENSG00000065243,5586,PKN2,-1.02335303128058
ENSG00000137947,2959,GTF2B,-1.36812225002233
ENSG00000137944,56267,KYAT3,-2.46180677599609
ENSG00000213516,494115,RBMXL1,-1.09913934630009
ENSG00000117226,2635,GBP3,-4.35276197081188
,105378841,LOC105378841,-5.09026323654574
ENSG00000117228,2633,GBP1,-7.32071768788883
ENSG00000162654,115361,GBP4,-8.5983864340808
ENSG00000154451,115362,GBP5,-4.96498490192091
ENSG00000290525,400759,GBP1P1,-3.63373829679027
ENSG00000197147,23507,LRRC8B,-1.30543153010531
ENSG00000171488,84230,LRRC8C,-3.47176979481441
,492303,GEMIN8P4,-1.57990480029894
ENSG00000162664,284695,ZNF326,-1.53572875357537
ENSG00000233593,105378853,LINC02609,-2.69111352934081
ENSG00000122482,84146,ZNF644,-1.3991875165789
ENSG00000162669,164045,HFM1,-5.68589871724064
ENSG00000069702,7049,TGFBR3,-1.63695299927109
,23285,,-2.55692423178754
ENSG00000174842,11146,GLMN,-1.08725681191866
ENSG00000122484,79871,RPAP2,-1.43770782663583
ENSG00000143033,22823,MTF2,-1.59815565995499
ENSG00000117500,50999,TMED5,-1.45828863485717
,100131564,CCDC18-AS1,-2.47373865327587
ENSG00000137942,54874,FNBP1L,-2.86342965453133
ENSG00000137936,8412,BCAR3,-1.13712594770891
ENSG00000067334,30836,DNTTIP2,-1.02084187441632
ENSG00000023909,2730,GCLM,-1.10430222407163
ENSG00000117528,5825,ABCD3,-1.31030444702964
ENSG00000117525,2152,F3,-4.85877858924097
ENSG00000117519,1266,CNN3,-1.39437975890228
,105378862,,-2.00341375552887
ENSG00000235501,729970,CNN3-DT,-2.83938168244384
ENSG00000152078,148534,TLCD4,-1.52213870357862
ENSG00000271092,100527978,TLCD4-RWDD3,-1.80870776926217
ENSG00000122481,25950,RWDD3,-2.64413976384055
ENSG00000237435,102723661,LINC02790,-6.29488340010239
ENSG00000117569,58155,PTBP2,-2.42026361315199
ENSG00000188641,1806,DPYD,-9.8077143883545
,109729128,LINC01930,-6.16963340939939
ENSG00000225206,400765,MIR137HG,-9.79761403233417
ENSG00000284247,100616452,MIR2682,-6.92627359086928
ENSG00000226053,729987,LINC01776,-6.48848333505081
ENSG00000162627,51375,SNX7,-10.0242355620965
ENSG00000156869,391059,FRRS1,-7.2390299950661
ENSG00000122435,54482,TRMT13,-1.45945001558277
ENSG00000122477,127495,LRRC39,-1.87697142212028
ENSG00000137992,1629,DBT,-1.37242920358764
,100506007,RTCA-AS1,-1.5559708177175
ENSG00000137996,8634,RTCA,-1.20517785436422
ENSG00000162694,2135,EXTL2,-1.11179609172698
ENSG00000233184,102606465,DPH5-DT,-1.69186604031221
ENSG00000170989,1901,S1PR1,-5.51793462570292
ENSG00000226715,105378872,LINC01709,-2.37067045811914
ENSG00000118733,118427,OLFM3,-1.25768196111431
,94236,DNAJA1P5,-1.90653288580022
ENSG00000060718,1301,COL11A1,5.68193099169626
ENSG00000198890,55170,PRMT6,-1.49552584745104
ENSG00000162631,22854,NTNG1,-10.8165360215602
ENSG00000134215,10451,VAV3,-10.5175832564683
ENSG00000085491,29957,SLC25A24,-3.25136935349881
ENSG00000162636,284611,EEIG2,-4.25369170697804
ENSG00000116266,6814,STXBP3,-1.42638388282155
ENSG00000215717,56900,TMEM167B,-1.03929910767098
ENSG00000116299,57535,ELAPOR1,-3.49148201390934
ENSG00000031698,6301,SARS1,-1.54355820822312
ENSG00000143126,1952,CELSR2,-1.38470904834966
ENSG00000134222,84722,PSRC1,-1.04681638205002
ENSG00000134243,6272,SORT1,-1.6984186182245
ENSG00000143106,5686,PSMA5,-1.03077033438652
ENSG00000143028,284612,SYPL2,2.81489551480976
ENSG00000065135,2773,GNAI3,-1.18823709372039
ENSG00000184371,1435,CSF1,-2.71620631404864
ENSG00000156150,257,ALX3,-1.05028983504755
ENSG00000116396,3749,KCNC4,1.59458787981729
ENSG00000168679,9122,SLC16A4,-1.78822043402438
ENSG00000134248,10542,LAMTOR5,-1.14041067855934
ENSG00000156171,128338,DRAM2,-1.22685944436692
ENSG00000173947,128344,CIMAP3,-3.18793846190096
ENSG00000085465,5016,OVGP1,-1.47618407348497
ENSG00000116455,79084,WDR77,-1.17577735062278
ENSG00000116459,515,ATP5PB,-1.38937863717613
ENSG00000143110,128346,C1orf162,-1.50209134567474
ENSG00000116473,5906,RAP1A,-1.04648345173729
ENSG00000197852,55924,INKA2,-2.21765433525306
ENSG00000064703,11218,DDX20,-1.14107600921176
ENSG00000143079,55917,CTTNBP2NL,-2.04522400532915
ENSG00000134245,7482,WNT2B,-1.36161651907706
ENSG00000116489,829,CAPZA1,-1.14668870582262
ENSG00000155363,4343,MOV10,-2.12850974277153
ENSG00000155366,389,RHOC,-1.204933600517
,107985189,LOC107985189,-2.61488653160403
ENSG00000081026,260425,MAGI3,-4.46483436418998
ENSG00000116793,10745,PHTF1,-1.38792121411504
ENSG00000081019,54665,RSBN1,-1.29606614512098
ENSG00000118655,64858,DCLRE1B,-1.09772904588376
ENSG00000163349,204851,HIPK1,-1.02516106703197
ENSG00000116774,56944,OLFML3,-3.53774293770957
