Ensembl_ID,Entrez_ID,Gene_Symbol,log2FoldChange
,557,,7.15771144303883
,1165,,8.479361799182932
ENSG00000103249,1186,CLCN7,7.014937757597873
,192,AIC,6.885308320109672
ENSG00000126895,554,AVPR2,7.432259751667735
,1970,,6.583886497710279
,3245,,8.326732756353364
ENSG00000235134,1589,CYP21A2,7.018100997063365
,2763,,6.867041767103149
ENSG00000104408,3646,EIF3E,7.879624370233513
ENSG00000057657,639,PRDM1,6.379354795331178
ENSG00000105810,1021,CDK6,6.245244810841337
,289,,5.478268801958742
ENSG00000076555,32,ACACB,5.271738739453556
ENSG00000182580,2049,EPHB3,11.010712680287428
ENSG00000215456,616,BCRP4,7.889621311755838
,188,,5.961223197641925
,99,,7.1456763916806665
ENSG00000293060,2502,FTH1P10,5.45540539736778
ENSG00000129673,15,AANAT,6.060498787811034
ENSG00000124479,4693,NDP,6.799796552826386
,548,,5.656417345551414
ENSG00000022355,2554,GABRA1,6.074895401006805
ENSG00000166825,290,ANPEP,4.626641661203935
ENSG00000148218,210,ALAD,4.764841620772873
,494,,5.887700071428186
ENSG00000120438,6950,TCP1,6.838631811020153
,1689,,5.681004519642349
ENSG00000087088,581,BAX,5.053470594456632
ENSG00000082258,905,CCNT2,4.5110870845517
,4344,,7.679767742884448
ENSG00000168032,956,ENTPD3,4.740333908967535
,3650,,5.619361213280227
ENSG00000011465,1634,DCN,5.284444984974501
ENSG00000002330,572,BAD,4.323418871356808
ENSG00000157184,1376,CPT2,4.450160395897294
ENSG00000138101,1838,DTNB,6.005217745554681
ENSG00000185736,105,ADARB2,5.060123228280558
ENSG00000158813,1896,EDA,4.95364001015122
ENSG00000214042,3444,IFNA7,4.704762577300986
,8308,,6.7771563310327885
,3368,,5.363480209689274
,1449,,4.613239725691535
ENSG00000010404,3423,IDS,4.323595980260968
ENSG00000066468,2263,FGFR2,4.905718008514222
,2111,,4.361814833293899
ENSG00000197061,8364,H4C3,5.448969800834187
ENSG00000138185,953,ENTPD1,6.10963495756338
ENSG00000168398,624,BDKRB2,5.455900920352265
ENSG00000159723,181,AGRP,4.390207568566752
ENSG00000185627,5719,PSMD13,7.084649457800768
ENSG00000170689,3219,HOXB9,5.005451498482589
,5421,,4.431631050675872
ENSG00000167910,1581,CYP7A1,4.281071827858885
,1715,,4.483812790482064
ENSG00000244165,5032,P2RY11,4.6977454302150505
,2106,,5.458305233398448
ENSG00000134900,7174,TPP2,5.8329860746258655
ENSG00000134686,1912,PHC2,4.136361647708357
,1552,,4.3768792581155616
ENSG00000081181,384,ARG2,3.999105064479604
ENSG00000197442,4217,MAP3K5,4.255283841752873
ENSG00000135829,1660,DHX9,3.931219980152624
ENSG00000123131,10549,PRDX4,5.953826120949334
ENSG00000178538,767,CA8,4.443204246265715
ENSG00000144810,1295,COL8A1,4.092811734474213
ENSG00000060971,30,ACAA1,4.049518047982216
ENSG00000217646,10340,H2BC16P,6.32560439458365
ENSG00000088827,6614,SIGLEC1,5.62932592456329
,4364,MRSD,5.224324349996189
ENSG00000108518,5216,PFN1,4.355968064210927
,1328,,5.186185202091708
ENSG00000241837,539,ATP5PO,4.966951032746147
,2211,,8.621725505594094
ENSG00000118193,9928,KIF14,6.139881828275596
,457,,4.031683624097662
,8117,,4.942211253909288
ENSG00000138675,2250,FGF5,-3.6624156180504666
ENSG00000135940,1329,COX5B,3.790880613392775
,7435,VIS1,4.723714102473918
ENSG00000165025,6850,SYK,4.931373204941994
ENSG00000248144,126,ADH1C,4.59340132172785
,10337,H4C10P,5.180351140920084
ENSG00000089289,3476,IGBP1,4.159654986256253
ENSG00000198356,439,GET3,4.570522892377882
ENSG00000075413,4140,MARK3,3.7118508669489807
ENSG00000130649,1571,CYP2E1,3.6972538282504126
ENSG00000134762,1825,DSC3,3.6423133949751945
ENSG00000198730,9646,CTR9,5.777173602203624
,376,,3.6030423386380392
