Ensembl_ID,Entrez_ID,Gene_Symbol,log2FoldChange
,3,,3.040706848010927
,7,,2.652962226192789
ENSG00000129673,15,AANAT,8.610025624001242
ENSG00000128271,135,ADORA2A,3.0500220127076703
,145,PARP1P2,2.540631338996425
ENSG00000293510,172,AFG3L1P,2.66187459812218
,192,AIC,3.718963185776461
,236,AKR1B1P2,4.859008062005449
,256,,2.088821739933952
ENSG00000156219,419,ART3,3.838145131340348
ENSG00000198356,439,GET3,2.83579014097806
ENSG00000126895,554,AVPR2,6.443923421903365
ENSG00000002330,572,BAD,3.1263056002770315
ENSG00000125730,718,C3,3.7636203709337823
ENSG00000178538,767,CA8,4.506253239435288
,791,,-2.8021131970401685
ENSG00000016490,1179,CLCA1,3.643680588704879
ENSG00000135940,1329,COX5B,4.386858312959635
,1692,,3.6964937100563535
,2211,,2.604558971129616
ENSG00000107831,2253,FGF8,3.670535224671037
ENSG00000158373,3017,H2BC5,4.4629328324836
ENSG00000176887,6664,SOX11,4.386749122155878
,1449,,2.6267348237564474
ENSG00000165269,364,AQP7,2.497038989464264
,422,,2.555643611402425
,3282,,3.3462169709963296
,503,,2.5808918726366747
ENSG00000163295,248,ALPI,2.364706205077652
ENSG00000166825,290,ANPEP,2.191277564178215
ENSG00000197565,1288,COL4A6,2.662277700915697
ENSG00000093010,1312,COMT,3.039200647932464
ENSG00000188690,7390,UROS,4.076817157634343
ENSG00000057657,639,PRDM1,2.858787107407068
,3650,,4.5711225684775565
ENSG00000248144,126,ADH1C,2.157150946656959
ENSG00000022355,2554,GABRA1,3.8391654703484015
ENSG00000087088,581,BAX,2.3000196394127563
,1715,,2.57442959263708
,3616,,2.8688169579073404
ENSG00000169684,1138,CHRNA5,2.1597125365126817
ENSG00000130649,1571,CYP2E1,2.935122187765641
,4981,OPEM,3.337432540436119
ENSG00000126012,8242,KDM5C,3.765403382637648
ENSG00000082212,4200,ME2,3.127329662724871
ENSG00000242616,2790,GNG10,2.44733105235504
ENSG00000243955,2938,GSTA1,3.112112841931672
,2198,,2.620594512069621
ENSG00000011465,1634,DCN,2.500563093331199
ENSG00000168036,1499,CTNNB1,2.22214112933051
ENSG00000234906,344,APOC2,2.1693166771741828
ENSG00000175387,4087,SMAD2,3.3525387763869783
,3245,,-3.377221495370534
ENSG00000170515,5036,PA2G4,2.840764548366281
ENSG00000137869,1588,CYP19A1,2.0761551533225204
ENSG00000241837,539,ATP5PO,2.16857061003224
ENSG00000143393,5298,PI4KB,-2.511574054614067
ENSG00000164885,1020,CDK5,2.0197006916756006
,1526,CXB3S,2.55927521052002
ENSG00000104388,5862,RAB2A,5.884864594951269
ENSG00000134001,1965,EIF2S1,2.481584974496603
,3917,,2.3536482896398985
,4876,,2.85758886867437
ENSG00000082293,1310,COL19A1,2.869735466740268
ENSG00000270978,2753,GLULP1,2.2226368365462
ENSG00000144810,1295,COL8A1,2.0023910710522954
,3535,IGL,2.8539868671258914
,2659,,2.378330835798089
,6912,,2.90586114923919
ENSG00000007933,2328,FMO3,2.4874438558857213
,2763,,3.981935914409368
ENSG00000158815,8822,FGF17,3.059528806675503
,2504,FTH1P12,-2.2083189256629336
ENSG00000114349,2779,GNAT1,2.371237386873668
ENSG00000102924,869,CBLN1,-2.694027956918773
ENSG00000124479,4693,NDP,3.193049850080919
ENSG00000179546,3352,HTR1D,2.3883892193602145
,2143,,2.083237272177205
ENSG00000175197,1649,DDIT3,2.0418895941110886
