Gene,logFC
SLFN11,-3.808485
PLA2G7,-3.250377666666666
SCN3A,-2.767054666666667
ACSS3,-2.974184000000001
SERPINB11,-3.871269666666669
TMPRSS15,-2.861460333333335
ADGRV1,-2.663697999999999
NTS,-3.940517000000001
CNTN1,2.436845666666667
MCAM,-2.814734666666668
PAPPA,-2.147179333333333
FST,-2.428357000000002
CLTRN,-2.857480000000002
CHL1,-2.683385333333334
RAB3C,-3.509683666666666
IGFBP3,-2.104391666666666
ATP11A,2.245599000000002
SH2D2A,-2.432153000000001
FAM216B,-3.671659
GJA5,2.45173066666667
ALDH1A1,-2.938040333333333
COL3A1,2.377368333333337
PEG10,-2.105390666666668
CD24,-2.173179333333333
LIN7A,-2.107465333333332
EPHA4,-2.312199999999998
ANTXR2,2.225834333333331
CDH11,-1.554676666666667
FADS2,-1.759810666666666
NCAM2,-1.702481666666669
ADARB1,2.176843666666669
PPEF1,-2.082736666666667
LY75-CD302,1.923455333333335
ADGRL2,-1.832656333333333
AKR1C3,-1.623036666666664
ELMO1,-1.662060333333333
FAM83A,1.861859333333332
GALC,-1.573624000000001
SLC38A5,-2.075290333333334
ESM1,-1.574944333333333
PHLDB2,1.997581333333336
TGM2,1.628867000000001
MYH10,1.513971333333335
TPM2,1.945002000000002
KCNK2,-2.501362666666667
FAM107B,-1.588658333333333
FRY,-1.467966000000001
WARS1,-1.371898999999997
NAV2,-1.678519000000001
ACP6,1.406802666666668
ROBO1,2.03065266666667
TC2N,-1.397497333333334
NPR3,-1.899649666666668
CDR1,-1.792932999999999
CACNA2D3,-1.682928333333334
IL1R1,-1.242273333333333
ZEB2,-1.986131666666669
S100A16,-1.605269
SLC16A6,-1.513264666666668
CDK14,1.214667666666665
ZNF804A,-2.071768666666667
CA2,1.274483666666669
MACC1,-1.908953666666667
HPGDS,-1.405635999999999
PHACTR2,1.925601333333334
GFPT2,1.341639333333334
TM4SF19,1.204792333333335
IL18R1,-1.974029000000001
ELAPOR2,1.346014666666666
SNAP25,1.52974
ADGRG3,1.532014999999999
SLPI,1.652049
TMTC1,1.212900000000001
CRYAB,-1.378477333333334
SERPINB2,-1.239996666666666
MYO5C,-1.281052999999999
ADGRD1,-1.269483999999999
TENM3,1.405794666666669
AMDHD1,-1.498119666666664
PLAC4,-1.512210666666666
ADAMTS9,-1.252415333333333
PRICKLE1,-1.359765333333335
UGT8,-1.317037333333333
AKR1C2,-1.138733333333331
MYO1E,1.297100666666669
TUBB4A,-1.510972
IGF2BP1,1.644499666666667
NLGN4Y,1.396771
DKK1,-1.183688
ABCA8,-1.785590000000001
LXN,-1.018431333333334
FRMD6,-1.092313333333331
SEMA5A,-1.146622333333332
PDK4,1.283008666666667
SLC26A2,1.284294000000001
SERPIND1,-1.401368999999998
NEDD9,-1.707884999999999
CPLX2,1.083806666666666
CALB2,1.160546333333334
TIPARP,1.139138999999999
FSTL1,-1.259251666666666
IFITM2,-1.048615
AQP3,-1.054664333333334
INPP4B,-2.03279
PLAT,-1.260821
NOTCH3,-1.103643666666665
SEMA3D,-1.10383633333333
SGCE,-1.139244
COL12A1,1.376002333333335
GPR65,-1.483350999999999
TGFBR3,1.373950999999999
VAV3,1.310544666666665
APLN,-1.249287999999999
TXLNGY,1.13267
PAPPA2,1.147610999999999
CP,1.710655333333333
TSPAN13,-1.090690666666669
DOC2B,-1.187723666666665
CPVL,-1.165431666666668
CHRNA9,1.576803666666669
DCLK1,-1.301574333333332
PAG1,-1.095533
KCNK1,1.381863000000001
CDH2,1.059544
PTPN20,1.468302666666666
TMOD1,-1.093310999999999
FGD6,1.090739666666664
RASGRF2,1.110234
PRKCB,-1.131294333333335
BMP5,1.424889333333336
NAP1L3,-1.110250333333333
PKP2,1.177753666666667
DSP,1.103745
TNFRSF19,-1.067803333333333
MLPH,-1.237367333333331
IGFBP4,1.495253666666668
SLCO5A1,-1.359312666666667
ALX1,1.054638333333333
ITGB8,1.091237333333333
PTPRN,1.166963999999999
FGF14,-1.448681999999999
FLRT3,1.223217999999999
TEX15,-1.128965333333333
ERO1B,1.028998
NKAIN2,-1.117936666666668
RAB39B,-1.179048333333333
AADAC,1.012363666666666
RGL1,-1.070307999999999
CFH,-1.073306666666665
SUCNR1,1.209655333333332
SOX6,-1.172618000000002
ANO3,-1.113569333333334
ANO5,1.418462000000003
E2F7,1.000231000000002
PNPLA4,1.422531999999999
PKIA,1.067918999999999
SPATA7,-1.000341333333334
JCAD,-1.511860666666665
MRAP2,1.072777666666666
CYP24A1,-1.108626666666666
FAM133A,-1.321193333333334
SLC15A5,-1.304963000000001
MMP1,-1.271606999999999
ARHGEF5,1.028887333333334
PALM2AKAP2,-1.033354666666666
TMEM100,-1.299514999999998
TCP11L2,1.016089
PCDH7,-1.016816333333335
MYEF2,-1.039136666666668
ZNF204P,1.660894
SCRN1,1.520855000000002
IL1B,1.115838666666669
IL18,1.316005000000001
ALOX12P2,1.108331666666667
PLAC8,1.061742666666667
