Ensembl_ID,Entrez_ID,Gene_Symbol,logFC
ENSG00000172716,91607,SLFN11,-3.808485
ENSG00000146070,7941,PLA2G7,-3.250377666666666
ENSG00000153253,6328,SCN3A,-2.767054666666667
ENSG00000111058,79611,ACSS3,-2.974184000000001
ENSG00000206072,89778,SERPINB11,-3.871269666666669
ENSG00000154646,5651,TMPRSS15,-2.861460333333335
ENSG00000164199,84059,ADGRV1,-2.663697999999999
ENSG00000133636,4922,NTS,-3.940517000000001
ENSG00000018236,1272,CNTN1,2.436845666666667
ENSG00000076706,4162,MCAM,-2.814734666666668
ENSG00000182752,5069,PAPPA,-2.147179333333333
ENSG00000134363,10468,FST,-2.428357000000002
ENSG00000147003,57393,CLTRN,-2.857480000000002
ENSG00000134121,10752,CHL1,-2.683385333333334
ENSG00000152932,115827,RAB3C,-3.509683666666666
ENSG00000146674,3486,IGFBP3,-2.104391666666666
ENSG00000068650,23250,ATP11A,2.245599000000002
ENSG00000027869,9047,SH2D2A,-2.432153000000001
ENSG00000179813,144809,FAM216B,-3.671659
ENSG00000265107,2702,GJA5,2.45173066666667
ENSG00000165092,216,ALDH1A1,-2.938040333333333
ENSG00000291748,1281,COL3A1,2.377368333333337
ENSG00000242265,23089,PEG10,-2.105390666666668
ENSG00000272398,100133941,CD24,-2.173179333333333
ENSG00000111052,8825,LIN7A,-2.107465333333332
ENSG00000116106,2043,EPHA4,-2.312199999999998
ENSG00000163297,118429,ANTXR2,2.225834333333331
ENSG00000140937,1009,CDH11,-1.554676666666667
ENSG00000134824,9415,FADS2,-1.759810666666666
ENSG00000154654,4685,NCAM2,-1.702481666666669
ENSG00000197381,104,ADARB1,2.176843666666669
ENSG00000086717,5475,PPEF1,-2.082736666666667
ENSG00000248672,100526664,LY75-CD302,1.923455333333335
ENSG00000117114,23266,ADGRL2,-1.832656333333333
ENSG00000196139,8644,AKR1C3,-1.623036666666664
ENSG00000155849,9844,ELMO1,-1.662060333333333
ENSG00000147689,84985,FAM83A,1.861859333333332
ENSG00000054983,2581,GALC,-1.573624000000001
ENSG00000017483,92745,SLC38A5,-2.075290333333334
ENSG00000164283,11082,ESM1,-1.574944333333333
ENSG00000144824,90102,PHLDB2,1.997581333333336
ENSG00000198959,7052,TGM2,1.628867000000001
ENSG00000133026,4628,MYH10,1.513971333333335
ENSG00000198467,7169,TPM2,1.945002000000002
ENSG00000082482,3776,KCNK2,-2.501362666666667
ENSG00000065809,83641,FAM107B,-1.588658333333333
ENSG00000073910,10129,FRY,-1.467966000000001
ENSG00000140105,7453,WARS1,-1.371898999999997
ENSG00000166833,89797,NAV2,-1.678519000000001
ENSG00000162836,51205,ACP6,1.406802666666668
ENSG00000169855,6091,ROBO1,2.03065266666667
ENSG00000276776,123036,TC2N,-1.397497333333334
ENSG00000113389,4883,NPR3,-1.899649666666668
ENSG00000288642,,CDR1,-1.792932999999999
ENSG00000157445,55799,CACNA2D3,-1.682928333333334
ENSG00000115594,3554,IL1R1,-1.242273333333333
ENSG00000169554,9839,ZEB2,-1.986131666666669
ENSG00000188643,140576,S100A16,-1.605269
ENSG00000108932,9120,SLC16A6,-1.513264666666668
ENSG00000058091,5218,CDK14,1.214667666666665
ENSG00000170396,91752,ZNF804A,-2.071768666666667
ENSG00000104267,760,CA2,1.274483666666669
ENSG00000183742,346389,MACC1,-1.908953666666667
ENSG00000163106,27306,HPGDS,-1.405635999999999
ENSG00000112419,9749,PHACTR2,1.925601333333334
