gene_id,log2FoldChange
FTL,0.9203432163597536
HMGCS1,-3.3297591080960847
MSMO1,-1.9263600393976683
SCD,-2.4260026146964604
EBP,-1.82025736064683
CYP51A1,-2.7035497309660497
MTHFD2,1.5101689630931334
MT1X,1.8329629858540064
GPC3,-2.795966514106881
PLIN2,1.2818104405280737
IDI1,-1.3816069400946234
ARPC4,-1.9941575447304123
GPNMB,2.0466222894969555
CTNNB1,-2.971261636855954
CCND2,-2.080886083485972
ACTB,-1.796741151427295
EIF5A,-2.5811178844876923
WTAP,-2.649088849167872
MARCKS,-2.067806052900477
PAQR7,-2.4603670142262644
STARD7,-1.724317255245304
CNOT9,-2.197409357004612
CLDN11,-2.1391245668489165
NPC2,0.4983256351129412
CALR,-2.507758872046532
USP22,-1.2995610139057825
TOR1AIP2,-2.0356257940705467
SET,-2.05975616570069
DDIT3,1.7920073100071163
TMED4,-2.169778972151967
HNRNPH1,-2.507068107940681
FKBP1A,-1.5239770921371405
TRA2A,-2.8550382761613866
PPP1CB,-2.027613173400484
FKBP9,-2.282720087216136
NUCKS1,-2.0279729647805023
CDC42,-1.4294139801896468
NADK2,-2.394460838474236
WFDC1,-3.069823878230997
SPC24,-2.637751591904818
ADAM10,-1.810995603526776
TSPYL1,-1.9527595888659803
FDPS,-1.0950459832319066
B4GALT1,-2.096070692987042
PRPS2,-1.923345803492176
CRISPLD2,-2.233938814186791
LETM1,-2.4895084711451245
CHP1,-1.7405298956498814
PDCD4,-2.260427786897572
CTTN,-2.1174568365334503
EXOSC6,-2.1642427982456103
BIRC5,-2.226408205213794
PIM2,-2.499580904600754
HNRNPA0,-1.9928750090436669
NKX3-1,-1.883844193968303
FRMD8,-2.1677216630866867
PPP3CA,-2.276578409276501
RIN2,-2.270236601729877
ALDH16A1,-2.494066318968445
GOLIM4,-2.944598042661772
INSR,-2.337315506397536
CAPZA1,-1.6041193179002942
MIR202HG,-2.334269299449881
RASSF3,-2.8604050013649918
TOMM22,-1.995781742081856
SHISA2,-2.223437439820968
CTBP1,-2.5988958139323524
ATP1B1,-1.8678386491005785
BCL10,-2.2496729079923883
PTPRS,-2.912238597185717
ZNF765,-2.194768976790816
CNN3,-2.20476738101604
COX7A2L,0.5155853451666474
LYSMD1,-2.269325031395121
WSB2,-2.039886390990727
YWHAE,-1.3325753978973722
MT1F,2.0328260679276102
INSL3,-1.7222556567980023
EIF1,0.5649134869738976
RNF2,-2.406521382346393
NUP50,-1.818527359476085
DIPK2A,-1.3192921717818318
ZDHHC2,-2.1767663496009337
UGCG,-1.807604397173536
ANKRD40,-2.194224414015206
DCBLD2,-1.8471240306719927
SERINC5,-1.6516056615111816
PSMB4,-0.8066763378071958
ARGLU1,-1.8033527696402736
ABCA1,-1.7500890199832966
IFI30,0.8992233004173416
WNT5A,-1.8104725086104567
H4C15,-2.1896804372877505
C1orf174,-2.0467110439776297
EZR,-1.5843185631771066
ALDH1B1,-2.2536355582951946
FRRS1,-2.0130948665264805
TP53,-2.099354683995015
EIF4EBP2,-1.6606951868645183
SHMT2,0.9143588063751078
AP1G1,-1.941308543467381
CCDC117,-1.969852234827019
ITM2C,-1.6821271954441213
DSEL,-2.046661275431873
CRIM1,-2.035321781154249
TOB1,-1.916899263560312
CARMIL1,-2.285522491311557
SRPRB,-1.5708012594320702
ASAH1,0.8344659912120342
SOX11,-2.4288398404749936
C2orf68,-2.127591901756793
APOBEC3C,-1.594082256658642
MORF4L1,-1.055542258257827
ACAT2,-1.4288291549791043
PRND,-1.7093634321186355
SFXN1,-1.8531718449353447
CSNK1A1,-1.3584547120068098
SRSF6,-1.5470992662491632
TSC22D2,-1.8218528933578977
ARF6,-1.6135229519517138
UBP1,-2.7237307929297514
HNRNPL,-2.0596661871609605
DPYSL2,-1.004343026504353
JAK3,-1.6666846735736964
STC1,-2.2334982629043854
TFAP2C,-2.521789609148081
CDKAL1,-1.673511462716459
HMGCR,-1.174403631438106
ASS1,0.5714954844817496
THRAP3,-1.529925181369212
ETV5,-1.67639904287752
DNMT3A,-1.416613121402304
MT1E,2.355435517677594
ZC3H4,-2.536528302268825
AMFR,-2.1732135969534654
RASGEF1B,-2.179376323753163
WDR43,-2.077172615400696
NONO,-0.6684126952856765
HSPA4,-1.7005122289075996
ATF4,1.1858098261918095
SLC35F6,-1.5954490420409404
SERPINB9,-1.8257749717770215
SMU1,-1.3517828761092288
PDGFC,-1.6621106039889408
LIPH,-1.7911792773739996
LYZ,-2.035932923787418
PDS5B,-1.5978757229680411
ZFX,-1.805044366329971
DCAKD,-1.7629441350921102
TCTN2,-2.150833055469448
CASP2,-1.7055671877126164
KCNJ2,-2.475802104542305
SLC12A2,-1.6536058677145606
EIF4E,-0.9974721365211972
GNPDA1,0.7281785671103205
WDR55,-2.221269294312584
REST,-1.2270085780425646
SLC48A1,-1.3810246848713612
CCNF,-2.431463797125844
CDC42SE2,-1.8350397490123456
PDIA4,-2.0339300398050315
HOXD9,-2.227835728075435
SENP5,-1.5546235073154009
TLK1,-1.4759388224097914
PHACTR2,-1.2985508633388652
ZNF28,-1.816575677128371
GLTP,-1.7343680815699805
ARF4,0.4430382434673086
FANCD2,-2.0299891627131283
PSAT1,0.8198300154579128
PDE6B,-1.8908903796293677
GIPC2,-2.3237678338179317
TMED2,-1.6535264528607303
SLC16A1,-1.6576357638156616
SQLE,-1.2125189890438226
ADNP,-1.4623045975985538
AFMID,-1.8494895857374565
UBE2B,-1.081480160156661
DDX3X,-1.3773728928990412
RSL24D1,0.5104619726842025
STRN3,-1.9838869987216452
MARCHF6,-1.1645576583088109
FAM76A,-1.736320791368886
DMRT1,-1.7878535795495225
SAR1A,-1.1269846096186
SKA2,-1.2253749559211884
TRIB3,3.0327430575772887
POLR2D,-1.5283447037319362
NUDT19,-1.6529304746277922
CALM1,-0.5136125046824165
SLIT2,-1.8901208613377989
JAM2,-1.3067882359415015
MT1G,2.37746163195354
HMGB1,-0.3729043663211461
PCMTD1,-1.6128220092108014
DEDD,-1.360357803493908
DNAJC3,-1.3770589037973395
TP53INP1,-1.1552857833960837
CDS2,-1.2812845475867976
ARNT,-1.6362690884967122
SKIL,-1.337943904726804
COL1A1,-1.48923902860944
FAM171B,-1.912552220495443
TNRC6B,-1.5216443727752114
EIF2S3,-1.3160068404074057
RAP2B,-1.6026547494612475
SQSTM1,0.8623659239412562
MGA,-1.7496553704768498
C3orf70,-1.493587372977753
SARS1,0.5749665893516305
AXL,-1.3904653178934294
PTCH1,-2.5442433505098685
HK2,-1.6334362951640795
G3BP1,-1.0187456641645412
MTPAP,-1.22230367477252
MOB1A,-1.067501176216672
LSM12,-1.4017958211679409
FDFT1,-0.903906863775734
TMTC3,-1.4693659022747192
PAFAH1B2,-1.201754191679544
CDV3,-1.2492377721195318
WDR76,-1.8795738295654147
RHOB,-1.5095311400621303
MAP3K1,-1.3370839011458977
CPSF2,-1.1108875799307665
RAP1GDS1,-1.42407021025577
HERPUD2,-1.4767990361616643
POGLUT1,-1.3228579754295648
THAP5,-1.4563925694712436
QRICH1,-1.5842074719455643
SAT2,0.7093520662855008
S1PR2,-1.5894672385150133
FOXK2,-1.5209142856528122
STYX,-1.5772410842233182
RIOX1,-2.22368325999475
ANP32E,-1.459339917534891
ARSB,-2.392650313068242
DCUN1D1,-1.4351240784137875
SEC22B,-1.690070103322864
ARHGAP1,-1.4306782732968724
ATP6V0E1,0.4265079264909853
MSR1,-2.075396628607621
PSAP,0.5665305651259741
CNEP1R1,-1.7840688536085465
ENC1,-1.3981345988957476
GDPGP1,-2.1758604999960944
IFNGR2,-1.657887819027404
XYLT2,-2.378230240637246
MTFMT,-1.9123773039783245
SERF2,0.4003930773251444
PRXL2C,-1.673295535120056
R3HDM2,-1.721736685927022
TMEM258,0.3059002603315182
MAX,-1.5224787238806845
ENPP1,-1.6783931785630828
IRF2BPL,-2.1109001203108075
MPC2,-0.776875024471367
MAZ,-2.0274529350548027
C6orf62,-1.266521340925048
RAB12,-1.8047676042085452
DLG5,-1.4848602869666174
TRIM59,-1.5502466082746098
NFIB,-1.110550652281573
TBCCD1,-1.469652655939163
ANXA5,0.3873324742596192
EYA3,-1.508437682786447
EFNA5,-1.7995155910577847
PARM1,-1.535174377517558
PRELID3B,-1.1290845980711388
ZNF662,-2.007513188451284
GLIPR2,-1.2266965662599645
PPM1A,-1.1476197462851072
AP1S2,-1.394295639735443
RBBP5,-1.4375892562134411
ZNF578,-1.7286154424721991
KIAA1217,-1.945802364791024
RDH10,-2.2006869697774354
OSTC,0.3112557872684476
NECAB1,-1.4463210965152469
TAF9,0.5441180557617417
FTO,-1.209466506419966
RPL23P8,-3.0902082950013403
STAT2,-1.566386051158551
GSR,-1.3306495158476754
TDO2,2.25329047149274
ZCCHC18,-1.8195505527246507
HMGN2,-0.6362768365577423
TXNRD1,0.683579463141739
ARID2,-1.3815708926894057
CNP,-1.3271384199494087
