Ensembl_ID,Entrez_ID,Gene_Symbol,log2FoldChange
ENSG00000087086,2512,FTL,0.9203432163597536
ENSG00000112972,3157,HMGCS1,-3.3297591080960847
ENSG00000052802,6307,MSMO1,-1.9263600393976683
ENSG00000099194,6319,SCD,-2.4260026146964604
ENSG00000147155,10682,EBP,-1.82025736064683
ENSG00000001630,1595,CYP51A1,-2.7035497309660497
ENSG00000065911,10797,MTHFD2,1.5101689630931334
ENSG00000187193,4501,MT1X,1.8329629858540064
ENSG00000147257,2719,GPC3,-2.795966514106881
ENSG00000147872,123,PLIN2,1.2818104405280737
ENSG00000067064,3422,IDI1,-1.3816069400946234
ENSG00000241553,10093,ARPC4,-1.9941575447304123
ENSG00000136235,10457,GPNMB,2.0466222894969555
ENSG00000168036,1499,CTNNB1,-2.971261636855954
ENSG00000118971,894,CCND2,-2.080886083485972
ENSG00000075624,60,ACTB,-1.796741151427295
ENSG00000132507,1984,EIF5A,-2.5811178844876923
ENSG00000146457,9589,WTAP,-2.649088849167872
ENSG00000277443,4082,MARCKS,-2.067806052900477
ENSG00000182749,164091,PAQR7,-2.4603670142262644
ENSG00000084090,56910,STARD7,-1.724317255245304
ENSG00000144580,9125,CNOT9,-2.197409357004612
ENSG00000013297,5010,CLDN11,-2.1391245668489165
ENSG00000119655,10577,NPC2,0.4983256351129412
ENSG00000179218,811,CALR,-2.507758872046532
ENSG00000124422,23326,USP22,-1.2995610139057825
ENSG00000169905,163590,TOR1AIP2,-2.0356257940705467
ENSG00000119335,6418,SET,-2.05975616570069
ENSG00000175197,1649,DDIT3,1.7920073100071163
ENSG00000158604,222068,TMED4,-2.169778972151967
ENSG00000284254,3187,HNRNPH1,-2.507068107940681
ENSG00000088832,2280,FKBP1A,-1.5239770921371405
ENSG00000164548,29896,TRA2A,-2.8550382761613866
ENSG00000213639,5500,PPP1CB,-2.027613173400484
ENSG00000122642,11328,FKBP9,-2.282720087216136
ENSG00000069275,64710,NUCKS1,-2.0279729647805023
ENSG00000070831,998,CDC42,-1.4294139801896468
ENSG00000152620,133686,NADK2,-2.394460838474236
ENSG00000103175,58189,WFDC1,-3.069823878230997
ENSG00000161888,147841,SPC24,-2.637751591904818
ENSG00000137845,102,ADAM10,-1.810995603526776
ENSG00000189241,7259,TSPYL1,-1.9527595888659803
ENSG00000160752,2224,FDPS,-1.0950459832319066
ENSG00000086062,2683,B4GALT1,-2.096070692987042
ENSG00000101911,5634,PRPS2,-1.923345803492176
ENSG00000103196,83716,CRISPLD2,-2.233938814186791
