gene_id,log2FoldChange
MT1X,1.8677538234229605
FTL,0.6365290011694844
MSMO1,-1.3666442044878124
HMGCS1,-2.0515113540774577
SCD,-1.4073663161694718
IDI1,-1.0154446509843582
EBP,-1.071604175871074
MT1F,1.9107567280499376
CYP51A1,-1.606716386652025
FDPS,-0.9171811369651416
MT1E,2.4206235730891312
MTHFD2,0.878737872496847
HMGCR,-1.0441271285331477
NPC2,0.3472155113079554
GPNMB,1.330936490119018
MT1G,2.340052052394041
ASAH1,0.712488348079332
IFI30,0.7379163212727268
ACAT2,-1.103962741998962
CTNNB1,-1.763730031632824
EIF5A,-1.583473438279258
DDIT3,1.167608802113557
EXOSC6,-1.444754283043427
TRA2A,-1.80871673249984
CALR,-1.5510166065649929
COX7A2L,0.3726936800541452
NADK2,-1.4967666060709015
ACTB,-1.034261627909083
CCND2,-1.1896639761061536
FDFT1,-0.8027721077021361
ARPC4,-1.0244359121330104
WTAP,-1.4839611768113306
TOMM22,-1.2877811853811048
FKBP1A,-0.8871402040222499
HNRNPH1,-1.4724184015550077
NUCKS1,-1.19908245580111
PAQR7,-1.3536770496815913
SAT2,0.6117924355567854
EIF1,0.3689394361522154
PLIN2,0.6314923165456184
YWHAE,-0.8628477003715529
AP1G1,-1.3224035342082991
DHCR7,-1.0803387479048656
TMED4,-1.2243935524439349
SHMT2,0.6469171345657959
ACLY,-0.8426260229285705
MARCKS,-1.0985127849513951
PDCD4,-1.2913990772589194
TOR1AIP2,-1.0901121348253744
PIM2,-1.4090682972448405
H4C15,-1.387266293405013
SQLE,-0.8633365939033273
ITLN1,1.244555984925004
BCL10,-1.3134199784563594
CDC42,-0.7746343178865623
GOLIM4,-1.610296835125109
PPP3CA,-1.2814398003579175
RNF2,-1.4420259032872058
TMEM97,-0.4240709533479893
FKBP9,-1.1938028246918415
MIR202HG,-1.340397646381281
SET,-1.0652281111590731
TP53,-1.3111479565023731
SHISA2,-1.1843867028363402
UGCG,-1.053706646553962
CNN3,-1.2965241523882391
PSAP,0.4429032952776449
ZNF765,-1.2122280008377282
CALM1,-0.3715112703557063
GPC3,-1.1702440174678312
LETM1,-1.3007869985709175
INSL3,-0.9593725263577624
ATP1B1,-1.0714906337099117
GNPDA1,0.4969627949642711
CRISPLD2,-1.1256637762847856
NSDHL,-0.7502490555997244
MORF4L1,-0.6529283207247533
SOX11,-1.363281948443084
CTBP1,-1.412961587347519
HNRNPA0,-1.0360206061735655
RASSF3,-1.4561510715552124
NUPR1,0.9703407081518676
TP53INP1,-0.7880881023707709
MT2A,0.7148599826126155
FRMD8,-1.092643552073278
B4GALT1,-1.0718097007150285
PPP1CB,-1.0045528297810955
WDR43,-1.2969239837301056
SFXN1,-1.0978102760680275
ETV5,-1.013134798601888
CCDC117,-1.1397592492524686
PRPS2,-0.9747933425201863
DCAKD,-1.1145716223462
HSPA4,-1.0580573618770417
SC5D,-0.6112005052692833
CD68,0.6163916581553515
ERG28,-0.4391668338689225
JAM2,-0.8353004557716174
SQSTM1,0.6009325624750188
INSR,-1.20601812341726
PDIA4,-1.2433399174785966
LYSMD1,-1.195669165770855
PDE6B,-1.171522400550841
ALDH1B1,-1.2570291099839177
ANKRD40,-1.1749705514516011
ARSB,-1.5526941352807957
CDKAL1,-0.9969017499253022
PRND,-0.9987902335997808
MTFMT,-1.3384643266427911
STARD7,-0.7681755522677668
PSAT1,0.5317631920226404
EIF4EBP2,-0.9269934939166689
C1orf174,-1.0965866038535308
TSC22D2,-1.0202133351888305
ENC1,-0.890556989756969
CARMIL1,-1.2674648639168915
LIPH,-1.0725615481865869
ASS1,0.3418080057316888
PTPRS,-1.4505707496439526
UBP1,-1.555537699113567
SERPINB9,-1.0878862239146798
CIRBP,-0.6236755045635419
ARF6,-0.919891068886328
SRPRB,-0.8695504695014826
POGLUT1,-0.8552403138120411
ZC3H4,-1.4011532743478683
TCTN2,-1.2243351817834465
BIRC5,-1.003255418840138
CLDN11,-0.9206421414728952
ALDH16A1,-1.1170239090573697
NKX3-1,-0.8869709620907621
C2orf68,-1.143741272554248
SLIT2,-1.1376783329285949
DCBLD2,-0.9298599763381844
XYLT2,-1.4661832895215428
TMED2,-0.9916315311573688
CNOT9,-0.9151956458179292
RIN2,-1.041032523527892
SPC24,-1.1052933496092074
CASP2,-0.9637656550918362
AMFR,-1.2263378985042863
PCMTD1,-0.9779436734109842
CPT1A,-1.2032969360155148
CRIM1,-1.0375906446528822
SLC39A10,-0.619140835032733
WNT5A,-0.9027442351699932
NDUFV3,-0.5554755114141593
B4GALT5,-0.7197802308865789
WSB2,-0.9832767290053802
COL1A1,-0.9078212809937024
SLC16A4,-0.99689131772806
ACAA2,-0.4666334720405506
C3orf70,-0.8933743000689239
CAPZA1,-0.7408284548704728
CXADR,-0.5953551440410154
APOBEC3C,-0.8275410304869664
DHCR24,-0.591868829696647
TRIM55,0.5966138705241695
H6PD,-0.9579324355087232
AFMID,-1.069682241117848
PPM1A,-0.7096754143561383
TXN,0.2763510591883291
SLC12A2,-0.9108973423961164
SLC16A1,-0.9378880752453608
PRDM1,-1.4355210275043322
TM7SF2,-0.8709805932990522
ADAM10,-0.7582015008579084
ATF4,0.6574644883673081
EIF4E,-0.5417525079865881
NORAD,-0.7228100471924962
KCNJ2,-1.1387256401509618
NEIL2,-0.8613145134441397
NUP50,-0.8062167182121697
UBE2B,-0.6044777436044156
SLC30A1,0.7859043348325638
CDS2,-0.7303221708266876
DNMT3A,-0.6958346517101307
USP22,-0.4909938798200753
SKA2,-0.6907135722654593
ARGLU1,-0.8054619204213741
CANX,0.4128337093913454
GSR,-0.82686256229666
MOB1A,-0.6134433117336038
ARF4,0.2458420731078014
TBCCD1,-0.8742031576602841
DSEL,-0.8250922401206205
SLC3A2,1.0527943821946613
GARS1,0.6767356587677124
IFNGR2,-0.9968883397308704
TFAP2C,-1.2227464124767202
ZDHHC2,-0.987522757940527
STC1,-1.0751244574851289
DCUN1D1,-0.8477648608869975
CHP1,-0.7308841782068838
KAT7,-0.6862917717389937
DPYSL2,-0.487281788254335
RAB12,-1.079530039599797
MAZ,-1.125942326714748
RPL23P8,-1.851932936875853
ZBED5-AS1,-0.6682938872104757
CNIH1,0.2313232088886917
IRF2BPL,-1.2525069559575686
TNRC6B,-0.8333535280532525
PTS,-0.4088283562250888
FUBP1,-0.6837122369589668
ALDH6A1,-0.8027487704774875
FANCD2,-1.0262270963220008
PDGFA,-1.2382841943837823
DEDD,-0.7113189931586922
RASGEF1B,-1.0814335947102356
CPSF2,-0.6010015426227715
HERPUD2,-0.7983300926167907
IFITM1,0.569509337836453
RETREG2,-0.7661191748069858
HNRNPL,-0.9899782740550798
ZNF738,-0.5472062504345493
GYG1,0.4364364803219144
TRIM13,-0.6470709898919111
POLR2D,-0.7718312067194262
RREB1,-1.1729259762302204
MSR1,-1.1255479708778051
SAR1A,-0.597525755681562
TMCO1,0.2883408186149328
LYZ,-1.0027026023478844
RIOX1,-1.168723055045367
MEX3D,-1.3591548694792228
MMD,-0.8643343546537678
WDR55,-1.041730942993287
EZR,-0.7048695911161574
SLC4A7,-0.9222946402448688
PBXIP1,-0.907018488454802
FRRS1,-0.8716391466389924
CSNK1A1,-0.6317872843907666
STYX,-0.8464271370106814
CENPX,-0.5917813110143817
SEC22B,-0.9297053486960348
THRAP3,-0.7315567638240972
MFAP4,0.4348896646938237
UBE2G1,-0.902114084094227
IQGAP3,-1.3313387184607448
MICOS10,-0.3237983013853906
DMRT1,-0.9041548871902152
CTTN,-0.8045925394777206
MIR1915HG,-1.0943501815814098
ZFX,-0.8578217430214925
FOXK2,-0.7426438519609799
ITM2C,-0.747496556338751
ARL15,-0.8076224663940754
HK2,-0.8739461661631813
PSMB4,-0.350869672638501
RHOB,-0.7943151091170789
HMGB1,-0.1936351813914688
JUND,-0.9332710946600464
SOX9,-0.5685367971772578
TMEM159,-0.7932810506184019
GIPC2,-1.054605710162026
CTSB,0.3454867519240637
MFN1,-0.9488034909700794
SVIL,-0.9678319003533477
GDI2,-0.3432188555939215
LGALS1,0.2167011607909425
RAB3B,-1.1625650516235666
SARS1,0.3054848916645152
MDM4,-0.887873646674745
TSPYL1,-0.735743785642078
GABARAP,0.1838794566900258
MRPS17,-0.482490965239138
SBNO1,-0.5357984441385267
RPS27,0.1841181394751883
WDR76,-0.9590948182000174
MTA2,-0.8447643054127093
LSM12,-0.7091341479834231
UBE2N,-0.374275584555873
ABCA1,-0.720655239986428
RAP1GDS1,-0.7391003277250328
TWIST1,-1.4976933914441954
ZBTB43,-0.7604163800397045
DIPK2A,-0.5114292723482393
MARCHF6,-0.56669325807614
TMEM183A,-1.0703528589489022
APMAP,-0.5738053577374657
CPEB1,-1.0998172210736945
HNRNPDL,-0.1823485149886113
DGCR8,-1.0703305109137793
MGA,-0.8448657435157203
NUP155,-0.7484048202778453
B3GNT7,-0.8984208152435081
LAMP1,-0.7468810729791712
NONO,-0.3071252809340405
OTUD7B,-0.8599193551893428
TCEAL9,0.2102609282696562
TBL1XR1,-0.5149025147867837
ADNP,-0.6876496316217257
FGD5-AS1,-0.6553172094364568
PFAS,-0.939691276800486
ATP5MC2,0.1494263657280138
SRSF6,-0.6681719315925706
KPNA1,-0.7381043783756609
PPP2R5E,-0.7210368890658841
SMURF2,-0.7256035118072912
UTP20,-0.885484446327631
ARID1B,-0.8797023131508763
QRICH1,-0.7534931970075941
HIPK1,-0.7232881805471665
PGAM5,-0.913631380689558
CCNF,-0.9990931573815012
NDN,-0.4437549032461169
SMDT1,-0.4873509492151299
IGFBP7,-0.6547431925970731
TRIM2,-0.6293766172783359
CASTOR2,-0.8367856041214922
STRN3,-0.9093971292847252
LY96,0.5253311416887145
FAM76A,-0.7692007143996737
ING1,-0.8895885046026962
OLFML3,-0.3238052836153555
PDS5B,-0.6964712283506861
SPRING1,-0.6870948277854053
DANCR,0.3107075595282187
PDPN,-0.642219327225218
REEP5,0.3516191106470706
SLC1A5,0.8243016395734792
PSIP1,-0.9255263026835506
FAM234B,-0.8085308221083319
MYLK,0.4390352562749319
LOC100507507,-1.0612342952150826
GLTP,-0.7442786179545291
REST,-0.5315393083615242
TRAPPC2,-0.6811258337500972
EAF1,-0.9526190610794972
MTPAP,-0.5790885249316945
OXA1L,0.2399901419456901
G3BP2,-0.4198804836856523
SDC4,-0.5809636706587356
CKAP4,-0.4242306145212003
CCNI,0.3486909000084167
DDX3X,-0.6228557609142454
RSL24D1,0.2403064389916927
C7,0.3825639969064293
CBWD1,0.575037591049417
CDK2,-0.8336647863608729
AMOTL1,-0.7982360806507505
DLG5,-0.6928999086253201
ELOVL6,-0.7226123033716642
HLA-DMB,0.6419514710107407
PRIM2,-0.6461023061594618
IFI6,-0.9704190781662722
KANSL1,-0.7712703775159304
MRAS,0.5646374165560218
SMU1,-0.5835194966765423
ZNF28,-0.7512342985248793
CSTF1,-0.4443371049968356
EIF2S3,-0.6312510011003764
SERINC5,-0.6382358066177843
RPL34,0.1630964930082678
TXNRD1,0.3659259479357901
ATP5MG,0.2002791564038307
YWHAG,-0.5671088589471915
SYPL1,0.2714435417321555
MDM2,-0.5030120280725133
CAV1,-0.4042945680916889
ZNF835,-1.0615951961621717
CDC42SE2,-0.7684607602371464
FTO,-0.601891738703067
MAP3K1,-0.6115685135081385
NHLRC2,0.6652730872949966
SPTBN1,-0.545599729947577
PFDN5,0.1874112590919394
MIR99AHG,0.5422020287933867
LGALS3,0.7289440614752563
RPL36,0.1270728562766037
DDX6,-0.4926213543854166
ARNT,-0.7132664518029358
COLGALT1,-0.6473446839179133
MARCHF2,-0.8839121951997216
RNF181,0.293480076707307
EIF1AD,-0.7164078244886917
DCAF4L1,-0.9221379467012728
BAG4,-0.6012482120564371
MPC2,-0.3643157591221752
RAB3D,-0.8076125842908298
CAMTA1,-0.3279288362823161
PLSCR1,0.6921890469320173
RCN1,0.5392747291231537
VAPA,-0.29241506679976
AMHR2,0.3276387755100154
MPRIP,-0.7411145883692848
EEF1G,0.1136200715490139
VSIG10,-0.865322548033323
GDPGP1,-0.927490571262366
CD52,0.8783577953546228
