Ensembl_ID,Entrez_ID,Gene_Symbol,log2FoldChange
ENSG00000187193,4501,MT1X,1.8677538234229605
ENSG00000087086,2512,FTL,0.6365290011694844
ENSG00000052802,6307,MSMO1,-1.3666442044878124
ENSG00000112972,3157,HMGCS1,-2.0515113540774577
ENSG00000099194,6319,SCD,-1.4073663161694718
ENSG00000067064,3422,IDI1,-1.0154446509843582
ENSG00000147155,10682,EBP,-1.071604175871074
ENSG00000198417,4494,MT1F,1.9107567280499376
ENSG00000001630,1595,CYP51A1,-1.606716386652025
ENSG00000160752,2224,FDPS,-0.9171811369651416
ENSG00000169715,4493,MT1E,2.4206235730891312
ENSG00000065911,10797,MTHFD2,0.878737872496847
ENSG00000113161,3156,HMGCR,-1.0441271285331477
ENSG00000119655,10577,NPC2,0.3472155113079554
ENSG00000136235,10457,GPNMB,1.330936490119018
ENSG00000125144,4495,MT1G,2.340052052394041
ENSG00000104763,427,ASAH1,0.712488348079332
ENSG00000216490,10437,IFI30,0.7379163212727268
ENSG00000120437,39,ACAT2,-1.103962741998962
ENSG00000168036,1499,CTNNB1,-1.763730031632824
ENSG00000132507,1984,EIF5A,-1.583473438279258
ENSG00000175197,1649,DDIT3,1.167608802113557
ENSG00000223496,118460,EXOSC6,-1.444754283043427
ENSG00000164548,29896,TRA2A,-1.80871673249984
ENSG00000179218,811,CALR,-1.5510166065649929
ENSG00000115944,9167,COX7A2L,0.3726936800541452
ENSG00000152620,133686,NADK2,-1.4967666060709015
ENSG00000075624,60,ACTB,-1.034261627909083
ENSG00000118971,894,CCND2,-1.1896639761061536
ENSG00000079459,2222,FDFT1,-0.8027721077021361
ENSG00000241553,10093,ARPC4,-1.0244359121330104
ENSG00000146457,9589,WTAP,-1.4839611768113306
ENSG00000100216,56993,TOMM22,-1.2877811853811048
ENSG00000088832,2280,FKBP1A,-0.8871402040222499
ENSG00000284254,3187,HNRNPH1,-1.4724184015550077
ENSG00000069275,64710,NUCKS1,-1.19908245580111
ENSG00000182749,164091,PAQR7,-1.3536770496815913
ENSG00000141504,112483,SAT2,0.6117924355567854
ENSG00000173812,10209,EIF1,0.3689394361522154
ENSG00000147872,123,PLIN2,0.6314923165456184
ENSG00000274474,7531,YWHAE,-0.8628477003715529
ENSG00000166747,164,AP1G1,-1.3224035342082991
ENSG00000172893,1717,DHCR7,-1.0803387479048656
ENSG00000158604,222068,TMED4,-1.2243935524439349
ENSG00000182199,6472,SHMT2,0.6469171345657959
ENSG00000131473,47,ACLY,-0.8426260229285705
ENSG00000277443,4082,MARCKS,-1.0985127849513951
ENSG00000150593,27250,PDCD4,-1.2913990772589194
ENSG00000169905,163590,TOR1AIP2,-1.0901121348253744
ENSG00000102096,11040,PIM2,-1.4090682972448405
ENSG00000270276,554313,H4C15,-1.387266293405013
ENSG00000104549,6713,SQLE,-0.8633365939033273
ENSG00000179914,55600,ITLN1,1.244555984925004
ENSG00000142867,8915,BCL10,-1.3134199784563594
ENSG00000070831,998,CDC42,-0.7746343178865623
ENSG00000173905,27333,GOLIM4,-1.610296835125109
ENSG00000138814,5530,PPP3CA,-1.2814398003579175
ENSG00000121481,6045,RNF2,-1.4420259032872058
ENSG00000109084,27346,TMEM97,-0.4240709533479893
ENSG00000122642,11328,FKBP9,-1.1938028246918415
ENSG00000166917,101927671,MIR202HG,-1.340397646381281
ENSG00000119335,6418,SET,-1.0652281111590731
ENSG00000141510,7157,TP53,-1.3111479565023731
ENSG00000180730,387914,SHISA2,-1.1843867028363402
ENSG00000148154,7357,UGCG,-1.053706646553962
ENSG00000117519,1266,CNN3,-1.2965241523882391
ENSG00000197746,5660,PSAP,0.4429032952776449
ENSG00000196417,91661,ZNF765,-1.2122280008377282
ENSG00000198668,801,CALM1,-0.3715112703557063
ENSG00000147257,2719,GPC3,-1.1702440174678312
ENSG00000168924,3954,LETM1,-1.3007869985709175
ENSG00000248099,3640,INSL3,-0.9593725263577624
ENSG00000143153,481,ATP1B1,-1.0714906337099117
ENSG00000113552,10007,GNPDA1,0.4969627949642711
ENSG00000103196,83716,CRISPLD2,-1.1256637762847856
ENSG00000147383,50814,NSDHL,-0.7502490555997244
ENSG00000185787,10933,MORF4L1,-0.6529283207247533
ENSG00000176887,6664,SOX11,-1.363281948443084
ENSG00000159692,1487,CTBP1,-1.412961587347519
ENSG00000177733,10949,HNRNPA0,-1.0360206061735655
ENSG00000153179,283349,RASSF3,-1.4561510715552124
ENSG00000176046,26471,NUPR1,0.9703407081518676
ENSG00000164938,94241,TP53INP1,-0.7880881023707709
ENSG00000125148,4502,MT2A,0.7148599826126155
ENSG00000126391,83786,FRMD8,-1.092643552073278
ENSG00000086062,2683,B4GALT1,-1.0718097007150285
ENSG00000213639,5500,PPP1CB,-1.0045528297810955
ENSG00000163811,23160,WDR43,-1.2969239837301056
ENSG00000164466,94081,SFXN1,-1.0978102760680275
ENSG00000244405,2119,ETV5,-1.013134798601888
ENSG00000159873,150275,CCDC117,-1.1397592492524686
ENSG00000101911,5634,PRPS2,-0.9747933425201863
ENSG00000172992,79877,DCAKD,-1.1145716223462
ENSG00000170606,3308,HSPA4,-1.0580573618770417
ENSG00000109929,6309,SC5D,-0.6112005052692833
ENSG00000129226,968,CD68,0.6163916581553515
ENSG00000133935,11161,ERG28,-0.4391668338689225
ENSG00000154721,58494,JAM2,-0.8353004557716174
ENSG00000161011,8878,SQSTM1,0.6009325624750188
ENSG00000171105,3643,INSR,-1.20601812341726
ENSG00000155660,9601,PDIA4,-1.2433399174785966
ENSG00000163155,388695,LYSMD1,-1.195669165770855
ENSG00000133256,5158,PDE6B,-1.171522400550841
ENSG00000137124,219,ALDH1B1,-1.2570291099839177
ENSG00000154945,91369,ANKRD40,-1.1749705514516011
ENSG00000113273,411,ARSB,-1.5526941352807957
ENSG00000145996,54901,CDKAL1,-0.9969017499253022
ENSG00000171864,23627,PRND,-0.9987902335997808
ENSG00000103707,123263,MTFMT,-1.3384643266427911
ENSG00000084090,56910,STARD7,-0.7681755522677668
ENSG00000135069,29968,PSAT1,0.5317631920226404
ENSG00000148730,1979,EIF4EBP2,-0.9269934939166689
ENSG00000198912,339448,C1orf174,-1.0965866038535308
ENSG00000196428,9819,TSC22D2,-1.0202133351888305
ENSG00000171617,8507,ENC1,-0.890556989756969
ENSG00000079691,55604,CARMIL1,-1.2674648639168915
ENSG00000163898,200879,LIPH,-1.0725615481865869
ENSG00000130707,445,ASS1,0.3418080057316888
ENSG00000105426,5802,PTPRS,-1.4505707496439526
ENSG00000153560,7342,UBP1,-1.555537699113567
ENSG00000170542,5272,SERPINB9,-1.0878862239146798
ENSG00000099622,1153,CIRBP,-0.6236755045635419
ENSG00000165527,382,ARF6,-0.919891068886328
ENSG00000144867,58477,SRPRB,-0.8695504695014826
ENSG00000163389,56983,POGLUT1,-0.8552403138120411
ENSG00000130749,23211,ZC3H4,-1.4011532743478683
ENSG00000168778,79867,TCTN2,-1.2243351817834465
ENSG00000089685,332,BIRC5,-1.003255418840138
ENSG00000013297,5010,CLDN11,-0.9206421414728952
ENSG00000161618,126133,ALDH16A1,-1.1170239090573697
ENSG00000167034,4824,NKX3-1,-0.8869709620907621
ENSG00000168887,388969,C2orf68,-1.143741272554248
ENSG00000145147,9353,SLIT2,-1.1376783329285949
ENSG00000057019,131566,DCBLD2,-0.9298599763381844
ENSG00000015532,64132,XYLT2,-1.4661832895215428
ENSG00000086598,10959,TMED2,-0.9916315311573688
ENSG00000144580,9125,CNOT9,-0.9151956458179292
ENSG00000132669,54453,RIN2,-1.041032523527892
ENSG00000161888,147841,SPC24,-1.1052933496092074
ENSG00000106144,835,CASP2,-0.9637656550918362
ENSG00000159461,267,AMFR,-1.2263378985042863
ENSG00000168300,115294,PCMTD1,-0.9779436734109842
ENSG00000110090,1374,CPT1A,-1.2032969360155148
ENSG00000277354,51232,CRIM1,-1.0375906446528822
ENSG00000196950,57181,SLC39A10,-0.619140835032733
ENSG00000114251,7474,WNT5A,-0.9027442351699932
ENSG00000160194,4731,NDUFV3,-0.5554755114141593
ENSG00000158470,9334,B4GALT5,-0.7197802308865789
ENSG00000176871,55884,WSB2,-0.9832767290053802
ENSG00000108821,1277,COL1A1,-0.9078212809937024
ENSG00000168679,9122,SLC16A4,-0.99689131772806
ENSG00000167315,10449,ACAA2,-0.4666334720405506
ENSG00000187068,285382,C3orf70,-0.8933743000689239
ENSG00000116489,829,CAPZA1,-0.7408284548704728
ENSG00000154639,1525,CXADR,-0.5953551440410154
ENSG00000244509,27350,APOBEC3C,-0.8275410304869664
ENSG00000116133,1718,DHCR24,-0.591868829696647
ENSG00000147573,84675,TRIM55,0.5966138705241695
ENSG00000049239,9563,H6PD,-0.9579324355087232
ENSG00000183077,125061,AFMID,-1.069682241117848
ENSG00000100614,5494,PPM1A,-0.7096754143561383
ENSG00000136810,7295,TXN,0.2763510591883291
ENSG00000064651,6558,SLC12A2,-0.9108973423961164
ENSG00000155380,6566,SLC16A1,-0.9378880752453608
ENSG00000057657,639,PRDM1,-1.4355210275043322
ENSG00000149809,7108,TM7SF2,-0.8709805932990522
ENSG00000137845,102,ADAM10,-0.7582015008579084
ENSG00000128272,468,ATF4,0.6574644883673081
ENSG00000151247,1977,EIF4E,-0.5417525079865881
ENSG00000260032,647979,NORAD,-0.7228100471924962
ENSG00000123700,3759,KCNJ2,-1.1387256401509618
ENSG00000154328,252969,NEIL2,-0.8613145134441397
ENSG00000093000,10762,NUP50,-0.8062167182121697
ENSG00000119048,7320,UBE2B,-0.6044777436044156
ENSG00000170385,7779,SLC30A1,0.7859043348325638
ENSG00000101290,8760,CDS2,-0.7303221708266876
ENSG00000119772,1788,DNMT3A,-0.6958346517101307
ENSG00000124422,23326,USP22,-0.4909938798200753
