gene_id,log2FoldChange
MARCKS,-2.393726638549995
WTAP,-3.02781747765546
CYP51A1,-2.349882344243276
CTNNB1,-3.0753040980080604
CCND2,-2.2254361123417854
HMGCS1,-2.134838842295253
TMED4,-2.498558216318457
ARPC4,-1.9658502661848936
NADK2,-2.847409356978795
RIN2,-2.8395831807657643
NUCKS1,-2.3171138962495847
WSB2,-2.6584214991330763
B4GALT1,-2.466081510047092
SET,-2.2551622764133983
ACTB,-1.835916136896717
HNRNPA0,-2.386553048522548
STARD7,-1.838724461795837
CLDN11,-2.259847832461054
NKX3-1,-2.2370879542603848
TSC22D2,-2.6692492484041868
MIR202HG,-2.771116447030906
CNOT9,-2.2768282055159585
CALR,-2.607473006133626
TRA2A,-3.0808031994806995
CTTN,-2.439408817364124
PAQR7,-2.504500178463009
HNRNPH1,-2.6590609193528274
AMFR,-3.058636911735943
PPP1CB,-2.160099732253393
EIF5A,-2.5662911227599823
FKBP9,-2.456140092394297
PPP3CA,-2.560551137019617
TOMM22,-2.292001941463472
ATP1B1,-2.186930775772676
EXOSC6,-2.422866625548705
PRPS2,-2.111510856303895
PDCD4,-2.5060943239460607
LYSMD1,-2.727273695843996
TOR1AIP2,-2.0635128282192587
INSR,-2.626017449904165
FKBP1A,-1.5732096301708876
ADAM10,-1.9231677868641532
CNN3,-2.553064497756475
BCL10,-2.5755538549732635
FRMD8,-2.3558798330636908
RASSF3,-3.1463506657426654
ANKRD40,-2.56765514765389
TP53,-2.4947707444835374
UGCG,-2.111833071199784
SCD,-1.5208074820532218
CDC42,-1.4178295144832591
EZR,-1.850196934784352
CHP1,-1.7866513880132744
HERPUD2,-2.257894972434986
CARMIL1,-2.774237393885976
CRIM1,-2.4560205720289416
RNF2,-2.6936917892713343
ZDHHC2,-2.473022564199101
SLC12A2,-2.156244964596626
AP1G1,-2.27821711773909
SLC16A1,-2.225231337495692
CTBP1,-2.7810561773688383
FRRS1,-2.350675869013996
TNRC6B,-2.1348037908190616
SRPRB,-1.825747103780281
CCDC117,-2.2785433306592635
ALDH16A1,-2.518349106827739
ETV5,-2.072651714818775
LETM1,-2.4603928316389854
PIM2,-2.4869172932194097
RASGEF1B,-2.6891060449889865
SLC35F6,-1.9617334921602287
SKIL,-1.8029387540811408
HSPA4,-2.0767994706698083
PCMTD1,-2.1869058846392413
SERPINB9,-2.2573466673469165
EBP,-1.1615617135369327
UBP1,-3.1999109860881307
PSMB4,-0.8720181679082896
TFAP2C,-3.079804987471413
LSM12,-1.9458336969194585
CAPZA1,-1.5824823353845932
ABCA1,-1.8990531675781328
SFXN1,-2.112599634730987
UBE2B,-1.371599205271149
HK2,-2.1715930415829434
SLC38A2,-1.349653213401277
THRAP3,-1.7848886261164032
TSPYL1,-1.82271357725123
C1orf174,-2.220663631535484
ARGLU1,-1.9405559286806453
ARF6,-1.8408317698585357
PDE6B,-2.4122370670333777
CRISPLD2,-2.093975021518644
CDS2,-1.6702343433309204
CSNK1A1,-1.5106575879763962
IFNGR2,-2.297202646210773
SPC24,-2.3891228745903077
STAT2,-2.315738871604973
PTPRS,-2.9313073308587194
EIF2S3,-1.685422328430545
EIF4EBP2,-1.7885027042032853
SKA2,-1.5271195278110918
SRSF6,-1.7123219638682552
DIPK2A,-1.3582228751058756
SLIT2,-2.427006547754554
GDI2,-0.8242701753487314
BIRC5,-2.0656167675766888
WDR43,-2.41634494915688
DMRT1,-2.2245036249447585
YWHAE,-1.3202111145455937
ZNF765,-2.1719450436110725
GPC3,-1.979463804771518
CDKAL1,-1.887513982209692
FLCN,-2.505890694143543
H4C15,-2.2878640494194764
AFMID,-2.23602146879569
WNT5A,-1.8751968661329763
ZNF28,-2.2233839672296463
GOLIM4,-2.752968801206326
NFIB,-1.5058661278847598
PDGFA,-2.9257406271092243
LIPH,-2.0778556752138284
RHOB,-1.9658553885438623
MAP3K1,-1.7435623554941646
USP22,-1.0781824561779838
MTFMT,-2.612066338723122
NEIL2,-2.084297184186771
DCBLD2,-1.852911480909868
AP1S2,-1.9236980521037053
ZC3H4,-2.85791651824897
HOXD9,-2.694285809141064
CIRBP,-1.1908649643415403
REST,-1.414395908254728
RAP1GDS1,-1.7979849253884992
ZBTB43,-1.972782045833688
DPYSL2,-1.0705212332920775
TMEM263,-1.750338594963281
RETREG2,-1.738794295098529
TCTN2,-2.438819832911117
DOCK5,-2.5151242598389225
MARCHF6,-1.351010932671347
TMED2,-1.886928435568074
C3orf70,-1.8223629315776384
SLC48A1,-1.540886765409108
TP53INP1,-1.3848956661532164
ALDH1B1,-2.2363202203282726
ZFX,-1.99382129871034
DCUN1D1,-1.7991576583134548
NUP50,-1.711280462097392
MORF4L1,-1.0689929271159706
SERINC5,-1.5872746151954995
TBL1XR1,-1.2903050597565484
STYX,-1.9975153031990929
RBBP5,-1.900078230598304
PRXL2C,-2.1502472859710493
JAK3,-1.7245519505057427
PTEN,-1.5801219036871064
MAX,-1.9585414532588596
ENPP1,-2.165903317046828
IRF2BPL,-2.677742408824727
APOBEC3C,-1.5910914711039947
THAP5,-1.7554329540682754
TLK1,-1.6206851284162265
TRAPPC2,-1.7079185544960342
GIPC2,-2.618635304016206
NORAD,-1.418675724014521
ALDH6A1,-1.7683789677338786
ARNT,-1.9056341744877243
TMEM159,-1.7527281200869254
LYZ,-2.159630664820266
FAM171B,-2.2276463853313424
MARCHF2,-2.448387412697175
FNIP1,-1.661030372431725
QRICH1,-1.9240175710787355
SDC4,-1.414625163234982
STRN3,-2.194984039003685
DCAKD,-1.8472584424546457
FOXK2,-1.8689812425026684
ZNF738,-1.246012512875689
DNMT3A,-1.4465785437256462
EGR1,-2.9210222549953526
PDIA4,-2.1500021678348635
ARID2,-1.7765981128255142
DDX3X,-1.4913160879883465
HNRNPL,-2.0277948539799286
PSPH,-1.6791930347096102
RPL23P8,-3.9440445412555785
PRELID3B,-1.3789672625139624
RREB1,-2.663034406238239
RAP2B,-1.8069039378640108
IFI6,-2.263956020570711
