Ensembl_ID,Entrez_ID,Gene_Symbol,log2FoldChange
ENSG00000277443,4082,MARCKS,-2.393726638549995
ENSG00000146457,9589,WTAP,-3.02781747765546
ENSG00000001630,1595,CYP51A1,-2.349882344243276
ENSG00000168036,1499,CTNNB1,-3.0753040980080604
ENSG00000118971,894,CCND2,-2.2254361123417854
ENSG00000112972,3157,HMGCS1,-2.134838842295253
ENSG00000158604,222068,TMED4,-2.498558216318457
ENSG00000241553,10093,ARPC4,-1.9658502661848936
ENSG00000152620,133686,NADK2,-2.847409356978795
ENSG00000132669,54453,RIN2,-2.8395831807657643
ENSG00000069275,64710,NUCKS1,-2.3171138962495847
ENSG00000176871,55884,WSB2,-2.6584214991330763
ENSG00000086062,2683,B4GALT1,-2.466081510047092
ENSG00000119335,6418,SET,-2.2551622764133983
ENSG00000075624,60,ACTB,-1.835916136896717
ENSG00000177733,10949,HNRNPA0,-2.386553048522548
ENSG00000084090,56910,STARD7,-1.838724461795837
ENSG00000013297,5010,CLDN11,-2.259847832461054
ENSG00000167034,4824,NKX3-1,-2.2370879542603848
ENSG00000196428,9819,TSC22D2,-2.6692492484041868
ENSG00000166917,101927671,MIR202HG,-2.771116447030906
ENSG00000144580,9125,CNOT9,-2.2768282055159585
ENSG00000179218,811,CALR,-2.607473006133626
ENSG00000164548,29896,TRA2A,-3.0808031994806995
ENSG00000085733,2017,CTTN,-2.439408817364124
ENSG00000182749,164091,PAQR7,-2.504500178463009
ENSG00000284254,3187,HNRNPH1,-2.6590609193528274
ENSG00000159461,267,AMFR,-3.058636911735943
ENSG00000213639,5500,PPP1CB,-2.160099732253393
ENSG00000132507,1984,EIF5A,-2.5662911227599823
ENSG00000122642,11328,FKBP9,-2.456140092394297
ENSG00000138814,5530,PPP3CA,-2.560551137019617
ENSG00000100216,56993,TOMM22,-2.292001941463472
ENSG00000143153,481,ATP1B1,-2.186930775772676
ENSG00000223496,118460,EXOSC6,-2.422866625548705
ENSG00000101911,5634,PRPS2,-2.111510856303895
ENSG00000150593,27250,PDCD4,-2.5060943239460607
ENSG00000163155,388695,LYSMD1,-2.727273695843996
ENSG00000169905,163590,TOR1AIP2,-2.0635128282192587
ENSG00000171105,3643,INSR,-2.626017449904165
ENSG00000088832,2280,FKBP1A,-1.5732096301708876
ENSG00000137845,102,ADAM10,-1.9231677868641528
ENSG00000117519,1266,CNN3,-2.553064497756475
ENSG00000142867,8915,BCL10,-2.5755538549732635
ENSG00000126391,83786,FRMD8,-2.3558798330636908
ENSG00000153179,283349,RASSF3,-3.1463506657426654
ENSG00000154945,91369,ANKRD40,-2.56765514765389
ENSG00000141510,7157,TP53,-2.4947707444835374
ENSG00000148154,7357,UGCG,-2.111833071199784
ENSG00000099194,6319,SCD,-1.5208074820532218
ENSG00000070831,998,CDC42,-1.4178295144832591
ENSG00000092820,7430,EZR,-1.850196934784352
ENSG00000187446,11261,CHP1,-1.7866513880132744
ENSG00000122557,64224,HERPUD2,-2.257894972434986
ENSG00000079691,55604,CARMIL1,-2.774237393885976
ENSG00000277354,51232,CRIM1,-2.4560205720289416
ENSG00000121481,6045,RNF2,-2.6936917892713343
ENSG00000104219,51201,ZDHHC2,-2.473022564199101
ENSG00000064651,6558,SLC12A2,-2.156244964596626
ENSG00000166747,164,AP1G1,-2.27821711773909
ENSG00000155380,6566,SLC16A1,-2.225231337495692
ENSG00000159692,1487,CTBP1,-2.7810561773688383
ENSG00000156869,391059,FRRS1,-2.350675869013996
ENSG00000100354,23112,TNRC6B,-2.1348037908190616
ENSG00000144867,58477,SRPRB,-1.825747103780281
ENSG00000159873,150275,CCDC117,-2.2785433306592635
ENSG00000161618,126133,ALDH16A1,-2.518349106827739
ENSG00000244405,2119,ETV5,-2.072651714818775
ENSG00000168924,3954,LETM1,-2.4603928316389854
ENSG00000102096,11040,PIM2,-2.4869172932194097
ENSG00000138670,153020,RASGEF1B,-2.6891060449889865
ENSG00000213699,54978,SLC35F6,-1.9617334921602287
ENSG00000136603,6498,SKIL,-1.8029387540811408
ENSG00000170606,3308,HSPA4,-2.0767994706698083
ENSG00000168300,115294,PCMTD1,-2.1869058846392413
ENSG00000170542,5272,SERPINB9,-2.2573466673469165
ENSG00000147155,10682,EBP,-1.1615617135369327
ENSG00000153560,7342,UBP1,-3.1999109860881307
ENSG00000159377,5692,PSMB4,-0.8720181679082896
ENSG00000087510,7022,TFAP2C,-3.079804987471413
ENSG00000161654,124801,LSM12,-1.9458336969194585
ENSG00000116489,829,CAPZA1,-1.5824823353845932
ENSG00000165029,19,ABCA1,-1.8990531675781328
ENSG00000164466,94081,SFXN1,-2.112599634730987
ENSG00000119048,7320,UBE2B,-1.371599205271149
ENSG00000159399,3099,HK2,-2.1715930415829434
ENSG00000134294,54407,SLC38A2,-1.349653213401277
ENSG00000054118,9967,THRAP3,-1.7848886261164032
ENSG00000189241,7259,TSPYL1,-1.82271357725123
ENSG00000198912,339448,C1orf174,-2.220663631535484
ENSG00000134884,55082,ARGLU1,-1.9405559286806453
ENSG00000165527,382,ARF6,-1.840831769858536
ENSG00000133256,5158,PDE6B,-2.4122370670333777
ENSG00000103196,83716,CRISPLD2,-2.093975021518644
ENSG00000101290,8760,CDS2,-1.6702343433309204
ENSG00000113712,1452,CSNK1A1,-1.5106575879763962
ENSG00000159128,3460,IFNGR2,-2.297202646210773
ENSG00000161888,147841,SPC24,-2.389122874590308
ENSG00000170581,6773,STAT2,-2.315738871604973
ENSG00000105426,5802,PTPRS,-2.9313073308587194
ENSG00000130741,1968,EIF2S3,-1.685422328430545
ENSG00000148730,1979,EIF4EBP2,-1.7885027042032853
ENSG00000182628,348235,SKA2,-1.5271195278110918
ENSG00000124193,6431,SRSF6,-1.7123219638682552
ENSG00000181744,205428,DIPK2A,-1.3582228751058756
ENSG00000145147,9353,SLIT2,-2.427006547754554
ENSG00000057608,2665,GDI2,-0.8242701753487314
ENSG00000089685,332,BIRC5,-2.0656167675766888
ENSG00000163811,23160,WDR43,-2.41634494915688
ENSG00000137090,1761,DMRT1,-2.2245036249447585
ENSG00000274474,7531,YWHAE,-1.3202111145455937
ENSG00000196417,91661,ZNF765,-2.1719450436110725
ENSG00000147257,2719,GPC3,-1.979463804771518
ENSG00000145996,54901,CDKAL1,-1.887513982209692
ENSG00000154803,201163,FLCN,-2.505890694143543
ENSG00000270276,554313,H4C15,-2.2878640494194764
ENSG00000183077,125061,AFMID,-2.23602146879569
ENSG00000114251,7474,WNT5A,-1.8751968661329763
ENSG00000198538,7576,ZNF28,-2.2233839672296463
ENSG00000173905,27333,GOLIM4,-2.752968801206326
ENSG00000147862,4781,NFIB,-1.5058661278847598
ENSG00000197461,5154,PDGFA,-2.9257406271092243
ENSG00000163898,200879,LIPH,-2.0778556752138284
ENSG00000143878,388,RHOB,-1.9658553885438623
ENSG00000095015,4214,MAP3K1,-1.7435623554941646
ENSG00000124422,23326,USP22,-1.0781824561779838
ENSG00000103707,123263,MTFMT,-2.612066338723122
ENSG00000154328,252969,NEIL2,-2.084297184186771
ENSG00000057019,131566,DCBLD2,-1.852911480909868
ENSG00000182287,8905,AP1S2,-1.9236980521037053
ENSG00000130749,23211,ZC3H4,-2.85791651824897
ENSG00000128709,3235,HOXD9,-2.694285809141064
ENSG00000099622,1153,CIRBP,-1.1908649643415403
ENSG00000084093,5978,REST,-1.414395908254728
ENSG00000138698,5910,RAP1GDS1,-1.7979849253884992
ENSG00000169155,23099,ZBTB43,-1.972782045833688
ENSG00000092964,1808,DPYSL2,-1.0705212332920775
ENSG00000151135,90488,TMEM263,-1.750338594963281
ENSG00000144567,79137,RETREG2,-1.738794295098529
ENSG00000168778,79867,TCTN2,-2.438819832911117
ENSG00000147459,80005,DOCK5,-2.5151242598389225
ENSG00000145495,10299,MARCHF6,-1.351010932671347
ENSG00000086598,10959,TMED2,-1.886928435568074
ENSG00000187068,285382,C3orf70,-1.8223629315776384
ENSG00000211584,55652,SLC48A1,-1.540886765409108
ENSG00000164938,94241,TP53INP1,-1.3848956661532164
ENSG00000137124,219,ALDH1B1,-2.2363202203282726
ENSG00000005889,7543,ZFX,-1.99382129871034
ENSG00000043093,54165,DCUN1D1,-1.7991576583134548
ENSG00000093000,10762,NUP50,-1.711280462097392
ENSG00000185787,10933,MORF4L1,-1.0689929271159706
ENSG00000164300,256987,SERINC5,-1.5872746151954995
ENSG00000177565,79718,TBL1XR1,-1.2903050597565484
ENSG00000198252,6815,STYX,-1.9975153031990929
ENSG00000117222,5929,RBBP5,-1.900078230598304
ENSG00000158122,195827,PRXL2C,-2.1502472859710493
ENSG00000105639,3718,JAK3,-1.7245519505057427
ENSG00000284792,5728,PTEN,-1.5801219036871064
ENSG00000125952,4149,MAX,-1.95854145325886
ENSG00000197594,5167,ENPP1,-2.165903317046828
ENSG00000119669,64207,IRF2BPL,-2.677742408824727
ENSG00000244509,27350,APOBEC3C,-1.5910914711039947
ENSG00000177683,168451,THAP5,-1.7554329540682754
ENSG00000198586,9874,TLK1,-1.6206851284162265
ENSG00000196459,6399,TRAPPC2,-1.7079185544960342
ENSG00000137960,54810,GIPC2,-2.618635304016206
ENSG00000260032,647979,NORAD,-1.418675724014521
ENSG00000119711,4329,ALDH6A1,-1.7683789677338786
ENSG00000143437,405,ARNT,-1.9056341744877243
,,TMEM159,-1.7527281200869254
ENSG00000090382,4069,LYZ,-2.159630664820266
ENSG00000144369,165215,FAM171B,-2.2276463853313424
ENSG00000099785,51257,MARCHF2,-2.448387412697175
ENSG00000217128,96459,FNIP1,-1.661030372431725
ENSG00000198218,54870,QRICH1,-1.9240175710787355
ENSG00000124145,6385,SDC4,-1.414625163234982
ENSG00000196792,29966,STRN3,-2.194984039003685
ENSG00000172992,79877,DCAKD,-1.8472584424546457
ENSG00000141568,3607,FOXK2,-1.8689812425026684
ENSG00000172687,148203,ZNF738,-1.246012512875689
ENSG00000119772,1788,DNMT3A,-1.4465785437256462
ENSG00000120738,1958,EGR1,-2.9210222549953526
ENSG00000155660,9601,PDIA4,-2.1500021678348635
ENSG00000189079,196528,ARID2,-1.7765981128255142
ENSG00000215301,1654,DDX3X,-1.4913160879883465
ENSG00000282947,3191,HNRNPL,-2.0277948539799286
ENSG00000146733,5723,PSPH,-1.6791930347096102
ENSG00000219451,222901,RPL23P8,-3.9440445412555785
ENSG00000101166,51012,PRELID3B,-1.3789672625139624
ENSG00000124782,6239,RREB1,-2.663034406238239
ENSG00000181467,5912,RAP2B,-1.8069039378640108
ENSG00000126709,2537,IFI6,-2.263956020570711
ENSG00000106144,835,CASP2,-1.7632910787157772
ENSG00000168887,388969,C2orf68,-2.020938372447409
ENSG00000175220,392,ARHGAP1,-1.694035581481321
ENSG00000009780,199870,FAM76A,-1.8745923024069084
ENSG00000180730,387914,SHISA2,-1.816495632263553
ENSG00000213965,390916,NUDT19,-1.800329111033979
ENSG00000147140,4841,NONO,-0.6672494319193523
ENSG00000169116,25849,PARM1,-1.8857727939601183
ENSG00000107951,55149,MTPAP,-1.3781441206466614
ENSG00000162599,4774,NFIA,-1.2683523920839277
ENSG00000027697,3459,IFNGR1,-1.4892883122693064
ENSG00000163904,59343,SENP2,-1.452897509959319
ENSG00000075426,2355,FOSL2,-2.3897444793289955
ENSG00000108821,1277,COL1A1,-1.6254915484551953
ENSG00000198791,29883,CNOT7,-1.0397390405579665
ENSG00000122692,55234,SMU1,-1.3532877908062284
ENSG00000168264,359948,IRF2BP2,-1.2625644805688134
ENSG00000206418,201475,RAB12,-2.142945299868274
ENSG00000174197,23269,MGA,-1.93554918684299
ENSG00000015532,64132,XYLT2,-2.869992715136953
ENSG00000112308,81688,C6orf62,-1.4819577401067148
ENSG00000274429,9231,DLG5,-1.7753588074900983
ENSG00000134755,1824,DSC2,-1.7242480008815249
ENSG00000258405,147660,ZNF578,-2.187687624153036
ENSG00000111412,79794,SPRING1,-1.678825845165174
ENSG00000038945,4481,MSR1,-2.3887894469192363
ENSG00000112419,9749,PHACTR2,-1.312056523774906
ENSG00000170802,3344,FOXN2,-2.1052755292064846
ENSG00000171864,23627,PRND,-1.5812240856171542
ENSG00000213625,54741,LEPROT,-0.998925947610874
ENSG00000151247,1977,EIF4E,-0.9880220864554458
ENSG00000101558,9218,VAPA,-0.7095320974336394
ENSG00000069345,10294,DNAJA2,-0.8469161593643251
ENSG00000144231,5433,POLR2D,-1.586190192032766
ENSG00000142910,64129,TINAGL1,-1.9415274978081305
ENSG00000120314,54853,WDR55,-2.182935875525382
