gene_id,log2FoldChange
CCND2,-1.287479608885599
EIF5A,-1.622215533369331
MAZ,-2.019495645261925
NUCKS1,-1.3728048883640194
FRMD8,-1.4827080483595574
WTAP,-1.6121720906068029
EGR1,-2.2776096929532184
HNRNPA0,-1.3372194856059978
USP22,-0.7765225268715594
CTNNB1,-1.6342842210169164
ARPC4,-1.054664359788368
MARCKS,-1.1975185903979857
MIR202HG,-1.5086523108786678
FKBP9,-1.3219861802392587
TSC22D2,-1.2802324759937844
CALR,-1.4045644127692454
CAPZA1,-0.9980499194016405
CNOT9,-1.195705377659015
ITM2C,-1.1563728733507166
CTBP1,-1.6261875004539563
JUND,-1.5111883850712189
UBE2B,-0.8334398307378529
EZR,-1.050537362722675
NADK2,-1.3346937580001437
BCL10,-1.3748393571056374
CPSF2,-0.8865524205624129
PAQR7,-1.2987201888884643
PRPS2,-1.1257888564743677
SLC38A2,-0.8255670240693024
TRA2A,-1.5778835731218386
ADAM10,-1.007834531595967
TMED4,-1.1953404352577102
HNRNPH1,-1.3899671838172467
ACTB,-0.9079943275690028
CYP51A1,-1.0814014297876848
ARHGAP1,-1.107988367938778
ATP1B1,-1.1267959724811696
B3GNT7,-1.403626037119456
TAPBP,-0.8992932413628357
CTTN,-1.1709618506428374
MAX,-1.2147862870785078
NKX3-1,-1.077931954746186
STARD7,-0.8790783380414642
INSR,-1.3538591072209474
RIN2,-1.2702183224379886
TOMM22,-1.159515630540669
FKBP1A,-0.7999522564077718
RASSF3,-1.5713307400339307
CARMIL1,-1.444260707279451
ALDH16A1,-1.334984815604308
B4GALT1,-1.158412168382282
MDM4,-1.3396199702242022
SET,-1.0756094984910656
CCNF,-1.570304427008279
PSMB4,-0.497345890089202
WSB2,-1.203905766152692
CHP1,-0.9626715592634474
CIRBP,-0.7118652798497702
CLDN11,-1.0690680111901962
PPP1CB,-1.0691045260178136
TP53,-1.2971558716815743
AMFR,-1.4519250270024122
CCDC117,-1.2058597852962278
ARL15,-1.1803928222836009
LETM1,-1.283686425265344
AP1G1,-1.1797094386711595
UBP1,-1.719279689687075
INPP5A,-1.320121444779268
HMGCS1,-0.91812736767228
TOR1AIP2,-0.997051606631227
UGCG,-1.007173569255056
C2orf68,-1.2918679788491352
C1orf174,-1.1618303508961836
CNN3,-1.2406812212628129
HOXD9,-1.3543827411796787
ZC3H4,-1.553099978301491
ANKRD40,-1.225666371349465
CDS2,-0.8835765625867308
DCBLD2,-1.0379934478169774
EBP,-0.6176780675639
EXOSC6,-1.110965442966939
LYSMD1,-1.243016508500743
PDCD4,-1.1575634065507523
PPP3CA,-1.203771340576443
SLC12A2,-1.067709666947489
SPC24,-1.244343918690884
STAT2,-1.208781768837758
GOLIM4,-1.4952954875481852
ZNF28,-1.1283107675190878
CENPX,-0.7929031853853118
IGDCC4,-1.520966677254623
UROD,0.4342032443388125
XYLT2,-1.625136351196058
FNIP1,-0.9853050266743166
PDGFA,-1.5463795398491291
PIM2,-1.236404201276275
SRPRB,-0.9235342066489024
ZDHHC2,-1.192765997257376
ARGLU1,-0.963350252278
MORF4L1,-0.6301695873763687
HERPUD2,-1.0040371698029698
HK2,-1.134208903470313
SCD,-0.7304046307190296
WDR43,-1.2698306632662966
DLG5,-1.0278084880269358
THRAP3,-0.9291320567004188
CDC42,-0.6948660573910438
FAM76A,-1.082505807145023
FTO,-0.8885180127348918
CDKAL1,-0.9940446822059288
FOXK2,-0.9821008011880228
NUP50,-0.9252260916448616
RCN1,0.7856930954952914
IFI6,-1.3714159692643262
CBWD1,0.8025112922051512
AFMID,-1.1921596318960177
MAP3K1,-0.8940546546908054
RPL23P8,-2.221829738046452
IFNGR2,-1.1593052428703154
H4C15,-1.1734481962795345
ARF4,0.2810304978846711
C3orf70,-0.9671549564690676
DPYSL2,-0.5665069153186224
RAP2B,-1.043139671996981
TSPYL1,-0.9313633001379809
GLG1,-0.5676783410712153
CRISPLD2,-1.00819668730667
CALM1,-0.326887845732223
LAMP1,-0.9908771047355226
SERINC5,-0.8744126191483516
GPC3,-1.0179652679378233
LSM12,-0.8925629747992101
RASGEF1B,-1.2592055775008335
RTF1,-0.6122215876310866
SLC16A1,-1.004629761627441
AP1S2,-0.9623512496921012
CNP,-0.9214231738763176
FRRS1,-1.0440855902730213
RAB12,-1.2241990587082892
CHMP4B,-1.1691220019663808
EIF4EBP2,-0.8810756235549798
RNF2,-1.2160827141421204
UTP20,-1.149058570357562
SLC35F6,-0.922355958260007
YTHDF1,-0.893495749538151
ACTG1,0.2319281060442245
ELOF1,-0.8428373878751109
NCL,-0.6940915803725624
LOC100507507,-1.4339863456192097
ANXA2,0.4642277678247398
DNMT3A,-0.7537572448629262
JAM2,-0.76629997044058
PCMTD1,-0.9812904067880054
LAMB1,0.8186642453297883
TINAGL1,-1.0518272639428952
PDE6B,-1.0712195717125046
WDR55,-1.2012934799117423
MTPAP,-0.7512264757689155
