Ensembl_ID,Entrez_ID,Gene_Symbol,log2FoldChange
ENSG00000118971,894,CCND2,-1.287479608885599
ENSG00000132507,1984,EIF5A,-1.622215533369331
ENSG00000103495,4150,MAZ,-2.019495645261925
ENSG00000069275,64710,NUCKS1,-1.3728048883640194
ENSG00000126391,83786,FRMD8,-1.4827080483595574
ENSG00000146457,9589,WTAP,-1.6121720906068029
ENSG00000120738,1958,EGR1,-2.2776096929532184
ENSG00000177733,10949,HNRNPA0,-1.3372194856059978
ENSG00000124422,23326,USP22,-0.7765225268715594
ENSG00000168036,1499,CTNNB1,-1.6342842210169164
ENSG00000241553,10093,ARPC4,-1.054664359788368
ENSG00000277443,4082,MARCKS,-1.1975185903979857
ENSG00000166917,101927671,MIR202HG,-1.5086523108786678
ENSG00000122642,11328,FKBP9,-1.3219861802392587
ENSG00000196428,9819,TSC22D2,-1.2802324759937844
ENSG00000179218,811,CALR,-1.4045644127692454
ENSG00000116489,829,CAPZA1,-0.9980499194016405
ENSG00000144580,9125,CNOT9,-1.195705377659015
ENSG00000135916,81618,ITM2C,-1.1563728733507166
ENSG00000159692,1487,CTBP1,-1.6261875004539563
ENSG00000130522,3727,JUND,-1.5111883850712189
ENSG00000119048,7320,UBE2B,-0.8334398307378529
ENSG00000092820,7430,EZR,-1.050537362722675
ENSG00000152620,133686,NADK2,-1.3346937580001437
ENSG00000142867,8915,BCL10,-1.3748393571056374
ENSG00000165934,53981,CPSF2,-0.8865524205624129
ENSG00000182749,164091,PAQR7,-1.2987201888884643
ENSG00000101911,5634,PRPS2,-1.1257888564743677
ENSG00000134294,54407,SLC38A2,-0.8255670240693024
ENSG00000164548,29896,TRA2A,-1.5778835731218386
ENSG00000137845,102,ADAM10,-1.007834531595967
ENSG00000158604,222068,TMED4,-1.1953404352577102
ENSG00000284254,3187,HNRNPH1,-1.3899671838172467
ENSG00000075624,60,ACTB,-0.9079943275690028
ENSG00000001630,1595,CYP51A1,-1.0814014297876848
ENSG00000175220,392,ARHGAP1,-1.107988367938778
ENSG00000143153,481,ATP1B1,-1.1267959724811696
ENSG00000156966,93010,B3GNT7,-1.403626037119456
ENSG00000231925,6892,TAPBP,-0.8992932413628357
ENSG00000085733,2017,CTTN,-1.1709618506428374
ENSG00000125952,4149,MAX,-1.2147862870785078
ENSG00000167034,4824,NKX3-1,-1.077931954746186
ENSG00000084090,56910,STARD7,-0.8790783380414642
ENSG00000171105,3643,INSR,-1.3538591072209474
ENSG00000132669,54453,RIN2,-1.2702183224379886
ENSG00000100216,56993,TOMM22,-1.159515630540669
ENSG00000088832,2280,FKBP1A,-0.7999522564077718
ENSG00000153179,283349,RASSF3,-1.5713307400339307
ENSG00000079691,55604,CARMIL1,-1.444260707279451
ENSG00000161618,126133,ALDH16A1,-1.334984815604308
ENSG00000086062,2683,B4GALT1,-1.158412168382282
ENSG00000198625,4194,MDM4,-1.3396199702242022
ENSG00000119335,6418,SET,-1.0756094984910656
ENSG00000162063,899,CCNF,-1.570304427008279
ENSG00000159377,5692,PSMB4,-0.497345890089202
ENSG00000176871,55884,WSB2,-1.203905766152692
ENSG00000187446,11261,CHP1,-0.9626715592634474
ENSG00000099622,1153,CIRBP,-0.7118652798497702
ENSG00000013297,5010,CLDN11,-1.0690680111901962
ENSG00000213639,5500,PPP1CB,-1.0691045260178136
ENSG00000141510,7157,TP53,-1.2971558716815743
ENSG00000159461,267,AMFR,-1.4519250270024122
ENSG00000159873,150275,CCDC117,-1.2058597852962278
ENSG00000185305,54622,ARL15,-1.1803928222836009
ENSG00000168924,3954,LETM1,-1.283686425265344
ENSG00000166747,164,AP1G1,-1.1797094386711595
ENSG00000153560,7342,UBP1,-1.719279689687075
ENSG00000068383,3632,INPP5A,-1.320121444779268
ENSG00000112972,3157,HMGCS1,-0.91812736767228
ENSG00000169905,163590,TOR1AIP2,-0.997051606631227
ENSG00000148154,7357,UGCG,-1.007173569255056
ENSG00000168887,388969,C2orf68,-1.2918679788491352
ENSG00000198912,339448,C1orf174,-1.1618303508961836
ENSG00000117519,1266,CNN3,-1.2406812212628129
ENSG00000128709,3235,HOXD9,-1.3543827411796787
ENSG00000130749,23211,ZC3H4,-1.553099978301491
ENSG00000154945,91369,ANKRD40,-1.225666371349465
ENSG00000101290,8760,CDS2,-0.8835765625867308
ENSG00000057019,131566,DCBLD2,-1.0379934478169774
ENSG00000147155,10682,EBP,-0.6176780675639
ENSG00000223496,118460,EXOSC6,-1.110965442966939
ENSG00000163155,388695,LYSMD1,-1.243016508500743
ENSG00000150593,27250,PDCD4,-1.1575634065507523
ENSG00000138814,5530,PPP3CA,-1.203771340576443
ENSG00000064651,6558,SLC12A2,-1.067709666947489
ENSG00000161888,147841,SPC24,-1.244343918690884
ENSG00000170581,6773,STAT2,-1.208781768837758
ENSG00000173905,27333,GOLIM4,-1.4952954875481852
ENSG00000198538,7576,ZNF28,-1.1283107675190878
ENSG00000169689,201254,CENPX,-0.7929031853853118
ENSG00000103742,57722,IGDCC4,-1.520966677254623
ENSG00000126088,7389,UROD,0.4342032443388125
ENSG00000015532,64132,XYLT2,-1.625136351196058
ENSG00000217128,96459,FNIP1,-0.9853050266743166
ENSG00000197461,5154,PDGFA,-1.5463795398491291
ENSG00000102096,11040,PIM2,-1.236404201276275
ENSG00000144867,58477,SRPRB,-0.9235342066489024
ENSG00000104219,51201,ZDHHC2,-1.192765997257376
ENSG00000134884,55082,ARGLU1,-0.963350252278
ENSG00000185787,10933,MORF4L1,-0.6301695873763687
ENSG00000122557,64224,HERPUD2,-1.0040371698029698
ENSG00000159399,3099,HK2,-1.134208903470313
ENSG00000099194,6319,SCD,-0.7304046307190296
ENSG00000163811,23160,WDR43,-1.2698306632662966
ENSG00000274429,9231,DLG5,-1.0278084880269358
ENSG00000054118,9967,THRAP3,-0.9291320567004188
ENSG00000070831,998,CDC42,-0.6948660573910438
ENSG00000009780,199870,FAM76A,-1.082505807145023
ENSG00000140718,79068,FTO,-0.8885180127348918
ENSG00000145996,54901,CDKAL1,-0.9940446822059288
ENSG00000141568,3607,FOXK2,-0.9821008011880228
ENSG00000093000,10762,NUP50,-0.9252260916448616
ENSG00000049449,5954,RCN1,0.7856930954952914
ENSG00000126709,2537,IFI6,-1.3714159692643262
,,CBWD1,0.8025112922051512
ENSG00000183077,125061,AFMID,-1.1921596318960177
ENSG00000095015,4214,MAP3K1,-0.8940546546908054
ENSG00000219451,222901,RPL23P8,-2.221829738046452
ENSG00000159128,3460,IFNGR2,-1.1593052428703154
ENSG00000270276,554313,H4C15,-1.1734481962795345
ENSG00000168374,378,ARF4,0.2810304978846711
ENSG00000187068,285382,C3orf70,-0.9671549564690676
ENSG00000092964,1808,DPYSL2,-0.5665069153186224
ENSG00000181467,5912,RAP2B,-1.043139671996981
ENSG00000189241,7259,TSPYL1,-0.9313633001379809
ENSG00000090863,2734,GLG1,-0.5676783410712153
ENSG00000103196,83716,CRISPLD2,-1.00819668730667
ENSG00000198668,801,CALM1,-0.326887845732223
ENSG00000185896,3916,LAMP1,-0.9908771047355226
ENSG00000164300,256987,SERINC5,-0.8744126191483516
ENSG00000147257,2719,GPC3,-1.0179652679378233
ENSG00000161654,124801,LSM12,-0.8925629747992101
ENSG00000138670,153020,RASGEF1B,-1.2592055775008335
ENSG00000137815,23168,RTF1,-0.6122215876310866
ENSG00000155380,6566,SLC16A1,-1.004629761627441
ENSG00000182287,8905,AP1S2,-0.9623512496921012
ENSG00000173786,1267,CNP,-0.9214231738763176
ENSG00000156869,391059,FRRS1,-1.0440855902730213
ENSG00000206418,201475,RAB12,-1.2241990587082892
ENSG00000101421,128866,CHMP4B,-1.1691220019663808
ENSG00000148730,1979,EIF4EBP2,-0.8810756235549798
ENSG00000121481,6045,RNF2,-1.2160827141421204
ENSG00000120800,27340,UTP20,-1.149058570357562
ENSG00000213699,54978,SLC35F6,-0.922355958260007
ENSG00000149658,54915,YTHDF1,-0.893495749538151
ENSG00000291420,71,ACTG1,0.2319281060442245
