gene_id,log2FoldChange
FTL,0.6150433951572911
EIF5A,-2.192717246698117
CCND2,-1.6041583452260757
GPC3,-1.9174414545823937
SPC24,-2.2143785271177525
WFDC1,-2.4047220892611354
CTNNB1,-2.176958700815758
HMGCS1,-1.4896827278322593
SCD,-1.2250767272419123
NUCKS1,-1.6261979381276277
ACTB,-1.2992739367432466
ARPC4,-1.3481783672864929
CYP51A1,-1.550888487127028
FRMD8,-1.7737444405850376
PLIN2,0.8488255193755128
FKBP1A,-1.1532041029037077
WTAP,-1.9023972443942592
ANXA2,0.7787002956627261
GPNMB,1.385620222321572
CDC42,-1.0643481489192863
MTHFD2,0.866409008486496
CALM1,-0.5254071412263998
MIR202HG,-1.8432316256965724
USP22,-0.8968924257650341
CALR,-1.7530592410277468
ASAH1,0.7522976565247987
TRA2A,-2.0375223163835803
CTTN,-1.5793292617136137
BIRC5,-1.6497954234259404
TOMM22,-1.5446825598182508
HNRNPA0,-1.4978427340560292
CTBP1,-2.0299663818963394
INSL3,-1.3532108635374966
EZR,-1.3102658067422466
HNRNPH1,-1.7496613662529166
IFI30,0.7465216987705493
MARCKS,-1.3763283493397822
NADK2,-1.6703081268648805
SERF2,0.424055730583764
STARD7,-1.14122187799545
TOR1AIP2,-1.3821579726111557
EBP,-0.8748048800362505
COX7A2L,0.4061109206055124
FKBP9,-1.5614653729588053
SET,-1.3768691036152712
AP1G1,-1.5912724759212102
G3BP2,-0.8961368137778271
CCDC117,-1.6108825754764622
EXOSC6,-1.5329019889733926
ADAM10,-1.2306713042782798
CRISPLD2,-1.5206761355307463
LYSMD1,-1.7059457251593928
TMED4,-1.4466730291417726
WNT5A,-1.4156297171881964
MAX,-1.5527358468513377
TXNIP,-0.8448632076460879
ARF4,0.3984670386154502
PDCD4,-1.5460802268237994
PRPS2,-1.314652359154883
WDR43,-1.75035795537352
WSB2,-1.49413262937931
SDC4,-1.1349960310019374
CNOT9,-1.3269527019567184
TP53,-1.5983528809662038
ATP1B1,-1.3197765048515009
PAQR7,-1.469924186473211
PCLAF,-0.6732531728174068
DLG5,-1.4114700053948956
POLR2D,-1.3176888237626716
UBP1,-2.1436499916629743
CLDN11,-1.2855452538896657
CNN3,-1.5607688374944118
PSMB4,-0.5962619282075854
RNF2,-1.7214061961707658
ALDH1B1,-1.6709217996946857
CAPZA1,-1.0859616458919872
PIM2,-1.6025022155891762
TSC22D2,-1.3835922258896023
ZDHHC2,-1.5433385309686316
DCAKD,-1.4345630453423637
RSL24D1,0.4384553665580117
AKR1A1,0.5627994462154503
RIN2,-1.4734145988720713
AFMID,-1.5677157102275403
FANCD2,-1.667088937506954
PPP1CB,-1.260970910607743
HNRNPL,-1.587003247206483
TMEM258,0.287742638160649
HMGB1,-0.3243755712911531
PTCH1,-2.225805392364748
SOX11,-1.7099362484748193
SHISA2,-1.405610299466021
DMRT1,-1.4971502052915626
LETM1,-1.5396038470924844
CRIM1,-1.4716057608553743
TNRC6B,-1.309775774332932
B4GALT1,-1.3264328724337748
AMFR,-1.692709820920686
UGCG,-1.2209692070677411
CCNF,-1.8298239768645104
MSMO1,-0.6788253876250022
RASSF3,-1.7743974649743717
PPP3CA,-1.443571784089191
HSPA4,-1.3073473970493532
MORF4L1,-0.7671160471119239
TWIST1,-2.578700750023499
BCL10,-1.454225406166843
TKT,0.4828835574752435
IQGAP3,-2.230766467573219
ALDH16A1,-1.4905538080258012
CARMIL1,-1.5926602823246934
GLIPR2,-1.1046135237284316
SLC16A1,-1.3048374137874188
IFI6,-1.6865181119354156
MAZ,-1.7327413836789844
ZNF765,-1.3620415459410984
ITM2C,-1.1661681189004514
CHP1,-1.055035361098191
ACP1,0.38789411219169
INSR,-1.4434687321902684
LGALS1,0.3383819701574377
CDS2,-1.0351077496469987
PSAP,0.4853281756089922
APOBEC3C,-1.1097503663213175
ARGLU1,-1.1515801769811147
EIF4EBP2,-1.124767629773564
THRAP3,-1.1073969665404044
ZNF738,-0.848034194107937
GOLIM4,-1.7280462278714364
YWHAE,-0.8515209462669073
RIOX1,-1.7901256915395267
TAF9,0.486797592917307
XYLT2,-1.9219346556444088
ZBTB43,-1.2267416567339644
SPRR2F,0.8277626071145644
DDIT3,1.0339618774716068
LSM12,-1.1181216599922568
ARF6,-1.1166499895930804
CALU,0.4592193455647789
JUND,-1.4958917908155125
C7,0.625725662398497
ENC1,-1.1352257454903978
NUP50,-1.098828977842634
CPSF2,-0.8862945851173142
DCUN1D1,-1.1759314218099748
KIAA1217,-1.6227030009566026
TSPYL1,-1.109974112861019
ZC3H4,-1.7298798862148008
SAT1,0.3529612107866776
NOP10,0.3732592712249805
RASGEF1B,-1.5317324195825524
SPTBN1,-0.9681152757921404
C2orf68,-1.4135382964044705
WDR76,-1.4774828660584762
CIRBP,-0.7508456988537858
TMED2,-1.228245131161109
MTFMT,-1.5633060252850777
PDIA4,-1.4243629935816349
ARHGAP1,-1.1134516180338614
STC1,-1.4832798519141082
IFNGR2,-1.3501287041930097
ARL1,0.4414831369748674
NCL,-0.8676018843362646
INPP5A,-1.4472757014046846
ATP5ME,0.3108567206514216
GRB2,-0.834171010116845
TCTN2,-1.4854592969355267
MRPS18B,0.4590655261328528
NKX3-1,-1.0686260043503824
ZNF28,-1.24670651752118
CASP2,-1.1891194004585186
ETV5,-1.121082358745643
MAP3K1,-1.0281848174537496
ADNP,-1.050917891959502
CDKAL1,-1.1240609407340594
FRRS1,-1.245677217593807
CD52,1.411176597245783
SLIT2,-1.3794410924197318
TPP2,-1.355182125559823
PCMTD1,-1.1905285011388638
SSH2,-1.5242820935761832
ANKRD40,-1.3148883640547833
HOXD9,-1.4655359821041205
SRPRB,-1.0025224692069792
AMOTL1,-1.356408854296648
SKA2,-0.8883389648396546
SRSF6,-0.996415766713792
PTPRS,-1.6509953903965082
ROCK2,-1.4095012803447653
RPL34,0.2529443300031866
