Ensembl_ID,Entrez_ID,Gene_Symbol,log2FoldChange
ENSG00000087086,2512,FTL,0.6150433951572911
ENSG00000132507,1984,EIF5A,-2.192717246698117
ENSG00000118971,894,CCND2,-1.6041583452260757
ENSG00000147257,2719,GPC3,-1.9174414545823937
ENSG00000161888,147841,SPC24,-2.2143785271177525
ENSG00000103175,58189,WFDC1,-2.4047220892611354
ENSG00000168036,1499,CTNNB1,-2.176958700815758
ENSG00000112972,3157,HMGCS1,-1.4896827278322593
ENSG00000099194,6319,SCD,-1.2250767272419123
ENSG00000069275,64710,NUCKS1,-1.6261979381276277
ENSG00000075624,60,ACTB,-1.2992739367432466
ENSG00000241553,10093,ARPC4,-1.3481783672864929
ENSG00000001630,1595,CYP51A1,-1.550888487127028
ENSG00000126391,83786,FRMD8,-1.7737444405850376
ENSG00000147872,123,PLIN2,0.8488255193755128
ENSG00000088832,2280,FKBP1A,-1.1532041029037077
ENSG00000146457,9589,WTAP,-1.9023972443942592
ENSG00000182718,302,ANXA2,0.7787002956627261
ENSG00000136235,10457,GPNMB,1.385620222321572
ENSG00000070831,998,CDC42,-1.0643481489192863
ENSG00000065911,10797,MTHFD2,0.866409008486496
ENSG00000198668,801,CALM1,-0.5254071412263998
ENSG00000166917,101927671,MIR202HG,-1.8432316256965724
ENSG00000124422,23326,USP22,-0.8968924257650341
ENSG00000179218,811,CALR,-1.7530592410277468
ENSG00000104763,427,ASAH1,0.7522976565247987
ENSG00000164548,29896,TRA2A,-2.0375223163835803
ENSG00000085733,2017,CTTN,-1.5793292617136137
ENSG00000089685,332,BIRC5,-1.6497954234259404
ENSG00000100216,56993,TOMM22,-1.5446825598182508
ENSG00000177733,10949,HNRNPA0,-1.4978427340560292
ENSG00000159692,1487,CTBP1,-2.0299663818963394
ENSG00000248099,3640,INSL3,-1.3532108635374966
ENSG00000092820,7430,EZR,-1.3102658067422466
ENSG00000284254,3187,HNRNPH1,-1.7496613662529166
ENSG00000216490,10437,IFI30,0.7465216987705493
ENSG00000277443,4082,MARCKS,-1.3763283493397822
ENSG00000152620,133686,NADK2,-1.6703081268648805
ENSG00000140264,10169,SERF2,0.424055730583764
ENSG00000084090,56910,STARD7,-1.14122187799545
ENSG00000169905,163590,TOR1AIP2,-1.3821579726111557
ENSG00000147155,10682,EBP,-0.8748048800362505
