Ensembl_ID,Entrez_ID,Gene_Symbol,logFC
ENSG00000157456,9133,CCNB2,3.55117138771209
ENSG00000117650,4751,NEK2,3.473479811396877
ENSG00000145386,890,CCNA2,2.6773257412329734
ENSG00000131747,7153,TOP2A,3.428840135989601
ENSG00000115163,1058,CENPA,3.1062757869640385
ENSG00000166851,5347,PLK1,3.508058006741398
ENSG00000169679,699,BUB1,2.893319593602096
ENSG00000198901,9055,PRC1,3.1289949952367744
ENSG00000089685,332,BIRC5,3.7932292501939457
ENSG00000138180,55165,CEP55,2.366447126480578
ENSG00000143228,83540,NUF2,2.9356195601751147
ENSG00000126787,9787,DLGAP5,3.297520197509397
ENSG00000237649,3833,KIFC1,2.689647890423923
ENSG00000068489,55771,PRR11,3.2956263562378023
ENSG00000118193,9928,KIF14,2.030154061381649
ENSG00000252774,124900364,LOC124900364,-1.7374368018739303
ENSG00000178999,9212,AURKB,3.520915631102226
ENSG00000158402,995,CDC25C,2.2223998074212736
ENSG00000090889,24137,KIF4A,2.5352952202030403
ENSG00000142945,11004,KIF2C,2.950252588404131
ENSG00000265415,,PRR11-AS1,2.725266702587649
ENSG00000135451,10024,TROAP,3.787312084078712
ENSG00000100162,79019,CENPM,2.313610639328316
ENSG00000168078,55872,PBK,3.21662870817507
ENSG00000170312,983,CDK1,3.066193757614928
ENSG00000153044,64946,CENPH,1.9163824244465208
ENSG00000175063,11065,UBE2C,4.125476763165847
ENSG00000263513,554282,FAM72C,2.096648247022749
ENSG00000121211,84057,MND1,2.37291922091899
ENSG00000129810,151648,SGO1,2.3611191561878817
ENSG00000072571,3161,HMMR,2.8724492046003665
ENSG00000134690,55143,CDCA8,2.459036827487596
ENSG00000146918,54892,NCAPG2,1.8978364396481129
ENSG00000117399,991,CDC20,3.5920171349793684
ENSG00000129195,54478,PIMREG,2.899429166506945
ENSG00000164938,94241,TP53INP1,-1.50508361658111
ENSG00000215784,728833,FAM72D,2.011377148645894
ENSG00000137807,9493,KIF23,1.8605810643130547
ENSG00000104889,10535,RNASEH2A,1.970886689094468
ENSG00000111665,83461,CDCA3,2.566198577404191
ENSG00000024526,55635,DEPDC1,2.23282449276394
ENSG00000137804,51203,NUSAP1,2.0717666659436227
ENSG00000117724,1063,CENPF,2.535427647886429
ENSG00000164109,4085,MAD2L1,1.7439263343955436
ENSG00000198753,5365,PLXNB3,-1.534117224916986
ENSG00000135476,9700,ESPL1,1.674396372830426
ENSG00000198826,9824,ARHGAP11A,2.2055935289674564
ENSG00000113368,4001,LMNB1,2.0691833297295275
ENSG00000183856,128239,IQGAP3,2.0401932179144007
ENSG00000169607,150468,CKAP2L,2.0832594485698164
ENSG00000112742,7272,TTK,2.381626536054551
ENSG00000173207,1163,CKS1B,2.329714329801609
ENSG00000075218,51512,GTSE1,2.1990717423179342
ENSG00000065357,1606,DGKA,-1.2828028332286854
ENSG00000171241,79801,SHCBP1,2.197752161637561
ENSG00000135919,5270,SERPINE2,-1.581967182602802
ENSG00000100526,1033,CDKN3,2.0975089047351463
ENSG00000114268,5210,PFKFB4,-1.7707791549954035
ENSG00000142731,10733,PLK4,1.6334608622605644
ENSG00000187634,148398,SAMD11,1.9861358161804488
ENSG00000154920,146956,EME1,1.6935266823749908
ENSG00000088325,22974,TPX2,2.299796018456871
ENSG00000203760,387103,CENPW,1.8372310672937804
ENSG00000156970,701,BUB1B,2.3427704733536934
ENSG00000122966,11113,CIT,1.84677535692795
ENSG00000076382,10615,SPAG5,2.501623524753068
ENSG00000111206,2305,FOXM1,2.4461642729521094
ENSG00000011426,54443,ANLN,2.811316225127694
ENSG00000136982,79075,DSCC1,1.278361157936519
ENSG00000164032,3015,H2AZ1,1.2281802507271031
ENSG00000140525,55215,FANCI,1.6709623703892968
ENSG00000249156,112488739,TAF11L12,-1.0601556958969482
