gene_id,logFC
ENSG00000131747,-4.094112202408499
ENSG00000169679,-3.328736749321743
ENSG00000145386,-2.9640947557830266
ENSG00000089685,-4.509899886860342
ENSG00000117650,-3.691587946899854
ENSG00000157456,-3.723257535094821
ENSG00000115163,-3.3512350563930693
ENSG00000166851,-3.7771029008286856
ENSG00000237649,-3.084820844596476
ENSG00000143228,-3.2152419088288977
ENSG00000198901,-3.258119316087708
ENSG00000100162,-3.012715262562433
ENSG00000178999,-4.238859313260203
ENSG00000126787,-3.5223270644388007
ENSG00000142945,-3.7640967416459374
ENSG00000138180,-2.41925277351569
ENSG00000118193,-2.326116736725236
ENSG00000090889,-3.13973859188325
ENSG00000072571,-3.653606076500672
ENSG00000068489,-3.662020481001906
ENSG00000170312,-3.806523172946224
ENSG00000263513,-2.611802896705816
ENSG00000158402,-2.62884907494876
ENSG00000134690,-3.053215660778949
ENSG00000215784,-2.553503611011494
ENSG00000121211,-2.856417239763208
ENSG00000137807,-2.298390524736941
ENSG00000168078,-3.70989450531496
ENSG00000129810,-2.7495111197660616
ENSG00000024526,-2.7788639165259945
ENSG00000135476,-2.108964571506553
ENSG00000112742,-3.036837200224336
ENSG00000164109,-2.127980736129844
ENSG00000146918,-2.1592653842390166
ENSG00000252774,1.7374368018739303
ENSG00000117724,-3.0000198011047146
ENSG00000169607,-2.551503248442509
ENSG00000117399,-3.950085808061816
ENSG00000175063,-4.403003397498991
ENSG00000075218,-2.6867560729052418
ENSG00000088325,-2.9576900128982917
ENSG00000265415,-2.85374975293302
ENSG00000109805,-2.946895761156221
ENSG00000108106,-2.519037451517433
ENSG00000100526,-2.559270146942973
ENSG00000173207,-2.790602427624675
ENSG00000135451,-3.904757928352909
ENSG00000198826,-2.53084901212198
ENSG00000142731,-1.997340271453368
ENSG00000111665,-2.835609316703703
ENSG00000164938,1.6033352224169573
ENSG00000137804,-2.2651847461296355
ENSG00000113368,-2.305826377474607
ENSG00000203760,-2.2132238625186567
ENSG00000093009,-3.1859783100639163
ENSG00000161800,-2.092685185326284
ENSG00000138160,-2.885555087044168
ENSG00000104889,-2.023513276073944
ENSG00000011426,-3.356088899293346
ENSG00000171241,-2.4293790988435555
ENSG00000140525,-1.998512551569004
ENSG00000073111,-1.958716955862264
ENSG00000111206,-2.8736493792830444
ENSG00000100749,-1.6978105582508367
ENSG00000129195,-2.79456350685684
ENSG00000285600,-1.4201059265227562
ENSG00000156970,-2.6520426354182267
ENSG00000187634,-2.19188059379184
ENSG00000163808,-1.884970650803792
ENSG00000065357,1.3449590022985185
ENSG00000122966,-2.0761339211366567
ENSG00000183856,-2.090088274722311
ENSG00000148773,-3.423921081284612
ENSG00000198753,1.513532266178185
ENSG00000186185,-3.3127752127360286
ENSG00000136982,-1.4195464961123223
ENSG00000139734,-2.0496733810832417
ENSG00000106268,-1.6633854655883529
ENSG00000123219,-2.1589861066540537
ENSG00000164032,-1.3508578123396149
ENSG00000233966,-2.35587722962317
ENSG00000087586,-2.2388851977006765
ENSG00000127564,-2.724226566002641
ENSG00000138778,-2.093190294311227
ENSG00000121152,-2.173775096848257
ENSG00000188610,-2.137956910828074
ENSG00000075702,-2.0766032899214943
ENSG00000010292,-1.7353451310822696
ENSG00000144554,-1.955264623425433
ENSG00000165501,-1.4431588228965708
ENSG00000092470,-1.8914961747054173
ENSG00000140451,-1.5686214147095203
ENSG00000183010,-1.608562403774651
ENSG00000142856,-1.629640793755557
ENSG00000102384,-1.7021962027791735
ENSG00000231304,-1.4513953233082748
ENSG00000135919,1.521070688447569
ENSG00000140534,-1.4694461248374795
ENSG00000101057,-3.458555861148997
ENSG00000165480,-2.288517958694837
ENSG00000154839,-3.1630497559750075
ENSG00000176046,-2.1028142947683213
ENSG00000138182,-1.5562950993421767
ENSG00000164087,-1.7799963412379634
ENSG00000166451,-1.9575017631842044
ENSG00000091651,-1.9644673962707675
ENSG00000076382,-2.513016156115925
ENSG00000165244,-1.465873415612329
ENSG00000189403,-1.3457412923499383
ENSG00000066279,-2.3570112400660035
ENSG00000267374,-1.5460811175520306
ENSG00000164104,-3.5846505892350606
ENSG00000163507,-1.7231559522902569
ENSG00000154920,-1.6182806601180546
ENSG00000183763,-1.5464644929412497
ENSG00000136938,-1.2467903985353628
ENSG00000079616,-2.223781183694847
ENSG00000006634,-1.4133047529858571
ENSG00000149136,-1.37227219748502
ENSG00000006704,-1.351053269541313
ENSG00000106355,-1.1210565262536418
ENSG00000153044,-1.4878705558574268
ENSG00000167900,-3.512042477851084
ENSG00000143401,-1.537112922877843
ENSG00000231864,-1.8916421498272145
ENSG00000259781,-1.5022073126829207
ENSG00000138376,-1.4543201549925109
ENSG00000100297,-2.566039766661637
ENSG00000146670,-2.757669978632827
ENSG00000111247,-2.0988293966008262
ENSG00000156802,-2.4125196736781938
ENSG00000249156,1.0043436454609391
ENSG00000293339,-1.4487856902949807
ENSG00000112029,-2.177401558804607
ENSG00000113810,-2.086387875748918
ENSG00000285948,-1.4933800198163472
ENSG00000033100,1.5472894266152948
ENSG00000205084,-1.1557126451443236
ENSG00000035499,-2.0930246741343543
ENSG00000171848,-3.0720859890502283
ENSG00000184661,-1.5551039281087995
ENSG00000204410,-1.0628585916456268
ENSG00000086061,1.4846653346441665
ENSG00000114268,1.5048935164336368
ENSG00000248583,1.3444436987159205
ENSG00000177917,-1.214636205603444
ENSG00000122952,-2.4205327414471003
ENSG00000140859,-1.243266787986033
ENSG00000077942,-1.975853042620586
ENSG00000149929,-1.8202353212001932
ENSG00000197905,-1.4212398613925408
ENSG00000167186,-1.3731324537694127
ENSG00000167325,-1.3839320954652967
ENSG00000197299,-1.579380801683187
ENSG00000013810,-2.157657928460001
ENSG00000196562,1.1030985553401065
ENSG00000152253,-1.7033521879063651
ENSG00000065328,-2.32306119490812
ENSG00000174371,-2.2918433818481505
ENSG00000136068,-1.4112912576227608
ENSG00000131652,-1.5308948760847816
ENSG00000131351,-1.4024622650414773
ENSG00000163535,-1.6736679520404778
ENSG00000143476,-1.7841210681811568
ENSG00000198056,-2.03030067829829
ENSG00000171320,-1.9796573813735383
ENSG00000235823,-1.8383641434837048
ENSG00000132357,1.0681345976235668
ENSG00000121957,-1.1019714604981663
ENSG00000172167,-1.0535885409232502
ENSG00000205208,-1.057009084403174
ENSG00000109685,-1.2290425193005603
ENSG00000185404,1.138239538820885
ENSG00000137310,-1.5316354624662236
ENSG00000134057,-2.233722326095515
ENSG00000184990,-1.068640335369181
ENSG00000007968,-1.2062402580271256
ENSG00000124795,-1.1399412741806811
ENSG00000111445,-1.7014053558096665
ENSG00000196584,-1.2897503317553392
ENSG00000138092,-1.3133142306308607
ENSG00000198830,-1.2358123356973438
ENSG00000283740,1.911817053935535
ENSG00000137812,-1.4851021413431735
ENSG00000149636,-1.1668109058804703
ENSG00000131153,-2.0060438737234763
ENSG00000165304,-1.6931038242378302
ENSG00000080986,-2.0373043118119627
ENSG00000164611,-2.554946280753396
ENSG00000164626,-1.136652730194108
ENSG00000224126,-1.830860585924536
ENSG00000114346,-1.884836978956068
ENSG00000259768,-1.2069371229438983
ENSG00000051180,-1.632132271929505
ENSG00000123975,-1.5616220556434373
ENSG00000291314,-1.9839482823603969
ENSG00000186193,-1.3768957947936578
ENSG00000168824,1.3719619355972228
ENSG00000196208,1.2437399577391728
ENSG00000101412,-1.9834129333093535
ENSG00000100242,-1.1315080812448874
ENSG00000123416,-1.16950999969408
ENSG00000012048,-2.074136334849673
ENSG00000184678,1.1735634790230067
ENSG00000136943,-1.6504696659874738
ENSG00000144283,-1.2466644540779774
ENSG00000169379,-1.1755011090643537
ENSG00000101868,-1.373716671621464
ENSG00000100479,-1.3726588162671456
ENSG00000233276,1.306851532747869
ENSG00000183688,-1.0265219468219309
ENSG00000051341,-1.1699656458303975
ENSG00000147408,-1.3723463763484285
ENSG00000179750,-2.1358284855793865
ENSG00000258725,-1.3071027722450554
ENSG00000151725,-1.7260132310930008
ENSG00000259952,-1.3866972220507183
ENSG00000105011,-2.131455705090386
ENSG00000129534,-1.1953808620240574
ENSG00000167670,-1.4916360229413637
ENSG00000188290,-1.524378817968187
ENSG00000123485,-1.4014985743253976
ENSG00000165490,-2.0170202037375304
ENSG00000184445,-1.3684438797906566
ENSG00000156509,-1.5207251901526562
ENSG00000178096,-1.014451002238904
ENSG00000094804,-1.8084507165405537
ENSG00000130844,-1.0596852697306374
ENSG00000143217,1.1171572845651727
ENSG00000289754,-1.58020261159519
ENSG00000233611,-1.0292114130753849
ENSG00000166881,-1.3116287600771448
ENSG00000057593,-1.1458366433180356
ENSG00000153574,-1.0411502619181243
ENSG00000125458,-1.0473648393439214
ENSG00000084710,1.652432792379137
ENSG00000161692,-1.320059935042811
ENSG00000279399,-1.0296886071339908
ENSG00000278970,-1.552058386246734
ENSG00000112984,-2.3482110660106
ENSG00000245694,-1.3582096333081135
ENSG00000160200,-2.1285980890130243
ENSG00000120699,-2.0279965999331826
ENSG00000180318,-1.1508289193016532
ENSG00000159263,-1.199552258278334
ENSG00000136114,1.2497908830240363
ENSG00000107249,-1.4688674094844365
ENSG00000213186,-1.3158282930145364
ENSG00000279208,1.1985579440757843
ENSG00000274276,-2.075580838069831
ENSG00000149503,-1.33165694475296
ENSG00000172890,1.030908112950585
ENSG00000285077,-1.6487664602305951
ENSG00000183607,1.13589340602119
ENSG00000146410,-1.6142805111549456
ENSG00000133119,-1.7785356572312845
ENSG00000276043,-1.5901154585413937
ENSG00000178809,1.1389417389298235
ENSG00000014138,-1.7499729155464308
ENSG00000071539,-1.8804888076432509
ENSG00000124596,-1.0091485697749505
ENSG00000135679,1.2015807481674852
ENSG00000172164,-1.2086801151494575
ENSG00000289194,-1.159611225241464
ENSG00000162063,-1.2398618319409702
