Ensembl_ID,Entrez_ID,Gene_Symbol,logFC
ENSG00000131747,7153,TOP2A,-4.094112202408499
ENSG00000169679,699,BUB1,-3.328736749321743
ENSG00000145386,890,CCNA2,-2.9640947557830266
ENSG00000089685,332,BIRC5,-4.509899886860342
ENSG00000117650,4751,NEK2,-3.691587946899854
ENSG00000157456,9133,CCNB2,-3.723257535094821
ENSG00000115163,1058,CENPA,-3.3512350563930693
ENSG00000166851,5347,PLK1,-3.7771029008286856
ENSG00000237649,3833,KIFC1,-3.084820844596476
ENSG00000143228,83540,NUF2,-3.2152419088288977
ENSG00000198901,9055,PRC1,-3.258119316087708
ENSG00000100162,79019,CENPM,-3.012715262562433
ENSG00000178999,9212,AURKB,-4.238859313260203
ENSG00000126787,9787,DLGAP5,-3.5223270644388007
ENSG00000142945,11004,KIF2C,-3.7640967416459374
ENSG00000138180,55165,CEP55,-2.41925277351569
ENSG00000118193,9928,KIF14,-2.326116736725236
ENSG00000090889,24137,KIF4A,-3.13973859188325
ENSG00000072571,3161,HMMR,-3.653606076500672
ENSG00000068489,55771,PRR11,-3.662020481001906
ENSG00000170312,983,CDK1,-3.806523172946224
ENSG00000263513,554282,FAM72C,-2.611802896705816
ENSG00000158402,995,CDC25C,-2.62884907494876
ENSG00000134690,55143,CDCA8,-3.053215660778949
ENSG00000215784,728833,FAM72D,-2.553503611011494
ENSG00000121211,84057,MND1,-2.856417239763208
ENSG00000137807,9493,KIF23,-2.298390524736941
ENSG00000168078,55872,PBK,-3.70989450531496
ENSG00000129810,151648,SGO1,-2.7495111197660616
ENSG00000024526,55635,DEPDC1,-2.7788639165259945
ENSG00000135476,9700,ESPL1,-2.108964571506553
ENSG00000112742,7272,TTK,-3.036837200224336
ENSG00000164109,4085,MAD2L1,-2.127980736129844
ENSG00000146918,54892,NCAPG2,-2.1592653842390166
ENSG00000252774,124900364,LOC124900364,1.7374368018739303
ENSG00000117724,1063,CENPF,-3.0000198011047146
ENSG00000169607,150468,CKAP2L,-2.551503248442509
ENSG00000117399,991,CDC20,-3.950085808061816
ENSG00000175063,11065,UBE2C,-4.403003397498991
ENSG00000075218,51512,GTSE1,-2.6867560729052418
ENSG00000088325,22974,TPX2,-2.957690012898292
ENSG00000265415,,PRR11-AS1,-2.85374975293302
ENSG00000109805,64151,NCAPG,-2.946895761156221
ENSG00000108106,27338,UBE2S,-2.519037451517433
ENSG00000100526,1033,CDKN3,-2.559270146942973
ENSG00000173207,1163,CKS1B,-2.790602427624675
