Ensembl_ID,Entrez_ID,Gene_Symbol,logFC
ENSG00000131747,7153,TOP2A,-4.031164720364019
ENSG00000145386,890,CCNA2,-3.068636642068608
ENSG00000117650,4751,NEK2,-3.7670031264910415
ENSG00000089685,332,BIRC5,-4.4957524545719245
ENSG00000169679,699,BUB1,-3.285240601611746
ENSG00000166851,5347,PLK1,-3.703058566769972
ENSG00000157456,9133,CCNB2,-3.4277849480707845
ENSG00000143228,83540,NUF2,-3.223395724821102
ENSG00000068489,55771,PRR11,-3.935546999231313
ENSG00000237649,3833,KIFC1,-3.02073839560824
ENSG00000142945,11004,KIF2C,-3.9004561605547057
ENSG00000115163,1058,CENPA,-3.104851307425407
ENSG00000118193,9928,KIF14,-2.421011976830879
ENSG00000126787,9787,DLGAP5,-3.6071567826806095
ENSG00000090889,24137,KIF4A,-3.276424101139566
ENSG00000138180,55165,CEP55,-2.436261178492927
ENSG00000158402,995,CDC25C,-2.753393787973192
ENSG00000168078,55872,PBK,-4.042156506820396
ENSG00000178999,9212,AURKB,-4.116811516005639
ENSG00000170312,983,CDK1,-3.832221700275064
ENSG00000265415,,PRR11-AS1,-3.308818425784976
ENSG00000072571,3161,HMMR,-3.561268788178331
ENSG00000263513,554282,FAM72C,-2.5325010413824094
ENSG00000198901,9055,PRC1,-2.9087591952842606
ENSG00000215784,728833,FAM72D,-2.526697934511823
ENSG00000134690,55143,CDCA8,-2.97734862980376
ENSG00000164109,4085,MAD2L1,-2.269153593802219
ENSG00000024526,55635,DEPDC1,-2.82467939895752
ENSG00000100162,79019,CENPM,-2.642106692076723
ENSG00000121211,84057,MND1,-2.7215243888668765
ENSG00000187634,148398,SAMD11,-2.699329488050428
ENSG00000100526,1033,CDKN3,-2.746528710019757
ENSG00000129810,151648,SGO1,-2.653319413877578
ENSG00000112742,7272,TTK,-3.003570855900741
ENSG00000075218,51512,GTSE1,-2.7826984104816272
ENSG00000117724,1063,CENPF,-3.047488373788063
ENSG00000135476,9700,ESPL1,-1.9927460212147383
ENSG00000111665,83461,CDCA3,-2.980198998063317
ENSG00000088325,22974,TPX2,-2.996342927575068
ENSG00000138160,3832,KIF11,-3.155923300630897
ENSG00000087586,6790,AURKA,-2.73910320369475
ENSG00000109805,64151,NCAPG,-2.958750268420976
ENSG00000137807,9493,KIF23,-2.0708311174054144
ENSG00000171241,79801,SHCBP1,-2.637896378305263
ENSG00000169607,150468,CKAP2L,-2.4482614654729424
ENSG00000093009,8318,CDC45,-3.322540474689474
ENSG00000011426,54443,ANLN,-3.5559022214103138
ENSG00000175063,11065,UBE2C,-4.121559602251764
ENSG00000142731,10733,PLK4,-1.943830385376964
ENSG00000111206,2305,FOXM1,-2.976127287246494
ENSG00000136982,79075,DSCC1,-1.557502875230381
ENSG00000117399,991,CDC20,-3.523685586923359
ENSG00000143217,81607,NECTIN4,1.753536123392373
ENSG00000146918,54892,NCAPG2,-1.833330033111503
ENSG00000186185,146909,KIF18B,-3.505333631585512
ENSG00000196208,9687,GREB1,1.815761449808996
ENSG00000129195,54478,PIMREG,-2.8222317241404
ENSG00000163808,56992,KIF15,-1.926823075529144
ENSG00000152253,57405,SPC25,-2.253849299107076
ENSG00000148773,4288,MKI67,-3.534195021304396
ENSG00000121152,23397,NCAPH,-2.342341205546492
ENSG00000188610,653820,FAM72B,-2.3022632044338645
ENSG00000122966,11113,CIT,-2.116117482921648
ENSG00000137804,51203,NUSAP1,-2.0790077139432217
ENSG00000123219,64105,CENPK,-2.2708682919681937
ENSG00000144554,2177,FANCD2,-2.098941583274553
ENSG00000161800,29127,RACGAP1,-1.9643555763085665
ENSG00000076382,10615,SPAG5,-2.8258541396753016
ENSG00000108106,27338,UBE2S,-2.182499703744802
ENSG00000134057,891,CCNB1,-3.000164603079558
ENSG00000168824,27065,NSG1,1.928683434206276
ENSG00000139734,81624,DIAPH3,-2.110488484948946
ENSG00000156970,701,BUB1B,-2.607628508364472
ENSG00000198753,5365,PLXNB3,1.5207893669203614
ENSG00000127564,9088,PKMYT1,-2.836733213471507
ENSG00000066279,259266,ASPM,-2.632271395950964
ENSG00000073111,4171,MCM2,-1.8154556074049544
ENSG00000113368,4001,LMNB1,-2.01818134420419
ENSG00000231864,,,-2.155291442436292
ENSG00000231304,100874028,SGO1-AS1,-1.520696269988714
ENSG00000102384,2491,CENPI,-1.777258464755111
ENSG00000140525,55215,FANCI,-1.8323507455231072
ENSG00000065357,1606,DGKA,1.2771616473149714
ENSG00000285600,,,-1.3202701716361582
ENSG00000165480,221150,SKA3,-2.3845792069735987
ENSG00000079616,3835,KIF22,-2.380311674578547
ENSG00000100749,7443,VRK1,-1.5180502364575532
ENSG00000203760,387103,CENPW,-1.8871481771456968
ENSG00000140451,80119,PIF1,-1.5667696333730117
ENSG00000101057,4605,MYBL2,-3.5381448678721803
ENSG00000198826,9824,ARHGAP11A,-2.044756601189784
ENSG00000183763,10293,TRAIP,-1.6284115469140767
ENSG00000167900,7083,TK1,-3.7468218270946254
ENSG00000013810,10460,TACC3,-2.5261352474221006
ENSG00000122952,11130,ZWINT,-2.788702092979237
ENSG00000164087,25886,POC1A,-1.7938488845728502
ENSG00000075702,284403,WDR62,-1.985448706988588
ENSG00000248583,,,1.532806788108204
ENSG00000185404,93349,SP140L,1.3793600804317256
ENSG00000135451,10024,TROAP,-3.072506322685347
ENSG00000163507,57650,CIP2A,-1.7700074322234798
ENSG00000140534,90381,TICRR,-1.450625396979803
ENSG00000154839,220134,SKA1,-3.13025740523135
ENSG00000146670,113130,CDCA5,-2.969682406279337
ENSG00000138182,9585,KIF20B,-1.5358304466491133
ENSG00000123485,55355,HJURP,-1.831976875160264
ENSG00000111247,10635,RAD51AP1,-2.230753620514162
ENSG00000199334,100169762,RNA5S11,5.3805319194697
ENSG00000100297,4174,MCM5,-2.690907764563977
ENSG00000279208,,,1.5931929231297333
ENSG00000233276,2876,GPX1,1.6337625628939438
ENSG00000165244,195828,ZNF367,-1.4247260485652733
ENSG00000109674,55247,NEIL3,-2.2197936179538376
ENSG00000163535,151246,SGO2,-1.892551318662314
ENSG00000164938,94241,TP53INP1,1.2295309286736913
ENSG00000171848,6241,RRM2,-3.2906483073631616
ENSG00000138778,1062,CENPE,-1.896228484368716
ENSG00000267374,647946,MIR924HG,-1.5035622803021478
ENSG00000124201,57169,ZNFX1,1.1675830018237408
ENSG00000162511,7805,LAPTM5,1.1444347355949531
ENSG00000171320,157570,ESCO2,-2.234853807590574
ENSG00000136842,7111,TMOD1,1.4365769003632654
ENSG00000091651,23594,ORC6,-1.8697858265000336
ENSG00000010292,9918,NCAPD2,-1.5590234950934172
ENSG00000069812,54626,HES2,1.9057350359940275
ENSG00000174371,9156,EXO1,-2.4739085438848982
ENSG00000136114,55901,THSD1,1.5705462147071207
ENSG00000165501,122769,LRR1,-1.2682683583454972
ENSG00000077942,2192,FBLN1,-2.0764214870601
ENSG00000057593,2155,F7,-1.4116460214724469
ENSG00000183856,128239,IQGAP3,-1.7158189200300016
ENSG00000205208,201725,C4orf46,-1.146592191189404
ENSG00000182481,3838,KPNA2,-1.3910149238896403
ENSG00000233966,,UBE2SP1,-2.001493570760576
ENSG00000143476,51514,DTL,-1.8970722164495144
ENSG00000171564,2244,FGB,-3.867638023217369
ENSG00000182175,56963,RGMA,1.1448384853378897
ENSG00000143815,3930,LBR,-1.118496482029764
ENSG00000065328,55388,MCM10,-2.4202892805374976
ENSG00000133119,5983,RFC3,-2.2022863761070406
ENSG00000132517,55065,SLC52A1,2.0077468773688065
ENSG00000140859,3801,KIFC3,-1.2612243516985338
ENSG00000091592,22861,NLRP1,1.3771300570502032
ENSG00000138346,1763,DNA2,-1.1648595909974568
ENSG00000077684,79960,JADE1,-2.367413410523634
ENSG00000105939,56829,ZC3HAV1,1.3067602416030772
ENSG00000107249,169792,GLIS3,-1.7728426089162168
ENSG00000168393,1841,DTYMK,-1.9326537607689336
ENSG00000080986,10403,NDC80,-2.216273911478716
ENSG00000213186,286827,TRIM59,-1.5759281946797197
ENSG00000143401,81611,ANP32E,-1.428235118670217
ENSG00000148498,56288,PARD3,-1.4204826764285563
ENSG00000106268,4521,NUDT1,-1.3478871312534864
ENSG00000071539,9319,TRIP13,-2.3044916980618275
ENSG00000092470,79968,WDR76,-1.5776130049908468
ENSG00000196584,7516,XRCC2,-1.362806583592321
ENSG00000113810,10051,SMC4,-1.984103850869055
ENSG00000007968,1870,E2F2,-1.2607495284730486
ENSG00000173207,1163,CKS1B,-1.8696281156515
ENSG00000285948,,,-1.4133856946871948
ENSG00000154920,146956,EME1,-1.4209622310399033
ENSG00000289194,,,-1.3943003865630377
ENSG00000104889,10535,RNASEH2A,-1.4583784282436962
ENSG00000105011,55723,ASF1B,-2.376097461154584
